assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
16,0,0,16518,0,1,2471,7243,2471,23619,10,0,1,0,False,False,False,False,14900,0,0,1,1,5,759,2,2,321,5574,1963,7161,29,0,0,0,205690,28865,16852,0,0,108,376,0,8,5,7,5,4,100,28,16,223773,0,4,5630,272,231,306,267,2,0,12507,1498,551,2,2,9,0,25,0,8,8,False,0,0,11,1,0,0,1,0,0.0,0,0.1725327943873443,10,6,0,0,0.0,272.79998779296875,0,0,14,1,0,0,0,0,0,0.0,0,1,2136.031363842854,0.0,0.0,7,0,0,0.0,0,0,2.1,1,0,0,0,0.0,0,2,0,0,9,71,0.0,0,0,18.0,0,0.0,0,0.0,0,0,1,0,0,2,0,0,18,0,0,0,0,0,2,38,102,0,0,4,0,0,0,21,0,0,8,0,1,0.2281324186301461,0,2,0,0,3,2,0,11,0,-0.4274722337722778,0.7122721186475535,8,2,0,0.0,0.0,0.0,0.0,1690.7131894721435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.55335242833027,-0.2247158015210273,-78.5943515819793,429.179091429972,908.020374996091,690.0179580455044
4,0,3,8805,0,3,2871,15095,2871,6734,2,1,1,0,False,True,False,False,8550,0,0,0,1,5,1567,3,2,623,2129,343,3598,8,0,0,0,107508,8031,4671,0,0,60,119,0,3,2,4,4,6,100,5,4,113805,0,0,3115,0,172,163,40,1,0,4167,28,384,1,1,2,0,20,2,6,7,True,0,0,1,0,0,0,0,0,0.1936870372349663,1,0.1612496702025093,2,0,0,1,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,1221.7945075915973,0.0,0.0,0,0,0,0.0,0,0,4.5,1,0,1,0,0.0,0,0,0,0,1,86,0.0,0,0,31.0,3,1.0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,1,5,33,0,0,5,0,4,0,9,0,0,4,1,0,0.2139484454588763,0,1,0,0,2,1,0,8,0,0.4701360464096069,1.0068036065442847,6,6,0,766.3987493062261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15848133688864,0.1964323775469315,43.85352828735248,464.9063295592003,412.6553171317165,425.0305569171732
4,0,0,6765,0,4,155,155,155,5368,4,2,0,0,False,False,False,False,6675,0,0,0,0,0,342,0,0,609,1095,623,5472,0,0,0,0,58845,8454,5613,0,0,39,165,0,3,3,6,3,4,200,9,0,61480,0,0,2624,0,154,50,65,1,0,1540,0,24,0,0,4,0,16,3,3,8,False,0,0,0,0,0,0,0,0,0.3264242715927746,2,0.1468002484616535,4,2,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1233.1450565834607,0.0,0.0,2,0,0,0.0,0,0,1.0,2,0,0,0,0.0,0,0,0,0,2,75,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,21,0,0,5,0,0,0,4,0,0,2,0,0,0.2013865589235012,0,0,0,0,0,0,0,7,0,-0.0398988127708435,0.7823021894192115,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.26682772009443,-0.2432803816537018,-51.67275306324626,334.99708553714737,441.699860930461,540.5690080345254
13,1,0,13573,0,3,4904,25096,4904,13882,2,1,0,0,False,False,False,False,13025,0,1,0,2,5,785,3,1,1060,1817,1085,6537,16,0,0,0,171063,18741,6131,0,0,73,279,0,5,6,6,3,4,200,12,4,176221,0,4,6017,0,230,157,82,1,0,3340,1230,1160,3,4,3,0,34,1,10,9,True,0,0,1,1,0,0,0,0,0.4323974485765079,1,0.1163050966329575,2,3,0,2,0.0,0.0,0,0,9,7,1,0,0,0,1,804.2351939814524,1,5,1813.931468693631,0.0,0.0,6,0,0,0.0,0,1,9.0,2,0,1,1,0.0,0,0,1,0,13,71,0.0,0,0,44.40000003576279,4,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,20,51,0,0,5,0,4,1,18,0,0,8,0,1,0.2290537202457723,0,2,0,0,3,4,0,9,0,0.3277031183242798,1.1373981981353822,10,4,0,1443.0671661848255,0.0,0.0,0.0,1417.5628303748097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.76653499142394,0.2646185968346916,39.428170928369056,450.84393435710587,696.4761468689084,457.4263219533688
1,0,0,10007,0,6,458,598,458,6319,4,3,0,0,False,False,False,False,6825,0,0,3,0,1,426,0,1,500,1868,645,5096,0,0,0,0,100652,9397,3679,0,0,58,167,0,2,4,6,3,4,100,14,0,106751,0,0,2369,0,209,93,103,1,0,4230,0,30,0,0,9,0,11,3,2,8,False,0,0,0,0,0,150,0,0,0.381953972182695,2,0.1160411592541395,4,4,0,0,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,0,1341.7290258053283,0.0,0.0,1,0,0,0.0,0,0,0.5,0,0,0,1,0.0,0,0,0,0,6,86,0.0,0,0,83.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,23,31,0,0,5,0,1,0,2,0,0,2,0,0,0.1942678077890316,0,0,0,0,0,0,0,10,0,-0.5257077813148499,0.5237314075651959,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.05443186004211,-0.5366210211990039,28.709224634146707,380.1959935194943,449.107076325133,393.7456743047691
6,0,0,15919,0,3,3067,4170,3067,26607,4,2,2,0,False,False,False,False,14750,0,0,2,2,9,886,5,2,1411,2557,1660,7372,12,0,0,0,215453,33482,9807,0,0,66,223,0,6,6,7,4,4,100,23,12,242829,0,0,6655,1320,273,219,133,5,0,24817,523,522,1,1,8,0,28,2,6,10,False,0,0,3,0,0,1150,0,0,0.5956248187112311,2,0.1286743720782546,4,6,0,0,0.0,1320.0001220703125,0,0,12,0,0,0,0,0,0,0.0,0,0,2109.686549626237,0.0,0.0,4,0,0,0.0,0,0,3.75,3,0,2,2,0.0,0,2,0,0,6,70,0.0,0,0,42.19999995827675,0,2.0,0,0.0,0,0,2,1,0,3,0,0,12,0,0,0,0,0,0,33,49,0,2,4,0,4,0,15,0,0,6,0,0,0.2864294076914483,0,0,0,0,1,1,0,12,0,-0.3223748207092285,0.8084359887393743,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.955868282047057,-0.2275219511092959,-214.8376023349527,481.8061717178228,1014.3497385330186,503.44919731709456
6,0,0,9121,0,3,2080,5289,2080,6943,4,1,0,0,False,False,False,False,8700,0,0,0,0,3,670,0,1,545,2208,725,1578,8,0,0,0,97508,11478,6183,0,0,57,166,0,3,3,6,2,4,100,8,8,100572,0,0,1232,0,179,144,62,1,0,856,156,771,1,1,3,0,11,2,3,6,True,0,0,7,1,0,0,0,0,0.0,1,0.151262308507379,4,1,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1376.4288279212633,0.0,0.0,2,0,0,0.0,0,0,2.25,1,0,0,1,0.0,0,1,1,0,6,67,0.0,0,0,11.0,6,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,41,0,0,4,0,2,0,9,0,0,3,0,1,0.2311833806045923,0,0,0,0,1,1,0,7,0,-0.2966296672821045,0.5022435561393273,3,3,0,0.0,0.0,0.0,0.0,1258.7031784348462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-49.56304213929355,0.0871821321711408,22.14426157146977,404.4379111419222,538.7419857515646,371.9625669081723
2,0,0,8602,0,1,988,3907,988,7283,3,0,0,1,False,False,False,False,9000,0,0,1,1,4,658,4,1,957,1902,1024,1216,8,0,0,0,86768,12552,7014,0,0,52,182,0,5,4,6,3,4,200,12,4,90635,0,0,1910,0,166,93,49,1,0,1965,168,243,1,1,7,0,18,0,3,7,False,0,0,1,0,0,300,0,0,0.0,0,0.0995549027228631,3,2,0,1,0.0,0.0,0,0,8,0,1,0,0,0,1,816.1240242505156,0,2,1394.19298000184,0.0,0.0,2,0,0,0.0,1,0,2.0,0,0,1,1,1.0,0,1,0,0,3,69,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,14,27,0,1,6,0,2,0,6,0,0,4,0,0,0.2021632581221378,0,2,0,0,0,1,10,6,0,0.2398213148117065,0.789927037201848,3,3,0,729.8978955667691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232.7367908562929,-0.6024990887551962,-92.1393249303482,401.35046440935423,591.4819625608154,364.68409129368086
1,0,0,8312,0,4,3071,4410,3071,8871,13,0,0,0,False,False,False,False,6275,0,0,2,0,1,437,0,1,225,2554,1170,9668,12,0,0,0,86665,11897,8826,0,0,64,138,0,8,2,4,5,6,200,12,6,91230,0,4,1602,0,127,95,315,1,0,2010,0,271,1,1,10,0,11,0,2,6,False,0,0,3,0,0,0,1,0,0.0,0,0.2235115050024113,13,10,0,0,0.0,0.0,0,0,9,1,0,0,0,0,1,592.7973105152134,0,0,1451.6954310919311,0.0,0.0,1,0,0,0.0,0,0,0.1538461538461538,0,0,0,0,0.0,0,0,0,0,8,46,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,31,0,1,6,0,0,0,2,0,0,2,0,0,0.2201045313138428,0,1,0,0,0,1,5,5,0,-0.6808351278305054,0.469640848862853,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.32846598743163,-0.6612957369976088,-121.71974659112236,282.45594166510364,540.113293192797,775.6172375310705
9,0,5,11487,0,9,8061,26378,8061,15188,3,6,0,0,False,False,False,False,10025,0,1,0,2,7,568,5,1,695,2739,2105,3030,12,0,0,0,107319,17524,9539,0,0,71,181,0,6,5,6,4,4,200,11,4,112579,0,0,5644,0,146,109,66,1,0,2520,232,182,2,4,1,0,37,8,7,14,True,0,0,3,1,0,0,0,0,0.3970990480661189,6,0.1318530235557643,3,2,0,1,0.0,0.0,0,0,7,0,0,1,0,0,1,740.9017038157859,0,0,1476.474508419691,0.0,0.0,3,0,0,0.0,0,0,5.333333333333333,2,0,1,3,0.0,0,1,0,0,2,67,0.0,0,0,2.0,3,1.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,1,0,1,15,37,0,0,4,0,0,0,16,0,0,4,0,1,0.2195241243684484,0,2,0,0,3,4,0,5,0,1.3007736206054688,1.5211902914247344,7,7,0,1403.7107199564375,0.0,0.0,0.0,1313.8124805741147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-16.01111286730071,0.0406373423027936,38.48356316074561,453.26891604536064,807.0982554757852,518.207389045225
