assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,0,15039,0,4,2371,11111,2371,8866,4,3,0,0,False,False,False,False,9875,0,1,1,1,2,336,2,1,930,1769,1069,4834,16,0,0,0,144651,7857,10298,0,0,41,90,16,9,5,6,3,4,100,23,13,169196,0,0,2289,0,230,695,151,1,0,22777,910,223,1,3,7,0,26,3,0,14,True,0,0,6,1,0,0,0,0,0.3168961547952995,3,0.1234029672249301,4,0,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,2,1926.4700713427933,0.0,0.0,1,0,0,0.0,0,0,3.0,1,0,0,1,0.0,0,0,0,0,8,61,0.0,0,1,42.79999998211861,5,3.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,52,0,0,7,0,0,0,12,0,0,3,1,1,0.099009353981534,0,1,0,0,0,3,0,11,0,-0.2347873449325561,0.8402236595397278,0,0,0,0.0,0.0,0.0,0.0,1858.484748182787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.869621237045404,0.0,104.05560043830572,396.4452972101746,306.37382266136285,478.26333442999777
8,0,3,14566,0,5,4175,26505,4175,10549,3,4,1,0,False,False,False,False,13100,1,1,0,3,8,408,3,2,510,2646,2064,3521,28,0,0,0,164489,13582,10703,0,0,28,101,21,9,4,4,6,6,100,37,14,184581,0,12,4520,0,217,698,79,1,0,17446,1126,378,3,3,2,0,38,4,8,12,True,0,0,10,2,0,150,1,0,0.7699932882098091,4,0.1020004542580554,3,7,0,3,0.0,0.0,0,0,6,10,0,0,0,0,1,988.2853436936904,0,1,1842.9206584959743,0.0,1.0,3,0,0,0.0,0,0,5.333333333333333,0,0,2,1,0.0,0,1,0,0,12,56,0.0,0,0,3.0000000596046448,3,2.0,0,0.0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,40,64,0,0,5,0,0,0,16,0,0,6,0,2,0.1650220032857319,0,2,0,0,2,3,5,9,0,0.2743862867355346,1.2402125487549087,8,3,0,884.5891421533222,0.0,0.0,0.0,1334.364014993119,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,128.27464867257407,0.2604561394366986,62.672258551955615,463.8723843367603,546.0788533464683,475.46268254169337
8,0,0,13240,0,7,2593,5671,2593,6853,2,2,2,1,False,False,False,False,11050,0,0,0,1,6,392,6,2,892,3699,2789,3711,8,0,0,0,126836,15323,8305,0,0,33,76,14,8,4,6,4,4,100,37,4,159513,0,0,1164,0,241,712,67,1,0,28976,2466,904,1,1,2,0,24,4,6,6,True,0,0,1,0,0,0,0,0,0.4440586268064126,2,0.1285489058136487,2,2,0,1,0.0,0.0,0,0,6,0,0,0,0,0,1,859.5382999453725,1,4,1657.459687919472,0.0,0.0,2,0,0,0.0,0,0,7.0,1,0,1,1,0.0,0,0,0,0,11,73,0.0,0,0,11.0,1,2.0,0,0.0,0,0,2,1,0,0,0,0,8,0,0,0,1,0,0,17,48,0,0,4,0,0,0,14,0,0,1,0,0,0.2340740928079802,0,2,0,0,2,1,5,11,0,0.405136227607727,0.8851521899832053,6,3,0,1066.5274854316929,0.0,0.0,0.0,0.0,0.0,20.651389696180104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.95654982949762,0.2895998035418409,80.40014545830358,444.4632984858403,744.9954946113858,467.7398826955158
11,1,2,11092,0,7,4196,10892,4196,7991,3,4,2,0,False,False,False,False,8850,0,1,0,2,5,246,3,2,529,11019,3871,5693,8,0,0,0,113280,14419,7456,0,0,35,81,14,8,5,6,3,4,200,46,4,133433,0,0,3590,0,205,773,64,1,0,9134,252,302,1,3,2,0,31,4,6,10,True,0,0,1,1,0,0,0,0,0.4741958264689162,4,0.1884837155261312,3,3,0,0,0.0,0.0,0,0,6,1,0,0,0,0,1,823.8939919065893,0,3,1459.8266812644574,0.0,1.0,3,0,0,0.0,0,0,5.333333333333333,2,0,1,2,0.0,0,0,0,0,11,82,0.0,0,0,38.0,1,2.0,0,0.0,0,0,2,0,0,0,0,0,16,0,0,0,1,0,0,20,63,0,0,5,0,6,0,16,0,0,6,0,1,0.2541043192072779,0,2,0,0,1,3,0,9,0,1.3785619735717771,1.309274323817603,6,4,0,0.0,0.0,0.0,0.0,1298.7634576236392,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.72582932666948,0.4521084649777246,119.7676424495536,441.0112572009987,762.0904688742701,552.9286526677573
0,0,0,7283,0,5,0,0,0,3752,6,0,0,0,False,False,False,False,6175,0,0,0,0,0,229,0,0,600,332,332,7835,0,0,0,0,55072,4383,3446,0,0,2,43,6,7,3,6,2,4,200,16,0,58762,0,0,203,0,154,375,128,1,0,3358,164,323,0,0,5,0,13,1,3,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1106204070984038,6,0,0,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0,0,1378.3526955,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,9,68,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,5,0,0,0,0,0,0,0,0,0,0.103984486683822,0,1,0,0,0,0,0,6,0,-0.5488166809082031,0.5833954693437187,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.36005477090168,-0.565892897040444,-148.9168923673353,286.3853361253139,212.4274875044128,505.1682361657194
15,0,0,13915,0,7,5956,9226,5956,18918,8,5,2,0,False,True,False,False,13325,0,0,1,3,9,144,4,3,475,7237,2869,10598,20,0,0,0,142932,21208,20270,0,0,39,99,19,12,8,6,5,4,200,61,16,166315,0,0,8261,0,146,762,224,1,1,16146,330,705,3,3,8,0,49,5,7,16,False,0,0,19,0,0,0,0,0,0.7366406402568378,5,0.1608615292629704,8,4,0,1,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,1,2076.9075608401467,1.0,0.0,3,0,0,0.0,0,0,3.0,6,0,1,0,1.0,0,1,0,0,11,34,0.0,0,0,0.0,0,1.0,0,0.0,0,0,3,0,0,1,0,0,19,0,0,0,0,0,1,22,65,0,0,6,0,2,0,24,0,5,7,0,0,0.1437941924583466,0,1,0,0,2,3,0,6,0,-0.0826467275619506,1.42854299712251,7,2,1,888.1759535395951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.36958642567406,-0.231112837687312,-88.9206643001933,397.48519171746574,705.096378679278,912.1445921423988
8,0,2,13596,0,2,5446,17880,5446,10459,4,0,0,0,False,False,False,False,9550,0,1,0,2,7,346,3,1,766,3274,2003,5905,20,0,0,0,127636,13765,11454,0,0,29,70,12,11,2,1,2,4,200,38,12,133115,0,4,5671,0,163,862,137,1,0,2204,358,110,2,2,2,0,22,0,8,6,True,0,0,10,0,0,0,1,0,0.0,0,0.1495391302588087,4,1,0,1,0.0,0.0,0,0,10,1,0,0,0,0,1,1008.8268806609142,0,0,1733.2237808387486,0.0,0.0,5,0,0,0.0,0,0,3.75,2,0,1,1,0.0,0,2,0,0,7,67,0.0,0,0,21.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,1,9,51,0,1,5,0,0,0,15,0,0,5,0,1,0.1394218676632609,0,0,0,0,2,2,0,7,0,1.3576350212097168,0.7890480781706872,10,3,0,1495.2634274813745,0.0,0.0,0.0,1558.9348775801757,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.635413985262806,0.1038527176870915,35.37915915873586,391.8016862608341,558.2429751406795,604.7689926644965
8,0,0,9713,0,2,615,615,615,13881,6,1,0,0,False,False,False,False,9275,0,0,3,1,4,179,3,1,743,3854,2057,5261,0,0,0,0,85409,12151,13002,0,0,34,83,12,10,4,1,4,4,100,48,0,105924,0,0,4323,0,157,727,187,1,0,16660,0,1445,0,0,9,0,20,1,2,9,False,0,0,0,0,0,0,0,0,0.0,1,0.1353574891044115,6,11,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,872.2938025699647,0,0,1606.9021939204924,0.0,1.0,2,0,0,0.0,0,0,2.0,1,0,1,3,0.0,0,1,0,0,13,47,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,57,63,0,1,8,0,2,0,12,0,0,8,0,0,0.1818249233931035,0,0,0,0,1,0,0,6,0,-0.120263397693634,0.7703691438813797,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.98704456403746,-0.3360503221932364,-41.70757887664946,361.5154688305461,530.5114419690559,735.8755277538115
10,0,0,12824,0,5,4811,11197,4811,12655,4,3,2,0,False,True,False,False,14625,0,0,1,2,10,342,5,2,832,2276,1776,8016,4,0,0,0,138281,18603,10382,0,0,20,91,19,12,5,7,3,4,100,39,4,157901,0,0,8145,824,207,663,165,3,0,17343,404,2064,1,3,7,0,30,3,6,13,False,0,0,1,0,0,675,0,0,0.6227298833023197,3,0.1400143148176885,4,6,0,2,0.0,824.0000610351562,0,0,10,0,0,0,0,0,0,0.0,0,1,1831.2246463089,0.0,1.0,1,0,0,0.0,0,0,5.0,1,0,2,0,0.0,0,2,0,0,4,54,0.0,0,0,27.0,0,2.0,0,0.0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,34,71,0,0,7,0,0,0,20,0,0,11,0,1,0.2424770222386711,0,1,0,0,2,3,0,8,0,-0.1365588903427124,0.986751784530789,6,3,0,707.2595174230121,0.0,0.0,0.0,1502.8816815077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.61985080791705,0.0655299175018627,36.40186917228476,476.0748506510328,680.9869026793576,670.4693509203087
14,0,2,15752,0,4,7750,14698,7750,9332,6,3,0,0,False,True,False,False,12575,1,2,0,2,8,4452,2,1,350,4110,2446,4828,12,0,0,0,186409,16939,12514,0,0,44,121,16,12,7,6,4,4,200,53,4,208293,0,4,4724,0,259,923,166,1,0,17773,594,726,1,4,2,0,32,3,10,9,True,0,0,1,0,0,0,1,0,0.7884151297168213,3,0.1720975312998017,6,4,0,1,0.0,0.0,0,0,9,2,0,0,0,0,0,0.0,1,0,1814.698435797047,0.0,0.0,7,0,0,0.0,0,0,3.6666666666666665,0,0,0,4,0.0,0,1,0,0,6,77,0.0,0,0,52.75,1,2.0,0,0.0,0,0,0,0,0,1,1,0,18,0,0,0,0,0,1,26,71,0,0,5,0,1,0,22,0,0,8,0,1,0.1832301777791326,0,0,0,0,3,4,0,12,0,1.704664945602417,1.0869956750306573,10,5,0,1079.2561488302215,0.0,0.0,0.0,1447.6943202938105,0.0,23.263313896266936,0.0,0.0,0.0,0.0,1.0,1699.309567879763,0.0,0.0,281.53438054604584,0.5290135159996164,220.3671927585902,496.54531145514,660.605628104521,597.4215762873168
