assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,2,14645,0,1,11820,28221,11820,9063,1,0,0,0,False,False,False,True,11800,1,1,0,2,4,1089,2,1,1356,5094,1643,2877,16,0,0,0,194237,15950,12011,0,0,77,34,14,6,2,4,3,7,200,22,12,202790,0,0,8661,370,222,70,39,3,0,3459,398,395,5,6,1,0,18,0,4,7,True,0,0,8,1,0,0,0,0,0.0,0,0.127542913071407,1,4,0,4,0.0,370.0000305175781,0,0,14,1,0,0,0,0,1,803.2193596065293,0,1,1725.3816263511014,0.0,0.0,6,0,0,0.0,1,1,16.0,1,0,0,2,0.0,0,0,0,0,5,86,0.0,0,0,25.00000002980232,4,3.0,0,0.0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,1,27,21,0,1,4,0,0,1,16,0,0,3,0,1,0.234619324723112,0,0,0,0,5,6,0,10,0,-0.2645387053489685,0.6484835086183045,4,3,0,415.21150190132136,0.0,0.0,0.0,1579.7656852835105,0.0,32.58118621316771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,130.6493569638424,0.3825240688321177,190.04491237886575,472.1738006002268,625.6355020326027,531.4998061845534
6,0,0,12381,0,7,568,1476,568,7437,4,5,0,0,False,False,False,False,10300,0,0,1,1,4,912,2,1,781,1122,1004,4233,0,0,0,0,115588,13702,9164,0,0,62,57,30,7,5,7,2,4,100,16,0,118720,0,0,3407,426,187,52,111,3,0,2010,0,301,0,0,7,0,25,6,4,14,False,0,0,0,0,0,600,0,0,0.3572345275153128,5,0.1206214716955758,4,6,0,1,0.0,426.8399658203125,0,0,11,0,0,0,0,0,0,0.0,0,1,1813.931468693631,0.0,0.0,3,0,0,0.0,0,0,2.5,2,0,0,0,0.0,0,1,0,0,6,61,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,34,21,0,0,3,0,0,0,10,0,0,2,1,0,0.1571387682940674,0,0,0,0,0,0,0,8,0,-0.2468196153640747,0.856666039350207,4,2,1,399.38735162238856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.76653499142394,-0.2646185968346916,-39.428170928369056,356.0773993656819,486.4682129559762,453.1262697548051
8,0,3,14059,0,7,4106,21498,4106,8064,1,2,1,0,False,False,False,False,13025,2,3,0,2,6,982,3,2,1409,3867,2062,5231,8,0,0,0,167659,19423,9404,0,0,58,39,12,6,4,1,4,4,100,16,8,178589,0,0,4927,0,260,69,42,1,0,7062,738,503,2,3,3,0,26,3,11,7,True,0,0,2,1,0,0,0,0,0.5055421138775131,2,0.1250619795210675,1,4,0,2,0.0,0.0,0,0,7,0,0,0,0,0,1,971.430439699758,1,0,1754.062657358076,0.0,0.0,3,0,0,0.0,0,0,14.0,1,0,2,4,0.0,0,0,0,0,6,80,0.0,0,0,28.0,0,3.0,0,0.0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,25,26,0,0,5,0,0,0,14,0,0,2,0,1,0.2603277062336661,0,0,0,0,1,3,0,11,0,0.2968461513519287,0.8945222966558909,13,10,0,1326.1828917581718,0.0,0.0,0.0,1516.6683557969925,0.0,31.21418185204948,0.0,0.0,1.0,0.0,1.0,1638.2206238631156,0.0,0.0,73.30410887012661,0.3078567334723003,91.7413065747455,458.364469836536,760.2008938542668,517.8150257004091
10,0,2,15849,0,2,10511,24438,10511,7370,3,1,2,1,False,False,False,False,13025,1,1,0,3,13,1411,8,2,816,5431,2260,7536,16,0,0,0,170595,24214,6058,0,0,47,34,17,10,3,1,4,4,200,16,4,178482,0,4,4261,0,196,117,75,1,0,2456,488,360,5,5,4,0,20,1,3,10,True,0,0,1,1,0,0,1,0,0.459777025632108,1,0.1372191684723191,3,31,0,2,0.0,0.0,0,0,10,1,0,0,0,0,0,0.0,0,1,1717.4497194492387,0.0,0.0,6,0,0,0.0,0,0,7.666666666666667,4,0,2,1,0.0,0,2,0,0,2,54,0.0,1,0,43.0,3,3.0,0,0.0,0,0,2,0,0,1,0,0,18,0,0,0,1,0,1,158,22,0,2,8,0,0,0,23,0,0,7,0,2,0.2202029061606581,0,1,0,0,4,5,5,8,0,0.0965970754623413,0.7154849759004488,3,0,0,1126.892027492454,0.0,0.0,1537.7709382864357,1249.9066146114487,0.0,28.69536977198618,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,169.05298403327222,0.4192262468277054,156.9652939164067,545.029056396586,941.931505580716,487.52518954005245
5,0,0,12574,0,1,1292,4599,1292,11291,7,0,0,0,False,False,False,False,10350,0,0,1,2,7,1017,4,1,637,1745,1337,11070,4,0,0,0,105494,16528,10346,0,0,63,26,18,7,3,1,4,4,100,16,4,112563,0,0,4725,0,178,84,198,1,0,5324,296,598,0,0,6,0,9,0,1,6,False,0,0,1,0,0,150,0,0,0.0,0,0.1538917563357132,7,12,0,0,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,1,1733.2237808387486,0.0,0.0,3,0,0,0.0,0,0,1.7142857142857142,2,0,1,0,0.0,0,2,0,0,7,57,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,1,0,0,1,0,0,62,37,0,2,4,0,0,0,12,0,0,1,1,0,0.1970975012933057,0,1,0,0,1,0,0,7,0,-0.5758461356163025,0.3346777801225686,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.635413985262806,-0.1038527176870915,-35.37915915873586,379.1662722755713,628.7243528776523,762.1058599604403
11,0,6,15502,0,10,7867,25348,7867,9243,5,6,2,0,False,False,False,True,14500,0,1,0,3,12,1581,6,2,946,4320,2503,6132,35,0,1,0,226670,30097,11315,0,0,69,56,28,6,4,7,5,4,200,33,16,234720,0,15,5526,590,210,151,126,3,0,3729,728,694,3,4,4,0,40,6,11,18,True,0,0,7,2,0,300,2,0,0.558515474117457,6,0.1542929953995434,5,0,0,3,0.0,590.0,0,0,18,12,0,0,0,0,1,772.5193808,0,0,2021.3461761,0.0,0.0,7,0,0,0.0,0,1,4.6,7,0,2,0,0.0,0,2,0,0,8,60,0.0,0,0,38.400000005960464,8,1.0,0,0.0,0,0,2,0,0,1,0,0,18,0,0,0,1,1,1,6,35,0,0,5,0,0,1,23,0,0,8,0,1,0.2572973738437531,0,1,0,0,7,4,5,10,0,0.3906657695770263,1.1879127334640844,11,6,0,713.9669338,0.0,0.0,0.0,1302.8269814,1.0,20.03273379999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.42498252039016,0.3265150758458449,45.29654597643266,490.6927926188783,989.3109966241968,538.512409635938
1,0,0,4874,0,1,580,580,580,3045,4,0,0,0,False,False,False,False,4525,0,0,0,0,0,0,0,0,329,240,240,981,0,0,0,0,42200,5247,5638,0,0,25,15,6,0,2,4,3,6,200,4,0,43981,0,0,447,0,111,20,63,1,0,1540,0,380,0,0,0,0,6,0,0,5,False,0,0,0,0,0,0,0,0,0.0,0,0.15226727239217,4,1,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,7,61,0.0,0,0,30.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,11,0,0,5,0,2,0,1,0,0,1,0,0,0.1927929293662185,0,0,0,0,1,0,0,5,0,-0.2862062454223633,0.4444225136533594,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0429946483653,-0.524567792579983,-55.99761185791319,302.1510485260702,359.8535057098684,458.9968185074851
15,0,1,12905,0,1,9626,10021,9626,8638,6,0,0,0,False,False,True,False,11375,1,1,1,0,2,888,0,1,520,5827,1771,4299,8,0,0,0,161204,17661,9811,0,0,63,39,12,8,4,4,4,6,200,13,0,169822,0,8,2640,0,209,68,198,1,0,2790,161,877,4,7,6,0,25,0,5,10,True,0,0,0,0,0,150,1,0,0.0,0,0.1014329386601099,6,4,0,0,0.0,0.0,0,0,9,7,0,0,0,0,1,757.9321239999999,2,6,1952.0392955,0.0,0.0,4,0,0,0.0,0,1,2.833333333333333,2,0,0,0,0.0,0,0,0,0,3,55,0.0,0,1,11.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,26,26,0,0,6,0,0,0,17,0,0,5,0,1,0.1802204867157423,0,2,0,0,7,7,5,8,0,-0.2507261633872986,0.7795588299924757,5,3,0,0.0,0.0,0.0,0.0,1795.4589763,0.0,7.866500999999971,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-95.80749753918056,-0.0307370861530896,18.99551924260943,385.1664265843669,602.2317289974864,460.6874472625083
1,0,0,8494,0,1,0,536,0,6384,9,0,0,0,False,False,False,False,6450,0,0,1,0,1,521,0,1,340,1341,420,8741,4,0,0,0,89390,5034,7928,0,0,49,35,20,4,4,4,5,1,200,9,4,90908,0,0,2096,0,154,59,161,1,0,176,66,513,0,0,10,0,12,0,2,7,False,0,0,1,0,0,0,0,0,0.0,0,0.1827327722121704,9,1,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,1442.1344419776929,0.0,0.0,0,0,0,0.0,0,0,0.2222222222222222,0,0,0,0,0.0,0,0,0,0,6,41,0.0,0,0,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,17,0,0,7,0,0,0,2,0,0,1,0,0,0.1122727367605793,0,1,0,0,0,0,5,7,0,-0.2848612070083618,0.5407568076380991,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-245.96874582202568,-1.0401249400457784,-105.51027391824375,299.4311677403787,229.6595867621079,714.8986737922644
8,0,0,18511,0,6,4785,8174,4785,22273,8,0,0,1,False,False,True,False,22570,0,0,4,4,11,2198,4,1,463,6897,3364,9943,32,0,0,0,353487,50849,17476,0,0,71,89,30,7,8,6,4,4,100,49,20,364475,0,4,7466,0,314,136,258,1,0,4090,900,2038,3,4,11,0,45,0,12,14,False,0,0,12,1,0,375,1,0,0.0,0,0.1400176180053181,8,9,0,1,0.0,0.0,0,0,29,1,0,0,0,0,1,753.8127016913548,0,2,2589.488594107029,0.0,0.0,4,0,0,0.0,1,1,2.375,2,0,2,1,0.0,0,1,0,0,4,56,0.0,0,0,72.60000002384186,0,2.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,47,24,0,1,5,0,8,0,19,0,0,6,0,2,0.319937006525964,0,2,0,0,6,4,10,14,0,-0.1866130232810974,1.0445940766749262,12,3,0,1363.8555551004447,0.0,0.0,0.0,1805.2116914425817,0.0,49.3302949801589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.5628759096925,-0.5097531624599393,-39.714405475288,477.5692014300822,1277.001183757029,682.5826551321524
