assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
13,0,4,22269,0,9,5803,20151,5803,22417,9,3,1,1,True,False,False,False,17800,0,1,1,3,11,1933,4,2,713,21752,4281,12655,12,0,0,0,288349,34309,26098,0,0,119,55,71,54,7,7,5,4,200,39,8,312494,0,0,13200,1086,299,276,384,3,0,2392,934,1537,1,4,6,0,23,4,5,11,True,0,0,7,1,0,600,0,0,0.1890154493812043,3,0.184978666453998,9,22,0,2,0.0,1086.159912109375,0,0,15,2,0,0,0,0,0,0.0,0,1,2660.34973680319,0.0,0.0,8,0,0,0.0,0,0,2.6666666666666665,2,0,2,1,0.0,0,4,1,0,0,76,0.0,0,1,43.0,8,1.0,0,0.0,0,0,1,0,0,1,0,0,20,0,0,0,0,1,0,113,20,0,2,3,0,2,0,24,0,0,5,0,3,0.2081064284481638,0,2,0,0,3,4,0,14,0,-0.4517531394958496,0.5200058860061821,5,1,0,2203.7089210926574,0.0,0.0,0.0,1413.0385373198897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.12901034352698,0.1578739795710819,48.71539941050528,455.1055762521232,891.4015955096346,908.7000729854946
6,0,3,16414,0,5,2990,12749,2990,16544,3,2,0,0,False,False,False,False,12350,0,0,2,1,4,1132,3,1,833,14817,2061,14043,8,0,0,0,228382,20575,6830,0,0,102,49,54,43,8,6,4,4,100,32,8,258502,0,0,8055,0,270,218,82,1,0,15302,247,1408,1,1,10,0,28,2,2,10,False,0,0,7,0,0,0,0,0,0.542458613240736,2,0.1660812938452774,3,9,0,1,0.0,0.0,0,0,16,0,0,0,0,0,1,980.2026365,0,0,2258.5714589,0.0,0.0,5,0,0,0.0,0,0,3.333333333333333,1,0,1,1,0.0,0,1,0,0,0,57,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,46,22,0,1,3,0,8,0,10,0,0,2,0,0,0.2128307254230303,0,2,0,0,1,1,0,12,0,-0.2938283681869507,0.7591450062681612,2,1,1,581.2415374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.37950572315187,0.0796963936167271,-45.08159332252864,356.6413614348538,607.9240905083944,591.9316808559712
8,0,0,12135,0,6,152,1001,152,9431,7,2,3,1,False,False,False,False,13700,0,0,2,3,9,1044,3,2,387,10950,3152,11716,8,0,0,0,128819,23057,7622,0,0,71,29,27,21,4,4,4,6,100,27,4,145915,0,0,2054,0,199,141,181,1,0,6145,334,1604,0,0,10,0,12,2,1,8,False,0,0,1,0,0,1600,0,0,0.4566643769788566,2,0.1799239437081021,7,4,0,1,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,3,1531.4825823,0.0,0.0,8,0,0,4.0,0,0,2.4285714285714284,1,0,1,1,1.0,0,4,0,0,0,80,0.0,0,0,26.0,0,1.0,0,0.0,0,0,3,1,0,0,0,0,14,0,0,0,0,0,0,20,9,0,0,4,0,3,0,17,0,0,6,0,0,0.3803473539348991,0,0,0,0,1,0,0,9,0,-0.0582486987113952,0.5003116429465456,1,1,0,540.0603775,0.0,0.0,0.0,0.0,0.0,29.756780600000184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.979443068655264,-0.3917772274621056,-66.56295094581174,546.098277359429,1039.894294852667,820.4990474738877
7,0,1,13342,0,4,4376,15356,4376,8729,5,1,0,0,False,False,False,False,12075,0,0,0,1,8,4452,6,1,842,6287,1250,2990,15,0,0,0,143813,17865,9336,0,0,67,26,53,16,3,1,4,4,200,26,8,156170,0,7,1331,0,201,131,116,1,0,6070,552,239,1,4,2,0,17,1,0,7,True,0,0,7,1,0,450,1,0,0.1819115550108074,1,0.1243229484832924,5,0,0,1,0.0,0.0,0,0,11,5,0,0,0,0,1,850.6830556908255,0,2,1838.54117575054,0.0,0.0,3,0,0,0.0,0,0,3.0,2,0,1,0,0.0,0,1,0,0,0,71,0.0,0,0,14.0,5,1.0,0,0.0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,9,0,0,3,0,0,0,15,0,0,2,0,1,0.1786873133710421,0,0,0,0,1,4,0,9,0,0.1903194189071655,0.56856510290365,0,0,0,1519.2155480564645,0.0,0.0,0.0,1303.2528411456046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-20.266067734267363,0.0,29.76272749380328,446.34300869818793,641.8567152939943,410.08600184992537
13,0,0,18066,0,7,8943,14146,8943,23657,9,1,1,0,False,False,False,False,19195,1,1,0,5,15,1719,6,2,560,14910,4615,8150,12,0,0,0,244390,44784,28874,0,0,113,57,88,41,7,4,8,6,200,62,8,263688,0,4,11969,0,239,296,257,1,0,4387,2476,3477,3,6,6,0,40,1,15,15,True,0,0,2,0,0,300,0,0,0.570810121630024,1,0.1692111346372728,9,9,0,1,0.0,0.0,0,0,28,6,0,0,0,0,0,0.0,0,5,2457.9741271068447,0.0,0.0,8,0,0,0.0,0,0,3.111111111111111,7,0,1,1,0.0,0,2,1,0,0,41,0.0,0,0,2.0,2,1.0,0,0.0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,47,28,0,2,5,0,6,0,28,0,0,6,0,0,0.2948202456739922,0,0,0,0,2,6,0,10,0,0.1599711179733276,0.9937970482733216,15,2,0,1082.985540502405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.02421770841267,0.0488206928936415,-45.57411681621441,445.4644123080326,1266.3111322752752,988.6678517891356
16,0,0,14207,0,8,1815,11201,1815,8934,5,3,1,0,False,False,True,False,14725,0,0,2,2,9,1191,6,2,697,8715,1904,6300,6,0,0,0,141622,19707,10867,0,0,83,50,62,34,6,7,5,4,200,42,6,153570,0,0,6031,844,199,146,144,4,0,3232,1287,500,1,2,11,0,32,3,9,13,False,0,0,2,0,0,300,0,0,0.0510234016816451,3,0.1376253122656415,5,12,0,2,0.0,844.0,0,0,17,1,0,0,0,0,1,715.6224672073657,0,3,2049.307916040212,0.0,0.0,6,0,0,0.0,0,1,5.0,2,0,1,0,0.0,0,1,1,0,0,61,0.0,0,0,7.0,0,2.0,0,0.0,0,0,1,0,0,1,0,0,24,0,0,0,1,0,0,60,19,0,0,7,0,5,0,25,0,0,9,0,0,0.1908807593674136,0,2,0,0,2,2,0,8,0,0.3158856630325317,0.9624704813886742,9,6,0,925.9336513916317,0.0,0.0,0.0,0.0,0.0,11.650644258128978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.19292694557438,0.1756690623123206,-43.33170203703909,443.4765478074535,670.4409763149717,517.2868321556803
12,0,1,13018,0,6,3694,13850,3694,9111,4,2,2,1,False,False,False,False,11350,1,1,0,2,10,1055,7,2,601,11057,2500,7145,6,0,0,0,139380,19902,10104,0,0,63,46,43,40,5,6,3,4,200,27,0,150883,0,2,4979,0,199,219,78,1,0,446,148,98,0,2,2,0,27,2,7,12,True,0,0,0,1,0,0,0,0,0.2953339291518187,2,0.1510872323281826,4,2,0,1,0.0,0.0,0,0,14,1,0,0,0,0,0,0.0,0,3,1637.350081732268,0.0,0.0,4,0,0,0.0,0,0,5.5,4,0,1,9,0.0,0,1,0,0,0,79,0.0,0,0,31.599999994039536,3,3.0,0,0.0,0,0,2,0,0,1,1,0,13,0,0,0,0,0,0,17,23,0,0,9,0,0,0,22,0,0,3,0,1,0.2281179516164642,0,0,0,0,0,2,0,9,0,0.6684441566467285,1.0180511465001731,7,5,0,940.1149611866764,0.0,0.0,0.0,1414.1859302652688,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,147.67764248937084,0.6229577971015643,142.65733553625822,459.2298301927532,826.3351955670751,635.7467542302965
5,0,1,6955,0,5,2569,3361,2569,2963,2,1,1,0,False,False,False,False,5925,0,0,0,1,4,584,2,2,634,761,761,975,1,0,0,0,62140,3874,5132,0,0,32,23,24,16,3,6,2,4,100,21,0,62907,0,0,1006,0,130,58,51,1,0,5,0,85,0,0,1,0,16,1,4,7,True,0,0,0,0,0,0,0,0,0.0,1,0.1383845412413507,2,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,1,569.4745878,0,0,1037.5141715,0.0,0.0,2,0,0,0.0,0,0,4.5,2,0,0,3,0.0,0,1,0,0,0,73,0.0,0,0,13.0,1,2.0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,6,0,0,5,0,0,0,9,0,0,8,0,0,0.0997454761249437,0,2,0,0,2,0,10,6,0,0.1701554059982299,0.9675638425005292,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-10.236004761887727,0.231322141511587,82.69766559039238,428.1772839379476,268.1023620119294,358.2023361306926
0,0,1,5306,0,3,295,295,295,2427,2,0,0,0,False,False,False,False,4300,0,0,0,0,1,398,0,1,617,4804,165,3347,0,0,0,0,43466,4892,3284,0,0,36,17,24,5,3,7,1,4,100,12,0,48270,0,0,1527,258,109,76,37,2,0,0,0,130,0,0,3,0,9,0,1,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1397955425823104,2,0,0,0,0.0,258.0,0,0,7,0,0,0,0,0,0,0.0,0,0,953.7159018982828,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,1,0,0,0,68,0.0,0,0,18.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,1,5,0,0,0,1,0,0,1,0,0,0.2087584705036621,0,1,0,0,0,0,0,4,0,0.4845041036605835,0.5956295472466548,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.21256628701887,-0.1887354500871032,-38.75367908455186,300.7813956221469,318.1450570301604,425.4097044963307
6,0,0,15082,0,4,3263,8926,3263,10645,3,1,3,0,False,False,False,False,14075,0,0,1,1,9,1440,8,2,1607,6821,3277,11245,4,0,0,0,174595,20621,9159,0,0,98,37,54,25,6,7,6,4,200,27,4,183763,0,0,6814,794,229,115,99,3,0,2346,216,737,1,2,4,0,31,1,5,13,True,0,0,1,0,0,750,0,0,0.6418086565396628,1,0.1270129974236251,3,1,0,1,0.0,794.2000122070312,0,0,10,0,0,0,0,0,1,823.215858587049,0,0,1921.66081868455,0.0,0.0,2,0,0,0.0,0,0,5.0,1,0,1,5,0.0,0,1,0,0,0,66,1.0,1,1,40.0,16,2.0,0,0.0,0,0,3,1,0,2,0,0,11,0,0,0,0,1,0,11,13,0,3,5,0,1,0,15,0,0,7,0,0,0.2548957894989148,0,2,0,0,4,2,5,11,0,0.6443309783935547,0.9689769605016678,5,3,0,1343.1205423075212,0.0,0.0,1327.0605632994327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.19176881642996,-0.1873379508494291,-2.3729473774261027,451.0161166700007,752.9112244638558,660.1164928097719
