assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,2,14077,0,7,8179,20395,8179,12249,6,1,1,0,False,False,False,True,13425,1,1,1,3,10,723,5,2,872,6001,2151,6028,24,0,0,0,212118,34254,15235,0,0,175,48,20,11,3,4,6,6,200,20,12,238507,0,0,5829,0,236,82,229,1,0,20387,2863,1118,3,5,6,0,26,1,6,7,True,0,0,10,0,0,450,0,0,0.0,1,0.1464703198203427,5,15,0,1,0.0,0.0,0,0,8,0,0,0,0,0,1,668.8620039991789,1,4,2020.2081382529825,0.0,0.0,3,0,0,0.0,0,1,3.6666666666666665,5,0,2,5,0.0,0,0,0,0,3,79,0.0,0,1,15.0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,3,79,40,0,0,5,0,2,1,22,0,0,8,0,0,0.2913088736851508,0,0,0,0,5,5,0,10,0,0.167432427406311,0.7852379934709662,6,4,1,1428.7097424863337,0.0,0.0,0.0,0.0,0.0,40.59122461547827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54584698681398,0.356398920668954,-27.11601788089625,488.2962212265228,1166.2857679790964,664.7730867777665
4,0,0,11702,0,8,2027,5182,2027,9386,6,2,1,0,False,True,False,False,11630,0,0,4,2,6,614,2,2,557,2794,826,10214,8,0,0,0,165330,16119,8959,0,0,115,46,12,7,5,7,4,4,100,12,8,186169,0,0,4566,426,236,36,153,2,0,18044,1470,218,0,0,9,0,17,4,7,7,False,0,0,12,0,0,0,0,0,0.6960499632062627,2,0.1779282973046977,6,0,0,0,0.0,426.0,0,0,5,0,0,0,0,0,0,0.0,0,0,1698.1359797364723,0.0,0.0,0,0,0,0.0,0,0,1.6666666666666667,3,0,0,2,0.0,0,0,0,0,4,56,0.0,0,0,33.60000005364418,0,1.0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,6,21,0,0,3,0,2,0,10,0,1,6,0,0,0.2269574201063831,0,0,0,0,3,0,0,10,0,0.0189266204833984,0.6093781360971898,7,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.267979148236726,-0.1059985785284012,-50.879317693632586,417.70506512091976,650.6899407263456,685.1748116075855
11,0,4,11861,0,2,7767,15530,7767,4503,2,1,1,1,False,True,False,False,11725,1,2,0,2,7,664,4,2,562,5313,2087,3076,24,0,0,0,147203,14508,6023,0,0,153,40,9,5,3,4,4,6,100,11,12,155715,0,4,2864,0,194,50,37,1,0,3199,132,640,2,6,3,0,22,1,3,7,True,0,0,5,1,0,0,0,0,0.2625570910077582,1,0.152770985544018,2,6,0,1,0.0,0.0,0,0,6,6,0,1,0,0,0,0.0,0,1,1393.6392227138413,0.0,0.0,2,0,0,4.0,0,0,9.0,4,0,1,1,0.0,0,4,0,0,1,60,0.0,0,0,36.00000002980232,1,3.0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,33,17,0,1,3,0,0,0,18,0,0,7,0,1,0.2655313732258844,0,2,0,0,3,6,5,8,0,0.8168220520019531,0.9615859891564308,3,3,0,1203.7216017109815,0.0,0.0,0.0,1278.2421657631123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,167.21687808570712,0.6027384894953397,165.96834835746677,553.0125641119743,720.1863894484317,419.3337776917578
7,0,0,14270,0,1,9614,20541,9614,15130,9,0,1,0,False,False,False,False,15000,1,1,1,1,8,718,4,2,449,6354,2524,3367,45,0,0,0,244523,28184,19446,0,0,154,43,8,7,4,6,4,4,200,11,35,266333,0,6,6522,0,243,108,263,1,0,15455,2361,603,4,5,7,0,12,0,2,7,False,0,0,27,1,0,1250,0,0,0.0,0,0.1845284206992151,9,7,0,1,0.0,0.0,0,0,2,8,0,0,0,0,1,890.5920947790188,0,2,1766.107958061843,0.0,0.0,1,0,0,0.0,0,0,1.6666666666666667,2,0,1,4,0.0,0,0,0,0,2,86,0.0,0,0,80.00000008940697,0,1.0,0,0.0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,39,26,0,0,2,0,2,1,15,0,0,5,1,1,0.3629396107521779,0,1,0,0,2,5,0,11,0,-0.3180378675460815,0.4392218233958299,2,0,1,1147.4273210063334,0.0,0.0,0.0,1711.0229397766238,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.07960812619311,-0.2378110568398747,-54.93435413001106,542.6168856923541,1123.4534055196882,795.5459311456209
8,0,0,16736,0,1,831,14351,831,13125,7,0,2,1,False,True,False,False,14800,0,0,1,3,8,647,3,2,541,4460,946,7450,17,0,0,0,179306,19279,15268,0,0,203,34,24,9,5,1,4,4,200,12,12,194507,0,0,4818,0,242,34,208,1,0,10740,1464,908,0,0,7,0,18,0,2,10,True,0,0,10,0,0,375,0,0,0.0,0,0.1783382012597248,7,5,0,1,0.0,0.0,0,0,7,1,0,0,0,0,1,762.0444852303865,1,0,1930.385849499874,0.0,0.0,4,0,0,0.0,0,0,2.2857142857142856,4,0,2,1,0.0,0,2,0,0,3,67,0.0,0,1,18.25000002980232,12,2.0,0,0.0,0,0,2,0,0,0,0,0,13,4,0,0,0,0,0,34,28,0,0,5,0,0,0,16,0,0,4,1,1,0.2141368774798398,0,2,0,0,1,0,10,10,0,-0.3842092156410217,0.5800317178748831,2,0,0,1830.052828777101,0.0,0.0,0.0,1744.756189232917,0.0,28.75645647883175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.4482386488875,0.1554093447575386,82.95750823157412,472.6308992766265,674.1657375582026,734.3713177172731
12,0,3,11257,0,7,9438,21916,9438,5497,1,2,0,0,False,False,False,False,10850,0,2,0,2,6,500,3,1,851,3707,484,1451,16,0,0,0,122353,11582,8909,0,0,135,39,11,5,4,6,3,4,100,14,4,140199,0,8,3208,0,160,68,30,1,0,14138,1398,0,4,6,2,0,35,2,7,10,True,0,0,1,1,0,0,0,0,0.2708046417742511,2,0.1267694164809446,1,3,0,1,0.0,0.0,0,0,6,9,0,0,0,0,0,0.0,0,1,1451.6954310919311,0.0,0.0,5,0,0,0.0,0,1,18.0,3,0,2,2,0.0,0,0,0,0,2,75,1.0,0,0,64.00000002980232,3,3.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1,16,15,0,0,5,0,0,0,18,0,0,9,0,1,0.1909246843249627,0,1,0,0,5,6,0,7,0,2.1331770420074463,1.4714679332910032,7,5,0,1254.9172786130305,0.0,0.0,0.0,1308.9907520924403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,226.32846598743163,0.6612957369976088,121.71974659112236,508.78440765253526,556.5630246506125,428.230320689514
14,0,0,10988,0,10,5759,11290,5759,7703,7,6,0,0,False,False,False,False,10350,0,1,0,0,5,469,0,1,646,3591,841,5228,17,0,0,0,122176,13978,10035,0,0,151,43,18,12,4,6,3,4,100,9,12,146200,0,1,1843,0,165,57,216,1,0,20432,1367,887,2,4,3,0,34,6,5,15,True,0,0,13,1,0,0,0,0,0.6085645266852011,6,0.1548759780772962,7,0,0,0,0.0,0.0,0,0,5,1,0,0,0,0,1,770.7668109338974,1,1,1569.4555837500736,0.0,0.0,4,0,0,0.0,0,1,2.7142857142857144,1,0,0,1,0.0,0,0,0,0,2,85,0.0,0,0,34.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,4,30,0,0,5,1,0,1,19,0,0,6,1,1,0.1632490170420092,0,1,0,0,4,4,0,7,0,-0.0432103276252746,1.330996115409005,5,2,0,0.0,0.0,0.0,0.0,1245.1745238135968,0.0,31.34439458133056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3440683543969549,0.2676087200865204,-8.984007031476043,434.09957379749136,618.8260502915009,617.4880066910683
5,0,0,7134,0,1,7248,15108,7248,4803,4,0,1,1,False,False,False,False,8250,0,0,0,1,5,347,3,2,415,608,328,1350,20,0,0,0,89172,8231,8113,0,0,101,19,10,6,3,6,3,4,200,13,8,94157,0,0,1596,0,137,49,104,1,0,4377,667,781,3,3,1,0,8,0,2,4,True,0,0,9,0,0,150,0,0,0.0,0,0.1677133415720557,4,0,0,1,0.0,0.0,0,0,7,0,0,1,0,0,1,685.7260799882001,0,0,1158.3503306167788,0.0,0.0,4,0,0,0.0,0,1,2.5,0,0,1,2,0.0,0,0,0,0,6,72,1.0,0,0,65.00000002980232,2,2.0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,1,5,16,0,0,3,0,0,1,10,0,0,7,0,0,0.1892676149335208,0,1,0,0,6,3,0,6,0,0.1269340515136718,0.4351784717137389,2,2,0,1018.7442831086264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.12783718012216,0.4661802096715161,101.05750989656975,490.1107937679873,477.9383105154532,530.6166742083345
7,0,12,10804,0,4,8735,14323,8735,6975,0,1,2,1,False,False,False,False,9225,1,2,0,1,12,538,12,3,0,5480,3410,4116,12,0,0,0,144579,30726,5822,0,0,177,36,14,8,2,4,4,6,100,13,0,161140,0,8,3832,0,197,41,0,1,1,11079,4722,314,5,7,1,0,17,1,4,7,True,0,0,0,0,0,0,0,0,0.1338117125318338,1,0.1483754114653963,0,9,0,2,0.0,0.0,0,0,5,4,0,1,0,0,1,840.6469512188168,0,0,1353.3540922919717,0.0,0.0,3,0,0,0.0,0,0,19.0,1,0,1,5,0.0,0,3,0,0,0,90,0.0,1,0,39.0,0,3.0,0,0.0,0,0,3,1,0,1,0,0,17,0,0,0,0,0,0,48,27,0,0,6,0,1,0,19,0,0,7,0,0,0.4306181808450246,0,2,0,0,3,7,10,9,0,0.0705257654190063,0.7836993698614356,4,2,0,858.4131610849927,0.0,0.0,1193.926574475308,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.38096337443875,0.7980173157573026,166.4752789260373,558.0357751909538,1722.7863818340568,454.55952991442354
7,0,2,11281,0,2,8621,14346,8621,6409,6,1,0,0,False,False,False,False,7725,0,1,0,1,2,402,2,1,288,2274,940,13839,0,0,0,0,77278,9739,6084,0,0,101,22,11,8,3,4,3,6,200,10,0,82816,0,0,2013,0,137,24,144,1,0,3264,1055,135,3,5,3,0,18,1,3,8,True,0,0,0,1,0,0,0,0,0.0,1,0.1850409359143253,6,0,0,1,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,0,1582.0476738,0.0,0.0,1,0,0,0.0,0,0,1.5,1,0,0,0,0.0,0,0,0,0,2,39,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,15,0,0,5,0,0,0,9,0,0,1,0,1,0.1375378888903863,0,2,0,0,2,5,5,5,0,0.3180791139602661,0.6866125189477967,3,2,0,1263.0043655,0.0,0.0,0.0,1354.2568202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.82250044745776,-0.0758510644067798,8.267766020339002,339.5472898169499,445.0561204067806,760.7103249355948
