assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,0,13902,0,2,3183,11798,3183,21847,10,1,3,0,False,False,False,False,15825,0,1,1,3,14,1058,7,2,472,4668,2515,5739,30,0,0,0,210697,35205,19937,0,0,116,49,31,9,7,3,5,4,200,16,30,221690,0,0,5947,0,210,189,258,1,0,6324,3936,1640,1,3,6,0,28,1,4,10,False,0,0,27,0,0,375,0,0,0.2699038044969828,1,0.1797902523713677,10,6,0,2,0.0,0.0,0,0,0,0,0,0,0,0,1,859.4571932760396,0,4,2058.519131674075,0.0,0.0,0,0,0,0.0,0,0,2.5,7,0,2,0,0.0,0,3,0,0,0,63,0.0,0,0,16.0,0,1.0,0,0.0,0,0,3,0,0,2,0,0,19,0,0,0,0,0,0,34,112,0,0,6,0,2,0,25,0,0,5,0,0,0.2662112639908033,0,2,0,0,4,3,5,9,0,-0.1219612956047058,0.8172590581215988,4,1,0,1182.3794805083228,0.0,0.0,0.0,0.0,0.0,27.92486541700873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.63546649767045,-0.058294333122088,-41.826184015098185,472.3881284548406,1214.1835174334112,796.1840017814787
8,1,0,12910,0,7,7111,17753,7111,7189,5,2,2,1,False,False,False,False,12725,1,3,0,1,8,883,6,2,638,1803,815,9916,12,0,0,0,125471,14092,7359,0,0,81,53,28,9,4,7,5,4,200,8,4,146069,0,0,4971,379,187,113,96,3,0,18794,1372,507,6,7,0,0,19,3,2,10,True,0,0,1,1,0,0,0,0,0.3240291687311556,2,0.1621079976734691,5,3,0,1,0.0,379.5999450683594,0,0,0,0,0,1,0,0,1,736.8628249669174,0,2,1494.4963511252645,0.0,0.0,0,0,0,0.0,0,1,3.2,2,0,1,4,0.0,0,1,0,0,0,67,0.0,0,0,0.0,0,1.0,0,0.0,0,0,2,0,0,1,0,0,12,0,0,0,0,0,0,16,48,0,0,4,0,0,0,16,0,0,4,0,1,0.2150249526565381,0,2,0,0,3,7,5,7,0,0.2129004001617431,0.772664618793297,2,2,0,908.5415430385508,0.0,0.0,0.0,1229.1215189141988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.507205943121,0.0,0.0,-76.64120418477995,-0.0401473044446202,-2.730016702234173,510.9547436666813,653.5981163584169,713.939514938681
10,0,1,14545,0,3,4242,9780,4242,20131,7,2,0,0,False,False,False,False,14700,3,3,1,2,9,761,2,1,686,2425,1380,10891,12,0,0,0,177727,28014,11985,0,0,95,77,15,7,4,4,6,1,200,12,4,202463,0,8,5957,0,242,116,259,1,0,22310,3872,672,1,3,3,0,27,2,7,12,True,0,0,1,1,0,0,2,0,0.7110683584384779,2,0.1359205802565253,7,4,0,1,0.0,0.0,0,0,0,2,0,0,0,0,1,921.816338090278,0,1,2157.2371611912386,0.0,0.0,0,0,0,0.0,0,0,2.7142857142857144,5,0,0,2,0.0,0,0,0,0,0,75,0.0,0,1,25.0,3,1.0,0,0.0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,20,88,0,0,5,0,2,0,19,0,0,5,0,1,0.2508942089547534,0,2,0,0,1,3,5,11,0,-0.3112733364105224,0.773452532700719,7,4,1,634.22721456431,0.0,0.0,0.0,1228.794894964532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.796885810518,0.0,0.0,-15.352971196598036,0.0834400608510762,-116.09293799746412,431.7466881970857,925.294648131202,654.9766643273317
12,0,0,11714,0,4,4999,13813,4999,7855,5,1,0,0,True,False,False,False,9725,1,1,0,1,5,635,2,1,585,1193,799,2549,7,0,0,0,104120,17251,12788,0,0,55,51,19,5,3,4,4,7,100,7,6,111314,0,0,4302,245,170,69,130,2,0,6000,700,334,1,4,2,0,31,1,4,9,True,0,0,5,0,0,0,0,0,0.0,1,0.174134089161911,5,2,0,2,0.0,245.0,0,0,0,0,0,0,0,0,0,0.0,1,1,1610.2210114,0.0,0.0,0,0,0,0.0,1,0,3.4,3,0,0,2,0.0,0,1,1,0,0,52,0.0,0,0,4.0,3,1.0,0,0.0,0,0,0,0,0,2,1,0,8,0,0,0,1,1,0,14,51,0,2,6,0,0,0,17,0,0,7,1,0,0.195619985486823,0,1,0,0,0,4,0,6,0,0.1294806003570556,1.1790269909363802,4,3,0,489.7590881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.716829364061297,0.2980957251220228,51.868656171231976,394.1198105769545,698.7363796860216,583.9695255140427
9,0,2,9497,0,5,9433,10544,9433,7061,2,3,1,0,False,False,False,True,10775,0,1,0,3,10,452,4,2,732,1485,611,2945,8,0,0,0,104253,14200,6776,0,0,53,67,13,6,3,4,4,7,200,9,4,113749,0,2,3314,505,173,169,54,3,0,8010,1227,297,6,7,0,0,22,3,5,6,True,0,0,1,0,0,0,0,0,0.7572062804796336,3,0.1143750765789095,2,1,0,0,0.0,505.1118469238281,0,0,0,2,0,0,0,0,1,899.3142710730656,0,2,1397.877853503732,0.0,0.0,0,0,0,0.0,0,0,9.5,1,0,2,4,0.0,0,0,0,0,0,65,0.0,0,0,46.0,1,1.0,0,0.0,0,0,1,0,0,2,0,0,13,0,0,0,0,0,0,10,53,0,0,3,0,2,1,19,0,0,12,0,0,0.2014857795028201,0,1,0,0,2,7,0,8,0,0.143617033958435,0.9535107357102036,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.66236822950657,0.5150664617765746,63.61070802940696,530.8189110659081,688.4292483695399,430.0375733782917
9,0,1,16244,0,8,9801,29416,9801,14193,4,5,1,0,False,False,False,False,14375,1,2,0,2,7,775,4,2,649,2189,1565,5136,36,0,0,0,205011,23093,16826,0,0,90,113,21,12,3,4,5,7,200,13,20,229452,0,4,10602,626,229,239,133,4,0,22250,4558,3107,2,3,4,0,39,5,12,13,True,0,0,15,1,0,450,1,0,0.7577945074408432,5,0.1778219426518337,4,15,0,1,0.0,626.10546875,0,0,0,1,0,0,0,0,1,889.5613019821383,0,3,2113.4101240694413,0.0,0.0,0,0,0,0.0,0,0,4.0,2,0,1,0,0.0,0,0,1,0,0,65,0.0,0,0,31.000000059604645,2,2.0,0,0.0,0,0,1,1,0,0,0,0,14,0,0,0,1,0,3,80,62,0,0,5,0,0,0,16,0,0,2,0,1,0.2497379940716609,0,1,0,0,0,3,5,10,0,0.3888281583786011,1.1301525304333535,12,5,1,1833.518049695443,0.0,0.0,0.0,1661.740347145057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26022139985098,0.0851704067989435,71.20246008391678,434.73814643740735,829.4745918149109,711.7406994831713
6,1,2,17134,0,7,10021,29452,10021,14629,5,4,0,0,False,False,False,False,14150,1,1,0,2,6,883,2,1,452,1853,761,6831,24,0,0,0,262458,17852,11001,0,0,90,104,15,11,3,4,4,7,200,4,17,278160,0,0,8168,810,303,134,162,3,0,13848,491,887,5,5,5,0,47,4,11,14,True,0,0,12,2,0,0,0,0,0.840654658729869,4,0.1349628873793996,5,4,0,3,0.0,810.079833984375,0,0,0,1,0,0,0,0,1,884.0730082831857,0,1,2138.4927878695967,0.0,0.0,0,0,0,0.0,0,0,2.4,4,0,0,2,0.0,0,0,0,0,0,82,0.0,0,0,56.79999995231629,1,2.0,0,0.0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,28,49,0,0,4,0,0,0,12,0,0,4,0,2,0.1658477133159442,0,1,0,0,2,5,0,14,0,0.5201178789138794,1.3250859166321334,11,2,0,740.044858032135,0.0,0.0,0.0,1510.194119703664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.87708927632384,0.0841714318706302,67.14074548880609,461.20333236314025,536.0317352961306,525.2016777287761
4,0,0,7494,0,3,3584,3747,3584,4266,3,2,0,0,True,False,False,False,7400,0,0,0,0,0,469,0,0,636,775,412,503,0,0,0,0,81792,10785,7122,0,0,47,51,9,6,2,4,1,1,100,2,0,85063,0,0,2289,0,164,27,83,1,0,2495,0,707,1,1,3,0,11,2,0,7,False,0,0,0,0,0,0,0,0,0.652219669318159,2,0.1236012799472126,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1323.5909758418331,0.0,0.0,0,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,0,0,0,0,63,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,39,0,0,5,0,2,0,4,0,0,1,0,0,0.2816056576080687,0,2,0,0,3,1,0,6,1,-0.2275369763374328,0.5377832074236166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.96812512698004,-0.3626497979821216,-119.94642068258672,356.89273243915545,507.5737235007269,377.69976459837966
2,0,7,5728,0,4,865,865,865,2967,0,1,1,0,False,False,False,False,6750,0,0,0,1,7,425,7,2,0,439,211,1227,0,0,0,0,42087,7852,5396,0,0,25,39,7,3,2,4,1,7,100,4,0,43552,0,0,2251,108,103,80,0,2,0,1025,213,0,0,0,0,0,9,1,1,6,True,0,0,0,0,0,0,0,0,0.0,1,0.1461446267547049,0,0,0,0,0.0,108.0,0,0,0,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,0,0,0,0.0,0,0,9.0,0,0,1,2,0.0,0,0,0,0,0,54,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,5,6,0,3,5,0,0,0,9,0,0,9,1,0,0.2313112863732095,0,1,0,0,1,0,0,3,0,0.4009648561477661,0.6226203415888988,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0429946483653,0.524567792579983,55.99761185791319,447.1940431744355,542.7309523980649,434.3421322562259
5,0,0,14554,0,5,285,6620,285,13356,9,2,0,0,False,False,False,False,13385,0,0,3,1,7,4452,2,1,558,1823,571,5770,9,0,0,0,180226,16906,16705,0,0,74,81,19,10,3,4,5,7,100,7,7,206604,0,0,5808,565,263,109,263,3,0,24554,1485,1222,0,0,11,0,27,2,9,13,False,0,0,4,0,0,300,0,0,0.0,2,0.1608802877892586,9,13,0,1,0.0,565.2445068359375,0,0,0,0,0,0,0,0,0,0.0,0,0,1922.0608419266323,0.0,0.0,0,0,0,0.0,0,0,1.3333333333333333,1,0,0,0,0.0,0,1,0,0,0,59,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,67,58,0,1,6,0,0,0,12,0,0,5,0,0,0.2148813454604092,0,1,0,0,0,0,0,11,0,-0.3675480484962463,0.8715745665020517,9,2,0,572.8623924079409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.87586943658096,-0.343381429767036,-86.62576978213863,447.1450545439113,591.9583684247549,739.7684656926564
