assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,12641,0,6,560,560,560,7102,5,3,0,0,False,False,False,False,10055,0,0,1,0,1,402,0,1,683,0,0,9070,4,0,0,0,138785,8502,7841,0,0,64,45,8,10,4,7,4,4,200,0,4,149775,0,0,3596,576,237,8,129,2,0,10990,404,699,0,1,7,0,29,5,7,12,False,0,0,1,0,0,0,0,0,0.4664921890649587,3,0.1474368471915793,5,15,0,0,0.0,576.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1842.9206584959743,0.0,0.0,0,0,0,0.0,0,0,1.6,1,0,0,0,0.0,0,0,0,0,11,72,0.0,0,0,37.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,80,41,0,0,5,0,2,0,8,0,0,2,0,0,0.0837759084912907,0,0,0,0,0,1,0,11,0,-0.2153086066246032,0.9731841253622304,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.27464867257407,-0.2604561394366986,-62.672258551955615,335.59773566418625,289.9527972279048,573.3616339524625
3,0,0,6288,0,4,1392,1392,1392,4650,6,1,0,0,True,False,False,False,6175,0,0,0,0,0,282,0,0,421,0,0,2400,4,0,0,0,80816,8374,7407,0,0,48,26,9,3,3,6,3,4,100,0,4,85106,0,0,1195,0,142,0,101,1,0,4289,574,542,0,0,2,0,12,2,2,8,False,0,0,6,0,0,0,0,0,0.0200730637336723,1,0.1697852761276736,6,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1166.2135193031074,0.0,0.0,0,0,0,0.0,0,0,0.5,1,0,0,0,0.0,0,0,0,0,17,60,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,32,0,0,5,0,0,0,3,0,0,2,0,0,0.239114268130901,0,1,0,0,2,0,0,5,0,-0.1536043882369995,0.6379414508619482,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0864192200246,-0.2572427733295963,-104.38911741715016,328.6533672058921,460.4131157053114,532.4925407922642
7,0,1,15450,0,4,4797,5749,4797,13261,8,2,0,0,False,False,False,False,15225,0,0,3,1,6,650,2,1,717,0,0,10470,16,0,0,0,240486,29523,17300,0,0,102,63,19,8,6,7,5,4,100,0,16,256918,0,0,6907,817,276,50,279,5,0,16432,2047,1146,2,2,10,0,35,3,12,11,False,0,0,13,0,0,650,0,0,0.7497747823219952,2,0.1701218233305366,8,3,0,0,0.0,817.6000366210938,0,0,1,0,0,0,0,0,1,957.6454299462696,0,1,2061.568182630321,0.0,0.0,0,0,0,0.0,0,0,1.625,1,0,0,1,0.0,0,2,0,0,21,64,0.0,0,0,37.80000001192093,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,20,87,0,0,6,0,0,0,13,0,0,3,0,0,0.2504943162254227,0,0,0,0,0,2,0,12,0,-0.0635358691215515,1.0330847018963287,12,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25224617368228,-0.2619365221823626,-41.73521920105644,448.348013802144,918.8151116996872,841.6311498299513
7,0,0,8590,0,2,1529,1679,1529,8977,6,1,0,0,False,False,False,False,8325,0,0,2,0,0,382,0,0,486,0,0,1727,15,0,0,0,118556,14283,14118,0,0,55,48,16,5,3,4,5,6,200,0,15,123119,0,0,1602,0,165,0,152,1,0,4562,700,309,0,0,10,0,21,1,2,9,False,0,0,13,0,0,0,0,0,0.0,1,0.1888652264872007,6,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1420.9999201685432,0.0,0.0,0,0,0,0.0,0,0,1.1666666666666667,1,0,0,0,0.0,0,0,0,0,8,55,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,35,0,0,6,0,0,0,7,0,0,5,0,0,0.2506891974408336,0,0,0,0,2,0,0,6,0,-0.1972497701644897,0.9216690312816528,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.3624312440204,-0.295566519067914,-105.6861424609984,353.1175427092807,632.6812459590891,682.1253022203073
14,0,3,13199,0,3,3786,14673,3786,8073,1,2,2,0,False,False,False,False,9575,0,1,0,2,8,468,5,2,1162,2015,1055,5666,10,0,0,0,135110,15366,9188,0,0,55,57,16,7,4,6,2,4,100,1,4,143841,0,0,4378,0,216,15,38,1,0,6715,1250,90,1,6,2,0,36,2,9,11,True,0,0,2,1,0,0,0,0,0.0,2,0.1573811981744124,1,0,0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,0,1521.3689025827398,0.0,0.0,0,0,0,2.0,0,0,22.0,2,0,2,5,0.0,0,0,0,0,8,66,1.0,0,0,50.0,0,3.0,0,0.0,0,1,2,1,0,0,0,0,19,0,0,0,1,0,0,9,46,0,0,7,0,0,0,22,0,0,9,0,1,0.2391446651126867,0,1,0,0,0,6,10,9,0,1.0858898162841797,1.4430891539831596,9,4,1,629.4565591095364,0.0,0.0,0.0,1386.6816178427243,0.0,10.754006401727338,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,203.89532050602023,0.7493251624012349,178.29995048505174,500.07595048671885,696.9512773660327,589.3639593117923
6,0,2,10640,0,5,5409,7052,5409,5936,4,3,1,0,False,False,False,False,9225,1,1,0,1,3,425,2,2,267,0,0,2483,8,0,0,0,136787,8894,8498,0,0,55,48,11,5,2,1,1,4,100,0,4,147445,0,4,3129,0,188,0,59,1,0,10658,355,122,1,4,1,0,18,3,4,9,True,0,0,6,1,0,0,0,0,0.7052093550081726,3,0.1478431417065507,4,12,0,0,0.0,0.0,0,0,0,6,0,0,0,0,1,749.903811750221,1,0,1404.0492429627095,0.0,0.0,0,0,0,0.0,0,0,2.25,2,0,0,0,0.0,0,0,0,0,12,70,0.0,0,0,39.000000059604645,0,1.0,0,0.0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,62,45,0,0,5,0,2,0,9,0,0,3,0,1,0.1304859377278368,0,2,0,0,2,4,0,9,0,-0.1223340630531311,0.7921058429432859,4,2,0,0.0,0.0,0.0,0.0,1265.8536384532538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.3667719635648,0.0,78.45878665020994,452.3345624686668,395.2425477820216,474.4705382229199
7,0,0,12615,0,5,780,10830,780,14783,8,4,1,0,False,False,False,False,12680,0,0,1,3,6,513,2,2,973,0,0,7643,12,0,0,0,178034,19187,18837,0,0,74,61,16,11,5,7,3,4,200,5,12,194554,0,0,6805,903,232,47,264,3,0,16520,1920,275,0,0,8,0,23,4,7,13,False,0,0,13,0,0,500,0,0,0.4737612226738558,4,0.1740635333647052,8,8,0,1,0.0,903.9998779296876,0,0,0,0,0,0,0,0,0,0.0,0,1,1966.8969412340743,0.0,0.0,0,0,0,0.0,0,0,1.625,1,0,0,0,0.0,0,1,1,0,10,71,0.0,0,0,10.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,11,0,0,0,0,1,0,43,58,0,0,5,0,2,0,13,0,0,3,0,0,0.1855870025554515,0,0,0,0,2,0,0,11,0,-0.259934663772583,0.7317597804644141,7,2,2,1055.696818293444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.58168327524626,-0.2135343195645435,-123.48384651389604,401.53603548972666,643.8669832926886,816.1891791812752
10,0,0,9327,0,3,2545,11540,2545,9443,8,2,0,0,True,False,False,False,8900,0,0,2,0,2,360,0,1,256,0,0,4036,4,0,0,0,107832,14245,14076,0,0,65,41,14,6,4,7,2,4,200,0,4,116493,0,0,3596,582,172,25,162,3,0,8661,1101,891,0,0,9,0,16,2,2,8,False,0,0,1,0,0,0,0,0,0.0,2,0.180290428618506,8,0,0,1,0.0,582.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1472.0801509044918,0.0,0.0,0,0,0,0.0,0,0,1.5,1,0,0,1,0.0,0,0,2,0,19,60,0.0,0,0,4.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,51,0,0,4,0,0,0,12,0,1,7,0,0,0.2151042963410289,0,0,0,0,4,0,0,7,0,0.0341688394546508,0.6767958915447517,2,2,0,889.9222691327782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.0684499297542,-0.4891038029129118,-169.02612255665375,375.5909619868735,625.5230052753714,774.5773892130812
7,0,0,11933,0,4,1300,5862,1300,6622,5,2,0,1,False,False,False,False,9775,0,0,2,0,2,495,0,1,988,0,0,12259,8,0,0,0,138046,9886,8054,0,0,58,41,17,9,5,7,3,4,200,0,4,144129,0,0,4488,712,213,0,161,4,0,6083,396,553,0,0,9,0,24,2,5,9,False,0,0,3,0,0,0,0,0,0.6195729507669844,2,0.1497268730013833,5,3,0,2,0.0,712.8800048828125,0,0,0,0,0,0,0,0,1,798.0568917192319,0,0,1859.345665017196,0.0,0.0,0,0,0,0.0,0,0,1.8,0,0,0,0,0.0,0,1,0,0,11,58,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,19,38,0,0,7,0,0,0,9,0,0,4,0,0,0.1329010568705649,0,1,0,0,2,0,5,9,0,4.124641418457031e-05,0.8061097093606141,5,1,0,963.2758402168984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.67364860693112,-0.2581553333686132,-144.92195026980522,343.1852462969001,331.8264116286812,673.3336482586853
7,1,3,11457,0,5,5205,13452,5205,5258,1,3,0,0,False,False,False,False,9650,1,1,0,1,3,384,3,1,1023,0,0,1211,14,0,0,0,120789,10277,8408,0,0,57,44,6,5,2,4,4,6,200,1,8,127016,0,2,2634,0,173,51,33,1,0,6226,900,0,4,5,1,0,29,4,7,9,True,0,0,7,1,0,0,0,0,0.7377554533448983,3,0.1173149708954101,1,0,0,3,0.0,0.0,0,0,0,3,1,0,0,0,1,890.7768884803544,0,0,1403.2812763610225,0.0,0.0,0,0,0,0.0,1,0,10.0,1,0,1,2,0.0,0,0,0,0,10,69,0.0,0,0,2.0,5,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,8,35,0,0,4,0,0,1,10,0,0,3,0,1,0.1462013860026093,0,2,0,0,4,5,0,8,0,0.7780575752258301,1.2502961475527483,7,6,1,641.2612105266559,0.0,0.0,0.0,1245.4027878675906,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,139.08829490416858,0.2992985134734645,114.88787224331416,472.0365126781498,477.8942121561304,411.27891444303646
