assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,0,7358,0,3,1740,1740,1740,4087,4,1,1,0,False,False,False,False,6975,0,0,0,1,2,0,2,2,509,3911,2107,3589,0,0,0,0,65122,9282,4374,0,0,43,9,29,5,4,7,2,4,200,16,0,69033,0,0,686,118,158,233,79,2,0,0,0,205,0,0,4,0,16,1,4,7,False,0,0,0,0,0,300,0,0,0.6428044582529767,1,0.1319506696201228,4,3,0,0,0.0,118.87158203125,0,0,8,0,0,0,0,0,0,0.0,0,0,1162.5742521,0.0,0.0,0,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,0,0,0,20,71,0.0,0,0,18.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,19,63,0,0,5,0,2,0,4,0,0,3,0,0,0.27553033409552,0,0,0,0,0,0,0,6,0,0.2717210054397583,0.8676612154982735,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.941237099414,-0.4128768542163725,-57.647930769961015,367.66683867967976,587.8334211905604,421.5988777616934
8,0,0,11356,0,1,2738,3019,2738,11467,11,0,1,0,False,False,False,False,10350,0,0,2,1,3,253,2,2,284,9557,2735,8838,2,0,0,0,97741,8636,10658,0,0,49,16,44,10,5,4,5,1,100,32,2,111192,0,0,3817,0,158,314,266,1,0,3894,19,3069,2,2,11,0,18,0,4,6,False,0,0,1,0,0,300,0,0,0.0,0,0.1569094387468942,11,1,0,0,0.0,0.0,0,0,28,0,0,0,0,0,1,749.6571570856174,0,0,1717.4497194492387,0.0,0.0,5,0,0,0.0,0,1,1.0,2,0,0,0,0.0,0,0,0,0,11,59,0.0,0,0,12.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,11,2,0,0,0,0,0,12,52,0,0,4,0,4,0,11,0,0,5,0,0,0.1534775532669493,0,1,0,0,5,2,0,7,0,-0.0880879759788513,0.6524593345495833,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-169.05298403327222,-0.4192262468277054,-156.9652939164067,375.9760723633138,397.95051480119935,788.3549571595
8,0,0,10429,0,7,2194,2460,2194,5368,10,3,0,0,False,False,False,False,11735,0,0,1,2,7,0,2,1,223,6647,4625,11413,4,0,0,0,109272,22841,5672,0,0,79,29,42,11,6,6,4,4,200,26,4,119258,0,0,122,0,185,278,252,1,0,3337,204,232,0,0,8,0,19,3,5,6,False,0,0,1,0,0,450,0,0,0.715144398915431,3,0.1489231158255444,10,7,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1617.7924479528006,0.0,0.0,3,0,0,0.0,1,0,1.5,1,0,0,3,0.0,0,0,0,0,20,44,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,42,88,0,1,1,0,0,0,15,0,0,9,0,0,0.3731336426350095,0,0,0,0,2,0,0,7,0,-0.3269136548042297,0.7415895233137189,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300549407330504,-0.0370875757739663,-24.58906273813969,440.7487504978161,1026.2873968171966,642.2826372535492
8,0,0,13736,0,5,3261,9034,3261,10415,6,3,0,2,True,False,False,False,13625,0,0,2,2,5,0,2,1,1002,12933,5115,13992,12,2,0,0,196116,21358,6898,0,0,116,21,86,12,4,1,4,4,100,28,4,209639,0,0,1767,0,237,481,245,1,0,590,78,542,2,2,7,0,28,3,7,10,False,0,0,1,0,0,525,0,0,0.1907261885653013,3,0.1595155324478336,6,21,0,3,0.0,0.0,0,0,14,0,2,0,2,2,0,0.0,0,1,2113.4101240694413,0.0,0.0,2,0,0,0.0,0,0,2.1666666666666665,1,0,0,0,0.0,0,1,1,0,26,59,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,112,111,0,0,5,0,4,0,13,0,0,5,2,0,0.2353408331493236,0,1,0,0,4,2,0,11,0,-0.2799685001373291,0.8137454308772595,7,5,0,749.015827150516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.26022139985098,-0.0851704067989435,-71.20246008391678,390.4779250375564,753.8148804418494,608.4857763072521
3,0,0,10552,0,5,446,2577,446,6077,8,0,1,0,False,False,False,False,10675,0,0,1,3,10,245,4,3,589,8709,3844,9013,4,0,0,0,83863,11222,4758,0,0,25,12,20,5,5,6,5,4,100,12,4,93473,0,0,1978,0,172,125,135,1,1,901,609,409,0,0,7,0,8,1,2,3,False,0,0,1,0,0,0,0,0,0.0,0,0.1586733518862132,8,21,0,1,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,1,1493.1217016278026,0.0,0.0,1,0,0,0.0,0,0,1.625,2,0,2,4,0.0,0,1,0,0,12,32,0.0,0,0,0.0,0,1.0,0,0.0,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,110,37,0,1,3,0,0,0,13,0,0,9,2,0,0.2682609847080758,0,1,0,0,1,0,0,7,0,-0.5131750702857971,0.3454373925993733,2,2,0,663.4229523215765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1758326733716,0.0401842662487511,-55.29355035828159,450.86746731098793,629.928557715423,569.8530796735402
5,0,0,10201,0,2,4207,9798,4207,10218,6,1,1,0,True,False,False,False,11725,0,0,1,2,7,253,5,2,849,7281,2408,4956,2,0,0,0,90719,10254,12432,0,0,33,11,34,7,5,6,3,4,200,17,0,98000,0,2,3477,0,173,236,163,1,0,0,0,184,1,1,6,0,18,1,2,9,False,0,0,0,0,0,0,0,0,0.2650546279268552,1,0.1780193622449974,6,7,0,1,1.0,0.0,0,0,12,1,0,0,0,0,0,0.0,0,1,1580.515042318024,0.0,0.0,0,0,0,0.0,0,0,2.0,4,0,1,3,0.0,0,0,1,0,11,56,0.0,0,0,21.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,10,0,0,0,1,0,0,40,39,0,0,7,0,2,0,12,0,0,6,0,1,0.2071173460146577,0,1,0,0,5,1,0,7,0,0.2849282026290893,0.7131408621529085,2,1,0,1241.4087725603074,0.0,0.0,0.0,1290.1742882345798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.13729166163264,-0.1138869262110959,35.19106019922865,453.8773632599545,480.71671553703607,667.0736891271262
7,0,0,9274,0,9,0,6724,0,6776,11,2,1,0,False,False,False,False,8760,0,0,2,1,6,0,3,2,189,5224,3353,6369,1,0,0,0,69942,10857,7082,0,0,45,12,38,7,3,1,3,4,100,20,0,79247,0,0,0,0,140,196,246,0,0,4081,0,1060,0,0,9,0,17,5,1,11,False,0,0,0,0,0,0,0,0,0.2682870770797202,2,0.1289090589568345,11,1,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,2,1481.3840864492358,0.0,0.0,3,0,0,0.0,0,0,1.181818181818182,3,0,1,0,0.0,0,2,0,0,9,58,0.0,0,0,3.0,0,0.0,0,0.0,0,0,1,0,0,1,0,0,11,1,0,0,0,0,0,13,55,0,1,6,0,3,0,13,0,0,4,0,0,0.1942423598126524,0,0,0,0,0,0,0,6,0,-0.2973226904869079,0.6902352461287383,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342.2880025769576,-0.4455292898291957,-176.71311741134377,355.6943839345452,575.5428371338975,587.7746412728445
12,0,0,15865,0,4,6471,20740,6471,20227,6,1,2,1,False,True,False,False,20575,3,4,0,3,18,253,12,3,916,34519,9983,9624,12,1,0,0,167952,21663,13314,0,0,42,16,20,9,4,7,4,4,100,38,8,211006,0,0,9781,434,248,260,158,2,1,8536,844,1879,3,6,4,0,20,1,6,4,True,0,0,2,1,0,300,0,0,0.0,1,0.1499374745735852,6,2,0,2,0.0,434.47119140625,0,0,34,0,1,1,1,1,0,0.0,0,10,2116.0513161966355,0.0,0.0,8,0,0,0.0,1,0,5.0,9,0,2,3,0.0,0,1,0,0,4,53,0.0,1,0,2.0,5,2.0,0,0.0,0,0,3,1,0,1,0,0,24,0,0,0,0,0,0,15,46,0,0,3,0,8,0,30,0,0,7,2,1,0.2353453329886416,0,0,0,0,1,6,0,10,0,-0.440467894077301,0.5692856286325638,6,2,0,1544.8327198964166,0.0,0.0,1624.6433275525046,1352.965429832878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,90.45149261503732,0.4820298979484748,-17.18294812686916,566.0165189910267,921.2725537790526,703.7352963048938
5,0,6,6021,0,2,2134,2950,2134,3193,0,0,0,0,False,True,False,True,7525,0,0,0,1,6,253,6,1,0,2895,1252,3000,0,0,0,0,55379,9035,3376,0,0,19,3,28,3,4,6,2,4,200,11,0,58274,0,0,3049,0,126,203,0,1,0,0,0,133,1,1,0,0,6,1,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.1448799328251032,0,5,0,1,0.0,0.0,0,0,4,0,0,0,0,0,1,796.4336837935618,0,0,912.367955489004,0.0,0.0,1,0,0,0.0,0,1,11.0,1,0,1,4,0.0,0,0,0,0,14,85,0.0,0,0,50.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,29,32,0,1,5,0,2,1,11,0,0,11,0,0,0.3153901073798043,0,0,0,0,5,1,0,5,0,0.3494824171066284,0.4396404339988692,0,0,0,719.4623995596343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.62458452400227,0.6576294097028174,51.22933101584947,498.74614431861664,676.5691367022584,428.18250865750434
2,0,0,5358,0,1,2942,2942,2942,3767,4,0,2,0,False,False,False,False,7625,0,0,0,2,8,320,5,2,532,3808,2028,755,0,0,0,0,48580,8184,7885,0,0,20,10,21,3,4,6,3,4,100,11,0,54994,0,0,1115,0,99,124,92,1,0,2605,0,271,1,1,0,0,6,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2079210077171877,4,3,0,0,1.0,0.0,0,0,6,0,0,0,0,0,1,693.6306496,0,0,918.110215,0.0,0.0,1,0,0,0.0,0,0,2.5,0,0,1,3,0.0,0,1,0,0,12,65,0.0,0,0,17.0,0,1.0,0,0.0,0,0,2,1,0,5,0,0,7,0,0,0,0,0,0,18,30,0,2,5,0,0,0,10,0,0,10,0,0,0.30917295556525,0,1,0,0,3,1,5,4,0,-0.1351695656776428,0.3947942751403043,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.92779114215605,0.4574614170914109,49.86329446296379,510.984402891106,667.3708559053555,582.4137355883792
