assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,20109,0,6,2759,14053,2759,19962,9,1,0,0,False,False,False,False,17525,1,1,3,3,9,786,2,1,620,10619,3315,14896,27,0,0,0,304316,36073,18602,0,0,117,72,55,9,6,4,9,6,100,20,27,317131,0,0,6477,0,299,105,337,1,0,2195,255,902,0,2,10,0,42,1,5,10,False,0,0,27,0,0,900,0,0,0.7139491478122887,1,0.1488141846746159,9,12,0,1,0.0,0.0,0,0,15,0,0,0,0,0,1,984.5156448806538,0,1,2660.34973680319,0.0,0.0,8,0,0,0.0,0,0,1.8888888888888888,0,0,0,3,0.0,0,0,1,0,15,60,0.0,0,0,10.000000089406967,0,1.0,0,0.0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,63,75,0,0,2,0,2,0,17,0,0,3,1,0,0.2324843658999498,0,0,0,0,0,2,0,13,0,0.8239959478378296,0.9484886244447248,10,4,0,1583.6585075085316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.12901034352698,-0.1578739795710819,-48.71539941050528,406.97656590859617,894.085453162343,775.8829493149086
9,0,4,19316,0,4,12691,42635,12691,19417,8,2,5,2,False,False,False,True,20050,0,1,0,5,20,787,6,3,398,2202,1750,9642,48,0,0,0,314224,39215,15938,0,0,99,66,87,10,7,6,5,4,200,23,22,318616,0,10,6670,0,272,75,294,1,1,2190,632,1112,4,7,4,0,44,2,10,11,True,0,0,17,1,0,1275,0,0,0.0,2,0.1634258435204976,8,25,0,3,0.0,0.0,0,0,15,11,0,1,0,0,1,894.4911811050562,0,0,2136.031363842854,0.0,0.0,7,0,0,0.0,0,0,3.625,3,0,3,7,0.0,0,1,0,0,10,57,0.0,0,0,47.500000059604645,11,3.0,0,0.0,0,0,6,1,0,3,1,0,24,0,0,0,0,0,1,125,56,0,1,5,0,0,1,29,0,0,6,0,1,0.3583473464674546,0,0,0,0,3,7,0,12,0,0.7466402053833008,1.2440830961931584,10,5,0,1124.5746839533251,0.0,0.0,0.0,1306.515828469005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.55335242833027,0.2247158015210273,78.5943515819793,621.7324438583023,1168.4659889589616,749.8204507252879
13,0,1,17214,0,6,4643,21818,4643,7678,5,3,2,0,True,False,False,False,13175,2,2,0,3,8,551,3,2,473,1421,1421,9215,14,0,0,0,205025,21112,9553,0,0,86,53,58,6,6,6,5,4,200,16,12,211665,0,2,5187,0,226,58,160,1,0,5219,290,468,3,3,3,0,41,3,12,11,True,0,0,8,1,0,0,0,0,0.47183626650104,3,0.1224080428742056,5,4,0,2,0.0,0.0,0,0,10,3,0,0,0,0,1,877.835254989082,0,1,2109.686549626237,0.0,0.0,3,0,0,0.0,0,0,4.2,1,0,1,1,1.0,0,1,0,0,20,72,0.0,0,0,5.0,4,1.0,0,0.0,0,0,2,0,0,1,0,0,12,0,0,0,0,0,0,28,61,0,0,5,0,0,0,21,0,0,4,0,2,0.1940960445448567,0,2,0,0,0,3,5,10,0,0.475741982460022,1.193042974443056,12,3,1,1188.5130965306034,0.0,0.0,0.0,1450.9941225085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01796337151204,0.3697231705526059,27.58703657200213,428.0541107682516,649.0916862709327,547.1049716861908
7,0,10,15887,0,7,4120,12549,4120,11474,1,2,3,0,False,False,False,False,14925,0,1,1,2,15,554,10,3,694,705,705,5057,4,0,0,0,168820,24773,14025,0,0,79,41,60,5,5,6,3,4,100,22,4,170436,0,0,5019,0,238,48,27,1,1,910,488,1087,1,4,6,0,18,2,4,10,True,0,0,1,1,0,825,0,0,0.1952472638041314,2,0.1780943677298981,1,2,0,0,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,1,1766.107958061843,0.0,0.0,8,0,0,0.0,0,0,22.0,2,0,2,0,0.0,0,3,0,0,20,70,0.0,1,1,3.0,3,1.0,0,0.0,0,0,4,0,0,3,0,0,16,0,0,0,0,0,0,14,51,0,2,5,0,0,0,22,0,0,8,2,1,0.2614463557290909,0,1,0,0,0,4,0,10,0,0.4663569927215576,0.6440560174668053,4,0,0,0.0,0.0,0.0,1712.9053384476192,1268.5064633117156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.07960812619311,0.2378110568398747,54.93435413001106,555.6964938185472,882.1431288434553,685.235573780039
15,1,0,19933,0,3,3508,58916,3508,28134,14,1,1,1,False,True,False,False,20725,0,0,1,2,11,794,5,3,321,9578,2641,19755,52,0,0,0,338566,66920,21211,0,0,114,66,97,12,10,6,7,4,100,33,30,371766,0,4,10890,0,275,205,429,1,1,23622,8066,639,2,2,6,0,35,1,9,12,False,0,0,21,3,0,1325,0,0,0.2884884862729801,1,0.1887207185032001,14,10,0,3,1.0,0.0,0,0,21,6,0,1,0,0,1,947.8153948924634,0,3,2457.9741271068447,0.0,0.0,11,0,0,0.0,0,0,1.8571428571428568,3,0,1,2,0.0,0,0,1,0,17,50,0.0,0,0,87.00000008940697,0,2.0,0,0.0,0,0,2,0,0,5,0,0,21,0,0,0,1,0,1,59,78,0,1,6,0,6,0,26,1,0,6,0,3,0.3827122292750231,0,2,0,0,0,2,0,12,0,-0.1379095315933227,0.856742968755306,21,10,2,720.5041416326011,0.0,0.0,0.0,1317.0993223823446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02421770841267,-0.0488206928936415,45.57411681621441,504.48863001644526,1894.926373973804,1015.592463919979
6,0,0,14067,0,2,6413,23971,6413,13789,9,0,0,0,False,False,False,False,10800,0,0,1,1,5,456,2,1,437,909,909,8228,16,0,0,0,162066,16067,15133,0,0,75,36,58,7,7,6,4,4,100,15,8,169419,0,4,4716,0,202,70,249,1,0,6444,384,1742,2,2,7,0,30,1,7,9,False,0,0,7,1,0,300,0,0,0.0,0,0.1892591375935705,9,5,0,3,0.0,0.0,0,0,11,1,0,0,0,0,0,0.0,0,1,1930.385849499874,0.0,0.0,3,0,0,0.0,0,0,1.2222222222222223,2,0,0,2,0.0,0,0,0,0,11,55,0.0,0,0,8.999999970197678,0,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,33,36,0,1,6,0,0,0,11,0,0,6,0,1,0.1609197868122653,0,0,0,0,0,2,0,9,0,0.6239281892776489,0.9419298825290092,7,6,0,800.9647201178772,0.0,0.0,0.0,1344.4555999233617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.4482386488875,-0.1554093447575386,-82.95750823157412,382.18266062773904,539.6123268671257,780.2792381586501
6,0,0,7198,0,4,530,1559,530,5018,6,3,0,0,False,False,False,False,7200,0,0,0,0,2,354,0,1,331,248,248,3970,5,0,0,0,81157,12209,7984,0,0,46,26,35,3,4,4,3,6,100,15,5,82024,0,0,391,0,127,54,128,1,0,618,180,318,0,0,5,0,21,3,5,11,False,0,0,2,0,0,450,0,0,0.0,3,0.1433600636118019,6,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,0,1373.2093305171295,0.0,0.0,2,0,0,0.0,0,0,1.3333333333333333,0,0,0,0,0.0,0,1,0,0,29,63,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,58,0,1,6,0,0,0,8,0,0,3,0,0,0.2503157456580136,0,1,0,0,1,0,0,6,0,0.060225486755371,0.9437338011614472,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-285.7102637456234,-0.2621595935882765,-185.25944613571545,325.07789604946294,552.1517973625084,536.2474486848197
7,0,1,12897,0,3,13895,17756,13895,8517,7,1,1,0,False,False,False,False,12550,0,1,0,3,11,526,3,2,363,0,0,11060,8,0,0,0,141404,21768,6840,0,0,57,30,44,6,6,6,3,4,100,16,4,147278,0,4,4061,0,175,37,191,1,0,5874,1476,1356,4,6,0,0,12,2,0,9,True,0,0,1,1,0,0,0,0,0.2812586924659306,1,0.1549003762317008,7,4,0,0,0.0,0.0,0,0,13,6,0,0,0,0,1,599.5137606831759,2,2,1572.8865300558289,0.0,0.0,6,0,0,0.0,0,1,2.571428571428572,0,0,1,2,0.0,0,2,0,0,17,53,1.0,0,0,9.0,3,2.0,0,0.0,0,0,1,0,0,3,0,0,10,0,0,0,0,0,0,25,56,0,3,6,0,0,0,18,0,0,9,1,1,0.2066173139200431,0,2,0,0,6,6,0,7,0,-0.3707396388053894,0.4640120205047672,0,0,1,0.0,0.0,0.0,0.0,1328.9838147177495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.26316053871969,0.1144392787149184,-39.863015419029935,513.0694329052178,886.7136779094267,734.5857300710617
0,0,0,5012,0,4,1042,1042,1042,2706,2,1,0,0,False,False,False,False,5175,0,0,0,0,0,263,0,0,425,648,231,1082,4,0,0,0,52755,5024,5067,0,0,37,11,22,2,3,6,1,4,200,6,4,56905,0,0,1217,0,133,7,41,1,0,3501,78,120,0,0,0,0,8,1,1,6,True,0,0,1,0,0,0,0,0,0.0,1,0.1384694328258316,2,0,0,0,0.0,0.0,0,0,5,0,0,0,0,0,1,863.8698390251412,0,0,950.5335306316016,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,23,85,0.0,0,0,41.5,1,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,5,0,0,0,0,0,0,0,0,0,0.151941332230855,0,1,0,0,2,0,0,6,0,0.2423294782638549,0.5633863699575368,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.415203336826783,-0.3156122223280843,-90.2019731413665,354.8112603412324,336.6319963351347,395.71460435495214
5,0,0,8946,0,1,0,8773,0,5760,3,0,1,0,False,False,False,False,8550,0,0,0,3,6,1282,2,2,735,718,718,5263,4,0,0,0,91210,11583,7523,0,0,53,21,36,5,5,6,3,4,100,16,4,97034,0,0,2476,0,151,39,57,1,0,5105,1103,20,0,0,4,0,12,0,2,6,False,0,0,1,0,0,300,0,0,0.0,0,0.1610064274187357,3,6,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,2,1333.4462934078629,0.0,0.0,5,0,0,0.0,1,0,3.6666666666666665,3,0,0,0,0.0,0,4,0,0,12,60,0.0,0,0,3.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,34,32,0,0,6,0,6,0,11,0,0,8,0,0,0.3124445367473449,0,1,0,0,0,0,5,6,0,-0.3792930245399475,0.5588098315195155,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.94263269859586,0.1799847516817768,-79.91322974670894,418.86951335141526,603.1738990735548,576.2211825092087
