assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,1,0,14990,0,1,6705,14768,6705,25029,9,0,2,0,False,False,False,False,13100,0,1,1,2,5,700,3,2,424,29183,4832,10877,41,0,0,0,143990,13566,20459,0,0,721,43,51,7,6,6,5,4,100,14,23,200454,0,9,4949,0,225,210,261,1,0,27278,1636,1589,3,4,8,0,22,0,3,6,False,0,0,15,1,0,150,1,0,0.0,0,0.199327120673746,9,28,0,0,0.0,0.0,0,0,0,11,0,0,0,0,0,0.0,0,2,2020.2081382529825,0.0,0.0,0,0,0,0.0,0,0,1.1111111111111112,5,0,1,2,0.0,0,0,0,0,113,69,0.0,0,0,51.00000002980232,0,2.0,0,0.0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,145,323,0,0,3,0,4,0,10,0,0,0,0,1,0.1737985721234543,0,2,0,0,0,4,5,10,0,-0.1434193253517151,0.6726196787512602,3,1,0,0.0,0.0,0.0,0.0,1657.6832209356255,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-83.54584698681398,-0.356398920668954,27.11601788089625,404.7503742397088,595.0376979668745,977.8992384954984
2,0,0,2767,0,5,60,60,60,1791,4,0,0,0,True,False,False,False,2525,0,0,0,0,0,123,0,0,201,1635,471,824,0,0,0,0,9928,1036,4203,0,0,110,8,6,0,1,6,1,4,100,0,0,21326,0,0,322,0,55,25,34,1,0,9762,0,102,0,0,0,0,3,1,1,2,True,0,0,0,0,0,0,0,0,0.0,0,0.2194403269638398,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,561.1931734851097,0.0,0.0,0,0,0,0.0,0,0,0.5,1,0,0,0,0.0,0,0,0,0,99,55,0.0,0,0,19.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,127,0,0,2,0,0,0,2,0,0,2,0,0,0.0988623886476674,0,0,0,0,0,0,0,1,0,0.1765323877334594,0.3785359368448981,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.76146893902828,-0.5345752838313169,24.26971788594179,303.4249311026555,161.2279056035252,548.4742412109312
9,0,0,14837,0,1,0,11020,0,18327,6,0,2,0,False,False,False,False,15830,0,0,2,1,10,629,8,2,759,27249,7676,7483,21,0,0,0,163977,20224,14695,0,0,678,50,35,8,7,6,3,4,200,10,17,211189,0,0,6135,0,245,225,121,1,0,19963,1159,1712,0,0,8,0,33,0,14,10,False,0,0,10,2,0,600,0,0,0.0,0,0.1837884578908917,6,8,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1987.166538429372,0.0,0.0,0,0,0,0.0,1,0,3.1666666666666665,2,0,1,0,0.0,0,2,0,0,41,71,0.0,1,0,30.0,0,2.0,0,0.0,0,0,2,0,0,3,0,0,13,0,0,0,0,0,1,43,341,0,0,5,0,4,0,19,0,0,2,0,2,0.2895861238248527,0,0,0,0,0,0,0,11,0,0.576729416847229,1.0039734698421805,14,4,0,0.0,0.0,0.0,1944.832022322413,1251.3246702198028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.369958733657786,0.0301937451339247,31.00897625254075,489.16886491471536,877.4302335918542,721.358764994597
3,0,0,6983,0,3,3589,3589,3589,7527,1,1,0,0,False,False,False,False,7725,0,0,0,1,3,194,3,1,800,10176,1825,3613,1,0,0,0,52754,4165,8452,0,0,462,19,26,3,3,4,4,6,200,0,0,79214,0,1,2773,0,142,37,27,1,0,16284,54,260,0,2,0,0,20,1,4,7,True,0,0,0,0,0,0,0,0,0.1909700948559708,1,0.19119317465996,1,6,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,719.2554432999999,0,0,1139.9371816,0.0,0.0,0,0,0,0.0,0,0,6.0,1,0,1,1,0.0,0,1,0,0,61,71,0.0,0,0,24.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,39,330,0,0,6,1,0,0,6,0,0,4,1,0,0.1085640959785567,0,2,0,0,3,2,5,6,0,0.8147825002670288,1.1040695633092266,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.68579122412933,0.1579034379309871,67.21423007929019,408.0224836136708,318.17542743093907,648.7725919791158
1,0,0,7049,0,1,2120,2201,2120,8360,5,0,0,0,False,False,False,False,7300,0,0,2,0,0,276,0,0,513,12735,3165,3835,0,0,0,0,59981,6075,8138,0,0,419,18,31,5,2,4,3,6,200,2,0,83429,0,0,1446,0,170,29,139,1,0,10712,0,596,0,0,10,0,16,0,6,6,False,0,0,0,0,0,0,0,0,0.0,0,0.1105462469794627,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1353.3540922919717,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,19,90,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,240,0,0,6,0,0,0,1,0,0,0,0,0,0.2163198031154258,0,0,0,0,3,0,0,7,0,-0.0658795833587646,0.7320695779276633,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-213.38096337443875,-0.7980173157573026,-166.4752789260373,344.654811816515,409.6932230507352,557.2377578751965
10,0,11,22822,0,9,14643,60451,14643,50088,7,5,5,1,False,False,False,False,20775,2,3,1,3,18,1056,11,3,896,64091,15618,20977,34,0,0,0,321084,39052,11449,0,0,1180,75,60,12,8,6,5,4,100,23,26,431378,0,0,13231,0,325,266,192,1,3,46200,1963,1765,6,8,8,0,61,6,19,14,True,0,0,17,2,0,1275,0,0,0.7331654766427238,5,0.1835368194519867,7,12,0,4,0.0,0.0,0,0,0,1,0,1,0,0,1,652.5370131649926,2,2,2369.065795310996,0.0,0.0,0,0,0,0.0,1,1,4.0,2,0,2,4,0.0,0,0,0,0,96,75,0.0,1,1,59.000000059604645,6,1.0,0,0.0,0,0,8,0,0,3,0,0,21,0,0,0,1,0,1,63,894,0,1,5,0,25,1,28,0,0,3,1,2,0.3747220300694912,0,1,0,1,5,8,5,15,0,1.8032655715942385,1.5539864412184026,19,9,3,1089.4106655789294,0.0,0.0,2219.240807485316,1783.1022255151704,1.0,10.033655485553028,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,183.81929318380665,0.2785908273659235,91.45377069257728,607.2013714634561,1434.3375379128831,865.9615972086962
14,0,5,24396,0,3,11685,33641,11685,43981,6,0,2,2,False,True,False,True,34605,1,1,0,5,19,1567,5,3,988,61722,13309,17789,46,0,0,0,319444,32516,19222,0,0,1085,102,102,13,5,4,9,6,100,11,28,414305,0,10,14706,0,354,237,246,1,1,33136,1171,1281,4,7,9,0,51,1,19,13,True,0,0,14,0,0,750,0,0,0.0,0,0.1738164289700998,6,16,0,4,0.0,0.0,0,0,0,15,0,1,0,0,1,823.85102629196,0,4,2813.47490057167,0.0,0.0,0,0,0,0.0,0,1,5.5,3,0,4,3,0.0,0,3,0,0,21,81,0.0,0,0,25.0,1,1.0,0,0.0,0,0,3,1,0,3,0,0,25,0,0,0,1,0,0,85,368,0,1,3,0,0,1,33,0,0,4,0,0,0.2496305385405636,0,1,0,0,5,7,5,17,0,-0.0439726114273071,1.0955050292768014,19,4,0,702.4345411470962,0.0,0.0,0.0,0.0,0.0,24.728416392388223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.15589630476433,0.4265188218868318,-6.16319697626472,545.0697284302768,1002.2552536107718,816.6342623256226
1,0,0,10429,0,2,380,5235,380,18931,5,1,1,0,False,False,False,False,11225,0,0,1,1,4,400,4,2,511,21282,4266,3611,12,0,0,0,111454,8280,17980,0,0,532,38,34,9,4,6,4,4,200,4,8,148428,0,0,2686,0,242,89,122,1,0,15691,116,488,0,0,9,0,25,1,12,7,False,0,0,12,0,0,0,0,0,0.0,1,0.1909025520308282,5,12,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1686.6003164374106,0.0,0.0,0,0,0,0.0,0,0,1.0,1,0,1,0,0.0,0,1,0,0,20,71,0.0,0,0,26.000000059604645,0,1.0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,64,304,0,0,4,0,2,0,5,0,0,4,1,1,0.1668674963701744,0,0,0,0,1,0,0,11,0,-0.312687873840332,0.8990918823390076,18,10,0,0.0,0.0,0.0,0.0,1473.314185397957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-48.70152056742377,-0.3557452196305608,-81.39450625147231,401.4229058311248,450.5157461401422,785.4854449442782
3,0,3,12178,0,3,7225,22257,7225,15542,2,2,2,0,False,False,False,False,11650,0,1,0,3,12,357,7,4,841,21458,6246,6783,8,0,0,0,115814,15602,9204,1,0,692,26,39,4,3,6,3,4,200,5,8,174980,0,0,3597,0,237,92,70,1,2,37707,601,1009,2,5,2,0,21,2,5,9,True,0,0,7,1,0,0,0,0,0.6667701846161515,2,0.2338173456538553,2,2,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,869.2903987,1,3,1556.9927805,0.0,0.0,0,0,0,0.0,1,0,7.5,6,0,2,3,0.0,0,0,0,0,80,89,0.0,0,0,48.00000002980232,1,2.0,0,0.0,0,0,5,1,0,1,0,0,13,0,0,0,0,0,0,17,357,0,0,5,0,0,0,15,0,0,2,1,1,0.3829353557868832,0,1,0,0,1,5,0,11,0,0.1157240867614746,0.8295507803806672,5,5,0,1501.4772194,0.0,0.0,0.0,1256.5879005,1.0,15.43663800000013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,197.26488384960115,0.462429889860366,110.63635114909258,526.0910713644764,865.1292522804348,654.9934031630535
13,0,4,17457,0,5,8651,25767,8651,23718,4,2,2,1,False,True,False,False,19100,0,1,0,3,17,1355,8,2,818,37313,10831,10207,21,0,0,0,219530,23476,10445,0,0,887,63,39,9,4,6,5,4,100,10,13,321443,0,4,7287,0,312,227,107,1,0,64602,1361,705,2,4,6,0,50,2,11,20,True,0,0,6,0,0,300,1,0,0.422954004687762,2,0.1497525044663679,4,2,0,4,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,1,2,2258.4980137432703,0.0,0.0,0,0,0,0.0,1,0,7.5,6,0,3,2,0.0,0,0,1,0,145,70,0.0,1,0,46.79999998211861,0,2.0,0,0.0,0,0,2,0,0,2,0,0,22,0,0,0,0,0,0,17,574,0,0,3,0,7,0,30,0,0,8,1,0,0.2980447343979879,0,0,0,0,4,4,0,14,0,0.0220842361450195,1.3297667342095312,11,1,1,394.4823983620836,0.0,0.0,1907.2444267352869,0.0,0.0,43.36454813337059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.19958054063444,0.5313265686743293,31.799895135158607,558.1054277355155,947.5943689022324,567.4036426873163
