assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,7727,0,6,0,2461,0,11539,5,4,0,0,False,False,False,False,6975,0,0,0,2,4,0,2,1,635,74377,6521,9801,104,0,0,0,16825,929,10939,0,0,45,61,83,5,11,11,3,4,200,22,87,122344,0,8,7822,0,17,194,147,1,0,31140,1467,550,0,0,4,0,15,5,0,5,False,0,0,58,0,0,0,1,0,0.5360662462853041,4,0.2813196865318096,5,1,0,0,0.0,0.0,0,0,22,4,0,0,0,0,0,0.0,0,0,1233.1450565834607,0.0,0.0,5,2,1,64.00000008940697,0,0,1.4,0,0,0,2,0.0,0,0,1,0,2,7,0.0,0,0,20.000000059604645,0,2.0,0,-18.000000029802322,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,12,12,0,1,1,0,4,0,7,0,0,5,0,0,0.1978279064932566,0,0,0,0,0,0,0,0,0,-0.1089935302734375,0.7592036663815341,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316.84836906578124,-0.7298411449611054,-252.86562869085765,356.74635165698834,433.9148887175425,1035.9365211577929
11,1,0,12791,0,10,0,24333,0,18708,4,9,2,3,True,False,False,False,12725,0,0,1,2,9,0,6,2,1034,108979,17216,10626,128,0,0,0,19176,1039,12068,0,0,59,108,111,9,16,11,4,4,200,33,91,165746,0,0,8584,0,29,159,116,1,0,37590,2189,217,0,0,8,0,37,9,6,10,False,0,0,59,1,0,600,0,0,0.783529155224038,9,0.2080891801599119,4,0,0,3,0.0,0.0,0,0,56,0,1,1,0,0,1,709.1261712885894,0,1,1864.204860365332,0.0,0.0,15,2,1,56.00000008940697,2,0,5.0,3,0,1,0,0.0,0,2,1,0,2,3,0.0,0,0,37.0,0,2.0,0,-41.00000008940697,0,0,2,0,0,2,0,0,15,0,0,0,1,0,3,7,19,0,0,1,0,2,0,20,0,0,8,0,1,0.2288950738863124,0,1,0,0,3,0,0,0,0,0.1861521005630493,1.20846286254047,6,2,0,677.0983701844068,0.0,0.0,0.0,1365.414057477867,0.0,9.058737302526424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087533597840043,-0.1609265196000016,-48.40669709568051,422.3677433421644,657.9963533404868,737.4296834150477
8,2,0,15788,0,6,256,25254,256,44779,7,4,1,2,False,False,False,False,13300,0,0,1,1,4,3,2,2,665,122902,15091,10009,160,1,0,0,21762,984,22153,0,0,74,123,142,10,20,11,4,4,200,46,107,198820,0,4,10622,0,18,196,221,1,0,54155,2648,936,0,0,9,0,45,4,5,5,False,0,0,79,2,0,1200,1,0,0.8643996246849228,4,0.2244880925217665,7,14,0,2,0.0,0.0,0,0,57,1,2,0,1,1,1,860.5178726964542,0,1,2258.4980137432703,0.0,0.0,10,3,1,52.00000008940697,0,0,1.7142857142857142,0,0,0,0,0.0,0,0,1,0,4,1,0.0,0,0,11.000000029802322,0,1.0,0,-35.500000059604645,0,0,1,0,0,2,0,0,12,0,0,0,2,0,5,75,23,0,0,1,0,2,0,12,0,0,2,0,2,0.1621892316653832,0,2,0,0,2,0,5,0,0,0.0132544040679931,1.201561681213253,5,1,0,733.385073288205,0.0,0.0,0.0,1657.0667385272968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.906160448893477,-0.5313265686743293,-31.959293105760903,375.1696901409439,497.4279335929071,879.3189048275813
4,0,4,6831,0,2,0,12237,0,6994,0,1,0,1,False,True,False,False,5925,0,0,0,1,4,0,4,1,0,68072,4660,4474,100,0,0,0,14688,1210,9573,0,0,42,63,79,4,8,11,2,4,100,15,71,106974,0,4,8587,0,13,154,0,1,0,24213,1300,0,0,0,0,0,11,1,1,4,True,0,0,45,0,0,0,0,0,0.3099810399539484,1,0.30993155086302,0,0,0,1,0.0,0.0,0,0,16,6,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,5,2,1,64.00000005960464,0,0,8.0,0,0,1,1,0.0,0,1,0,0,1,6,0.0,0,0,35.000000059604645,0,2.0,0,-36.000000059604645,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,2,8,0,1,3,0,4,0,8,0,0,7,1,0,0.2003755175881953,0,1,0,0,1,0,0,0,0,0.0498912334442138,0.7819348163215161,2,2,0,674.4039957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.25818993842688,0.3278548703624893,107.7986813751865,445.03020103004303,470.1438840998097,921.0754727963777
17,0,2,17072,0,5,987,56903,987,56220,3,2,0,4,False,False,False,False,13500,0,1,0,2,7,0,5,1,818,175711,18728,10730,199,0,0,0,31395,1849,23827,0,0,99,134,192,13,16,11,5,4,200,45,133,278449,0,20,18850,0,31,312,111,1,0,71341,3716,2699,1,4,2,0,19,4,5,3,True,0,0,84,0,0,375,2,0,0.3061265154343904,2,0.3205195181603479,3,1,0,4,1.0,0.0,0,0,61,12,3,1,0,0,1,968.3480497,1,0,1952.7303731,0.0,0.0,18,2,1,60.00000002980232,1,0,8.0,2,0,1,1,0.0,0,1,0,0,3,9,1.0,0,0,84.39999988675117,1,3.0,0,-40.600000113248825,0,1,0,0,0,1,1,0,16,0,0,0,2,0,3,14,21,0,1,1,0,0,0,24,0,0,10,0,0,0.2277343378141339,0,2,0,0,0,4,10,1,0,-0.5792433023452759,0.61285847586302,5,3,0,559.4162431999999,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.76513169512907,0.3379882901868507,151.66456366929955,467.49925774481216,746.4625019817593,1144.7970650710622
6,0,1,5823,0,5,0,10536,0,4958,2,4,0,1,True,False,False,False,6150,0,0,0,2,7,0,3,1,379,52064,5566,1779,70,0,0,0,10286,1012,9156,0,0,40,60,60,3,8,11,2,4,100,18,45,81740,0,10,5220,0,9,109,31,1,0,19389,662,231,0,0,0,0,18,4,3,5,True,0,0,35,0,0,0,1,0,0.4703075513579877,4,0.3439513442061973,2,0,0,1,0.0,0.0,0,0,21,9,0,0,0,0,1,829.6604181,0,0,916.4914564,0.0,0.0,11,1,0,47.00000008940697,0,0,6.5,0,0,2,4,0.0,0,1,0,0,8,7,0.0,0,0,3.9999999701976776,0,1.0,0,-39.500000059604645,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,6,15,0,1,1,0,0,0,13,0,0,13,0,0,0.1979073014620554,0,0,0,0,1,0,0,0,0,0.4645233154296875,1.1921414688359564,3,3,0,590.0536473999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,131.65425510233922,0.7201376460098118,46.93988110809409,457.091004040046,473.9815051919125,731.1361118761434
9,1,4,11685,0,1,816,31239,816,21393,1,0,1,2,True,False,True,False,9650,0,1,0,1,5,0,4,2,496,105233,6674,7807,143,0,0,0,23681,846,12434,0,0,67,113,109,4,2,4,14,11,200,23,85,172142,0,22,13163,0,22,112,16,1,0,43226,1322,393,1,3,1,0,21,0,7,1,True,0,0,59,1,0,0,1,0,0.0,0,0.290174568230468,1,2,0,3,0.0,0.0,0,0,27,13,1,1,0,0,1,680.708349774837,0,2,1469.263049992055,0.0,0.0,9,2,1,68.00000008940697,0,1,14.0,2,0,1,2,0.0,0,0,0,0,2,7,1.0,0,0,38.599999994039536,2,2.0,0,-40.00000008940697,0,0,1,0,0,1,0,0,12,0,0,0,2,0,3,14,15,0,1,1,0,2,0,14,0,2,10,0,1,0.1266308653913569,0,2,0,0,4,3,10,0,1,-0.068845510482788,0.8593070801626158,7,5,0,483.4263131724385,0.0,1.0,0.0,1339.0019657575751,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,110.30019437355098,0.2450207946098874,99.51927941071592,439.2814479364265,361.1198144558724,842.6673494625044
17,0,0,9351,0,7,361,22195,361,16489,4,6,1,2,False,False,False,False,8850,0,0,0,1,5,0,3,2,474,83999,13783,5938,108,0,0,0,17356,1556,16214,0,0,50,77,97,8,14,11,3,4,100,37,71,135771,0,4,9726,0,7,125,98,1,0,34414,1817,1860,0,1,2,0,33,6,5,8,True,0,0,58,0,0,0,0,0,0.1214351995345324,6,0.3152110310501324,4,3,0,2,0.0,0.0,0,0,47,6,1,0,0,0,1,889.3361205990416,0,0,1396.049478908283,0.0,0.0,19,2,1,56.000000059604645,0,0,5.5,4,0,1,1,0.0,0,1,0,0,3,2,0.0,0,0,20.000000059604645,3,1.0,0,-33.000000059604645,0,0,1,0,0,3,0,0,16,0,0,0,1,0,4,18,22,0,0,2,0,4,0,22,0,0,8,0,0,0.2724488754039921,0,2,0,0,3,1,5,0,0,0.1828713417053222,1.4361899951278494,5,4,1,429.5846601546833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.61106770017809,0.5587194521285618,13.237353173507463,414.95663925394337,737.380741551518,1032.040784920243
4,0,1,5822,0,6,0,14911,0,5285,1,2,0,1,False,False,False,False,5400,0,0,0,0,2,0,0,1,764,50856,3858,3846,76,0,0,0,12054,598,8454,0,0,34,59,58,3,2,4,9,11,100,11,58,84139,0,0,6338,0,8,99,21,1,0,21227,607,30,0,0,1,0,13,4,2,5,True,0,0,44,0,0,150,0,0,0.7377538829104712,2,0.2852923492408741,1,1,0,1,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,965.922444119881,0.0,0.0,6,1,1,44.000000059604645,1,0,6.0,0,0,0,2,0.0,0,0,1,0,2,4,0.0,0,0,4.000000029802322,7,1.0,0,-45.000000059604645,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,10,8,0,0,3,0,0,0,6,0,0,5,0,0,0.198489979661443,0,1,0,0,0,0,0,0,0,-0.0114847421646118,0.8259819176095575,2,2,0,757.1491639365576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410291971092547,0.1242335766504942,16.709416059491478,347.97824819803446,314.55941607905146,765.9000000502972
1,0,0,4618,0,4,0,1638,0,7102,5,3,0,0,False,False,False,False,4725,0,0,0,0,1,0,0,1,244,46094,4015,1603,72,0,0,0,11193,801,14267,0,0,30,49,62,4,9,11,2,4,200,13,63,77168,0,4,5480,0,5,117,102,1,0,19881,623,707,0,0,4,0,13,3,2,4,False,0,0,46,0,0,300,0,0,0.0,3,0.3433660478184322,5,0,0,0,0.0,0.0,0,0,14,6,0,0,0,0,0,0.0,0,0,920.6616737659828,0.0,0.0,1,2,0,52.00000011920929,0,0,0.4,0,0,0,1,0.0,0,0,0,0,3,4,0.0,0,0,4.0,0,1.0,0,-29.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,10,0,0,1,0,0,0,2,0,0,2,0,0,0.2381653111489442,0,0,0,0,0,0,0,0,0,-0.1444737315177917,0.9001940350613011,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194.07780848431145,-0.5213641597966727,-122.4554070322435,316.6635565565041,354.46245814176285,1080.3317096186804
