assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,1,1,14792,0,5,5658,65068,5658,32463,2,4,0,3,True,False,False,False,12500,0,1,0,2,6,707,3,1,908,6324,1406,7311,168,0,0,0,186212,10176,17202,0,0,360,33,47,13,3,4,20,11,200,21,63,252191,0,50,15130,0,39,294,67,1,0,59653,3194,1313,2,6,3,0,42,4,10,6,True,0,0,45,1,0,0,5,0,0.7270727677200006,4,0.2048131390320709,2,2,0,3,1.0,0.0,0,0,16,31,0,2,0,0,0,0.0,0,0,1813.083309573935,0.0,0.0,6,3,2,60.00000008940697,0,0,6.0,2,0,1,3,0.0,0,0,0,0,0,2,0.0,0,0,59.75000011920929,0,3.0,0,-2.5,0,0,0,0,0,1,0,0,10,0,0,0,2,0,6,19,0,0,1,2,0,7,0,12,0,1,6,0,1,0.1695761154070977,0,2,0,0,2,6,5,1,0,0.6807782649993896,1.402531522248801,10,8,3,1043.9770852958595,0.0,2.0,0.0,1602.218140547675,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,130.94820229512368,0.1985567889236144,114.03778243846251,426.7647249931552,489.0122783207083,854.6876979216981
10,1,0,12256,0,2,2966,57069,2966,21185,3,1,0,3,True,False,False,False,10450,0,1,0,1,4,1425,4,1,662,16743,1650,7049,140,0,0,0,138046,10634,13719,0,0,282,56,32,14,15,11,5,6,200,15,79,205248,0,10,11295,0,35,288,87,1,0,50458,4075,1616,2,3,2,0,33,1,4,3,True,0,0,62,1,0,0,0,0,0.6436888360065263,1,0.3157991748663183,3,1,0,3,0.0,0.0,0,0,14,10,0,1,0,0,0,0.0,0,0,1498.8338281616489,0.0,0.0,5,2,1,60.00000011920929,0,0,4.666666666666667,3,0,1,1,0.0,0,0,0,0,0,3,1.0,0,0,53.50000008940697,1,3.0,0,-33.00000002980232,0,0,0,0,0,0,0,0,8,0,0,0,2,0,5,10,0,0,0,2,0,2,0,14,0,0,6,0,1,0.2346035244186115,0,2,0,0,2,3,0,1,0,1.1246178150177002,1.3470650341019337,4,2,0,761.4833855532434,0.0,0.0,0.0,1347.1519983334233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.32421643374433,0.2802178547805655,111.04633273732696,474.12861028871686,654.9091577442931,896.1366995882486
3,0,0,12775,0,1,571,27699,571,28304,5,0,0,1,False,False,False,False,11300,0,0,3,1,7,3710,3,1,678,3518,849,6372,151,0,0,0,178445,10847,14568,0,0,353,31,20,10,4,4,14,11,200,14,111,225083,0,10,9148,0,36,263,126,1,0,43120,3110,1388,0,0,11,0,17,0,3,1,False,0,0,86,0,0,675,0,0,0.0,0,0.2306828797288591,5,5,0,2,0.0,0.0,0,0,11,9,0,0,0,0,0,0.0,0,0,1847.5961202539563,0.0,0.0,3,2,2,64.00000008940697,0,0,2.0,0,0,1,1,0.0,0,1,0,0,0,5,0.0,0,0,27.00000002980232,0,2.0,0,-46.50000008940697,1,0,0,0,0,0,0,0,7,0,0,0,1,0,4,28,0,0,3,1,0,0,0,10,0,0,6,0,0,0.2111091661872327,0,1,0,0,2,0,0,1,0,-0.2238953709602356,0.5596668163512163,3,1,1,463.6354377610925,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.50023529202669,-0.1298985191455216,-111.81015035450773,403.78954676385393,480.8518432469346,725.0935338703016
2,0,9,6263,0,1,2433,17722,2433,8041,2,0,2,1,False,False,False,True,6950,0,0,0,1,10,462,9,3,334,2976,777,3191,67,0,0,0,55104,5975,7842,0,0,176,23,24,10,11,11,4,6,100,9,48,76660,0,0,7033,0,8,150,26,1,1,18579,1846,190,1,1,1,0,9,0,2,2,True,0,0,31,0,0,525,0,0,0.0,0,0.2471457430900156,2,1,0,1,0.0,0.0,0,0,8,0,0,0,0,0,1,787.2552131921302,0,0,948.7265570769172,0.0,0.0,4,2,0,48.000000059604645,0,1,6.0,0,0,1,1,0.0,0,2,0,0,0,3,0.0,1,0,4.000000029802322,1,2.0,0,-37.000000059604645,1,0,3,0,0,1,0,0,11,0,0,0,1,0,2,10,0,0,0,2,0,6,1,12,0,0,10,0,0,0.2672699490885793,0,1,0,0,7,1,0,0,0,-0.3667223453521728,0.6261279756062165,2,2,1,938.4118678384422,0.0,2.0,904.754792365668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.6464106591133,0.5059413551981812,99.54396163524214,572.2196727291429,543.823714168645,709.8357213430481
7,0,0,9013,0,6,599,17731,599,12928,6,4,0,1,False,False,True,False,8675,0,0,2,1,3,997,2,1,376,7083,828,5627,100,0,0,0,79087,3270,12367,0,0,206,36,25,5,5,6,8,11,200,10,77,111901,0,0,6710,0,23,251,121,1,0,25730,1615,1325,0,1,9,0,26,5,5,6,False,0,0,44,0,0,0,0,0,0.6232424354050126,4,0.2304335328728668,6,2,0,1,0.0,0.0,0,0,9,0,0,0,0,0,1,764.4231541812708,0,2,1515.2291654945373,0.0,0.0,3,2,1,48.000000059604645,0,1,1.6666666666666667,0,0,0,1,0.0,0,0,1,0,0,1,0.0,0,0,18.000000029802322,0,1.0,0,-29.00000002980232,0,0,0,0,0,0,0,0,8,0,0,0,1,0,3,12,0,0,0,2,0,1,0,10,0,0,6,0,0,0.1187873574252912,0,1,0,0,3,1,5,0,0,0.464114785194397,1.037086053022937,5,3,0,734.3938012727425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.74147205583033,-0.3167837650771054,-130.5941071530367,367.6275593719809,226.3024021769572,765.0327926612097
15,1,3,15045,0,5,6563,48599,6563,20358,3,3,1,4,False,False,False,False,11900,1,2,0,4,12,800,4,2,487,16624,2266,8760,118,0,0,0,144899,12713,13798,0,0,266,56,44,19,17,11,6,6,200,26,76,201886,0,2,13691,0,52,361,82,1,0,40361,4118,2450,5,6,3,0,28,4,6,4,True,0,0,60,1,0,0,0,0,0.6832220812848667,3,0.2411679498992528,3,3,0,4,0.0,0.0,0,0,21,1,0,2,0,0,1,837.8741106,0,0,1660.565978,0.0,0.0,14,2,1,48.000000059604645,0,0,9.0,5,0,3,3,0.0,0,4,0,0,0,7,0.0,0,0,4.000000029802322,0,1.0,0,-49.00000008940697,0,0,1,0,0,5,1,0,18,0,0,0,1,0,2,21,0,0,3,1,0,0,0,27,0,0,15,0,1,0.193993649373582,0,1,0,0,0,6,0,2,0,1.237563133239746,1.0370278382051163,6,3,0,466.502351,0.0,2.0,0.0,1362.7152402,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.009658245569572,0.6142484029622821,58.24520150442345,542.9233237006617,690.0538823396272,903.6316652755124
7,2,1,20302,0,3,3004,58275,3004,50015,4,2,1,1,False,True,False,True,17650,0,0,0,3,17,1425,7,2,857,24601,6935,13202,148,0,0,0,202869,26185,16904,0,0,390,66,50,22,8,6,24,11,100,39,79,290907,0,29,19363,0,91,401,175,1,0,63436,13955,4746,2,4,5,0,38,2,12,4,True,0,0,47,2,0,675,2,0,0.828841558065429,2,0.2932966754401238,4,3,0,1,1.0,0.0,0,0,32,22,1,0,0,0,1,620.8858128857095,0,2,1989.707922929952,0.0,0.0,13,2,1,56.000000059604645,0,1,6.0,4,1,2,6,0.0,0,1,0,0,0,0,1.0,0,0,79.80000004172325,5,3.0,0,-32.0,0,0,1,0,0,4,0,0,19,0,0,0,2,0,2,19,0,0,5,2,0,6,1,24,0,0,7,0,2,0.4097368351936743,0,2,0,0,3,4,5,4,0,0.1586925983428955,1.1642703412227589,12,7,1,1358.5915069974174,0.0,3.0,0.0,1233.5204779091152,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,227.12881362734055,0.241241437734828,183.94659627280635,588.7195736121308,1419.5852403505953,1050.9683234917782
5,0,0,11866,0,7,0,18230,0,34326,6,4,0,0,False,False,False,False,11475,0,0,1,2,7,891,4,1,985,15359,2211,5197,117,0,0,0,128322,7887,22760,0,0,319,54,46,8,6,6,18,11,200,24,92,180020,0,13,9544,0,47,348,223,1,0,36339,4191,1133,0,0,9,0,27,6,4,7,False,0,0,60,0,0,1250,1,0,0.8411730917435044,4,0.2330829671385234,6,15,0,0,0.0,0.0,0,0,19,4,0,0,0,0,0,0.0,0,0,1724.8485084,0.0,0.0,4,2,0,61.000000059604645,0,0,2.0,4,0,1,1,0.0,0,0,1,0,0,2,0.0,0,0,12.000000029802322,0,1.0,0,-39.000000059604645,0,0,0,0,0,3,0,0,9,0,0,0,0,0,1,79,0,0,2,3,0,0,0,12,0,0,7,1,0,0.2103847226883792,0,0,0,0,0,0,0,1,0,-0.2876068949699402,0.9492875885707928,4,3,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.51018748006825,-0.5565706178396577,-110.2705536594822,424.0372394665892,497.0871330580443,1011.9845258869576
6,1,1,13409,0,5,3241,26721,3241,29926,3,4,0,1,False,False,False,False,11400,1,2,0,1,7,132,6,1,1155,9709,1358,5757,166,0,0,0,165953,9807,13625,0,0,338,52,43,12,13,11,2,4,200,16,125,218042,0,15,12088,0,36,345,84,1,0,42378,1884,1405,3,4,2,0,36,4,12,5,True,0,0,96,1,0,750,2,0,0.6127483716408794,4,0.2629596567658152,3,0,0,1,0.0,0.0,0,0,12,5,1,0,0,0,1,912.0982907,0,2,1625.8886424,0.0,0.0,6,2,0,71.00000011920929,1,0,4.333333333333333,2,0,1,2,0.0,0,0,0,0,0,2,0.0,0,0,26.000000089406967,7,2.0,0,-31.00000002980232,0,0,0,0,0,2,0,0,10,0,0,0,1,0,1,7,0,0,3,1,0,0,0,13,0,0,6,0,1,0.2000977305442179,0,1,0,0,0,4,0,1,0,0.3049756288528442,1.3490145263656872,13,9,2,712.0187753,0.0,2.0,0.0,1477.4585820999998,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,71.84993913701257,0.0369028963210131,63.43607877582158,487.1920372300154,481.5827969892214,767.137408721221
2,0,0,5106,0,3,0,8203,0,6918,7,1,0,0,False,False,False,False,4525,0,0,0,0,0,409,0,0,192,2398,467,4172,83,0,0,0,62475,2452,6478,0,0,140,18,18,1,11,11,3,6,200,7,44,82681,0,21,3883,0,4,73,128,1,0,17807,248,1505,0,0,2,0,12,2,1,4,False,0,0,35,0,0,0,2,0,0.0,1,0.2623260293806169,7,0,0,0,0.0,0.0,0,0,7,13,0,0,0,0,0,0.0,0,0,916.4914564,0.0,0.0,1,3,2,61.00000008940697,0,0,0.2857142857142857,1,0,0,0,0.0,0,0,0,0,0,2,0.0,0,0,20.00000002980232,0,1.0,0,-21.500000059604645,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,9,0,0,0,3,0,0,0,2,0,0,2,0,0,0.1632003781481101,0,1,0,0,2,0,0,0,0,-0.3171839714050293,0.8140132885642843,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.65425510233922,-0.7201376460098118,-46.93988110809409,325.43674893770674,207.39964205082575,795.8175658995701
