assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
13,1,0,14312,0,3,1350,36607,1350,17920,2,2,0,3,False,False,False,False,11350,0,1,1,2,7,0,4,1,947,151604,17990,9611,152,1,0,0,11049,327,18842,0,0,43,132,53,9,18,11,3,4,100,29,94,204225,0,8,19791,0,43,634,32,1,0,41571,1183,1033,1,3,5,0,70,2,7,2,False,0,0,57,1,0,0,0,0,0.7589683292046179,2,0.2656624812655533,2,4,0,3,0.0,0.0,0,0,29,7,1,1,1,1,1,879.5138443057319,0,0,1596.1614143864,0.0,0.0,11,1,1,60.00000008940697,0,0,10.0,5,0,2,1,0.0,0,0,0,0,0,5,0.0,0,0,64.00000002980232,0,3.0,0,-46.00000002980232,1,0,0,0,0,1,0,0,11,0,0,0,1,0,6,25,0,0,0,0,0,2,0,20,1,0,8,1,1,0.2182840370316363,0,1,0,0,0,3,5,1,0,1.99902892112732,2.6665455913513485,7,4,0,750.1505253674151,0.0,1.0,0.0,1251.089494932599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.74624170087829,0.3759018321030228,145.92509122239346,445.1805397596099,733.0461627841048,1108.4217323221835
13,0,1,11661,0,2,328,20121,328,13501,4,1,1,0,False,False,False,False,10875,0,1,0,2,10,0,5,2,352,118622,14566,5688,116,0,0,0,7507,206,16873,0,0,46,135,73,6,13,11,11,4,200,43,92,156759,0,4,11932,0,15,799,92,1,0,30629,2188,581,0,1,2,0,34,1,7,1,True,0,0,65,1,0,0,1,0,0.2291661577123038,1,0.2337761743799387,4,2,0,0,0.0,0.0,0,0,47,1,0,0,0,0,1,797.7268645147359,0,2,1437.1606706159237,0.0,1.0,13,2,1,56.000000059604645,0,0,5.75,7,0,2,3,0.0,0,0,0,0,1,3,0.0,0,0,8.0,0,2.0,0,-45.00000008940697,1,0,1,1,0,0,0,0,18,0,0,0,1,0,2,13,45,0,0,0,0,0,0,23,0,0,8,1,1,0.2080373509911231,0,1,0,0,0,1,0,0,0,1.200303554534912,1.458868437289098,7,5,0,0.0,0.0,2.0,0.0,1282.5073504003176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.6853976507784,0.7097327535152064,98.27711186910562,500.4450891992223,708.1045430806714,966.1550224617002
9,0,0,12427,0,7,385,32861,385,18978,6,7,0,3,False,False,False,False,10575,0,2,0,0,4,0,0,1,589,133257,11267,12263,135,0,0,0,9587,277,19628,0,0,33,123,69,6,19,11,6,4,100,48,109,183369,0,0,19304,0,10,727,147,1,0,40524,2385,1575,1,1,1,0,53,7,5,7,True,0,0,77,1,0,0,0,0,0.4481884179115174,7,0.3194105356297066,6,0,0,3,0.0,0.0,0,0,45,0,1,1,0,0,1,901.9906812890006,0,0,1675.4258555453723,0.0,1.0,6,2,1,52.000000059604645,0,0,2.1666666666666665,2,0,0,0,0.0,0,0,0,0,5,0,0.0,0,0,12.0,1,1.0,0,-41.000000059604645,0,1,0,0,0,0,0,0,7,0,0,0,2,0,1,8,33,0,1,0,0,0,0,13,0,0,6,0,1,0.1649149600123541,0,2,0,0,2,1,10,0,0,0.3371888399124145,1.921064920005372,5,1,0,919.9319840412444,0.0,0.0,0.0,1470.871840542552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-41.18355925547039,0.0716235813138615,-55.36502835561497,390.5633889044869,498.8224320603887,1198.513197915502
10,1,1,14183,0,0,2243,43841,2243,18515,3,0,2,1,False,False,False,False,12350,0,2,0,1,10,0,8,2,696,175662,25251,7195,144,0,0,0,8993,214,20486,0,0,60,135,84,8,6,4,19,11,100,54,118,223535,0,0,18721,0,32,837,97,1,0,38878,2646,481,1,3,3,0,40,0,4,0,True,0,0,79,1,0,450,0,0,0.0,0,0.2270391647197586,3,0,0,2,0.0,0.0,0,0,62,0,0,0,0,0,0,0.0,1,1,1750.577052839741,0.0,0.0,12,2,1,64.00000005960464,0,0,6.666666666666667,3,0,1,1,0.0,0,2,0,0,7,7,0.0,1,0,23.00000002980232,4,1.0,0,-41.000000059604645,1,0,2,0,0,2,0,0,13,0,0,0,2,0,2,3,35,0,1,0,0,0,0,20,0,0,3,0,1,0.2851999581128553,0,2,0,0,2,3,5,0,0,0.1544162034988403,1.39258667451094,4,2,2,456.287904494098,0.0,1.0,1475.672270587891,1264.5459987477852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328682234437323,0.1370976499495855,25.671534953059897,464.79530774158246,963.5222838456874,965.2702788825446
2,0,0,4694,0,0,0,2263,0,6282,2,0,0,0,False,False,False,False,4750,0,0,0,0,1,0,0,1,524,54925,6350,2403,79,0,0,0,5267,239,9894,0,0,22,57,38,4,10,11,2,4,100,30,70,76008,0,0,6958,0,11,460,37,1,0,15815,716,146,0,0,3,0,17,0,1,0,False,0,0,49,0,0,0,0,0,0.0,0,0.2873642453938146,2,2,0,0,0.0,0.0,0,0,24,0,0,0,0,0,0,0.0,0,0,926.2566469242056,0.0,1.0,2,2,1,55.50000008940697,0,0,1.5,1,0,0,0,0.0,0,0,0,0,3,9,0.0,0,0,17.000000029802322,0,1.0,0,-42.500000059604645,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,18,13,0,0,0,0,2,0,3,0,0,3,0,0,0.2430825878756647,0,0,0,0,0,0,0,0,0,0.0042046308517456,1.152534399467349,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.40038344955836,-0.1295537261713377,-56.485424610703255,323.0422162082307,473.2597617038968,806.0832842380635
6,0,1,12944,0,9,2086,24812,2086,18327,4,9,0,3,False,False,False,False,11425,0,0,0,1,6,0,4,1,836,163603,16998,8832,156,1,0,0,7564,205,18063,0,0,23,121,74,9,10,4,21,11,100,49,118,207694,0,4,18463,0,24,922,138,1,0,36527,2369,1415,2,2,2,0,52,9,2,9,True,0,0,82,0,0,150,0,0,0.7749448667760279,9,0.2674304099581901,4,2,0,3,0.0,0.0,0,0,51,6,1,0,1,1,0,0.0,0,0,1885.056791359648,0.0,1.0,7,2,1,56.00000008940697,0,0,3.0,5,0,1,1,0.0,0,0,1,0,0,1,0.0,0,0,45.00000008940697,3,1.0,0,-29.0,1,0,0,0,0,1,0,0,10,0,0,0,1,0,3,14,36,0,0,0,0,0,0,12,0,0,3,0,0,0.2320023934261481,0,1,0,0,1,2,0,0,0,0.411851167678833,1.6787309072273076,2,0,3,984.9569769108332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.93064615988033,0.0,40.32769747227007,412.5074658568429,622.9944929950608,901.1187396507008
18,3,5,19693,0,9,2617,41117,2617,31070,5,8,1,2,False,False,False,False,15850,0,3,0,1,10,0,5,2,652,178966,28942,13434,150,0,0,0,8427,182,24947,0,0,35,143,71,11,22,11,5,4,100,64,91,233142,0,16,25283,0,42,647,153,1,0,45748,1997,734,2,4,4,0,87,8,5,8,True,0,0,73,3,0,300,1,0,0.8488936211930073,8,0.2338369583450249,5,3,0,3,0.0,0.0,0,0,67,17,1,2,0,0,1,980.434107180397,1,0,2362.613407832697,0.0,1.0,18,2,1,62.00000008940697,1,0,5.6,5,0,1,1,0.0,0,2,0,0,0,11,0.0,0,0,37.000000059604645,5,1.0,0,-24.0,1,0,1,0,0,1,0,0,23,0,0,0,1,0,3,19,0,0,1,0,0,4,0,28,0,0,6,0,3,0.1999413659586038,0,1,0,0,2,4,0,1,0,1.0988914966583252,2.214531669468104,5,0,1,1314.9776220596782,0.0,2.0,0.0,1245.375721002974,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.834352546762457,0.2539560632352458,30.11918909970016,433.9347252500646,790.3620600007322,993.3999325573112
12,2,2,13738,0,1,900,31769,900,17410,1,1,0,2,False,False,False,False,9460,1,2,0,2,4,0,2,1,968,125669,11484,8034,128,0,0,0,8747,21,18816,0,0,26,124,63,5,15,11,3,4,200,36,95,165413,0,4,18959,0,13,571,30,1,0,30996,396,250,0,2,1,0,39,1,4,1,True,0,0,71,2,0,0,1,0,0.1104044248214212,1,0.2565079533150858,1,0,0,3,0.0,0.0,0,0,44,1,0,0,0,0,1,944.97229654162,0,0,1706.729034897044,0.0,0.0,13,2,1,56.00000008940697,0,0,16.0,4,0,0,1,0.0,0,0,0,0,0,2,0.0,0,0,6.0,1,1.0,0,-41.000000059604645,1,0,0,0,0,1,0,0,13,0,0,0,0,0,2,6,0,0,1,0,0,6,0,16,0,0,7,0,2,0.1361805043684481,0,0,0,0,0,2,0,0,0,-0.0151925683021545,1.394043553198134,4,3,1,609.9395979073482,0.0,1.0,0.0,1245.5353060856753,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-82.61416845732963,0.1757748265049566,18.80790643603036,377.66979222854985,418.4495519776998,952.734714622166
11,0,0,12168,0,13,0,7658,0,14082,8,12,0,1,False,False,False,False,9975,0,0,3,1,4,0,2,1,922,91666,18865,14158,85,1,0,0,6091,248,17222,0,0,29,90,68,9,16,11,9,4,200,59,68,117236,0,0,12153,0,31,665,256,1,0,19478,1515,910,0,0,10,0,61,13,7,12,False,0,0,46,0,0,675,0,0,0.8079512222701017,12,0.2462940288920929,8,13,0,1,0.0,0.0,0,0,78,0,1,0,1,1,0,0.0,0,5,1926.4328577,0.0,1.0,10,1,1,40.500000059604645,0,0,1.875,5,0,0,0,0.0,0,1,0,0,3,7,0.0,0,0,16.500000059604645,0,1.0,0,-30.000000059604645,1,0,0,0,0,0,0,0,14,0,0,0,1,0,1,70,33,0,0,0,0,0,0,15,0,0,4,0,0,0.2084858947610849,0,1,0,0,0,0,0,0,0,1.0235333442687988,1.930428763858644,8,5,1,840.4920512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164.48016796095578,-0.3114564816530122,-171.4256475018179,329.0226272182422,642.503576001999,1005.7552705539072
8,0,0,12248,0,4,0,15665,0,14684,11,4,0,1,False,False,False,False,10335,0,0,3,1,4,0,2,1,288,122573,24083,17448,76,0,0,0,5936,221,14340,0,0,32,90,60,9,17,11,12,4,100,63,62,152853,0,0,11980,0,52,508,270,1,0,24344,3142,447,0,0,11,0,49,4,10,4,False,0,0,36,0,0,300,0,0,0.0,4,0.1934898129376222,11,9,0,1,0.0,0.0,0,0,56,0,0,0,0,0,0,0.0,0,0,1941.240765380136,0.0,0.0,7,2,1,34.0,1,0,1.0909090909090908,0,0,0,1,0.0,0,0,0,0,6,6,0.0,0,0,16.0,0,1.0,0,-22.50000002980232,0,0,0,0,0,1,0,0,10,0,0,0,1,0,1,46,65,0,2,0,0,0,0,12,0,0,5,1,0,0.2488074851705063,0,1,0,0,1,0,0,2,0,0.556347131729126,1.5421757121172834,10,4,0,697.8476211692218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.8250523694223,-0.5254371421569969,-147.24603207270195,331.241756029208,848.3646281132501,996.3215457312232
