assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,1,0,17877,0,4,0,41467,0,31028,5,2,0,3,False,False,False,False,15350,0,0,1,3,14,611,5,1,897,5199,3298,10500,187,0,0,0,240443,23104,19413,0,0,118,31,49,15,19,11,4,4,100,18,124,283709,0,22,13747,0,49,520,176,1,0,38066,2182,2419,0,0,7,0,39,2,13,4,False,0,0,77,1,0,675,1,0,0.6235171882040179,2,0.2437531831924201,5,6,0,3,1.0,0.0,0,0,2,24,1,2,0,0,0,0.0,0,1,1930.385849499874,0.0,0.0,1,2,1,63.75000008940697,0,0,4.0,3,0,3,4,0.0,0,0,0,1,3,6,0.0,0,0,88.25000008940697,0,4.0,0,-29.000000059604645,0,0,0,0,0,2,0,0,12,0,0,0,0,0,4,36,33,0,3,2,0,0,0,20,0,0,7,0,1,0.2649650592174172,0,0,0,0,0,0,0,1,0,0.5966116189956665,1.2229988136793946,13,7,0,800.9647201178772,0.0,1.0,0.0,1344.4555999233617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.62993269316053,0.2797368205635696,85.56838522350078,500.2626807745169,888.5063058477999,1004.9700688090994
9,0,0,11052,0,1,0,15419,0,15840,10,0,1,0,False,False,False,False,9175,0,0,2,2,5,308,3,2,228,2335,1570,7336,105,0,0,0,137937,17134,16773,0,0,72,18,30,9,3,4,17,11,200,17,78,167300,0,12,6840,0,53,357,243,1,0,27026,2166,2150,0,0,10,0,12,0,3,0,False,0,0,59,0,0,0,1,0,0.0,0,0.2673585242900084,10,6,0,0,0.0,0.0,0,0,0,8,0,0,0,0,0,0.0,0,0,1571.80911889507,0.0,0.0,0,1,1,59.75000011920929,0,0,1.4,0,0,1,0,0.0,0,1,1,0,7,1,0.0,0,0,32.90000009536743,0,2.0,0,-32.599999994039536,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,36,42,0,0,0,0,0,0,14,0,0,7,0,0,0.2850149246112321,0,0,0,0,0,0,0,1,0,-0.7385221719741821,0.4631604876051663,3,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126.00766697372876,-0.1145177221815165,-143.71974133780333,373.90036292265165,796.7379657908714,1002.4117948288751
6,0,0,13870,0,6,1519,26969,1519,20976,3,5,0,2,True,False,False,False,11275,0,0,2,1,4,1425,4,1,1557,2635,703,10578,158,0,0,0,202171,11781,14148,0,0,107,28,58,11,17,11,4,4,100,17,97,234736,0,29,12219,0,53,516,94,1,0,29930,1337,738,1,2,10,0,40,5,8,6,False,0,0,66,0,0,0,2,0,0.7998701372109084,5,0.2085959653980974,3,10,0,2,0.0,0.0,0,0,0,12,0,0,0,0,0,0.0,0,0,2032.9411607055283,0.0,0.0,0,2,1,59.000000059604645,0,0,3.333333333333333,2,0,1,1,0.0,0,1,0,0,2,5,0.0,0,0,31.849999994039536,0,1.0,0,-17.000000029802322,0,0,0,0,0,1,0,0,10,0,0,0,1,0,3,56,29,0,0,1,0,2,0,10,0,1,6,0,0,0.1686971889216625,0,1,0,0,0,2,5,2,0,0.1243766546249389,1.181438581038774,8,3,1,786.9865495195279,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.25694515212416,-0.1475694455888165,-39.72569475250941,342.8333359919386,407.94097538572447,751.5711863838427
6,0,0,7776,0,1,190,8221,190,11122,6,0,1,1,False,True,False,False,10525,0,0,1,2,8,342,4,2,389,942,377,5093,88,0,0,0,101964,10951,10230,0,0,56,18,19,9,12,11,3,4,100,12,53,122212,0,16,6031,0,39,280,96,1,0,19305,468,318,0,0,7,0,18,1,4,6,False,0,0,40,0,0,600,1,0,0.0,0,0.2136294521114949,6,0,0,1,0.0,0.0,0,0,0,16,1,0,0,0,0,0.0,0,0,1294.4783282386943,0.0,0.0,0,2,1,44.000000059604645,0,0,2.333333333333333,1,0,1,1,0.0,0,0,1,0,8,10,0.0,0,0,28.20000007748604,0,1.0,0,-24.399999976158146,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,5,30,0,0,6,0,1,0,14,0,0,10,0,0,0.2751868881932373,0,1,0,0,0,0,0,1,0,0.4530357122421264,0.8699348370322179,4,2,0,387.289918089155,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.75195310071199,0.0,-29.75716098114324,489.7880375198451,546.7994207080168,725.017931568602
5,1,3,13842,0,6,2017,42292,2017,20748,4,5,1,1,True,False,False,False,12675,1,1,0,3,12,489,5,2,780,2057,1104,7194,159,0,0,0,200753,14969,17273,0,0,93,20,37,7,4,4,13,11,200,19,109,242244,0,9,13676,0,32,443,142,1,0,39433,1973,226,2,3,3,0,31,5,2,7,True,0,0,81,1,0,0,1,0,0.5539274661016224,5,0.2278049816041415,4,2,0,1,1.0,0.0,0,0,0,8,0,1,0,0,0,0.0,0,0,1582.0476738,0.0,1.0,0,2,2,73.00000008940697,0,0,4.25,2,0,3,3,0.0,0,0,0,0,2,5,0.0,0,0,55.750000059604645,0,2.0,0,-44.00000008940697,0,0,1,0,0,1,0,0,12,0,0,0,2,0,5,15,28,0,1,2,0,2,0,17,0,0,7,1,1,0.2115076929187,0,2,0,0,3,3,5,1,0,1.1352930068969729,1.1858868496383437,2,2,1,1263.0043655,0.0,1.0,0.0,1354.2568202,0.0,27.688621099999864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.53468246779707,0.417180854237289,121.62718177627146,538.5804828203402,684.4041541423744,936.5330922305104
9,0,0,13074,0,3,863,29207,863,15787,7,1,0,0,True,False,True,False,11875,0,0,2,1,6,389,3,1,396,2922,1347,4902,103,0,0,0,177355,11674,16597,0,0,102,30,49,10,16,11,5,4,100,23,77,209251,0,14,8644,0,69,583,216,1,0,28973,1825,1939,0,1,11,0,20,1,5,1,False,0,0,48,0,0,150,2,0,0.0,1,0.1629781975337975,7,0,0,1,0.0,0.0,0,0,0,10,0,0,0,0,1,749.6571570856174,0,0,1717.4497194492387,0.0,0.0,0,3,1,28.0,0,1,2.142857142857143,2,0,1,1,0.0,0,1,0,0,4,3,0.0,0,0,4.0,0,1.0,0,-39.50000008940697,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,7,32,0,0,0,0,0,0,15,0,0,7,0,0,0.2000323447370064,0,1,0,0,4,1,0,2,0,-0.4466733932495117,0.7225889830852396,5,2,0,366.9201985143735,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-63.6175829561043,-0.2096131234138527,-80.73598803490226,428.0299980110872,518.6876738875785,818.8536666162156
9,1,12,17077,0,8,5030,54043,5030,50686,1,6,0,4,False,False,False,False,11960,1,1,0,1,12,430,12,1,46,2259,1382,3986,156,0,0,0,217933,25235,15286,0,0,115,27,59,10,20,11,4,4,100,33,70,251883,0,39,12639,0,64,582,6,1,0,31690,2547,415,1,4,3,0,33,7,5,6,True,0,0,40,1,0,150,5,0,0.5859619403792277,6,0.2029892994641778,1,4,0,4,0.0,0.0,0,0,0,19,0,0,0,0,1,759.4666425904948,2,0,1655.5254210162173,0.0,1.0,0,3,1,44.75,0,0,21.0,4,0,1,2,0.0,0,1,0,0,6,14,1.0,1,0,119.04999992251396,1,5.0,0,-32.00000011920929,0,0,0,0,0,2,1,0,15,0,0,0,1,0,5,23,37,0,3,0,0,4,0,21,0,0,8,0,1,0.2787255658371343,0,1,0,0,4,4,0,2,0,0.0734317302703857,1.2047015631301885,5,3,0,378.97474739026967,0.0,2.0,1306.8600469865503,1545.4314498163876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196.143167527247,0.3624227042262509,232.09549978649108,525.1504984238376,1057.0058168758608,713.5378200806427
7,1,2,15452,0,6,0,41358,0,30474,8,4,2,1,False,False,False,False,13850,0,0,0,4,14,478,4,2,542,1203,775,9002,167,0,0,0,217330,24572,22586,0,0,107,22,48,13,6,4,20,11,200,21,122,260533,0,20,12574,0,25,485,247,1,0,41999,2287,1463,0,0,4,0,21,4,7,5,True,0,0,78,1,0,525,1,0,0.704939234703383,4,0.2765483954805923,8,7,0,1,0.0,0.0,0,0,0,14,0,0,0,0,0,0.0,0,2,1769.8046090733235,0.0,0.0,0,1,0,55.000000059604645,0,0,2.625,2,0,2,6,0.0,0,1,0,0,2,1,1.0,0,0,66.40000006556511,4,2.0,0,-32.000000059604645,0,0,2,0,0,0,0,0,18,0,0,0,1,0,1,44,49,0,1,1,0,0,0,21,0,0,6,0,1,0.2780921884132601,0,1,0,0,0,0,0,0,0,-0.2000766992568969,0.7326422790422604,8,4,0,1445.4755081113,0.0,3.0,0.0,1528.7273677686694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,137.9474314556298,0.1356081901751091,89.63701370574717,506.6321984942079,936.8830838722856,1120.5304754169272
2,0,0,8446,0,4,0,3059,0,12627,6,3,0,0,False,False,False,False,7125,0,0,3,1,3,247,2,1,391,1036,376,6038,88,0,0,0,108025,7460,13141,0,0,71,17,23,8,2,4,11,11,200,17,79,128515,0,2,7498,0,30,316,124,1,0,19452,721,246,0,0,11,0,19,3,3,8,False,0,0,51,0,0,550,0,0,0.0,2,0.2475674365223157,6,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,1,1377.2252912,0.0,1.0,0,2,0,44.000000059604645,0,0,0.8333333333333334,1,0,0,0,0.0,0,0,0,0,9,3,0.0,0,0,4.0,0,0.0,0,-40.000000059604645,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,9,36,0,0,2,0,1,0,5,0,0,2,0,0,0.1504470577309395,0,0,0,0,0,0,0,0,0,-0.4232959747314453,0.8343975744023227,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.53665258452814,-0.5227902831879101,-127.90935595330868,355.3231291400496,372.8366036268446,846.3103367673618
3,0,0,7560,0,4,0,5558,0,11950,4,2,1,0,False,False,False,False,7525,0,0,0,1,7,289,6,2,537,489,449,4502,114,1,0,0,110606,10061,7566,0,0,96,17,36,4,10,11,2,4,100,14,78,133882,0,16,5543,0,15,352,110,1,0,22786,873,1265,0,0,3,0,23,3,5,4,False,0,0,55,0,0,375,0,0,0.7609642437364096,2,0.209852464254156,4,0,0,0,0.0,0.0,0,0,0,8,0,0,1,1,1,664.0017401,0,0,1142.4553714,0.0,0.0,0,2,1,55.35000005364418,1,0,2.5,0,0,1,1,0.0,0,0,0,0,9,6,0.0,0,0,38.10000005364418,0,1.0,0,-38.500000059604645,0,0,1,0,0,3,0,0,9,0,0,0,1,0,3,9,30,0,1,2,0,1,0,10,0,0,9,0,0,0.235854390664634,0,1,0,0,1,0,5,0,0,0.8457697629928589,1.2517969475288384,5,5,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.21073723650575,-0.1050369257338676,-1.1554061830725442,443.51841891125616,597.8701812771747,700.2811838676956
