assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,11781,0,12,0,19189,0,30065,5,8,1,2,True,False,False,False,10400,0,0,4,2,9,0,6,2,1005,32925,2783,12773,117,0,0,0,110423,14032,20153,0,0,186,148,139,9,16,11,3,4,100,22,89,173739,74,8,16109,0,28,493,163,1,0,30390,1792,490,0,0,9,0,25,10,0,17,False,0,0,60,0,0,375,1,0,0.8086707829317535,8,0.3066086944678997,5,2,0,2,0.0,74.40222930908203,0,0,27,2,0,0,0,0,0,0.0,0,0,1698.1359797364723,0.0,0.0,6,1,1,52.000000059604645,0,0,3.2,4,0,1,1,0.0,0,2,0,6,5,5,0.0,0,0,2.0,0,1.0,0,-37.00000008940697,0,0,1,1,0,2,0,0,14,0,0,0,0,0,1,13,26,0,1,9,0,12,0,16,0,1,9,0,0,0.2293358773121999,0,0,0,0,1,0,0,0,0,-0.1241776347160339,0.8949582805873204,0,0,0,508.6168842203062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.98771854862344,0.0706657190189341,-51.691973462350326,402.01727549871634,657.5091826116728,1180.7181662278613
6,0,0,16688,0,14,64,64802,64,62567,1,11,0,3,False,True,False,False,12475,0,0,2,1,8,0,8,1,2236,61241,4296,7283,166,0,0,0,164380,18546,20269,0,0,288,197,205,16,26,11,2,4,100,29,88,286460,1426,22,19461,0,48,686,0,1,0,60838,1914,1810,0,0,10,0,58,13,10,23,False,0,0,60,0,0,0,2,0,0.6317820488597515,10,0.2188611167133337,1,8,0,4,0.0,1426.8489990234375,0,0,36,19,1,0,0,0,1,980.2026365,0,0,2258.5714589,0.0,0.0,6,2,1,39.20000004768372,0,0,14.0,3,0,1,0,0.0,0,0,0,6,2,9,0.0,1,0,30.799999952316284,0,2.0,0,-23.30000004172325,0,0,0,0,0,0,1,0,12,0,0,0,2,0,7,42,27,0,1,12,0,10,0,14,0,0,5,0,0,0.2302445531450646,0,2,0,0,1,0,0,1,0,0.1171714067459106,1.556914741123486,10,5,1,581.2415374,0.0,2.0,1956.6268131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.63377559915556,0.2390891808501813,-0.8766603297839982,381.5332017078116,657.681205589771,780.041735255986
18,2,5,20971,0,9,2116,49311,2116,60387,7,8,2,2,True,False,True,False,14200,0,0,0,1,9,0,5,2,403,39561,3019,13611,182,0,0,0,165838,16437,29465,0,0,272,244,158,14,19,11,5,4,200,30,108,250476,1919,14,26606,0,25,445,195,1,0,45075,788,1962,1,4,3,0,53,8,8,20,True,0,0,66,2,1,0,0,0,0.7727623523318803,8,0.2865837212548795,7,5,0,2,0.0,1919.17626953125,0,0,38,13,0,1,0,0,1,877.835254989082,0,1,2109.686549626237,0.0,0.0,6,2,1,48.0,0,0,3.857142857142857,5,0,1,2,0.0,0,0,1,5,6,0,0.0,0,0,26.99999991059304,4,3.0,0,-45.00000008940697,0,0,2,0,0,5,0,0,19,0,0,0,2,0,7,34,33,0,0,11,0,3,0,27,0,0,7,0,2,0.1721726972739957,0,2,0,0,0,4,5,0,0,0.5257213115692139,1.5256321981668977,8,2,0,1188.5130965306034,0.0,1.0,0.0,1450.9941225085,0.0,12.479267786435004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20162192738525,0.3412829266639439,160.77269870260625,449.0998912458615,575.772737525962,1280.9201445014476
6,1,0,9345,0,8,0,31280,0,18221,6,4,0,2,False,True,False,False,7875,0,0,0,1,5,0,3,1,522,25497,2502,8776,96,0,0,0,75002,7706,15930,0,0,147,121,100,7,14,11,5,4,100,15,61,128681,313,8,11646,0,16,285,162,1,0,28181,426,1380,0,0,3,0,28,6,2,13,True,0,0,37,1,0,0,1,0,0.6583096188642653,4,0.2818211056732985,6,8,0,2,0.0,313.81787109375,0,0,19,7,1,0,0,0,0,0.0,1,0,1394.19298000184,0.0,0.0,3,3,1,48.000000059604645,0,0,1.8333333333333333,1,0,1,3,0.0,0,0,2,2,4,0,0.0,0,0,2.9802322387695312e-08,1,1.0,0,-55.00000008940697,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,46,14,0,2,9,1,2,0,11,0,0,7,0,1,0.1608558904851356,0,0,0,0,0,0,0,0,0,0.2727375030517578,1.241531872040048,2,2,1,373.6299063082817,0.0,2.0,0.0,1240.978028102193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-89.98754247050823,0.0430356491967997,-18.76354304980468,365.0283764872553,457.7271648571619,1122.6709805969144
13,0,0,11316,0,13,1328,38560,1328,28031,5,10,1,1,False,False,False,True,12250,0,1,0,2,10,0,7,3,690,31885,3462,10811,100,0,0,0,96506,16520,16541,0,0,187,162,140,8,19,11,4,4,100,27,65,168165,1652,2,16438,0,38,452,72,1,1,39773,1595,2470,2,3,3,0,39,12,6,20,True,0,0,45,0,0,300,0,0,0.8184017512800112,10,0.3017526975265919,5,1,0,2,0.0,1652.2681884765625,0,0,20,2,1,0,0,0,1,851.0729379999999,0,1,1569.9501064,0.0,0.0,4,1,1,40.000000059604645,0,0,4.6,0,0,1,3,0.0,0,0,0,4,4,8,0.0,0,0,4.0,3,1.0,0,-49.000000059604645,0,1,2,0,0,2,0,0,18,0,0,0,2,0,4,11,31,0,0,9,0,0,1,23,0,0,7,0,0,0.2750199539833516,0,2,0,0,4,3,10,1,0,2.722226858139038,1.523021722465597,6,2,1,921.4325365,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.2050993484999,0.5732666256915385,17.580176521207182,477.5693169760977,824.6631499448013,1139.7304874248707
11,2,0,20929,0,9,2274,45507,2274,82852,8,7,0,1,False,False,True,False,17500,0,0,1,3,7,0,2,1,569,64012,4433,21630,201,0,0,0,202707,17957,31875,0,0,303,235,205,15,24,11,6,4,100,34,129,333952,895,21,32179,0,53,658,350,1,0,67233,2475,6981,1,2,6,0,47,8,9,13,False,0,0,91,2,0,0,0,0,0.665071417801208,7,0.2743678148231497,8,12,0,4,0.0,895.0,0,0,44,13,1,0,0,0,1,947.8153948924634,0,3,2457.9741271068447,0.0,0.0,6,2,2,59.50000008940697,0,0,2.25,1,0,0,3,0.0,0,0,1,4,2,2,0.0,0,0,38.500000059604645,0,2.0,0,-28.50000002980232,0,0,0,0,0,3,0,0,16,0,0,0,1,0,6,63,29,0,0,5,0,11,0,18,0,0,6,0,3,0.1225954097493475,0,2,0,0,2,2,0,1,0,-0.2790151238441467,1.15860012994458,9,3,4,720.5041416326011,0.0,2.0,0.0,1317.0993223823446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.14842627046298,-0.2685138109150287,-10.105883428983809,411.3143376289303,606.9876747466458,1476.508625528849
17,1,1,15227,0,8,0,13813,0,51923,7,5,0,1,False,False,False,False,11775,0,0,0,0,5,0,0,1,454,39504,2522,10756,157,1,0,0,141733,13204,23658,0,0,229,203,157,9,17,11,5,4,100,29,120,218846,1778,12,16736,0,33,519,188,1,0,37607,965,2290,0,1,5,0,42,6,8,16,True,0,0,81,1,0,0,1,0,0.8344157999271845,5,0.2552300031810595,7,2,0,1,0.0,1778.0079345703125,0,0,31,5,1,0,1,1,0,0.0,0,0,2049.307916040212,0.0,0.0,5,2,1,42.000000059604645,0,0,3.142857142857143,5,0,0,2,0.0,0,0,1,4,2,10,0.0,0,0,14.199999988079073,7,2.0,0,-32.000000059604645,0,0,0,0,0,2,0,0,17,0,0,0,0,0,3,15,23,0,0,11,0,2,0,22,0,0,8,0,1,0.158840453674494,0,0,0,0,0,1,0,1,0,0.4441887140274048,1.2468675450846054,9,3,0,546.5769260742545,0.0,2.0,0.0,1588.9710474445408,0.0,21.254783324367963,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-51.85165155918665,-0.2049472393643741,13.643630506256905,385.82781719196026,488.7113313528761,1074.6554886956217
3,0,0,5632,0,3,0,2654,0,12333,7,1,0,0,False,False,False,False,5850,0,0,0,1,4,0,2,1,472,16002,1239,4658,52,0,0,0,38521,6473,12850,0,0,85,85,71,5,3,4,4,11,100,13,45,65981,343,0,5957,0,16,325,120,1,0,11458,84,519,0,0,5,0,11,2,1,7,False,0,0,33,0,0,300,0,0,0.5359903078539955,1,0.2707932886869201,7,17,0,0,0.0,343.7764587402344,0,0,12,0,0,0,0,0,0,0.0,0,0,1139.9371816,0.0,0.0,1,2,0,32.000000059604645,0,0,1.0,1,0,0,1,0.0,0,0,1,1,3,5,0.0,0,0,1.2000000178813934,0,1.0,0,-36.00000002980232,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,88,11,0,1,6,0,0,0,7,0,0,6,0,0,0.1848309935456311,0,0,0,0,0,0,0,0,0,-0.2570549249649048,0.6199930917691739,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.9087281930273,-0.4737103137929614,-173.32534036891354,323.5967787999029,410.3384007033253,948.894393006612
1,0,0,6279,0,7,0,11351,0,15582,6,4,0,0,False,False,False,False,5350,0,0,2,0,0,0,0,0,408,15961,674,8039,88,0,0,0,58624,3127,13424,0,0,123,110,82,5,3,4,9,11,200,11,79,98733,184,0,8250,0,6,298,155,1,0,24147,93,886,0,1,10,0,15,6,1,10,False,0,0,47,0,0,0,0,0,0.7355954137884951,4,0.1965724830651049,6,0,0,0,0.0,184.41354370117188,0,0,16,0,0,0,0,0,0,0.0,0,0,1353.3540922919717,0.0,0.0,1,2,0,56.000000059604645,0,0,0.1666666666666666,1,0,0,0,0.0,0,0,0,1,1,1,0.0,0,0,13.000000029802322,0,1.0,0,-31.500000059604645,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,7,0,0,5,0,0,0,1,0,0,1,0,0,0.0912023480621386,0,0,0,0,0,1,0,0,0,-0.5466908812522888,0.6677525981646653,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188.0217464514845,-0.620680134477902,-172.37174020357736,255.45420963297653,172.72641456613616,990.9158346939706
9,0,0,8418,0,5,130,28121,130,14097,4,2,1,2,False,False,False,False,7450,1,1,0,2,5,0,3,2,517,23344,1606,5022,99,0,0,0,70561,5088,13537,0,0,137,105,100,6,1,4,10,11,200,12,53,122925,650,16,8440,0,12,341,102,1,0,29019,244,54,1,2,3,0,12,4,0,7,True,0,0,30,0,0,0,2,0,0.756756004421445,2,0.2873220217491782,4,6,0,2,0.0,650.583984375,0,0,15,11,0,0,0,0,1,779.9938529801641,0,0,1294.4783282386943,0.0,0.0,3,2,1,40.400000005960464,0,0,3.5,4,0,1,4,0.0,0,0,0,3,3,4,0.0,0,0,6.999999970197678,2,1.0,0,-24.000000059604645,0,1,1,0,0,0,0,0,13,0,0,0,1,0,3,36,9,0,0,5,0,0,0,14,0,0,9,0,0,0.1187646364676168,0,1,0,0,1,2,10,0,0,-0.3117856979370117,0.5987016075873686,0,0,0,724.8328531409675,0.0,2.0,0.0,0.0,0.0,20.495239956161186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.75195310071199,0.0,29.75716098114324,425.0360844191332,321.6276324737584,862.7722655809972
