assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,10635,0,4,462,16421,462,9796,4,2,0,1,False,False,False,False,7725,0,0,1,1,3,0,2,1,1168,125837,7975,3981,122,0,0,0,16979,426,16436,0,0,108,30,56,6,16,11,3,4,100,25,110,171779,0,0,8300,0,15,253,113,1,0,28962,1075,837,0,0,8,0,14,3,3,4,False,0,0,79,0,0,300,0,0,0.6499351525420511,2,0.195066089519185,4,13,0,1,0.0,0.0,0,0,25,0,0,0,0,0,1,642.7728763,0,0,1582.0476738,0.0,0.0,4,2,0,48.00000008940697,0,0,1.5,1,0,0,0,0.0,0,0,0,0,4,4,0.0,0,0,4.000000029802322,0,1.0,0,-58.00000008940697,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,70,15,0,0,2,0,0,0,6,0,0,1,0,0,0.1221706191809358,0,0,0,0,0,0,0,0,0,-0.5316802263259888,0.5553742980592902,3,3,0,626.7250897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-212.53468246779707,-0.417180854237289,-121.62718177627146,326.0458003525431,359.4202686915262,806.1071869830525
7,0,0,17955,0,7,0,24382,0,17806,6,6,1,0,False,False,False,False,13300,0,0,3,2,7,0,4,2,1383,224260,25411,21420,179,0,0,0,27231,536,18069,0,0,173,51,89,13,20,11,6,4,200,53,142,294710,0,4,14266,0,33,477,255,1,0,43218,2005,1504,0,0,11,0,50,6,11,8,False,0,0,97,0,0,0,1,0,0.8479663824612863,6,0.2033341209665279,6,5,0,0,0.0,0.0,0,0,50,1,0,0,0,0,1,958.9364544922336,0,0,2412.3851528583486,0.0,0.0,8,2,1,44.000000059604645,0,0,2.333333333333333,4,0,1,0,0.0,0,0,1,0,6,4,0.0,0,0,16.650000035762787,0,1.0,0,-39.50000008940697,1,0,1,1,0,3,0,0,8,0,0,0,0,0,6,31,42,0,3,2,0,0,0,14,0,0,0,0,1,0.2221062425513413,0,0,0,0,0,0,0,1,0,0.3027766942977905,1.253321724715705,11,3,1,0.0,0.0,0.0,0.0,1713.684939594152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33189316644093,-0.1492299020218429,-105.53041237977996,344.96979017382694,695.2372418694293,1019.588433913905
6,1,9,12580,0,2,1652,25486,1652,8687,1,1,1,1,True,False,False,False,9325,0,0,0,1,9,0,9,2,200,150338,13475,5129,146,0,0,0,20614,1456,11883,0,0,112,26,68,3,16,11,4,4,200,25,91,207388,0,22,10183,0,16,258,10,1,0,36434,1372,733,2,3,1,0,20,1,4,1,True,0,0,72,1,0,0,0,0,0.7654477341555005,1,0.2935483587507909,1,0,0,3,0.0,0.0,0,0,21,24,0,1,0,0,1,706.545963186266,0,0,1442.9178841606667,0.0,0.0,7,2,1,47.50000008940697,0,0,15.0,4,0,1,3,0.0,0,0,0,0,10,6,0.0,1,0,36.250000178813934,1,3.0,0,-48.30000007152557,0,0,1,0,0,0,0,0,11,0,0,1,0,0,5,2,31,0,1,0,0,4,0,15,0,0,6,0,1,0.2041418951501849,0,1,0,0,0,3,5,0,0,-0.0214945077896118,0.8516544092525995,4,3,0,730.9471344286725,0.0,2.0,1349.4556402867852,1293.688119169448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.7755345987534,0.4158240788241494,192.02755960099225,455.7431903912678,677.9595781148932,737.962992689218
8,0,0,11635,0,2,0,11588,0,11815,6,1,0,1,False,False,False,False,9125,0,0,3,1,4,0,4,1,614,119250,13585,4271,91,0,0,0,13275,1057,15325,0,0,94,23,65,7,14,11,5,4,100,38,78,155940,0,4,5312,0,59,249,136,1,0,23414,740,2058,0,0,11,0,26,1,6,2,False,0,0,63,0,0,850,1,0,0.7310940890754708,1,0.2346464023953732,6,5,0,1,0.0,0.0,0,0,33,1,0,0,0,0,0,0.0,0,0,1494.4963511252645,0.0,0.0,8,2,0,47.75000008940697,0,0,2.0,0,0,1,1,0.0,0,1,0,0,14,17,0.0,0,0,13.550000041723251,0,1.0,0,-41.000000059604645,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,31,43,0,0,1,0,0,0,12,0,0,7,0,0,0.2246763414683004,0,0,0,0,0,0,0,2,0,1.338139295578003,1.052908330144736,6,3,0,597.0626594493824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.92035979390647,-0.1204419133338605,-72.42573721809484,394.0457931239473,617.5859842715925,869.3898777482503
4,0,0,9572,0,3,1464,21838,1464,8384,9,2,1,1,False,False,False,False,8235,0,0,1,1,3,0,2,2,502,106410,7727,16131,103,0,0,0,13710,889,11240,0,0,98,23,47,9,14,11,4,4,200,16,86,145536,0,0,6655,0,20,215,234,1,0,25416,1076,605,1,1,8,0,38,2,6,4,False,0,0,65,0,0,0,0,0,0.7700178937618729,2,0.24058314173558,9,2,0,1,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1617.7924479528006,0.0,0.0,3,2,1,48.75000008940697,0,0,0.7777777777777778,0,0,0,1,0.0,0,0,1,0,5,5,0.0,0,0,20.50000002980232,0,1.0,0,-30.500000059604645,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,13,19,0,1,2,0,2,0,7,0,0,4,0,0,0.1306941423886543,0,0,0,0,0,1,0,0,0,0.6329138278961182,1.4262018039521382,6,2,0,1044.526715566546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-225.19576009952365,-0.5934012123834616,-210.47199251725905,306.0095877109963,359.4527844012818,1037.5991074282565
14,1,0,15167,0,4,148,24334,148,23177,11,3,0,2,False,True,False,False,11575,0,0,0,0,5,0,0,1,398,130912,13441,19324,135,1,0,0,16803,1568,17054,0,0,96,43,67,9,15,11,4,4,200,49,91,184047,0,8,8483,0,6,263,396,1,0,36331,928,506,1,1,4,0,26,3,1,12,True,0,0,76,1,0,675,0,0,0.8532065744065204,3,0.3136935673338347,11,2,0,2,0.0,0.0,0,0,47,9,2,1,1,1,1,772.5193808,0,0,2021.3461761,0.0,0.0,15,2,1,44.000000059604645,0,0,1.7272727272727273,2,0,0,1,0.0,0,0,2,0,10,4,0.0,0,0,13.750000029802322,8,2.0,0,-29.00000002980232,0,0,0,0,0,1,0,0,16,0,0,0,1,0,4,15,39,0,0,7,0,3,0,19,0,0,11,0,1,0.1230452088413115,0,1,0,0,0,1,5,0,0,-0.1894236803054809,0.789625823849205,1,0,0,713.9669338,0.0,2.0,0.0,1302.8269814,0.0,20.03273379999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.77442568151302,-0.1780991322795517,-9.617353143095794,365.5484690037799,473.0906617119159,1094.8644156885443
4,1,5,12084,0,4,4368,42209,4368,11726,0,3,0,2,False,True,False,True,9225,0,0,0,1,5,0,5,1,1473,155078,5859,3114,160,0,0,0,19422,825,10269,0,0,143,35,61,2,15,11,3,4,200,15,84,215934,0,36,7990,0,17,252,0,1,0,41433,420,413,2,4,1,0,15,3,1,4,True,0,0,58,1,0,0,2,0,0.5773826594388052,3,0.1550760338960417,0,1,0,2,1.0,0.0,0,0,16,31,0,2,0,0,1,738.1185691911166,0,0,1478.2596360443104,0.0,0.0,7,2,1,55.00000008940697,0,1,9.0,1,0,1,3,0.0,0,0,0,0,5,7,0.0,0,0,46.30000013113022,0,2.0,0,-34.5,0,0,0,0,0,0,0,0,9,0,0,0,2,0,3,9,21,0,0,1,0,0,1,9,0,0,6,0,1,0.1190522205898186,0,2,0,0,3,4,5,0,0,-0.4898518323898315,0.6316764991935858,1,1,0,922.7300193116242,0.0,2.0,0.0,1371.5051536946787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.95182641428976,0.0,63.23652335535864,456.0092040420118,288.37965240039995,559.9557613674762
8,1,0,11815,0,6,2195,23562,2195,13225,4,5,0,0,False,False,False,False,10825,0,0,1,2,6,0,3,1,726,131487,15297,8334,118,0,0,0,15490,1050,14822,0,0,104,51,60,9,16,11,4,4,100,40,79,184507,0,14,8250,0,25,199,148,1,0,37529,741,448,1,1,8,0,32,5,3,6,False,0,0,66,1,0,0,0,0,0.8632763773753199,5,0.1981706437211093,4,6,0,1,0.0,0.0,0,0,33,12,0,0,0,0,1,749.9775517830349,0,0,1678.6098965118608,0.0,0.0,11,2,1,47.750000059604645,0,0,3.5,0,0,2,2,0.0,0,0,0,0,6,1,0.0,0,0,4.000000029802322,0,1.0,0,-55.50000008940697,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3,31,36,0,0,1,0,0,0,14,0,0,9,0,1,0.1966245858900187,0,0,0,0,2,1,0,0,0,0.7177168130874634,1.1486045289318572,3,3,1,1170.760355181421,0.0,3.0,0.0,1223.2393699703823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.36269804297118,-0.071487723412902,-194.19640065114837,391.431029547345,610.8268527015414,843.6981117190696
5,0,0,13203,0,4,478,24590,478,13056,4,2,0,0,True,False,False,False,12825,0,0,2,2,6,0,3,1,1075,177598,12125,10546,135,0,0,0,18061,530,13887,0,0,144,48,77,11,14,11,2,4,100,37,110,233448,0,0,9302,0,83,551,159,1,0,37788,835,659,1,1,9,0,40,3,15,3,False,0,0,82,0,0,1050,0,0,0.3906982098940871,2,0.2269688138441979,4,0,0,0,1.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,0,1706.729034897044,0.0,0.0,6,2,1,52.000000059604645,0,0,2.75,2,0,2,1,0.0,0,1,0,0,5,13,1.0,0,0,77.0,0,2.0,0,-49.00000008940697,0,0,0,0,0,1,0,0,8,0,0,0,1,0,3,4,22,0,2,1,0,0,0,11,0,0,5,0,0,0.1942982493489244,0,1,0,0,3,1,0,3,0,0.0154269933700561,1.4155493897249798,15,11,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.61416845732963,-0.1757748265049566,-18.80790643603036,460.2839606858795,474.275636875674,882.1083893324744
1,0,0,4253,0,2,0,3660,0,4275,4,1,0,0,False,False,False,False,3710,0,0,0,1,2,0,2,1,517,40446,3897,3450,52,0,0,0,8032,572,7239,0,0,53,10,33,8,11,11,2,4,100,16,46,61051,0,0,3037,0,14,109,85,1,0,12572,290,356,0,0,3,0,4,1,0,2,False,0,0,34,0,0,0,0,0,0.0,1,0.3057062474613581,4,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,0,944.1355968220986,0.0,0.0,1,2,0,44.000000059604645,0,0,0.75,0,0,0,0,0.0,0,1,0,0,3,11,0.0,0,0,8.000000029802322,0,1.0,0,-40.00000002980232,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,17,0,0,1,0,0,0,3,0,0,2,0,0,0.238347250456878,0,0,0,0,0,0,0,0,0,-0.7121383547782898,0.3102202251602712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.64454932567853,-0.1271003872790227,-108.86148170448298,292.20379035447326,302.49892172407414,701.9754389420426
