assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
17,3,2,26239,0,8,5437,51547,5437,35315,7,4,1,2,False,True,False,False,18350,1,1,1,3,12,0,7,2,709,302373,30472,16362,248,0,0,0,22360,1281,31502,0,0,387,493,257,395,24,11,6,4,200,17,177,389468,0,8,36675,10634,39,272,243,5,0,64735,4878,2507,2,6,6,0,62,4,13,5,True,0,0,126,3,0,300,0,0,0.4603347155674687,4,0.231261746846703,7,31,0,3,0.0,10634.423828125,0,0,0,5,0,1,0,0,0,0.0,0,1,2660.34973680319,0.0,0.0,0,2,1,60.00000008940697,0,0,4.142857142857143,4,0,1,1,0.0,0,1,0,0,4,1,0.0,0,1,17.25000011920929,8,1.0,0,-51.500000059604645,0,0,1,0,0,1,0,0,26,0,0,0,0,3,9,159,34,0,1,1,0,8,0,29,0,0,4,0,3,0.1928777658405858,0,2,0,0,0,6,0,1,0,0.5410810708999634,1.4103506806290598,13,4,1,673.6753299036205,0.0,1.0,0.0,1413.0385373198897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.54577638174422,0.2931945334891521,108.0985691548851,458.0826284383208,826.1770885211247,1136.0611569935056
3,0,0,12439,0,5,0,29568,0,18904,5,4,0,4,False,True,False,False,10500,0,0,0,1,7,0,4,1,739,127265,12568,6367,146,0,0,0,18730,960,23647,0,0,250,283,159,290,16,11,5,4,200,7,102,185974,0,13,17980,698,19,111,149,5,0,39979,1280,1216,0,0,1,0,31,4,5,5,True,0,0,65,0,0,300,1,0,0.6420147667405464,4,0.2606157109931344,5,2,0,4,0.0,698.8411254882812,0,0,0,8,0,1,0,0,1,803.2193596065293,0,1,1725.3816263511014,0.0,0.0,0,2,0,56.000000059604645,0,0,2.0,2,0,1,3,0.0,0,0,1,0,2,1,0.0,0,0,8.800000011920929,4,1.0,0,-39.500000059604645,0,0,0,0,0,1,1,0,7,0,0,0,0,0,2,16,17,0,0,1,0,0,0,10,0,0,4,0,1,0.1931064084837679,0,0,0,0,0,0,0,0,0,0.4328247308731079,1.0986299860716926,5,1,0,415.21150190132136,0.0,1.0,0.0,1579.7656852835105,0.0,32.58118621316771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-55.8485140494892,-0.1738745767418717,-16.90060885930993,392.0523956375723,514.9469464787272,1086.0901561604271
15,1,0,15526,0,8,5123,36550,5123,21519,8,5,0,3,True,False,False,False,10775,0,1,1,1,6,0,2,1,376,144906,15502,11791,154,1,0,0,18059,998,20949,0,0,252,269,125,253,15,11,2,4,100,5,112,205816,0,4,14968,1082,9,146,231,5,0,42849,1516,788,2,4,7,0,26,7,6,7,True,0,0,75,1,0,0,0,0,0.3186945267484884,5,0.2694397645143236,8,15,0,3,0.0,1082.3533935546875,0,0,0,6,2,0,1,1,0,0.0,0,2,1926.4700713427933,0.0,0.0,0,2,1,56.00000008940697,0,0,2.625,4,0,0,2,0.0,0,3,1,0,2,1,0.0,0,1,6.0,5,1.0,0,-50.500000059604645,0,0,0,0,0,1,0,0,15,0,0,0,1,0,3,80,18,0,1,2,0,1,0,21,0,0,5,1,1,0.1813490284317445,0,1,0,0,0,4,0,0,0,-0.115766704082489,0.8190755522917842,6,2,0,568.6222964190989,0.0,1.0,0.0,1858.484748182787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.538019704501746,0.3425955117693394,-9.12549863167422,394.20285386041166,561.1714482781779,1044.262264919471
8,1,9,11525,0,3,1867,43099,1867,8471,1,0,2,1,False,False,False,False,11300,1,2,0,2,12,0,9,2,474,103002,13224,4754,105,0,0,0,12135,1066,10599,0,0,187,201,134,236,14,11,3,4,100,3,60,155233,0,8,12356,2951,18,81,14,5,0,40096,747,48,1,6,3,0,16,2,3,2,True,0,0,56,1,0,300,1,0,0.0,0,0.2415753262795599,1,14,0,2,0.0,2951.5986328125,0,0,0,7,0,0,0,0,0,0.0,0,1,1393.6392227138413,0.0,0.0,0,2,2,48.25000011920929,0,0,20.0,1,0,2,2,0.0,0,1,0,0,3,3,0.0,1,0,11.500000089406967,1,2.0,0,-29.0,0,0,2,0,0,1,0,0,10,0,0,0,2,0,5,75,14,0,3,2,0,0,0,20,0,0,8,2,1,0.2387035321336912,0,2,0,0,3,6,5,0,0,-0.0583117008209228,0.7256932385145092,3,3,0,887.373709246439,0.0,1.0,1256.0716321420302,1278.2421657631123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,187.49472298230032,0.6457912387450069,125.41265856428032,526.4059650756799,647.4272432164942,663.098443943373
11,1,0,18342,0,11,1976,58038,1976,21408,4,9,2,3,False,False,False,True,14350,4,5,0,3,13,0,6,2,1110,182161,27359,11538,166,0,0,0,20215,1418,21800,0,0,309,374,228,366,18,11,4,4,100,6,105,248295,0,9,23607,3326,26,101,108,5,0,45917,1470,3240,2,4,4,0,40,10,9,11,True,0,0,73,1,0,675,1,0,0.785541700436726,9,0.2590279460231537,4,17,0,3,0.0,3326.17626953125,0,0,0,5,0,2,0,0,1,583.2066998,0,1,2200.1277841,0.0,0.0,0,2,2,60.000000059604645,0,1,6.0,3,0,2,0,0.0,0,0,0,0,7,7,1.0,0,0,31.650000005960464,6,2.0,0,-41.6000000834465,0,0,2,1,0,1,0,0,19,0,1,0,2,0,5,90,29,0,4,2,0,0,1,24,0,0,4,2,1,0.2305229150708081,0,2,0,0,2,4,10,0,0,0.5779366493225098,1.1114359930218265,9,5,0,903.4725626,0.0,1.0,0.0,2013.899076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.8401259,0.0,0.0,140.36457438145035,0.2454402893788718,83.80422325125257,471.54533818334136,824.8975414591238,997.5238783222636
18,0,1,21343,0,13,1697,30563,1697,32431,3,10,1,2,False,False,False,False,16200,0,0,0,2,11,0,5,2,1048,279525,36636,14428,189,0,0,0,24011,1792,34619,0,0,380,460,258,427,24,11,5,4,200,11,147,360909,0,22,36273,9097,66,138,142,5,0,57372,5361,1272,0,1,6,0,65,12,21,11,True,0,0,98,0,1,1050,0,0,0.7151121104483771,10,0.2102270457381483,3,5,0,2,0.0,9097.615234375,0,0,1,19,1,0,0,0,0,0.0,0,5,2457.9741271068447,0.0,0.0,0,2,0,31.00000002980232,0,0,9.666666666666666,3,0,2,1,0.0,0,2,0,0,4,9,0.0,0,0,3.5000000298023224,2,1.0,0,-38.00000008940697,0,0,1,0,0,2,0,0,23,0,0,0,0,1,1,30,39,0,2,1,0,4,0,29,0,0,8,1,0,0.2488698476109035,0,0,0,0,2,1,0,2,0,0.3869916200637817,1.606968722398156,21,7,1,1082.985540502405,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14842627046298,0.2685138109150287,10.105883428983809,443.4627638993933,1068.9290709062825,1228.328633204022
3,0,10,7417,0,3,0,15880,0,4799,1,2,1,2,True,False,False,False,7600,0,0,0,1,11,0,10,2,189,80646,11276,2771,100,0,0,0,9832,1211,7393,0,0,138,165,70,155,8,11,2,4,100,2,49,109943,0,16,7211,1182,17,30,10,4,0,19464,349,48,0,0,0,0,17,2,3,3,True,0,0,33,0,0,0,1,0,0.6772584141379591,2,0.2599675568874622,1,0,0,2,1.0,1182.401611328125,0,0,0,15,0,1,0,0,1,741.9484216168544,0,0,912.6785329247988,0.0,0.0,0,2,2,54.500000059604645,0,0,14.0,0,0,1,6,0.0,0,0,0,0,9,7,1.0,1,0,45.5,0,2.0,1,-26.50000002980232,0,0,1,0,0,0,0,0,10,0,0,0,1,0,5,6,12,0,4,1,0,0,0,14,0,1,14,0,0,0.306940905529561,0,1,0,0,2,0,0,0,0,6.402344226837158,1.1435904659718774,3,3,0,558.7420145673512,1.0,5.0,849.366397393691,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,253.23264617536853,0.5916650611574031,137.39777531321917,602.9066973193937,843.9115988975093,671.4083632889509
2,0,0,12218,0,2,0,27290,0,16681,7,1,0,0,False,False,False,False,10375,0,0,3,0,3,0,0,1,504,132407,12492,13520,149,0,0,0,18748,431,18154,0,0,226,263,136,236,3,4,18,11,200,2,98,195297,0,20,14822,528,21,79,214,3,0,44140,675,441,1,1,11,0,19,1,8,2,False,0,0,69,0,0,600,1,0,0.5824162989073862,1,0.2834904791984369,7,8,0,0,0.0,528.08447265625,0,0,0,12,0,0,0,0,0,0.0,0,1,1754.062657358076,0.0,0.0,0,2,1,58.00000008940697,0,0,0.7142857142857143,0,0,0,0,0.0,0,0,0,0,4,1,0.0,0,0,18.99999997019768,0,1.0,0,-32.00000008940697,0,0,0,0,0,1,0,0,5,0,0,0,2,0,4,41,23,0,0,1,0,4,0,5,0,0,2,0,0,0.1731244100148821,0,2,0,0,1,1,5,0,0,-0.3657194972038269,0.6675191634178024,8,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.94066474005544,-0.4788882520680226,-124.75038966371991,359.43983948077016,465.17152427664575,1098.569650244044
10,1,0,15859,0,10,0,28980,0,23677,6,7,0,2,False,False,False,False,12425,0,0,0,2,6,0,3,1,614,180298,12926,13255,199,2,0,0,21835,872,23135,0,0,269,310,149,276,4,4,19,11,200,3,112,257122,0,36,18379,1883,37,182,249,5,0,54989,1336,895,1,1,4,0,44,7,7,9,True,0,0,80,1,0,0,4,0,0.4689866862686889,7,0.2671875057514747,6,2,0,2,0.0,1883.0035400390625,0,0,0,19,3,1,2,2,1,900.4193161860303,0,0,1937.2983683958428,0.0,0.0,0,2,2,56.000000059604645,0,0,2.6666666666666665,0,0,1,1,0.0,0,0,1,0,3,6,1.0,0,0,81.60000005364418,1,3.0,0,-17.000000059604645,0,0,0,0,0,1,0,0,11,0,0,0,1,0,7,17,15,0,2,2,0,6,0,16,0,0,8,1,1,0.1333807141133569,0,1,0,0,0,1,5,1,0,0.2585089206695556,1.363576530020713,7,4,1,853.5275677237373,1.0,1.0,0.0,1860.2489903213789,0.0,23.60901259817365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.77983181135977,0.0619419300390804,60.0527011728885,401.0120550730069,468.7145846057218,1154.7524307535573
10,0,4,9487,0,4,1962,31928,1962,9843,0,3,1,0,False,False,False,False,6425,1,1,0,1,4,0,4,2,0,100998,10142,4088,117,0,0,0,15129,570,13318,0,0,228,194,147,250,12,11,3,4,100,5,77,152088,0,12,12058,1190,11,95,0,5,0,35961,1002,26,0,3,2,0,27,3,6,4,True,0,0,52,0,0,0,1,0,0.5862527284458949,3,0.3106487572455784,0,0,0,1,0.0,1190.499755859375,0,0,0,14,0,0,0,0,1,740.8828069211672,0,0,1191.3155491344626,0.0,0.0,0,2,1,63.6000000834465,0,0,14.0,5,0,1,2,0.0,0,0,0,0,0,2,0.0,0,0,34.6000000834465,1,2.0,0,-30.50000002980232,0,0,1,0,0,1,0,0,7,0,0,0,2,0,3,4,11,0,1,1,0,0,0,14,0,0,7,0,0,0.2156581515761326,0,2,0,0,2,3,5,0,0,0.3345984220504761,1.367382626247645,6,6,0,906.6100393728652,0.0,0.0,0.0,0.0,0.0,19.56980423798177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,121.3784207761391,0.4029159195888434,145.04973105198363,473.2751120470453,590.0199997479126,878.0041532740385
