assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,12925,0,4,1390,27243,1390,25011,3,2,2,0,False,False,False,False,12325,0,0,1,2,10,0,8,2,1363,2765,1617,10142,133,0,0,0,156836,19215,15503,0,0,113,27,38,19,4,4,18,11,100,169,103,193170,0,2,10409,0,23,683,91,1,0,33568,1712,393,0,0,8,0,22,3,1,7,False,0,0,67,0,0,300,0,0,0.5892590155046228,2,0.2660740182826718,3,0,0,0,0.0,0.0,0,0,11,2,0,1,0,0,0,0.0,0,0,1725.3816263511014,0.0,0.0,4,2,1,56.000000059604645,0,0,5.0,1,0,1,3,0.0,0,0,1,0,6,5,1.0,1,0,32.0,0,2.0,0,-49.000000059604645,0,0,2,0,0,4,0,0,9,0,0,0,2,0,3,7,33,0,6,1,0,0,0,15,0,0,8,0,0,0.2804161084532082,0,2,0,0,3,0,0,0,0,-0.3020778894424438,0.7667581369253219,2,2,1,0.0,0.0,2.0,1356.4932692501422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8485140494892,0.1738745767418717,16.90060885930993,447.9009096870615,784.0004665290995,905.5040207563196
6,1,0,15819,0,5,2334,51256,2334,24210,5,4,0,2,False,False,False,True,11050,1,1,1,1,4,0,2,1,716,5099,982,14656,163,0,0,0,198887,8183,12662,0,0,110,19,43,18,15,11,3,4,200,157,108,241557,0,8,12442,0,28,655,150,1,0,37569,657,802,2,4,7,0,29,4,6,4,False,0,0,81,1,0,0,1,0,0.866356586013259,4,0.2261679478919749,5,7,0,2,0.0,0.0,0,0,3,7,0,2,0,0,1,831.2609225713818,0,1,1926.4700713427933,0.0,0.0,0,2,1,60.000000059604645,0,1,2.0,0,0,0,1,0.0,0,0,0,0,0,2,0.0,0,0,39.20000001788139,0,2.0,0,-37.00000008940697,0,0,0,0,0,1,0,0,8,0,0,0,1,0,6,37,12,0,1,0,0,0,1,10,0,0,1,0,1,0.1115695963317692,0,1,0,0,3,4,5,1,0,0.1309232711791992,0.92631159586002,8,4,0,1228.445145652659,0.0,0.0,0.0,1425.4147077842222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.538019704501746,-0.3425955117693394,9.12549863167422,377.66483415590994,305.9377920100201,875.8298533150538
10,1,0,14571,0,2,2293,32139,2293,20049,5,1,0,2,False,False,False,False,10200,0,1,0,1,3,0,2,1,621,1888,1295,7786,151,0,0,0,156681,10553,25168,0,0,116,21,26,23,3,4,16,11,100,186,107,196529,0,12,16761,0,40,633,185,1,0,37959,1187,2643,1,2,4,0,21,1,4,4,True,0,0,69,1,0,0,1,0,0.0,1,0.325943056059908,5,5,0,2,0.0,0.0,0,0,10,6,0,1,0,0,1,861.465662,2,0,1738.9414075999998,0.0,1.0,5,3,0,60.000000059604645,0,0,2.6,0,0,0,0,0.0,0,0,0,0,3,1,0.0,0,0,32.35000002384186,1,2.0,0,-17.000000059604645,0,0,0,0,0,1,0,0,11,0,0,0,1,0,2,26,14,0,1,0,0,2,0,13,0,0,4,0,1,0.1441371566464631,0,1,0,0,0,2,5,1,0,-0.3627479076385498,0.742366131548498,5,3,1,462.0632263,0.0,0.0,0.0,1339.3581276999998,0.0,33.81479420000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.469246484115985,0.1380150009374013,74.39008550525932,389.6853551467527,449.790888054991,1228.264500842403
5,0,0,10430,0,5,2258,24042,2258,23722,9,4,0,0,True,False,False,False,9700,1,1,1,1,5,0,2,1,308,1495,829,6408,120,0,0,0,131836,8978,24127,0,0,79,14,23,14,16,11,5,4,200,117,96,165350,0,6,11807,0,16,430,230,1,0,32019,873,670,1,2,7,0,23,4,1,10,True,0,0,65,0,0,150,1,0,0.6095614122163628,4,0.2484148912682395,8,0,0,0,0.0,0.0,0,0,6,3,0,0,0,0,0,0.0,0,0,1596.1614143864,0.0,0.0,2,3,0,60.000000059604645,0,0,1.1111111111111112,1,0,0,1,0.0,0,0,1,0,4,1,0.0,0,1,6.249999940395355,13,1.0,0,-42.50000008940697,0,0,0,0,0,1,0,0,8,0,0,0,1,0,1,4,16,0,0,5,0,2,0,10,0,0,3,0,0,0.1340658301982138,0,1,0,0,2,2,0,0,0,-0.6665587425231934,0.8891363723532363,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.74624170087829,-0.3759018321030228,-145.92509122239346,389.43429805873166,401.538337052449,1173.0768474439033
7,0,0,13434,0,4,0,20813,0,21709,8,3,1,1,False,False,False,False,13335,0,0,2,2,9,0,5,2,402,3064,698,13234,151,0,0,0,185045,15990,16491,0,0,133,36,43,19,12,11,3,4,200,158,115,212742,0,4,13467,0,42,555,247,1,0,24632,1249,1105,0,0,7,0,35,3,7,4,False,0,0,69,0,0,1050,0,0,0.7716902920448271,3,0.2404177816928475,8,2,0,2,0.0,0.0,0,0,10,1,0,0,0,0,1,833.365799936819,0,0,1750.577052839741,0.0,1.0,4,2,1,52.000000059604645,1,0,2.0,0,0,1,2,0.0,0,1,1,0,5,3,0.0,0,0,26.499999940395355,0,1.0,0,-49.000000059604645,0,0,1,0,0,2,0,0,10,0,0,0,0,0,5,12,25,0,2,1,0,4,0,16,0,0,8,0,0,0.2112889910656523,0,0,0,0,0,0,0,1,0,-0.1337612867355346,1.2063125173776237,7,3,1,805.9323636714757,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.328682234437323,-0.1370976499495855,-25.671534953059897,456.4666255071452,614.8144111989164,1056.7486858114055
4,0,0,9436,0,4,0,17848,0,15780,9,3,0,2,False,False,False,False,6625,0,0,1,0,2,0,0,1,463,2591,564,10378,96,1,0,0,93894,5053,14503,0,0,70,18,31,14,15,11,4,4,200,117,66,123926,0,4,8013,0,19,460,239,1,0,27440,168,819,0,0,9,0,24,3,3,4,False,0,0,48,0,0,0,1,0,0.0,3,0.2379106335823125,9,6,0,2,0.0,0.0,0,0,8,1,1,0,1,1,0,0.0,0,0,1460.4182370021083,0.0,1.0,3,2,1,44.80000007152557,0,0,0.6666666666666666,0,0,0,0,0.0,0,0,0,0,5,0,0.0,0,0,4.000000029802322,0,1.0,0,-37.70000004768372,0,0,0,0,0,1,0,0,6,0,0,0,0,0,3,31,13,0,0,1,0,0,0,6,0,0,4,0,0,0.1046419038886665,0,0,0,0,0,0,0,0,0,-0.0131497979164123,1.0015652540742304,3,3,1,554.8176676137465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147.32765898738182,-0.1232523639046696,-123.66320511768524,306.3642925457073,237.7127258508063,1055.9030015713051
8,0,0,14283,0,5,0,16221,0,34864,10,3,0,0,False,False,False,False,12300,0,0,1,1,7,0,3,1,531,2468,1253,14889,143,0,0,0,169582,16965,24883,0,0,99,19,33,24,18,11,3,4,200,197,114,211087,0,8,14875,0,27,619,278,1,0,39036,1119,2790,0,0,7,0,19,4,3,7,False,0,0,88,0,0,975,0,0,0.2052023395541538,3,0.2596498469625931,10,9,0,0,0.0,0.0,0,0,7,2,0,0,0,0,0,0.0,0,1,1994.7849988690512,0.0,1.0,5,2,1,64.00000008940697,0,0,1.5,0,0,1,0,0.0,0,1,0,0,3,1,0.0,0,0,21.00000002980232,0,1.0,0,-29.000000059604645,0,0,0,0,0,1,0,0,13,0,0,0,1,0,3,47,21,0,0,0,0,0,0,15,0,0,5,1,0,0.1953490539137998,0,1,0,0,1,0,0,0,0,-0.3947895169258117,0.5907266833811721,3,2,0,0.0,0.0,1.0,0.0,0.0,0.0,35.401421764013776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.36430748909676,-0.3007842952198716,-88.22003378798836,415.7741312824286,581.6566700961878,1280.2281957443397
4,0,0,6105,0,2,0,15138,0,11785,10,1,0,3,False,False,False,False,6075,0,0,0,1,3,0,2,1,208,611,611,7495,76,0,0,0,67919,7490,15586,0,0,61,17,15,8,11,11,4,4,200,71,57,85201,0,0,7329,0,5,224,180,1,0,16671,239,758,0,0,4,0,11,1,0,6,False,0,0,38,0,0,300,0,0,0.6621454820685714,1,0.2723294794331028,10,1,0,3,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,1,1244.0974656,0.0,1.0,2,2,1,40.000000059604645,0,0,0.7,0,0,0,1,0.0,0,0,1,0,9,5,0.0,0,0,8.0,0,1.0,0,-36.00000008940697,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,10,24,0,1,5,0,1,0,7,0,0,4,1,0,0.1403262289803085,0,0,0,0,0,0,0,0,0,-0.4665394425392151,0.570643354610906,0,0,1,411.7790377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.97249238283476,-0.7234159902141994,-151.86913021230097,309.18799421754886,402.26751829177584,1149.7491471137678
17,1,0,16318,0,6,5406,37091,5406,29507,2,5,0,1,True,False,False,False,12725,1,1,0,2,6,0,4,1,1049,8344,1606,11353,127,0,0,0,151635,15047,18278,0,0,132,44,37,24,19,11,3,4,200,195,81,195126,0,15,15894,0,34,577,81,1,0,35147,997,944,1,4,4,0,40,5,6,13,True,0,0,58,1,0,550,1,0,0.7833643111545364,5,0.2773924891442634,2,15,0,2,0.0,0.0,0,0,9,10,2,0,0,0,1,821.0303614582411,0,0,1762.5591515655158,0.0,1.0,8,1,1,55.000000059604645,0,0,11.5,2,0,1,1,0.0,0,1,0,0,5,2,0.0,0,0,6.800000011920929,0,2.0,0,-32.000000059604645,0,0,0,0,0,0,0,0,19,0,0,0,1,0,4,76,30,0,0,5,0,2,0,23,0,1,7,0,1,0.1794311170873536,0,1,0,0,2,4,0,1,0,0.670796275138855,1.3954408512543224,6,5,0,954.604286041758,0.0,0.0,0.0,1383.6919205531642,0.0,25.107708344183493,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.32412477340884,0.2042484643311095,122.34483013433464,469.771467961552,600.8649406514025,1040.8501742313344
7,0,0,9402,0,5,492,6856,492,12154,5,4,0,0,False,False,False,False,7450,0,0,2,0,2,0,0,1,491,3035,548,7541,120,0,0,0,122251,6925,15676,0,0,84,13,34,14,14,11,2,4,100,106,106,150990,0,0,10670,0,14,551,148,1,0,25703,1051,572,0,0,9,0,21,4,3,6,False,0,0,84,0,0,0,0,0,0.6457360787125261,4,0.2735443965805412,5,1,0,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0,2,1555.5511741,0.0,1.0,2,2,1,56.800000101327896,0,0,1.8,3,0,0,0,0.0,0,1,0,0,2,1,0.0,0,0,4.250000029802322,0,1.0,0,-47.500000059604645,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,13,21,0,0,2,0,3,0,9,0,0,2,0,0,0.146400923762131,0,0,0,0,0,0,0,0,0,-0.247294545173645,0.8440774060263595,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.1004791135145,-0.3085722977115909,-147.2275575456428,306.258005478754,328.8223547489141,917.6168703198437
