assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
15,1,2,11162,0,4,878,36426,878,28016,3,1,0,2,False,False,False,False,8500,0,0,0,2,6,0,2,1,514,40289,9235,2256,83,0,0,0,15598,749,23281,0,0,68,65,180,8,14,11,3,4,100,25,46,120047,0,4,17850,0,25,254,57,1,0,64159,711,597,0,3,2,0,37,2,5,2,True,0,0,36,1,0,0,1,0,0.7597781499024173,1,0.3570747726592849,3,6,0,3,0.0,0.0,0,0,33,1,1,1,0,0,1,750.9048925,0,1,1378.3526955,0.0,0.0,7,2,1,32.000000059604645,0,0,7.0,1,0,0,1,0.0,0,1,0,0,7,4,0.0,0,0,1.600000023841858,0,2.0,0,-55.50000002980232,0,0,0,0,0,0,0,0,15,0,0,0,1,0,3,33,79,0,0,1,1,6,0,21,0,0,7,0,1,0.1249888923008099,0,1,0,0,1,3,0,0,0,1.4804620742797852,1.639575846747997,5,3,1,487.2483757,0.0,3.0,0.0,1321.3067387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3941622567095706,0.8270742341360335,126.62941826851166,387.5495740270056,465.5992635957376,1137.6623741655387
2,0,0,7528,0,1,0,13334,0,36824,8,0,0,0,False,False,False,False,7500,0,0,3,1,2,0,2,1,495,36598,6897,4692,96,0,0,0,20151,1010,28703,0,0,66,48,190,12,15,11,3,4,200,35,79,129018,0,2,13169,0,15,341,193,1,0,72269,1053,997,0,0,11,0,11,0,3,1,False,0,0,52,0,1,0,0,0,0.0,0,0.2787012452378736,8,7,0,0,0.0,0.0,0,0,43,2,0,0,0,0,0,0.0,0,0,1542.8296513263438,0.0,0.0,2,2,1,52.00000008940697,0,0,0.5,0,0,0,2,0.0,0,0,0,0,13,3,0.0,0,0,10.000000029802322,0,1.0,0,-41.000000059604645,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,39,101,0,1,1,0,4,0,4,0,0,3,0,0,0.1501970925433492,0,1,0,0,0,0,0,0,0,-0.5278470516204834,0.4549080738593939,3,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.4131497915203,-0.5833437276929995,-154.66386700233727,309.09439651359736,348.4895429237979,1337.5293884363557
13,0,0,12078,0,2,67,15708,67,38216,5,1,0,2,False,False,True,False,8375,0,0,1,1,2,0,2,1,984,43393,9435,8482,123,0,0,0,22013,900,23835,0,0,83,51,169,7,16,11,3,4,100,32,81,153727,0,8,18882,0,15,329,149,1,0,88321,1692,755,0,1,8,0,22,1,3,7,False,0,0,58,0,0,0,1,0,0.2709955716572248,1,0.2416768164307476,5,0,0,2,0.0,0.0,0,0,42,7,0,0,0,0,1,1056.5482875588805,0,1,1667.9503752647263,0.0,0.0,10,2,0,40.000000059604645,0,0,3.0,1,0,0,0,0.0,0,0,0,0,9,2,0.0,0,0,4.000000029802322,0,1.0,0,-34.50000002980232,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,4,111,0,0,6,0,0,0,15,0,0,5,0,0,0.1212292883165706,0,0,0,0,0,1,0,0,0,-0.3115003108978271,0.8025245527060512,3,2,0,795.8540331787011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175.25701263960258,-0.1798614661736479,-108.78021474182228,312.1315883977487,432.6387707340928,1189.7116541522118
17,1,5,12975,0,7,0,47970,0,22595,2,6,0,2,False,False,False,False,9500,0,0,0,1,6,0,5,1,186,54081,11084,7351,114,0,0,0,20715,985,19459,0,0,94,53,218,6,2,4,13,11,100,28,55,179687,0,16,21700,1101,42,316,22,4,0,104890,101,547,0,0,1,0,22,6,4,7,True,0,0,39,1,0,0,1,0,0.8070790157360678,6,0.34187893443169,2,2,0,2,0.0,1101.27978515625,0,0,33,10,0,2,0,0,1,830.6213177999999,0,2,1300.0062951,0.0,1.0,12,2,1,48.00000008940697,0,0,11.5,0,0,1,2,0.0,0,0,0,0,9,9,1.0,0,0,37.19999998807907,2,3.0,0,-51.500000059604645,0,0,0,0,0,0,0,0,17,0,0,0,2,0,4,14,94,0,1,1,0,0,0,23,0,0,12,0,1,0.2007210370995134,0,2,0,0,2,0,5,1,0,-0.159888744354248,1.0443370719653298,4,4,0,851.8052411,0.0,2.0,0.0,1234.3226412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,145.93775485172264,0.6461507172435538,240.5065276825828,533.2128025939127,561.7357413979495,1262.6708087392246
10,0,0,11945,0,5,48,15244,48,47402,6,4,1,0,False,False,False,True,11100,0,0,1,2,6,4,2,2,472,51415,12894,13031,101,0,0,0,20041,711,25863,0,0,79,54,181,8,4,4,14,11,100,44,80,154807,0,0,21155,0,35,357,174,1,0,83350,1185,2223,1,1,7,0,25,4,3,6,False,0,0,58,0,0,550,0,0,0.7707516871545829,4,0.2965955091988345,5,5,0,0,0.0,0.0,0,0,47,0,0,0,0,0,1,698.7194031,0,2,1706.8731309,0.0,0.0,8,2,1,43.500000059604645,0,1,2.6666666666666665,1,0,0,0,0.0,0,0,0,0,9,18,0.0,0,0,5.5,0,1.0,0,-45.000000059604645,0,0,1,1,1,3,0,0,15,0,0,0,1,0,3,29,128,0,0,2,0,5,1,16,0,0,5,0,0,0.1731182439059804,0,1,0,0,4,1,5,1,0,-0.349286139011383,0.9095103314032972,3,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.82325649221455,-0.3163679773406878,-122.99683919056297,417.1136021249557,519.9683467581615,1445.3446804796731
6,0,0,5631,0,1,33,12816,33,9434,2,0,0,2,False,False,False,False,4050,0,0,0,1,2,0,2,1,455,26314,3483,4257,84,0,0,0,14893,835,14267,0,0,52,32,118,3,2,4,8,11,200,20,59,85265,0,0,13245,0,8,270,35,1,0,44057,350,712,0,0,0,0,11,0,2,0,True,0,0,41,0,0,0,0,0,0.0,0,0.4284826537512612,2,6,0,2,0.0,0.0,0,0,24,0,0,0,0,0,1,806.3592556779643,0,0,911.1538805497812,0.0,0.0,4,2,1,52.000000059604645,0,0,4.0,1,0,0,2,0.0,0,0,0,0,9,2,0.0,0,0,10.0,1,1.0,0,-37.500000059604645,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,34,61,0,0,0,0,0,0,8,0,0,8,0,0,0.1532268729255462,0,0,0,0,0,0,0,0,0,0.1925212144851684,0.7424651220314433,2,2,0,534.5692900112591,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.118192269061232,0.3292528368742533,16.133389006838414,384.56731346912784,307.5221496405526,1266.7673645900022
6,0,0,6423,0,2,0,29912,0,8500,3,1,0,2,False,False,False,True,3225,0,0,0,0,0,0,0,0,253,21614,2326,2618,84,0,0,0,14879,480,12727,0,0,49,37,131,2,9,11,2,4,200,15,48,95665,0,2,10842,0,15,194,43,1,0,59171,131,383,1,1,0,0,17,1,2,3,True,0,0,30,0,0,0,0,0,0.0,1,0.3425148903721094,3,0,0,2,0.0,0.0,0,0,20,1,1,0,0,0,1,622.6120375375683,0,0,954.5444274137076,0.0,0.0,3,2,1,48.00000002980232,0,1,2.0,0,0,0,0,0.0,0,0,0,0,17,2,0.0,0,0,1.9999999105930328,0,1.0,0,-47.50000011920929,0,0,0,0,0,0,0,0,6,0,0,0,2,0,4,5,34,0,0,2,0,0,1,6,0,0,6,0,0,0.0817839686737913,0,2,0,0,3,1,5,0,0,0.2675343751907348,1.1196264380074377,2,2,0,583.9452191909031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.674295048198294,-0.0628572104941905,59.52577833799844,368.5318251274391,184.6744844319318,988.681063863123
3,0,0,2649,0,2,0,2526,0,3447,3,1,0,0,False,False,False,False,2900,0,0,0,0,1,0,0,1,273,12030,2758,1856,46,0,0,0,6603,160,6376,0,0,32,20,52,1,6,11,2,6,100,13,26,38030,0,6,4715,0,4,131,38,1,0,19397,32,516,0,0,0,0,10,2,1,2,False,0,0,18,0,0,0,1,0,0.2504397986774956,1,0.4090044372302054,3,0,0,0,0.0,0.0,0,0,21,2,0,0,0,0,0,0.0,0,0,574.548692761386,0.0,0.0,3,3,2,46.000000059604645,0,0,1.3333333333333333,1,0,0,1,0.0,0,0,1,0,36,4,0.0,0,0,31.000000059604645,0,2.0,0,-8.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,41,0,0,1,0,0,0,4,0,0,4,0,0,0.2173164857517262,0,0,0,0,0,0,0,0,0,0.4161804914474487,1.108329100422446,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.1613576788176365,0.0,21.303677397945727,326.76081655966755,308.0678839408818,913.656242914839
19,1,0,12590,0,6,251,18824,251,25916,10,5,0,0,False,True,False,False,10050,0,0,2,1,4,0,2,1,329,47770,12632,12474,103,0,0,0,21144,1404,27549,0,0,99,59,217,6,19,11,5,6,200,35,74,151036,0,6,22740,0,28,331,200,1,0,82122,1028,1002,0,1,10,0,23,6,3,6,False,0,0,47,1,0,300,1,0,0.8124008872133763,5,0.3015339403731685,10,1,0,0,0.0,0.0,0,0,56,3,0,0,0,0,0,0.0,0,2,1611.7934428697367,0.0,0.0,10,2,2,32.00000002980232,0,0,2.3,2,0,0,0,0.0,0,0,0,0,28,8,0.0,0,0,8.000000029802322,0,1.0,0,-37.000000059604645,0,0,0,0,0,1,0,0,20,0,0,0,0,0,4,9,151,0,0,1,0,6,0,23,0,0,9,1,1,0.1207842166535191,0,0,0,0,0,1,0,1,0,-0.2703756690025329,0.8682209378794002,3,1,0,0.0,0.0,2.0,0.0,1344.8988303166534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-153.2950770416856,0.0372256136575244,-34.4336926332101,373.4473562122851,560.766644136948,1527.218025913597
17,2,0,16206,0,2,0,37894,0,55512,8,2,0,3,False,False,False,False,13650,0,0,2,1,7,0,3,1,597,103955,33441,14826,147,0,0,0,20134,1549,37766,0,0,106,90,278,11,24,11,8,6,100,65,82,231136,0,7,28184,0,24,442,327,1,0,107046,1112,3761,0,1,7,0,29,2,4,3,False,0,0,65,2,0,450,1,0,0.6542808923277278,2,0.3325870767253398,8,19,0,3,0.0,0.0,0,0,81,5,1,0,0,0,0,0.0,0,2,2008.878938210809,0.0,0.0,14,2,1,44.000000059604645,0,0,3.0,0,0,1,0,0.0,0,0,0,0,34,5,0.0,0,0,31.75000002980232,0,4.0,0,-47.500000059604645,0,0,0,0,0,3,0,0,23,0,0,0,0,0,8,100,256,0,0,1,0,4,0,24,0,0,4,0,2,0.2577349940204133,0,0,0,0,0,1,0,0,0,-0.2258471846580505,0.8719411550811654,4,1,1,941.3805475755748,0.0,0.0,0.0,1224.0418944239989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.72043351135955,0.2389392366408639,56.59873167930465,408.16795099175584,1078.302907555639,1683.117850302826
