assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,2,15124,0,5,2251,23885,2251,23745,10,3,0,0,False,False,False,True,11050,0,1,1,2,6,0,3,1,386,0,0,8112,134,0,0,0,136163,7504,22172,0,0,173,158,70,6,21,11,3,4,200,22,96,185617,0,12,11952,0,20,304,328,1,0,49453,2635,1206,4,5,7,0,24,4,2,6,True,0,0,66,0,0,750,0,0,0.7358173101837073,3,0.2376946679164536,10,7,0,0,0.0,0.0,0,0,18,10,0,1,0,0,1,762.0444852303865,1,0,1930.385849499874,0.0,0.0,8,2,1,52.00000008940697,0,1,1.1,1,0,1,0,0.0,0,0,0,0,4,5,0.0,0,1,3.2500000298023224,12,1.0,0,-50.500000059604645,0,0,0,0,0,1,0,0,10,0,0,0,2,0,3,40,17,0,0,3,0,1,1,11,0,0,3,0,1,0.1001018931065475,0,2,0,0,2,5,10,0,0,-0.3736736178398132,0.76599643073295,2,1,1,0.0,0.0,0.0,0.0,1744.756189232917,0.0,28.75645647883175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-114.62993269316053,-0.2797368205635696,-85.56838522350078,385.6327480813564,315.1390692993369,978.79913515193
0,0,0,9756,0,3,0,9819,0,12072,2,1,1,0,False,False,False,False,8700,0,0,0,2,6,0,3,2,911,0,0,6446,107,0,0,0,99256,7030,12547,0,0,128,117,53,4,16,11,1,4,100,13,75,131646,0,6,9813,0,39,237,72,1,0,32389,1772,1147,0,0,5,0,13,2,4,2,False,0,0,55,0,0,300,0,0,0.0,1,0.2352572869958417,2,0,0,0,0.0,0.0,0,0,10,5,0,0,0,0,0,0.0,0,0,1373.2093305171295,0.0,0.0,5,1,2,44.000000059604645,0,0,3.0,0,0,2,0,0.0,0,0,0,0,3,11,0.0,0,0,16.900000035762787,0,1.0,0,-52.1000000834465,0,0,1,1,0,0,0,0,5,0,0,0,1,0,3,2,13,0,1,1,0,0,0,6,0,0,3,0,0,0.1743586827348015,0,1,0,0,1,0,0,1,0,-0.255441665649414,0.5726404780554682,4,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.201124032562475,-0.2621595935882765,-62.96199572678442,418.1882450388992,384.63181705959977,879.9823691446483
11,2,0,15385,0,4,1942,37215,1942,28781,7,3,2,2,False,False,False,False,13825,0,0,0,4,10,0,3,2,417,0,0,9500,149,0,0,0,175835,16401,18817,0,0,203,166,124,16,21,11,4,4,200,24,74,226191,0,31,15694,0,43,248,155,1,0,50356,5387,2014,2,2,4,0,37,3,3,5,True,0,0,59,2,0,0,1,0,0.7841019296787262,3,0.2982352327779355,7,12,0,2,0.0,0.0,0,0,19,24,0,2,0,0,0,0.0,0,1,1717.4497194492387,0.0,0.0,12,1,1,52.00000008940697,0,0,3.0,0,0,1,5,0.0,0,0,0,2,2,8,0.0,0,0,40.00000008940697,3,2.0,0,-5.499999970197678,0,0,2,0,0,1,0,0,16,0,0,0,1,0,4,66,20,0,1,2,0,2,0,21,0,0,7,0,2,0.1779479662654554,0,1,0,0,0,2,5,1,0,0.8072508573532104,1.3058995247792036,3,0,0,777.0995924791108,0.0,2.0,0.0,1249.9066146114487,0.0,32.579254829806814,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.6175829561043,0.2096131234138527,80.73598803490226,491.6475809671915,761.1751221568371,1059.6292743775944
5,1,1,11008,0,6,2406,37926,2406,12178,4,4,0,2,False,False,False,False,9175,1,1,0,0,2,0,0,1,660,0,0,3875,113,0,0,0,100542,4060,15779,0,0,140,160,85,5,3,4,13,11,100,5,65,142102,0,6,12181,0,16,172,78,1,0,41559,1109,327,3,3,0,0,22,5,3,6,True,0,0,42,1,0,0,0,0,0.525739585407806,4,0.3114410500634552,4,0,0,2,0.0,0.0,0,0,5,8,0,1,0,0,1,864.9842008999999,0,0,1398.1846844,0.0,0.0,3,2,1,50.00000002980232,0,0,1.75,1,0,0,2,0.0,0,0,0,0,2,2,0.0,0,0,1.0,1,1.0,0,-45.000000059604645,0,1,0,0,0,0,0,0,7,0,0,0,2,0,4,8,12,0,0,2,0,2,0,7,0,0,3,0,1,0.1075994903922546,0,2,0,0,1,3,10,0,0,0.7828307151794434,0.9616363193264426,3,3,0,645.4510376,0.0,0.0,0.0,1364.5190651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.192379444433286,0.0429127858926216,61.92315004305307,400.5050307358381,221.8161902789614,857.4832877063662
0,0,0,325,0,1,0,0,0,100,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,716,0,278,0,0,2,0,0,0,1,11,1,4,200,0,4,1472,0,0,143,0,0,0,0,1,0,756,0,0,0,0,0,0,1,0,0,1,False,0,0,1,0,0,0,0,0,0.0,0,0.9688570136451332,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,1,0,4.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.6467426270682507,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.46168758092851,0.0,181.73005224372983,341.1021485331838,0.0,159.37209628945396
0,0,0,5558,0,2,311,12014,311,7027,4,1,0,0,False,False,False,False,5975,0,0,0,0,2,0,0,1,304,0,0,3553,80,0,0,0,66208,2897,9347,0,0,97,86,40,2,10,11,2,4,100,8,58,90099,0,6,6542,0,28,169,90,1,0,23890,786,143,0,0,2,0,6,1,1,2,False,0,0,36,0,0,150,0,0,0.1981503049764239,1,0.2635932783119579,4,0,0,0,0.0,0.0,0,0,6,8,0,0,0,0,0,0.0,0,0,954.4913042602265,0.0,0.0,1,2,1,56.000000059604645,0,0,0.5,0,0,0,0,0.0,0,0,0,0,2,8,0.0,0,0,44.50000002980232,0,1.0,0,-15.500000029802322,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,4,6,0,0,1,0,0,0,2,0,0,2,0,0,0.1458795246087111,0,1,0,0,2,0,0,0,0,-0.7785208225250244,0.3858776686896305,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.85743374405126,-0.7543285064896765,-10.93776334410031,393.9480625142336,231.51599078345652,820.0179472631526
0,0,0,4765,0,1,0,2520,0,6872,6,0,0,0,False,False,False,False,4600,0,0,0,0,1,0,0,1,219,0,0,4990,83,0,0,0,57840,3222,9584,0,0,89,72,38,3,7,11,3,4,100,10,71,78616,0,0,6427,0,0,203,81,1,0,20776,837,207,0,0,2,0,7,0,0,1,False,0,0,50,0,0,375,0,0,0.0,0,0.3538195075892438,6,1,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,911.8203068,0.0,0.0,1,2,1,53.75000008940697,0,0,0.1666666666666666,0,0,0,0,0.0,0,0,0,0,2,0,0.0,0,0,12.750000029802322,0,1.0,0,-37.000000059604645,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,11,8,0,0,1,0,0,0,1,0,0,1,0,0,0.2616832323831587,0,0,0,0,0,0,0,0,0,-0.0914118885993957,0.4614509171498909,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.67068018187285,-0.8554317053295089,-53.89219743575906,325.1298504640849,267.1579018182928,972.691651398523
12,0,9,11755,0,5,5288,37897,5288,15576,1,2,0,2,False,False,False,False,11325,0,1,0,1,10,0,9,1,226,0,0,4204,124,0,0,0,136576,13408,13334,0,0,178,162,86,7,16,11,3,4,100,28,62,187334,0,26,13090,0,37,366,10,1,0,50757,6300,865,3,4,1,0,25,4,5,4,True,0,0,43,0,0,300,1,0,0.7105058830086599,2,0.2075550189726747,1,0,0,2,0.0,0.0,0,0,19,23,0,1,0,0,1,722.9981414441233,1,2,1386.132621210042,0.0,0.0,14,2,1,56.00000011920929,0,1,22.0,0,0,1,0,0.0,0,1,0,0,3,14,0.0,1,0,14.5,0,2.0,0,-30.5,0,0,0,0,0,1,0,0,15,0,0,0,2,0,4,4,21,0,0,2,0,2,0,22,0,0,12,0,0,0.2347917123533494,0,2,0,0,4,4,5,1,0,0.2212276458740234,1.1002411757723338,5,4,1,753.7040360960518,0.0,3.0,1306.0769253578262,0.0,0.0,9.095777782255029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,145.61377238478178,0.4761449156458381,124.96639740632132,551.1160969093464,853.0785452316526,796.6337297769095
0,0,0,8361,0,2,0,4613,0,13127,5,1,0,0,False,False,False,False,8075,0,0,0,1,5,0,2,1,539,682,478,8165,104,0,0,0,94246,6077,12789,0,0,124,142,77,4,11,11,4,4,200,11,92,121905,0,0,9392,0,8,205,101,1,0,26975,1895,847,0,0,6,0,13,1,3,2,False,0,0,69,0,1,450,0,0,0.0,1,0.3096243222552677,5,1,0,0,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,0,1383.4057856,0.0,0.0,3,1,1,50.00000008940697,0,0,1.0,1,0,0,1,0.0,0,1,0,0,2,2,0.0,0,0,14.000000059604645,0,1.0,0,-32.00000002980232,1,0,0,0,0,3,0,0,5,0,0,0,0,0,1,10,9,0,0,1,0,2,0,5,0,0,2,1,0,0.2046920574381529,0,0,0,0,0,0,0,0,0,-0.4460375905036926,0.576002952900993,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-19.386936413864884,-0.0867424448047645,-81.23429955966203,356.8584179268015,366.5735717449352,945.5793908167389
4,0,0,8744,0,4,967,4608,967,9391,5,3,0,0,False,False,False,False,11925,0,0,2,3,7,684,2,1,450,632,632,5155,94,0,0,0,84092,10514,10919,0,0,99,106,51,9,13,11,3,4,200,19,78,108699,0,0,7036,0,14,260,137,1,0,23974,3105,920,0,0,11,0,18,3,4,5,False,0,0,48,0,0,975,0,0,0.0630547387022332,3,0.1861699981494733,5,0,0,0,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,0,1305.982362923478,0.0,0.0,8,2,1,48.000000059604645,1,0,2.2,1,0,0,1,0.0,0,2,1,1,3,4,0.0,0,0,4.0,0,0.0,0,-41.00000008940697,1,0,0,0,0,1,0,0,9,0,0,0,0,0,3,5,13,0,2,2,0,0,0,11,0,0,7,0,0,0.2999286965931636,0,0,0,0,2,0,0,0,0,-0.169295847415924,0.8626689546069422,4,4,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.35501264127234,-0.2756545648856466,-169.61944225963458,430.84808491626575,654.7714764583727,780.8374974660751
