assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,1,16514,0,4,2969,37922,2969,35759,5,2,2,2,False,False,False,False,14625,0,1,1,3,12,0,5,2,619,184869,42460,15496,146,1,0,0,10290,360,21391,0,0,93,96,229,29,5,4,22,11,100,41,85,241249,0,23,17074,0,41,428,182,1,0,46090,1213,1077,2,4,8,0,35,3,7,4,False,0,0,54,1,0,1050,3,0,0.8177528692900268,2,0.2298281379499275,5,27,0,2,0.0,0.0,0,0,44,9,1,0,1,1,0,0.0,0,2,2020.2081382529825,0.0,0.0,10,2,1,44.00000002980232,0,0,4.6,2,0,1,2,0.0,0,0,0,0,4,6,0.0,0,0,33.39999997615814,0,2.0,0,-23.600000083446503,0,0,2,0,0,3,0,0,16,0,0,0,2,0,4,137,18,0,1,2,0,9,0,23,0,0,8,0,1,0.3819732576841251,0,2,0,0,3,4,5,1,0,-0.051361083984375,1.0621825963896776,7,5,3,1108.9876926410548,0.0,2.0,0.0,1657.6832209356255,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185.9808367690825,0.2375992804459693,92.15882090298037,498.5723901058109,1307.7761394846711,1127.5570852664034
10,0,3,6609,0,6,0,11337,0,7346,1,3,1,1,True,False,False,False,5760,0,0,0,2,8,0,5,2,745,49819,12448,4746,68,0,0,0,6234,403,9217,0,0,38,48,93,8,10,11,3,4,200,9,46,76096,0,4,7226,0,7,177,27,1,0,20042,241,285,0,0,0,0,16,3,1,4,True,0,0,29,0,0,150,0,0,0.823202583468926,3,0.2702069297382188,1,2,0,1,0.0,0.0,0,0,21,1,1,0,0,0,0,0.0,0,3,926.5337951137844,0.0,0.0,6,2,1,40.00000002980232,0,0,18.0,4,0,2,3,0.0,0,0,0,1,3,6,0.0,0,0,10.0,1,2.0,0,-27.500000059604645,0,0,1,0,0,1,0,0,13,0,0,0,1,0,2,15,11,0,0,1,0,2,0,18,0,4,16,0,0,0.2902143005633195,0,1,0,0,0,0,0,0,0,0.2253428697586059,1.0684475203403738,1,1,0,835.3419985911654,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.669516158895,0.8418473283041024,80.49355608323071,510.9365707937975,847.8697745758163,922.7941867948814
12,1,1,12964,0,5,2722,26594,2722,25488,6,4,2,2,False,True,False,False,12150,0,2,0,2,13,0,7,3,653,108227,24057,13396,108,0,0,0,8877,292,20150,0,0,72,81,175,19,15,11,5,4,200,27,70,149107,0,0,16847,26,26,278,135,3,1,32003,834,2025,1,3,0,0,25,4,5,5,True,0,1,35,1,0,150,0,0,0.4996724735522315,4,0.3565658048994244,6,5,0,2,0.0,26.3341064453125,0,0,43,0,0,0,0,0,1,795.7750570999999,3,1,1531.4825823,0.0,0.0,16,1,1,40.00000002980232,0,0,4.166666666666667,2,0,2,2,0.0,0,0,0,0,4,0,0.0,0,0,0.0,0,2.0,0,-45.00000011920929,0,0,3,1,0,3,0,0,17,0,0,0,1,0,5,30,19,0,0,1,0,7,0,25,0,0,13,1,1,0.2652676554120667,0,2,0,0,1,3,0,0,0,-0.0837165117263794,1.0051388029945851,5,4,1,887.4595224,0.0,2.0,0.0,1230.5045886,0.0,10.777688500000068,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,128.07197565736232,0.6268435639393689,61.15642520683468,517.9294947049036,986.6517696405668,1393.629953528202
1,1,0,10856,0,2,0,11054,0,35416,7,1,0,0,False,False,False,False,11160,0,0,1,2,7,0,3,1,662,119000,17296,11663,120,1,0,0,11764,66,21799,0,0,76,78,158,17,3,4,16,11,200,23,93,170339,0,10,11991,0,44,399,198,1,0,39573,1206,804,0,0,7,0,10,1,2,1,False,0,0,69,1,0,1000,1,0,0.3800398626477012,1,0.3261820622249722,7,17,0,0,0.0,0.0,0,0,22,4,1,0,1,1,0,0.0,0,0,1569.9501064,0.0,0.0,2,3,1,56.000000059604645,1,0,1.1428571428571428,0,0,1,2,0.0,0,2,0,0,1,5,0.0,0,0,35.00000008940697,0,1.0,0,-17.000000059604645,0,0,0,0,0,2,0,0,7,0,0,0,0,0,2,89,11,0,1,0,0,6,0,8,0,0,4,1,1,0.2726722974997332,0,0,0,0,0,0,0,1,0,-0.7313436269760132,0.4091694987445237,2,0,1,0.0,0.0,1.0,0.0,1297.8743086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.2050993484999,-0.5732666256915385,-17.580176521207182,437.3642176275978,709.6658648310786,1309.6084975047968
12,1,3,14108,0,4,2804,11477,2804,26434,4,3,2,0,False,False,False,False,11075,0,0,0,3,9,0,3,2,949,128190,21301,13057,143,0,0,0,14383,46,17039,0,0,72,87,185,19,18,11,4,4,200,17,109,183933,0,4,14524,0,25,480,147,1,0,41360,1060,1259,1,2,2,0,24,3,4,5,True,0,0,79,1,0,0,1,0,0.7318365902494474,3,0.2457612537048616,4,2,0,0,0.0,0.0,0,0,23,1,0,0,0,0,1,955.0618139711344,0,1,1536.52618209659,0.0,0.0,7,2,2,60.000000059604645,0,0,5.25,1,0,1,2,0.0,0,0,0,0,1,1,0.0,0,0,4.0,2,2.0,0,-59.50000008940697,0,0,2,0,0,0,0,0,13,0,0,0,0,0,5,15,11,0,2,2,1,0,0,21,0,0,2,0,1,0.246863424077613,0,0,0,0,2,2,0,0,0,0.2429147958755493,0.9507834494833344,4,2,1,0.0,0.0,0.0,0.0,1262.8782260510968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.02021441941534,0.2342947384787026,57.519358296521496,484.9120104047549,875.0127499717948,1224.4243032897
9,2,3,16751,0,5,2790,55656,2790,34067,5,3,2,3,False,False,False,False,11875,0,1,0,3,8,0,3,2,597,172204,18015,10969,167,0,0,0,13328,324,31423,0,0,87,117,256,19,20,11,5,4,100,13,98,244029,0,18,23146,0,35,400,117,1,0,58495,693,767,2,3,2,0,21,3,5,3,True,0,0,65,2,0,0,2,0,0.8806762212432421,3,0.3014543214878383,5,13,0,3,0.0,0.0,0,0,18,10,0,1,0,0,1,988.2853436936904,0,1,1842.9206584959743,0.0,0.0,6,2,1,52.000000059604645,0,0,3.4,2,0,1,2,0.0,0,1,0,0,2,7,0.0,0,0,70.99999997019768,3,3.0,0,-18.50000002980232,0,0,2,1,0,2,0,0,16,0,0,0,2,0,5,68,10,0,0,0,0,4,0,17,0,0,6,1,2,0.1872580008584344,0,2,0,0,2,3,5,1,0,-0.2737771272659302,0.7159688587657459,5,3,1,884.5891421533222,0.0,1.0,0.0,1334.364014993119,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.105973582051075,0.097671052288762,144.26014423050148,427.44108183305207,619.6577127373357,1405.1934292784188
5,0,0,13523,0,5,146,10422,146,21490,12,4,0,0,False,False,False,False,10235,0,0,3,0,5,0,0,1,332,117148,16061,18030,109,0,0,0,9996,136,25136,0,0,75,71,186,28,19,11,5,4,100,26,96,171828,326,0,15219,0,41,452,294,1,0,44684,1006,1662,0,0,10,0,36,4,10,6,False,0,0,62,0,0,150,0,0,0.8352550211563844,4,0.2637270389314438,12,5,0,0,0.0,326.52203369140625,0,0,34,0,0,0,0,0,1,957.6454299462696,0,1,2061.568182630321,0.0,0.0,1,1,1,36.00000002980232,0,0,0.8333333333333334,0,0,0,2,0.0,0,0,2,0,6,6,0.0,0,0,4.0,0,0.0,0,-41.00000008940697,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,32,20,0,1,2,0,2,0,10,0,0,5,0,0,0.1365054618744736,0,0,0,0,0,0,0,1,0,-0.1787654757499694,1.0511860306457246,10,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.24694345956536,-0.3201446382228876,-175.8467185584261,333.47429679616783,500.7062141805962,1304.705816990348
4,0,0,6443,0,7,0,19187,0,7262,2,3,0,1,False,False,False,False,5335,0,0,0,0,0,0,0,0,619,52230,3203,2985,90,0,0,0,10573,48,12072,0,0,51,50,106,4,10,11,2,4,200,6,56,93921,0,0,8821,0,7,225,29,1,0,31117,0,170,0,0,0,0,23,4,2,5,True,0,0,39,0,0,0,0,0,0.3370097971957155,3,0.3363570882367539,2,0,0,1,0.0,0.0,0,0,14,1,0,0,0,0,1,863.8698390251412,0,0,950.5335306316016,0.0,0.0,2,1,2,52.80000007152557,0,0,2.0,0,0,0,0,0.0,0,0,0,0,1,5,0.0,0,0,12.049999952316284,1,2.0,0,-51.50000008940697,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,3,6,0,0,2,0,2,0,4,0,0,4,0,0,0.092641769138786,0,1,0,0,0,0,0,0,0,1.4777498245239258,1.5051126265585468,2,2,0,699.410074756656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.33846557344625,0.1893673333968505,99.35472758888096,354.30628078550745,205.2110669577204,961.2285843224136
6,0,0,7641,0,8,0,6910,0,11872,6,3,0,1,False,False,False,False,7175,0,0,0,1,4,0,4,1,520,62533,8710,7126,74,0,0,0,9007,382,15238,0,0,48,58,115,14,13,11,4,4,100,16,67,98773,0,0,9325,0,24,295,65,1,0,27232,808,235,0,0,4,0,16,7,4,4,False,0,0,52,0,0,300,0,0,0.0,3,0.2841433730426512,6,0,0,1,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,2,1333.4462934078629,0.0,1.0,5,1,0,30.00000002980232,0,0,1.6666666666666667,1,0,1,0,0.0,0,1,1,1,2,10,0.0,0,0,0.0,0,1.0,0,-42.500000059604645,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,9,0,1,1,0,8,0,10,0,0,7,0,0,0.2307973027963533,0,1,0,0,0,0,5,0,0,-0.0110918283462524,0.7235235934063242,4,4,0,812.7442037632534,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.919329073998183,-0.0899923758408884,-64.83950679336012,336.88645896036587,445.55225278823866,1016.9138470020392
9,0,6,10167,0,4,1171,22888,1171,14893,0,3,0,1,True,False,False,False,8675,0,0,0,1,6,0,6,1,0,90462,12909,4693,112,0,0,0,9241,103,16102,0,0,63,70,153,16,13,11,3,4,100,14,63,134418,0,8,11597,0,16,316,0,1,0,34714,556,446,0,1,1,0,33,3,3,11,True,0,0,44,0,0,0,1,0,0.2971949537242886,3,0.307396632666952,0,5,0,2,0.0,0.0,0,0,21,7,1,0,0,0,1,840.6469512188168,0,0,1353.3540922919717,0.0,0.0,8,2,2,44.000000059604645,0,0,15.0,2,0,1,2,0.0,0,0,0,0,1,2,0.0,0,0,34.000000059604645,0,4.0,0,-49.000000059604645,0,0,0,0,0,0,0,0,13,0,0,0,2,0,6,31,13,0,0,8,0,4,0,15,0,0,8,1,0,0.1503663277443598,0,2,0,0,4,1,10,0,0,1.2060000896453855,1.473062366341418,3,3,0,858.4131610849927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0217464514845,0.620680134477902,172.37174020357736,443.475956084461,601.5720531950466,941.7491011842568
