assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,8044,0,5,253,26132,253,14052,4,3,1,2,False,False,False,False,7875,0,0,0,1,5,0,4,2,678,3481,539,6471,96,0,0,0,84828,4960,13965,0,0,111,73,41,9,11,11,3,4,200,7,65,112992,0,4,8884,0,14,149,88,1,0,24682,310,397,0,0,3,0,31,6,7,5,False,0,0,36,0,0,0,0,0,0.5944915049640962,3,0.2844302728787053,4,22,0,2,0.0,0.0,0,0,9,6,0,0,0,0,1,799.3391569791754,0,0,1376.4288279212633,0.0,0.0,7,2,1,44.000000059604645,0,0,2.0,0,0,1,3,0.0,0,0,0,0,1,1,0.0,0,0,18.000000059604645,0,1.0,0,-33.000000059604645,0,0,1,0,0,0,0,0,4,0,0,0,2,0,3,113,8,0,0,2,0,2,0,8,0,0,7,0,0,0.1450367250558137,0,2,0,0,3,0,0,0,0,0.1322053670883178,1.367466080345394,7,5,0,486.0488979449087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-55.36065392867442,-0.3487285286845632,-151.60972784561386,370.8291991899474,253.26409395716405,908.1762708267738
5,0,0,13716,0,5,0,22555,0,30867,10,4,0,1,False,False,False,False,11400,0,0,1,1,6,566,2,1,322,8100,2365,8487,148,1,0,0,158421,17825,19646,0,0,151,130,52,13,4,4,22,11,100,23,100,207105,0,7,10884,0,23,171,232,1,0,40584,4332,1509,0,0,8,0,36,10,5,6,False,0,0,70,0,0,525,0,0,0.8456506044038998,4,0.2439973809149853,10,5,0,1,0.0,0.0,0,0,28,6,2,0,1,1,0,0.0,0,0,1924.197308152144,0.0,0.0,6,1,2,47.6000000834465,0,0,1.1,2,0,0,1,0.0,0,0,0,0,3,7,0.0,0,0,15.200000017881392,0,1.0,0,-42.90000003576279,0,0,0,0,0,0,0,0,9,0,0,0,2,0,6,28,23,0,2,2,0,2,0,11,0,0,3,2,0,0.2549872779639722,0,2,0,0,0,0,0,0,0,0.2774728536605835,1.1299259730463975,5,2,1,817.2940637550915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.1179316819746,-0.4365456683892119,-64.20339508667053,365.0145424402939,764.6721018506174,924.3542709806998
6,1,6,12305,0,4,3611,34185,3611,25877,3,2,2,1,False,False,False,False,11325,1,1,0,3,11,1425,6,3,430,7334,1923,11125,141,1,0,0,150147,12885,15482,0,0,165,106,52,20,16,11,4,4,100,24,102,211127,0,13,15414,0,21,379,59,1,1,53646,2640,1434,1,4,1,0,24,10,3,4,True,0,0,68,1,0,0,1,0,0.6957613211166681,2,0.2870721362646513,3,9,0,1,0.0,0.0,0,0,28,13,2,0,1,1,0,0.0,2,3,1460.93173416865,0.0,0.0,13,1,1,44.000000059604645,0,0,5.666666666666667,1,0,2,5,0.0,0,0,1,1,3,6,0.0,0,0,57.400000005960464,1,3.0,0,-37.00000008940697,0,0,3,0,0,2,0,0,12,0,0,0,0,0,3,47,20,0,1,2,0,8,0,17,0,0,7,0,1,0.2174848700671222,0,0,0,0,0,4,0,0,0,0.1968433856964111,0.9943516119565682,3,3,0,1166.728684224532,0.0,1.0,0.0,1363.4791738578392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198.1612098834593,0.4928361696583443,177.05139394976018,501.0501058193168,716.6248603640375,1151.634919449136
4,0,0,11590,0,4,0,19359,0,17658,7,2,0,1,False,False,False,False,11258,0,0,2,2,6,0,3,1,613,13988,760,10381,108,0,0,0,128258,4833,13150,0,0,140,111,60,12,12,11,3,4,200,9,79,166481,0,8,8068,0,57,153,164,1,0,24234,374,2007,0,0,10,0,17,7,6,4,False,0,0,52,0,0,300,0,0,0.6895241788687667,2,0.2388621380950109,7,8,0,1,0.0,0.0,0,0,9,4,0,1,0,0,0,0.0,0,0,1691.215367023222,0.0,0.0,6,2,0,48.000000059604645,0,0,1.4285714285714286,1,0,1,2,0.0,0,0,0,1,2,2,0.0,0,0,34.64999994635582,0,1.0,0,-22.500000089406967,0,0,0,0,0,1,0,0,8,0,0,0,1,0,2,40,8,0,0,2,0,5,0,10,0,0,8,2,0,0.1088342745661013,0,1,0,0,1,0,0,2,0,-0.5358189940452576,0.6190249379371258,6,4,1,974.5316189591348,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.60377186440435,-0.3547744490141931,-95.75362378893072,410.86428940333707,211.72939117167047,906.058465337348
3,0,0,9093,0,4,0,17540,0,22404,9,3,2,0,False,True,False,False,9775,0,0,1,2,6,0,2,2,236,4433,2078,11754,106,0,0,0,108659,14490,17924,0,0,128,68,46,12,16,11,3,4,100,19,90,147459,165,2,13012,0,20,150,246,1,0,34365,1423,848,0,0,9,0,20,9,2,4,False,0,0,60,0,0,1050,0,1,0.6349249221020618,3,0.3154621030909807,9,4,0,0,0.0,165.0,0,0,21,2,0,0,0,0,0,0.0,0,0,1397.877853503732,0.0,0.0,7,2,1,44.00000002980232,0,0,1.0,4,0,0,0,0.0,0,1,0,0,3,1,0.0,0,0,5.249999970197678,0,1.0,0,-36.20000010728836,0,0,2,0,0,2,0,0,9,0,0,0,1,0,1,27,20,0,0,1,1,4,0,9,0,0,5,0,0,0.2909644489441903,0,1,0,0,2,0,0,0,0,-0.4044114947319031,0.9006395693411923,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.51313349989869,-0.686755282368766,-63.696552439703055,439.4804585108622,772.2133928185294,1310.2861565544576
1,0,0,8655,0,2,0,18392,0,11734,7,0,0,0,False,False,False,False,7550,0,0,0,0,1,324,0,1,468,3383,349,2605,112,0,0,0,88444,3019,15087,0,0,112,84,29,5,12,11,4,4,100,8,83,121765,0,0,7834,0,23,131,149,1,0,29937,472,2032,0,0,3,0,15,3,2,2,False,0,0,50,0,0,375,0,0,0.0,0,0.2925848821409029,7,0,0,0,0.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0,1,1323.5909758418331,0.0,0.0,0,2,1,60.000000059604645,0,0,0.2857142857142857,0,0,0,0,0.0,0,0,0,0,3,0,0.0,0,0,2.9802322387695312e-08,0,0.0,0,-51.500000059604645,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,5,9,0,0,2,0,0,0,2,0,0,0,0,0,0.0966329618979959,0,2,0,0,2,0,0,0,0,0.2690000534057617,0.695517864605346,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.85338607432703,-0.7706308207120084,-166.5922509480371,366.86560188366377,174.1625654809139,894.1584081496686
16,1,0,14503,0,11,973,27172,973,26146,9,8,0,2,False,False,False,False,10625,0,0,0,0,3,180,0,1,537,10359,2173,9687,133,0,0,0,138647,16041,24835,0,0,159,91,59,14,6,4,18,11,200,26,102,172896,0,0,16089,0,27,209,168,1,0,23888,920,2021,1,1,4,0,46,15,12,10,True,0,0,56,1,0,0,0,0,0.7670870031715127,8,0.2849386084887224,9,2,0,3,0.0,0.0,0,0,25,0,2,0,0,0,1,846.9112517159018,1,4,1868.306335084684,0.0,0.0,11,2,1,48.00000002980232,0,0,2.111111111111111,3,0,0,0,0.0,0,0,0,0,6,6,0.0,0,0,11.59999993443489,8,1.0,0,-42.50000008940697,0,0,0,0,0,0,0,0,14,0,0,0,1,0,3,13,25,0,0,2,0,5,0,19,0,0,5,0,1,0.1745317217270288,0,1,0,0,0,1,5,0,0,0.6433837413787842,1.5071743673402829,12,6,0,631.7931687816308,0.0,1.0,0.0,1703.55873449606,0.0,40.67226931646383,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-76.20805931354207,0.1926878870127486,-2.954547600862145,354.51359745562195,614.5137863314907,1173.597690498981
9,0,0,9846,0,4,172,5300,172,13027,8,2,0,0,False,False,False,False,8025,0,0,1,0,2,514,0,1,344,5203,797,4839,105,0,0,0,99340,5902,15538,0,0,118,96,42,7,13,11,4,4,200,9,84,125398,0,0,7818,0,27,143,144,1,0,20854,854,1674,0,0,7,0,18,8,1,2,False,0,0,53,0,0,150,0,0,0.7413985562662349,2,0.2041113158807222,8,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,0,0.0,0,0,1305.230302610986,0.0,0.0,4,1,1,49.60000005364418,0,0,1.375,2,0,0,0,0.0,0,1,0,0,3,9,0.0,0,0,16.80000001192093,0,1.0,0,-39.40000003576279,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,2,12,0,1,0,1,0,0,11,0,0,4,0,0,0.1227509917709853,0,0,0,0,0,0,0,0,0,0.097838282585144,0.8275282120871512,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.21504627221847,-0.2758133942185184,-49.32462866607838,374.9223405410394,347.2490633211147,1013.7521304501644
2,0,0,12663,0,8,282,26138,282,18792,9,5,0,0,False,False,False,False,10225,0,0,3,2,6,465,2,1,591,5903,745,3763,112,0,0,0,118248,8124,27687,0,0,149,137,61,16,16,11,6,4,100,12,75,156678,0,9,11011,0,38,177,267,1,0,32526,1218,1588,0,0,11,0,32,12,8,7,False,0,0,53,0,0,0,1,0,0.0976034386622961,5,0.2620961508087279,9,16,0,0,0.0,0.0,0,0,15,5,0,1,0,0,1,865.5911426584873,0,0,1814.698435797047,0.0,0.0,5,2,1,48.000000059604645,0,0,0.8888888888888888,1,0,0,1,0.0,0,1,0,0,2,12,0.0,0,0,16.0,0,1.0,0,-38.000000059604645,0,0,0,0,0,0,0,0,8,0,0,0,2,0,3,81,17,0,0,2,0,4,0,8,0,0,3,0,0,0.145332983172721,0,2,0,0,3,0,0,1,0,0.1324719190597534,1.087186504653333,8,5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.40557382131695,-0.7273935844994726,-196.2309510911077,359.7953175692391,333.54302183775815,1092.346783849708
4,1,0,10954,0,5,0,21245,0,23279,5,3,3,1,True,False,False,False,11400,0,0,1,2,11,473,8,3,779,4744,1627,6698,122,0,0,0,114640,10829,16228,0,0,138,126,63,12,18,11,4,4,100,21,72,152044,316,22,11267,0,25,175,130,1,1,32660,2135,1395,0,0,7,0,27,6,10,4,False,0,0,47,1,0,450,2,0,0.5676193111526605,3,0.2121818740916968,5,13,0,1,0.0,316.87994384765625,0,0,24,12,0,0,0,0,0,0.0,0,2,1595.7222559288116,0.0,0.0,9,1,0,42.000000059604645,0,0,3.0,4,0,1,3,0.0,0,2,1,2,3,4,0.0,1,0,21.000000059604645,0,2.0,0,-26.00000002980232,0,0,4,1,0,3,0,0,13,0,0,0,0,1,3,69,19,0,1,1,0,6,0,15,0,2,13,1,1,0.2531385481243029,0,0,0,0,0,0,0,0,0,-0.0510427951812744,1.044150626156665,14,10,0,733.4523820928295,1.0,4.0,708.7247523706122,1334.3937067770012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.378616114942988,-0.0752010567967872,-51.62552549099443,458.2376395912229,548.6669103893596,914.5200517057294
