assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,1,11197,0,3,96,35662,96,18135,2,1,0,3,True,False,False,False,8350,0,0,0,1,3,0,2,1,560,10734,760,7039,130,0,0,0,124180,9647,17072,0,0,70,86,0,5,14,11,3,4,200,16,67,172354,0,31,17027,0,14,462,51,1,0,37437,326,296,1,1,2,0,17,2,1,2,True,0,0,47,1,0,0,3,0,0.0,1,0.3178025525702526,2,3,0,3,0.0,0.0,0,0,11,15,0,1,0,0,1,723.057766611481,0,0,1373.2093305171295,0.0,0.0,4,3,0,57.6000000834465,0,0,6.0,0,0,0,1,0.0,0,0,0,0,0,3,0.0,0,0,9.600000023841858,0,1.0,0,-1.0000000596046448,0,0,0,0,0,0,0,0,11,0,0,0,1,0,3,16,0,0,0,1,0,4,0,12,0,2,8,0,1,0.152068790885735,0,1,0,0,0,1,5,0,0,0.3430781364440918,0.7691009137737183,1,1,0,677.6188056593528,0.0,0.0,0.0,1301.862537191569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.201124032562475,0.2621595935882765,62.96199572678442,394.9871210063367,469.00351292942673,1066.465226717109
6,0,0,7060,0,2,0,2593,0,12729,8,0,0,0,True,False,False,False,5350,0,0,1,0,1,0,0,1,312,8348,1049,9653,78,0,0,0,52977,4811,14202,0,0,59,47,0,5,13,11,4,4,200,10,70,82450,0,0,8685,0,11,265,198,1,0,21124,292,1408,0,0,8,0,18,0,4,7,False,0,0,45,0,0,0,0,0,0.0,0,0.321564199165343,8,1,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1238.0212545,0.0,0.0,2,2,1,40.00000002980232,0,0,0.875,0,0,0,0,0.0,0,0,0,0,0,7,0.0,0,0,2.9999999701976776,0,0.0,0,-41.000000059604645,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,13,0,0,0,7,0,4,0,7,0,0,5,0,0,0.1537172378611854,0,0,0,0,0,0,0,0,0,-0.0518226623535156,0.918326472847778,4,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246.97475821890265,-0.5815732140162542,-104.87703626093118,290.7866070081271,298.153201052333,1224.4539376767218
2,0,0,7035,0,3,274,13972,274,14235,6,1,0,0,False,False,False,False,8125,0,0,2,0,3,0,0,1,459,5406,696,6915,60,0,0,0,61196,8226,17089,0,0,39,58,0,4,14,11,3,4,200,14,47,87046,0,0,8186,0,17,275,164,1,0,20444,420,968,1,1,9,0,8,1,1,3,False,0,0,33,0,0,1250,0,0,0.0,1,0.2584409810799854,6,4,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,1324.9725715617774,0.0,0.0,4,2,1,44.000000059604645,0,0,0.8333333333333334,0,0,0,0,0.0,0,0,0,0,0,2,0.0,0,0,6.500000029802322,0,1.0,0,-33.000000059604645,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,24,0,0,0,2,0,4,0,5,0,0,3,0,0,0.1770040446630278,0,2,0,0,2,1,5,0,0,-0.7049009799957275,0.3629217744656764,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.93619964792888,-0.2717037376673082,-144.8633761329532,383.2381219797383,423.1332874605548,1130.830956171337
5,0,0,9985,0,6,0,26188,0,26020,7,5,0,0,False,False,False,False,9025,0,0,2,0,2,0,0,1,603,8425,1040,7652,122,0,0,0,110471,8400,22111,0,0,72,102,0,12,15,11,4,4,200,15,90,156485,0,10,15688,0,27,376,191,1,0,37588,721,2560,0,0,10,0,36,5,11,6,False,0,0,55,0,0,150,1,0,0.7010205488235615,5,0.2395489112157861,7,4,0,1,0.0,0.0,0,0,8,8,0,0,0,0,1,921.9327222298674,0,1,1886.7603448262755,0.0,0.0,3,2,1,56.000000059604645,1,0,1.0,0,0,0,1,0.0,0,0,0,1,0,3,0.0,0,0,9.0,0,1.0,0,-34.500000059604645,0,0,0,0,0,0,0,0,5,0,0,0,2,0,3,22,0,0,0,1,0,5,0,7,0,0,3,0,0,0.1337929482614805,0,1,0,0,1,0,5,0,0,-0.1257805228233337,1.1588382428749466,11,6,1,1065.270338204066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-142.62542709141871,-0.3180054115750696,-133.3714696145842,304.7127853712317,323.15709924258573,1027.9524929164124
15,0,0,13753,0,6,906,42021,906,42038,7,4,4,1,False,False,True,False,13550,0,0,0,3,14,0,9,2,452,11963,1554,8506,132,0,0,0,154851,19295,18208,0,0,68,111,0,15,15,11,4,4,200,33,91,201941,0,7,16402,0,31,510,178,1,0,35124,1296,4794,1,2,0,0,26,5,2,5,True,0,0,62,0,0,675,0,0,0.6485010302910539,4,0.3269606839545593,7,5,0,3,0.0,0.0,0,0,28,11,0,1,0,0,1,890.5690778319281,0,7,1647.3935648193908,0.0,0.0,12,2,1,52.00000008940697,0,0,4.142857142857143,3,0,1,3,0.0,0,1,1,3,0,5,0.0,1,0,47.100000113248825,7,3.0,0,-34.500000059604645,0,0,4,2,0,3,0,0,16,0,0,0,2,0,4,28,0,0,2,1,0,4,0,29,0,0,12,0,1,0.2190190211690383,0,2,0,0,2,2,5,1,0,-0.0474322438240051,0.9489533699612228,2,1,0,760.7504424946969,0.0,2.0,1005.9629969511964,1319.1411653120654,0.0,12.521322998319874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,165.5706358364363,0.5098963708117265,145.64825620543527,534.9177141508447,806.5832162854639,1147.558203681134
4,0,0,10526,0,8,0,9651,0,17853,3,4,0,1,False,False,False,False,9325,0,0,1,2,5,0,2,1,606,5536,391,4564,118,0,0,0,107861,11010,13978,0,0,53,74,0,11,14,11,3,4,100,17,77,138811,0,14,10210,0,17,426,49,1,0,25413,590,952,0,0,9,0,30,6,8,6,False,0,0,48,0,0,375,2,0,0.0,4,0.2575450895140601,3,3,0,1,0.0,0.0,0,0,13,10,0,0,0,0,0,0.0,0,0,1478.2596360443104,0.0,1.0,3,2,1,47.50000002980232,0,0,3.0,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,2.9999999701976776,0,1.0,0,-43.50000008940697,0,0,0,0,0,1,0,0,8,0,0,0,0,0,4,19,0,0,1,2,0,0,0,9,0,0,5,0,0,0.2542402226281927,0,0,0,0,0,0,0,0,0,0.9602147340774536,1.2382216037305662,8,4,2,608.4140009275662,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-73.95182641428976,0.0,-63.23652335535864,382.057377627722,486.7345237981135,791.2683073252354
9,1,7,14647,0,5,4184,35298,4184,31162,5,4,1,3,False,False,False,False,11700,0,1,0,2,11,0,7,2,294,9613,1552,13995,130,0,0,0,141622,17279,25520,0,0,80,98,0,11,18,11,4,4,100,23,91,186502,0,4,24111,0,26,375,109,1,0,35266,793,1032,1,5,3,0,36,4,4,5,True,0,0,58,1,0,300,0,0,0.5620313843866,4,0.3286849880392447,5,0,0,4,0.0,0.0,0,0,16,1,1,1,0,0,1,923.3024481665362,0,3,1639.2968291681557,0.0,0.0,10,2,2,48.000000059604645,0,0,4.0,5,0,2,4,0.0,0,0,0,3,0,3,0.0,0,0,0.0,1,1.0,0,-54.00000008940697,0,0,1,0,0,2,1,0,17,0,0,0,1,0,3,3,0,0,0,1,0,2,0,20,0,0,8,0,1,0.2131628205679206,0,1,0,0,0,5,0,0,0,0.5806070566177368,1.3473284553165428,4,4,0,475.11575303929993,0.0,0.0,0.0,1332.029757388217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.27937053056584,0.3294095312037036,91.5758496746296,478.5588467209361,718.3323843782098,1484.099741249753
7,1,0,13987,0,4,2837,30896,2837,21778,7,2,0,2,False,True,False,False,12100,1,1,0,3,10,0,3,1,413,12519,2429,9248,142,0,0,0,169154,20659,19697,0,0,77,91,0,8,13,11,3,4,200,28,104,221522,0,16,14780,0,35,476,227,1,0,39848,1260,2186,1,1,2,0,25,3,7,5,True,0,0,59,1,0,450,3,0,0.6885008029789741,2,0.2866494884728198,7,2,0,2,0.0,0.0,0,0,22,4,0,1,0,0,1,869.1953271917492,1,0,1667.3734081334426,0.0,0.0,13,2,0,52.00000008940697,1,0,2.4285714285714284,1,0,1,1,0.0,0,1,1,1,0,5,0.0,0,0,11.399999916553496,0,1.0,0,-41.00000008940697,0,0,0,0,0,2,0,0,14,0,0,0,1,0,1,16,0,0,0,3,0,0,0,17,0,0,8,0,1,0.298187334602519,0,1,0,0,0,1,0,1,0,-0.0251984000205993,0.9126865044357868,7,5,1,941.7269205702108,1.0,2.0,0.0,1531.7180554501438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.99214311294656,0.1799237042744,36.63246619026784,475.286457211255,876.1924550754732,1120.312937034979
5,0,2,6233,0,3,283,22609,283,6762,0,2,0,1,False,False,False,True,5450,0,0,0,1,2,0,2,1,0,4234,285,2139,94,0,0,0,75276,2395,9591,0,0,46,64,0,1,10,11,1,4,100,3,52,106918,0,14,8992,0,6,273,0,1,0,27407,138,0,1,2,0,0,18,2,2,3,True,0,0,34,0,0,0,2,0,0.5043481860630283,2,0.2874595862375385,0,0,0,1,1.0,0.0,0,0,2,11,0,1,0,0,1,598.5064816197996,0,0,934.3640356689372,0.0,0.0,1,2,1,52.00000008940697,0,2,7.0,0,0,0,0,0.0,0,1,0,0,0,4,1.0,0,0,28.20000004768372,0,2.0,0,-38.10000002384186,0,0,0,0,0,0,0,0,5,0,1,0,2,0,4,6,0,0,0,1,0,0,1,7,0,0,7,1,0,0.0686375778468528,0,2,0,0,4,2,5,0,0,1.653902530670166,1.1827887375689707,2,2,0,677.8135560754531,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.8318115834239,0.3852888020698121,115.52242582059868,422.2765270685141,181.02152217246672,753.3038228468276
16,1,3,14538,0,5,3133,38261,3133,31120,1,4,0,2,False,False,False,True,11300,0,1,0,2,5,0,3,1,589,14263,1300,7056,158,0,0,0,160761,13396,19248,0,0,74,120,0,6,16,11,4,4,100,18,74,220146,0,30,19624,0,38,570,21,1,0,45120,671,2372,1,4,1,0,27,4,4,6,True,0,0,55,1,0,0,2,0,0.6770499220199496,4,0.352325583376363,1,6,0,2,0.0,0.0,0,0,12,29,1,0,0,0,1,851.1167936876743,1,0,1551.837080351685,0.0,0.0,4,2,1,52.00000008940697,0,0,21.0,3,0,1,1,0.0,0,1,0,1,0,3,0.0,0,0,71.15000015497208,3,4.0,0,-30.099999964237213,0,0,0,0,0,1,0,0,16,0,0,0,2,0,7,37,0,0,2,2,0,5,1,21,0,0,6,0,1,0.2032685442366782,0,2,0,0,3,4,0,1,0,0.6444451808929443,1.080389739867634,4,3,0,522.4000397637592,0.0,1.0,0.0,1287.7950759845144,0.0,39.347357344662896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.58411353129733,0.7346131977601976,218.52809440740197,505.5685354690708,594.1860854304588,1108.7632985352204
