assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,2,12620,0,6,7579,19168,7579,6588,1,2,0,0,False,True,False,False,10420,1,1,0,2,5,0,3,1,470,102952,13540,3264,0,0,0,0,6132,604,6715,0,0,37,129,10,4,2,12,3,4,200,9,0,111469,0,0,1349,0,167,99,21,1,0,2385,0,620,1,3,0,0,30,2,5,10,True,0,0,0,1,0,0,0,0,0.6088859759466377,2,0.1279962174093498,1,2,0,1,0.0,0.0,0,0,5,0,0,0,0,0,1,802.6062233562513,0,0,1341.7290258053283,0.0,0.0,2,0,0,0.0,0,0,11.0,1,0,1,0,1.0,0,1,0,3,0,67,0.0,0,0,42.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,14,5,0,2,6,0,0,0,11,0,0,7,0,1,0.2353989379464893,0,2,0,0,4,3,5,7,0,0.7703890800476074,1.3477886250169158,5,5,0,462.1152036348402,0.0,0.0,0.0,1328.0582625177624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1326.6935464250332,0.0,0.0,109.0235041402643,0.3130289290327522,97.1284048370197,484.65821897956704,632.4973103198926,474.0152353924535
9,0,0,18144,0,7,10285,39869,10285,21134,5,3,3,1,False,False,False,False,17675,0,0,2,3,14,0,10,4,1112,249226,46419,9849,18,0,0,0,10391,1262,10420,1,0,88,221,18,9,4,4,5,12,200,18,12,260367,0,0,2070,0,260,570,141,1,1,749,535,963,2,2,11,0,38,3,5,14,False,0,0,11,0,0,750,0,0,0.5903819982161553,3,0.1653888608158412,5,6,0,3,0.0,0.0,0,0,9,0,0,1,0,0,1,715.6224672073657,0,3,2049.307916040212,1.0,1.0,4,0,0,0.0,1,0,4.6,2,0,1,1,2.0,0,0,0,4,0,79,1.0,1,0,101.00000002980232,0,3.0,0,0.0,0,0,5,5,0,1,0,0,21,0,0,0,1,0,0,37,9,0,1,4,0,0,0,23,0,0,7,0,0,0.4019107980133589,0,2,0,0,4,2,0,12,0,0.474564790725708,1.1295886460520606,5,4,0,925.9336513916317,0.0,0.0,1589.308298470469,0.0,1.0,11.650644258128978,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.54021247885711,0.0,46.28879791929649,529.6129446945947,1411.6765847418087,621.6342551691987
6,0,9,15452,0,9,4988,17123,4988,11549,0,7,2,0,False,False,False,False,11375,0,0,0,1,9,0,9,2,0,117884,15985,5079,4,0,0,0,4584,692,8582,0,0,52,150,15,6,2,12,2,4,100,10,0,123027,0,2,3906,0,203,119,0,1,0,558,558,368,2,5,2,0,29,7,4,16,True,0,0,0,1,0,0,0,0,0.6820572731654515,7,0.1477659052263386,0,1,0,2,0.0,0.0,0,0,7,2,0,0,0,0,0,0.0,1,0,1521.3689025827398,0.0,0.0,5,0,0,0.0,0,0,15.0,1,0,1,0,0.0,0,2,0,6,6,82,0.0,1,0,9.399999976158142,0,3.0,0,0.0,0,1,2,0,0,0,0,0,9,0,0,0,0,0,0,11,41,0,3,4,0,0,0,15,0,0,3,0,1,0.2332462449351831,0,1,0,0,2,5,10,9,0,0.0331054925918579,1.15207440868385,4,3,0,949.6349422552024,0.0,0.0,1474.4990013457314,1386.6816178427243,0.0,10.754006401727338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,150.96930114062775,0.4338198308638728,169.82074469998514,506.81987694833,679.7562367972465,553.3569133500908
3,0,0,10751,0,5,493,3260,493,10476,8,3,0,0,False,False,False,False,7975,0,0,2,3,7,0,2,1,210,88288,14623,7302,4,0,0,0,3584,421,10869,0,0,57,131,6,7,2,12,3,4,200,10,4,93781,0,0,105,0,144,143,192,1,0,1907,0,1256,0,0,11,0,18,3,3,10,False,0,0,6,0,0,150,0,0,0.197972424811708,3,0.2201395802633541,8,1,0,0,0.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0,0,1302.1280251810936,0.0,0.0,2,0,0,0.0,0,0,1.25,0,0,0,0,0.0,0,5,0,4,2,62,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,12,7,0,3,5,0,0,0,10,0,0,6,0,0,0.2650616645996672,0,0,0,0,1,0,0,6,0,0.3884625434875488,0.8694054911317799,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-29.628423053589128,-0.0921568368696395,-72.57350903484118,414.5214522396389,693.2498053518639,895.211513351679
17,0,1,20205,0,4,9204,17442,9204,29054,7,2,1,0,False,False,False,False,13150,0,1,0,1,8,0,3,2,547,203346,25287,21051,28,0,0,0,7169,864,17034,0,0,73,192,16,9,5,12,3,4,200,9,8,210516,0,16,6035,0,220,166,267,1,0,0,0,720,4,5,4,0,30,2,3,14,True,0,0,2,1,0,0,0,0,0.8068641256304986,2,0.2582078883900435,7,7,0,1,0.0,0.0,0,0,5,13,0,0,0,0,1,820.2164827734719,2,5,2084.5431355157566,0.0,0.0,3,0,0,0.0,1,0,3.571428571428572,2,0,1,1,0.0,0,0,0,3,0,80,0.0,0,0,5.0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,1,37,6,0,0,12,0,12,0,25,0,0,5,0,2,0.1658874153819603,0,1,0,0,0,5,0,10,0,-0.0698322057723999,0.8814478738778971,8,2,1,1589.5927928524854,0.0,0.0,0.0,1288.4311874024002,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.27435459414252,0.4029659956123516,75.41220775031151,441.5068147641329,752.7404798038727,1116.9641732666369
11,0,3,19211,0,2,4281,18223,4281,16671,6,0,0,0,False,False,False,False,12200,0,1,1,3,7,0,3,1,842,206877,34100,10012,8,0,0,0,4197,486,8762,0,0,80,212,27,8,5,1,5,4,100,17,6,211237,0,0,478,0,224,195,207,1,0,161,89,821,2,4,4,0,26,0,4,12,True,0,0,3,2,0,600,0,0,0.0,0,0.1177822479513126,6,5,0,1,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,1,1986.1928035,0.0,0.0,3,0,0,0.0,0,0,3.0,2,0,1,3,0.0,0,2,0,3,0,62,0.0,0,1,93.99999997019768,10,4.0,0,0.0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,0,31,9,0,1,11,0,4,0,18,0,0,1,0,2,0.259011595302021,0,2,0,0,2,4,0,10,0,-0.2496618628501892,0.7983116685949071,4,2,0,970.9251039,0.0,0.0,0.0,1418.7236693999998,0.0,36.17423329999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.37150294256416,-0.2718769290918941,185.72215111744055,441.5281328452361,1047.541807791068,591.9364917284073
6,1,11,22506,0,8,3971,17782,3971,17476,5,3,4,0,False,False,False,False,15500,0,0,0,1,12,0,11,3,610,256229,49909,11171,28,0,0,0,4374,329,13731,0,0,72,198,10,8,4,12,4,4,200,14,18,260604,0,0,4215,0,259,202,195,1,2,0,0,151,3,4,4,0,25,4,3,14,True,0,0,8,1,0,800,0,0,0.6423065654003118,3,0.1568852163915822,5,7,0,1,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,3,2156.4947879542647,0.0,0.0,2,0,0,0.0,0,0,3.6,0,0,1,2,0.0,0,1,0,5,0,82,0.0,1,0,37.0,14,2.0,0,0.0,0,0,6,1,0,4,0,0,12,0,0,1,0,0,1,36,8,0,4,11,0,2,0,18,0,0,2,0,1,0.3794991399003968,0,1,0,0,0,4,0,12,0,-0.0678844451904296,0.7198296477867091,3,0,1,1671.246684997497,0.0,0.0,1944.4339825914133,2031.6588884187704,1.0,32.75505951057221,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,122.8382287217557,0.2782292836279857,124.22937513989562,476.133773072572,1397.7960980186374,697.0756472015554
9,0,1,12690,0,6,5311,13676,5311,11019,6,2,1,0,False,False,False,False,10290,0,0,0,3,8,0,2,2,469,88519,15430,8737,4,0,0,0,1618,492,12550,0,0,42,129,12,7,6,14,4,4,200,8,0,90723,0,0,876,0,130,98,195,1,0,586,586,487,3,3,3,0,36,2,3,11,True,0,0,0,1,0,0,0,0,0.6279942670099877,2,0.1650824775103972,6,0,0,1,0.0,0.0,0,0,6,0,0,0,0,0,1,905.3830110927796,2,2,1834.3426589217424,0.0,0.0,4,0,0,0.0,0,0,2.833333333333333,2,0,0,0,0.0,0,0,0,5,0,48,0.0,0,0,27.0,2,1.0,0,0.0,0,0,1,0,0,3,0,0,12,0,0,0,0,0,1,8,7,0,1,6,0,0,0,17,0,0,4,0,1,0.1624414701807169,0,1,0,0,4,3,0,6,0,0.3967702388763428,1.206929626720742,3,2,0,1650.1615284314248,0.0,0.0,0.0,1411.661959521619,0.0,13.381964919750317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.17966071273133,-0.1635463246416267,-10.303418452422482,369.7128214848613,539.997254701723,712.2442438142842
3,0,0,17391,0,4,8701,8960,8701,18685,8,0,3,0,False,False,False,False,18675,0,0,3,3,14,0,4,2,791,173768,36081,10372,4,0,0,0,3335,430,13617,0,0,76,158,13,12,5,4,3,12,100,14,4,177377,0,0,3623,0,225,189,292,1,0,273,273,4468,3,3,9,0,18,0,2,11,False,0,0,1,0,0,2200,0,0,0.0,0,0.2128184499035514,8,16,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,682.4498955916606,0,0,1890.910024835233,1.0,0.0,4,0,0,0.0,1,0,2.125,0,0,2,1,0.0,0,3,0,5,1,81,0.0,0,0,12.0,0,1.0,0,0.0,1,0,3,0,0,3,0,0,14,0,0,0,0,0,0,85,9,0,3,6,0,8,0,17,0,0,3,0,0,0.3798526431312611,0,1,0,0,1,3,5,10,0,-0.259895384311676,0.591674263035146,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54324031607268,-0.1586537677942349,-48.67497595927127,565.5689514328886,1167.1840389086274,902.9620540241084
0,0,0,276,0,2,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,228,0,0,0,0,0,3,0,0,1,12,0,4,200,0,0,496,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,130.3340942673726,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95385937312481,0.0,41.89233853729122,285.4203284958303,0.0,0.0
