assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
2,0,2,3686,0,4,519,519,519,1643,0,1,0,0,True,False,False,False,2525,0,0,0,1,2,0,2,1,0,16590,2119,944,0,0,0,0,5171,560,1960,0,0,23,6,16,1,2,14,2,4,100,1,0,21881,0,0,332,0,49,60,0,1,0,120,120,60,0,0,0,0,8,1,2,4,True,0,0,0,0,0,0,0,0,0.3742319764533964,1,0.1268099875359158,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,561.1931734851097,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,0,2,0.0,0,0,0,0,15,49,0.0,0,0,16.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,15,0,2,3,0,0,0,4,1,0,4,0,0,0.1835596645294734,0,0,0,0,1,0,0,2,0,0.0218691825866699,0.9336402277026884,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,144.22841157768931,0.3207451702987902,271.136583959244,359.7691660184763,299.3621589455375,316.8962282552047
7,0,2,18048,0,5,9514,28676,9514,25504,7,3,5,1,False,False,False,False,18125,2,3,0,6,26,0,9,3,454,182428,46801,4920,8,0,0,0,17357,4496,28617,0,0,135,38,102,12,8,14,5,4,200,23,4,204971,0,0,9311,0,172,423,226,1,2,5185,3631,2324,2,6,5,0,30,3,4,7,True,0,0,1,2,0,0,0,0,0.8562556687046683,3,0.2374599508164949,7,4,0,2,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,3,2061.568182630321,0.0,0.0,4,0,0,0.0,1,0,4.714285714285714,7,0,4,2,1.0,0,4,1,0,21,58,0.0,1,0,16.799999982118607,4,2.0,0,0.0,0,0,7,3,0,5,1,0,23,0,0,0,0,0,0,26,102,0,2,4,0,8,0,33,0,0,8,0,2,0.3965104196747928,0,2,0,0,0,6,5,8,0,0.324836254119873,0.8742142086060724,4,3,0,1134.6533507594263,0.0,0.0,1185.9796075935797,1309.521679975731,1.0,27.71866211398583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.78601899250984,0.4074568122836751,62.60282880158466,576.9006380776434,1598.627698936979,1043.729728722654
6,0,0,17321,0,9,7642,15417,7642,29784,8,4,1,0,False,False,False,False,15705,1,2,1,2,9,0,5,2,457,166280,31280,18342,6,0,0,0,19662,2702,17473,0,0,103,37,77,14,7,14,6,4,200,33,0,187458,0,5,7631,0,206,333,327,1,0,1514,1502,799,3,5,3,0,29,4,4,8,True,0,0,0,1,0,750,0,0,0.8355149825769373,4,0.2113355038695826,8,4,0,1,0.0,0.0,0,0,13,4,0,0,0,0,1,921.816338090278,0,1,2157.2371611912386,0.0,0.0,5,0,0,0.0,0,0,1.875,3,0,1,2,0.0,0,0,0,0,8,54,0.0,0,1,2.0,3,1.0,0,0.0,0,0,1,0,0,3,0,0,12,0,0,0,0,0,0,25,60,0,1,4,0,4,0,15,0,0,3,0,1,0.2676186375371082,0,2,0,0,1,5,5,9,0,-0.0569571852684021,0.8119431058150274,4,1,0,1764.885040714074,0.0,0.0,0.0,1228.794894964532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1596.796885810518,0.0,0.0,-26.56175270425928,-0.194693475319178,-148.9961353264052,447.32216622262,986.9568531001472,1018.385942687386
1,0,0,6761,0,3,0,0,0,3939,2,1,0,0,False,False,False,False,3525,0,0,0,0,0,0,0,0,665,38504,3723,1088,0,0,0,0,8534,871,6508,0,0,53,9,20,3,2,12,2,4,200,8,0,47039,0,0,540,0,99,187,42,1,0,0,0,296,0,0,2,0,13,1,1,6,False,0,0,0,0,0,0,0,0,0.0,1,0.1704150276914293,2,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,923.6969063386224,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,17,65,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27,0,0,5,0,0,0,1,0,0,1,0,0,0.1507674476015901,0,0,0,0,0,0,0,4,0,0.1067520380020141,0.8766978016523812,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-237.0258019677049,-0.5846073493311439,-67.22984517308156,285.6131683343378,298.47453001962293,512.6356889912653
3,1,0,12958,0,1,4784,9868,4784,13918,4,1,1,0,True,False,False,False,11025,0,0,0,2,12,0,6,2,526,95429,14530,5793,4,0,0,0,12290,2618,12183,0,0,76,29,62,7,6,14,4,4,200,9,0,108761,0,0,4659,0,145,210,90,1,0,1041,885,2930,1,3,2,0,8,1,0,4,True,0,0,0,1,0,0,0,0,0.0349563637765638,1,0.2264450694837641,4,7,0,1,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,1388.564384333401,0.0,0.0,0,0,0,0.0,0,0,3.75,3,0,2,4,1.0,0,0,0,0,5,70,1.0,0,0,40.0,0,2.0,0,0.0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,42,29,0,4,3,0,1,0,15,1,0,6,1,1,0.2339377981776749,0,1,0,0,3,3,5,6,0,-0.5641384124755859,0.3728616344375036,0,0,0,1117.4524251493706,0.0,0.0,0.0,1334.5921763562526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.5379833462645,0.2592605744909861,88.92637705040823,513.638408162392,779.2508667284072,903.3934718138412
0,0,0,123,0,2,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,310,0,0,0,0,1,0,0,0,1,4,0,12,200,0,0,790,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,103.80156569029928,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.121038531929297,0.0,71.0971934856826,312.1340201810455,0.0,0.0
14,0,0,15082,0,2,3038,3152,3038,27779,8,1,0,0,False,False,False,False,12885,0,0,1,2,8,0,3,1,574,117474,28215,8008,12,0,0,0,17382,2754,27991,0,0,101,38,85,13,5,14,5,4,100,19,4,135606,0,0,9902,0,197,289,274,1,0,750,750,1897,1,1,9,0,25,1,3,5,False,0,0,1,0,0,300,0,0,0.7910479412475037,1,0.236479850835345,8,11,0,0,0.0,0.0,0,0,7,0,0,0,0,0,0,0.0,0,1,1980.7517559132343,0.0,0.0,2,0,0,0.0,0,0,2.75,1,0,2,1,1.0,0,2,1,0,9,71,0.0,0,0,13.0,0,1.0,0,0.0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,2,59,68,0,1,4,0,2,0,22,0,0,7,0,0,0.2408700545025461,0,0,0,0,0,1,0,9,0,0.270226240158081,0.7810669069979823,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.18881841963156,0.1211661175023656,-155.72875251991542,398.9091503471632,960.817020264384,1147.9883802761633
3,0,0,10526,0,0,0,1745,0,17554,10,0,0,0,False,False,False,False,8500,0,0,1,0,2,0,0,1,383,79537,13996,11761,4,0,0,0,11803,1557,14560,0,0,74,16,56,10,5,14,3,4,100,20,0,95487,0,0,5105,0,154,212,347,1,0,4146,1159,1134,0,0,6,0,13,0,3,5,False,0,0,0,0,0,300,0,0,0.0,0,0.2231880733537113,10,11,0,1,0.0,0.0,0,0,8,0,0,0,0,0,1,861.2308858492065,0,0,1582.2912864212567,0.0,0.0,0,0,0,0.0,0,0,0.5,1,0,0,0,0.0,0,0,0,0,12,71,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,61,65,0,0,5,0,0,0,5,0,0,1,0,0,0.2208786249334903,0,1,0,0,0,0,5,7,0,-0.396083652973175,0.5279735475350229,3,3,1,1107.7446119386984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.01769269505644,-0.7204741691894114,-154.29523128587974,323.87209889719804,633.7518310348754,1041.1230941718147
1,0,0,7883,0,2,429,429,429,5125,1,2,0,0,False,False,False,False,3985,0,0,0,1,2,0,2,1,537,43597,5267,3291,0,0,0,0,8782,1280,3787,0,0,47,15,28,3,2,12,1,4,100,7,0,57370,0,0,707,0,91,142,27,1,0,4990,0,508,0,0,0,0,12,2,0,7,True,0,0,0,0,0,0,0,0,0.6374206338533449,2,0.2216402610531634,1,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,1,740.7140603937294,0,0,912.6902447332068,0.0,0.0,0,0,0,0.0,0,0,3.0,1,0,0,1,1.0,0,0,0,0,11,49,0.0,0,0,1.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,23,0,1,5,0,0,0,3,0,0,3,0,0,0.1754715819684481,0,1,0,0,1,0,5,4,0,0.4438059329986572,0.8021695681556809,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.212462190383185,0.1972191562676521,97.88644122751136,327.18658024803494,430.4636784135288,498.7672462008923
3,0,0,15279,0,4,2916,3191,2916,16694,7,4,3,0,False,False,False,False,13500,0,0,1,2,12,0,8,2,742,168838,26947,13290,12,0,0,0,16693,2387,11565,0,0,94,30,63,3,5,14,2,4,200,18,0,189624,0,8,2277,0,211,394,281,1,0,4092,2798,928,1,1,9,0,31,4,5,5,False,0,0,0,0,0,525,0,0,0.5383669024219,4,0.2115606575146998,7,4,0,0,0.0,0.0,0,0,6,9,0,0,0,0,0,0.0,0,0,1819.5350626,0.0,0.0,3,0,0,0.0,0,0,2.142857142857143,0,0,2,2,0.0,0,1,0,0,9,62,1.0,1,0,63.00000002980232,0,3.0,0,0.0,0,0,3,1,0,6,0,0,10,0,0,0,0,0,1,24,47,0,3,1,0,0,0,15,0,0,7,0,0,0.3960253655418078,0,0,0,0,2,1,0,10,0,0.1894954442977905,1.0313780332329032,5,4,0,0.0,0.0,0.0,905.032447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.78450332501991,0.0659509137617428,-8.771471530311802,458.4907524716364,1059.6003559530418,850.2391802163891
