assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
16,0,0,18191,0,8,1462,1462,1462,49967,4,5,0,0,False,True,False,False,12250,0,0,1,1,5,0,4,1,1110,150313,18880,13921,0,0,0,0,5149,190,15641,0,0,92,26,81,8,5,12,5,4,100,52,0,164600,1267,0,3960,0,217,184,129,1,0,9137,250,1415,1,1,9,0,36,6,7,7,False,0,0,0,0,0,0,0,0,0.8444191518241119,5,0.2175739606058297,4,9,0,0,0.0,1267.0126953125,0,0,55,0,0,0,0,0,0,0.0,0,1,2136.031363842854,0.0,0.0,15,0,0,0.0,0,0,5.25,2,0,1,1,0.0,0,1,0,0,6,68,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,53,40,0,0,2,0,6,0,21,0,0,5,0,1,0.1363526922559935,0,2,0,0,1,1,0,10,0,-0.1482087969779968,1.025521189667417,7,3,2,0.0,0.0,0.0,0.0,1690.7131894721435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.84701002637617,0.0561789503802568,-54.156508166567576,362.4384983782269,542.7167501484711,870.155762439798
18,0,2,17296,0,8,3465,4074,3465,39599,6,4,0,0,False,False,False,False,11225,0,1,0,2,7,0,4,1,499,132536,26675,9378,0,0,0,0,10182,747,17912,0,0,86,31,78,10,4,12,4,4,200,46,0,143753,1858,0,2580,0,191,113,199,1,0,1034,0,2968,1,4,4,0,15,5,4,6,True,0,0,0,0,0,150,0,0,0.5750928260973865,4,0.2359362779392697,6,4,0,0,0.0,1858.16796875,0,0,55,0,0,0,0,0,1,846.9112517159018,1,4,1868.306335084684,0.0,0.0,13,0,0,0.0,0,0,4.166666666666667,2,0,1,2,1.0,0,0,0,0,10,64,0.0,0,0,7.599999994039535,8,2.0,0,0.0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,27,40,0,0,2,0,7,0,25,0,0,4,0,1,0.2501220958064549,0,1,0,0,0,4,5,8,0,-0.2513604760169983,0.5002462139493931,4,2,0,0.0,0.0,0.0,0.0,1703.55873449606,0.0,9.31092577534423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-11.015324207562127,0.4817197175318715,101.57863110355396,394.4321047150964,880.6799875917675,971.7571288531266
4,0,0,7755,0,4,1396,2060,1396,7863,1,1,0,0,False,False,True,False,5500,0,0,0,0,0,0,0,0,529,56158,5213,3987,0,0,0,0,2299,186,3292,0,0,43,13,14,2,3,12,2,4,100,19,0,59009,0,0,85,92,116,49,21,2,0,551,0,0,0,2,0,0,10,2,1,5,True,0,0,0,0,0,0,0,0,0.0,1,0.1978363269677502,1,0,0,1,0.0,92.81256103515624,0,0,20,0,0,0,0,0,1,734.104575106252,0,0,966.788826248603,0.0,0.0,3,0,0,0.0,0,1,4.0,1,0,0,0,0.0,0,0,0,0,2,64,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,12,0,0,4,0,0,0,4,0,0,4,0,0,0.1848092860730002,0,1,0,0,5,2,5,5,0,-0.3786472678184509,0.6564699538624053,1,1,0,851.4259285165784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.154683610560117,0.1241222454603988,-2.482444909207977,361.69222327160224,335.1300627430769,451.8049734758519
0,0,0,6953,0,4,0,0,0,4796,1,1,0,0,False,False,False,False,3600,0,0,0,0,0,0,0,0,796,48189,2167,3038,0,0,0,0,1581,48,3226,0,0,44,4,13,2,2,4,2,12,200,4,0,49771,281,0,0,0,120,20,32,0,0,0,0,495,0,0,4,0,11,2,1,6,False,0,0,0,0,0,0,0,0,0.0,1,0.1586579938815037,1,0,0,0,0.0,281.83770751953125,0,0,6,0,0,0,0,0,0,0.0,0,0,919.0509309681923,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,5,78,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,5,0,0,0,0,0,0,0,0,0,0.1297618453057298,0,0,0,0,0,0,0,5,0,0.1114075183868408,0.7702096340954602,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.3538515123683,-0.1958542164908918,-60.45366815685527,291.1046504442955,144.67098124793873,441.3901192316398
2,0,7,10702,0,4,4599,4599,4599,9531,0,2,1,0,False,True,False,False,8775,0,0,0,1,7,0,7,2,0,83055,8905,282,0,0,0,0,2611,153,7665,0,0,50,16,49,2,3,4,4,6,200,25,0,89717,142,0,0,0,165,49,0,0,0,4050,0,366,2,2,0,0,13,4,3,6,True,0,0,0,0,0,0,0,0,0.2032559384587938,2,0.1656231347192461,0,0,0,0,0.0,142.70851135253906,0,0,28,0,0,0,0,0,1,909.3559321067416,0,0,1194.694270874318,0.0,0.0,3,0,0,0.0,0,0,9.0,0,0,1,3,0.0,0,0,0,0,7,68,1.0,0,0,31.0,0,2.0,0,0.0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,5,20,0,3,4,0,0,1,9,0,0,7,1,0,0.1898922810253399,0,1,0,0,2,2,10,7,0,0.1509996652603149,0.662148297401091,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.12156134108943,0.3515543769140449,151.36927028841876,484.6428196029333,454.9113637267741,417.5461556661956
10,0,4,14411,0,7,1207,1207,1207,20088,2,2,1,0,False,False,False,False,8550,0,1,0,1,5,0,4,2,445,115189,17328,5151,4,0,0,0,3974,177,8216,0,0,70,25,52,3,4,12,5,4,200,54,0,121126,1104,0,1039,0,190,169,51,1,0,1962,178,840,1,2,0,0,16,2,1,4,True,0,1,0,0,0,0,0,0,0.8518953431795759,2,0.1737187656665591,2,0,0,0,1.0,1104.851806640625,0,0,52,0,0,0,0,0,1,925.4800603981532,1,1,1595.7222559288116,0.0,0.0,10,0,0,0.0,0,0,7.5,2,0,1,2,0.0,0,0,0,0,6,74,0.0,0,0,15.0,6,1.0,0,0.0,0,0,1,0,0,2,0,0,8,0,0,0,0,0,1,4,32,0,1,2,0,6,0,15,0,0,8,0,0,0.183028540832619,0,1,0,0,0,2,0,9,0,0.1577275991439819,0.6241011563274003,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.542794570248589,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.49925019301532,0.3760052839839361,-3.271245970660244,383.1493843796309,664.9277441971926,534.2283074843764
8,0,0,12035,0,3,1197,3056,1197,25754,5,2,0,0,True,False,False,False,8750,0,0,0,1,2,0,2,1,467,90314,15254,12347,0,0,0,0,4605,494,9389,0,0,69,21,48,3,4,12,4,4,100,36,0,96429,671,0,902,0,154,86,145,1,0,1510,0,1001,2,2,2,0,26,2,7,6,True,0,0,0,1,0,0,0,0,0.4856250085958687,2,0.2858580049674639,5,0,0,0,0.0,671.791015625,0,0,40,0,0,0,0,0,0,0.0,0,0,1502.0933831076509,0.0,0.0,9,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,9,65,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,7,34,0,0,4,0,2,0,10,0,0,6,0,1,0.1893831195840539,0,1,0,0,0,2,0,7,0,0.1457844972610473,1.0522550869456209,7,5,0,0.0,0.0,0.0,0.0,1341.4687866369643,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.955403398884403,0.239665525491633,46.495111945376806,357.021744474036,629.0421159070395,908.252453104792
0,0,0,0,0,2,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,103.80156569029928,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.121038531929297,0.0,-71.0971934856826,289.0129816491162,0.0,0.0
2,0,0,10291,0,4,1203,2962,1203,19236,4,1,0,0,False,False,False,False,7525,0,0,1,1,2,0,2,1,557,85849,10322,5860,0,0,0,0,2972,136,10751,0,0,59,18,38,4,2,12,3,4,200,33,0,90543,686,0,7,0,163,122,101,1,0,1721,66,478,0,0,7,0,21,1,5,6,False,0,0,0,0,0,0,0,0,0.7152501905694465,1,0.2077803515237214,4,5,0,0,0.0,686.3807373046875,0,0,32,0,0,0,0,0,0,0.0,0,0,1360.9914386367204,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,6,72,0.0,0,0,42.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,31,25,0,0,5,0,0,0,4,0,0,4,0,0,0.2387016778439175,0,0,0,0,2,0,0,7,0,0.3185156583786011,0.9491093208698512,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.61187262191947,-0.5731116139726135,-31.96199385616498,343.9110538923352,463.9999797739813,753.421344830151
19,0,1,14877,0,5,2670,3484,2670,29252,3,2,1,0,False,False,False,False,11285,0,0,0,1,5,0,4,2,1148,121936,12993,3169,1,0,0,0,4499,280,15388,0,0,66,17,53,5,4,12,2,4,100,34,0,130309,930,1,1541,0,200,101,134,1,0,3873,0,733,2,3,3,0,38,3,4,11,True,1,0,0,0,0,0,0,0,0.800448261241807,2,0.1865750645597862,3,3,0,0,0.0,930.0113525390624,0,0,40,4,0,0,0,0,0,0.0,1,5,1640.0315745056148,0.0,0.0,17,0,0,0.0,0,0,8.0,1,0,1,0,1.0,0,0,1,0,2,72,0.0,0,0,32.60000002384186,1,2.0,0,0.0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,15,22,0,0,4,0,2,0,24,0,0,10,0,1,0.1581313719313866,0,1,0,0,0,3,5,9,0,0.481804609298706,1.422509369720725,4,3,0,0.0,0.0,0.0,0.0,1263.3744592365067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.195021932774887,0.6219392454730498,77.193635761655,433.8575007096999,485.6247967299567,705.7912896274163
