assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,16883,0,3,2236,2236,2236,14314,10,3,0,0,False,False,False,False,12375,0,0,2,1,3,0,2,1,476,173429,23685,10028,0,0,0,0,10797,1006,14255,0,0,149,57,67,17,4,12,4,4,200,41,0,190316,0,0,3145,0,258,255,296,1,0,6089,559,3951,1,1,8,0,28,3,4,10,False,0,0,0,0,0,300,0,0,0.8379029485081183,3,0.2172096605178595,10,7,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,0,2,1987.166538429372,0.0,0.0,7,0,0,0.0,0,0,1.1,0,0,0,0,0.0,0,0,0,0,6,75,0.0,0,0,91.99999997019768,0,3.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,43,54,0,0,7,1,2,0,11,0,0,1,0,2,0.2516248157449647,0,0,0,0,0,1,0,12,0,-0.2007333636283874,0.8520941311162636,4,1,1,0.0,0.0,0.0,0.0,1251.3246702198028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59029120213601,-0.1811624708035487,106.76508279355802,379.4749888431666,762.4222583767347,852.5203938563662
1,0,0,9119,0,7,1832,4219,1832,6952,5,4,0,0,False,True,False,False,6275,0,0,0,0,2,0,0,1,440,73799,7751,3563,0,0,0,0,7702,982,10089,0,0,96,32,35,5,3,12,2,4,100,27,0,82965,0,0,599,0,144,182,148,1,0,1463,323,516,0,0,1,0,20,5,3,7,True,0,0,0,0,0,0,0,0,0.6942073091178174,4,0.2436001677134092,5,5,0,0,0.0,0.0,0,0,18,0,0,0,0,0,1,832.8915334999999,0,0,1162.5742521,0.0,0.0,1,0,0,0.0,0,0,0.6,0,0,0,1,0.0,0,1,0,0,6,80,0.0,0,0,12.599999994039536,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29,34,0,2,3,0,1,0,3,0,0,2,1,0,0.2040172233053335,0,2,0,0,2,0,10,6,0,0.3284517526626587,1.0781930681439824,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.018395572120552,-0.1032192135540931,-74.57588179283229,343.1006658538056,467.3765989729337,731.2565184239728
8,0,0,11557,0,3,0,1911,0,11337,6,1,0,0,False,False,False,False,8460,0,0,1,0,3,0,0,1,516,84587,18829,11265,0,0,0,0,7944,993,9685,0,0,107,40,51,13,2,12,4,4,200,43,0,95859,0,0,1721,0,164,245,213,1,0,3328,711,1052,0,0,9,0,14,1,2,6,False,0,0,0,0,0,375,0,0,0.6038159590091358,1,0.2174059290033119,6,4,0,0,0.0,0.0,0,0,30,0,0,0,0,0,1,686.508370350518,0,1,1507.612960481423,0.0,0.0,8,0,0,0.0,0,0,1.8333333333333333,0,0,0,0,0.0,0,1,1,0,18,78,0.0,0,0,14.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,25,72,0,0,5,0,2,0,11,0,0,5,0,0,0.241315348248549,0,0,0,0,0,0,0,7,0,-0.0931684970855712,0.565096060086903,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-238.3105010488049,-0.3183841029376151,-155.729624349361,348.3918046394853,817.2123962151236,875.6756771170432
10,0,0,15079,0,10,253,7262,253,13156,5,6,0,0,False,False,False,False,9960,0,0,2,1,3,0,3,1,1138,117611,14258,16792,0,0,0,0,11091,565,9085,0,0,118,49,49,17,8,12,3,4,200,57,0,135356,0,0,4356,0,190,295,166,1,0,6653,457,1216,0,1,9,0,27,8,6,8,False,0,0,0,0,0,0,0,0,0.8062921320815767,6,0.1774490571973008,5,4,0,1,0.0,0.0,0,0,45,0,0,0,0,0,1,869.2131680187339,0,1,1936.8823306241304,0.0,0.0,9,0,0,0.0,0,0,2.6,1,0,1,1,1.0,0,1,0,0,4,76,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,25,32,0,1,2,0,0,1,13,0,0,4,1,0,0.1267200405010803,0,2,0,0,2,1,5,9,0,0.3724410533905029,0.8514942834169441,6,4,0,844.670894949326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.1766650168041,-0.3097761751002495,-81.71895499144583,327.0926632883535,473.3689731706913,839.307568816616
2,0,1,11308,0,4,396,799,396,9574,6,2,0,0,False,False,False,False,8600,0,0,2,1,4,0,2,1,334,78174,6819,4493,0,0,0,0,9929,1518,9470,0,0,81,37,49,18,4,4,3,12,200,32,0,94654,0,0,0,0,162,218,178,0,0,6551,421,1636,0,0,10,0,19,2,5,5,False,0,0,0,0,0,650,0,0,0.2489428164471489,2,0.176059669436422,6,0,0,0,0.0,0.0,0,0,25,0,0,0,0,0,0,0.0,0,0,1404.0492429627095,0.0,0.0,2,0,0,0.0,1,0,1.0,1,0,0,0,0.0,0,2,0,0,11,65,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,6,28,0,2,3,0,2,0,6,0,0,4,0,0,0.1814311129650403,0,0,0,0,1,0,0,7,0,1.7100377082824707,0.8519912292083552,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.89798976338216,-0.5555360710526848,-173.62638897592757,388.5761149293894,374.260377713801,666.6005517192946
11,0,0,11747,0,4,0,0,0,10023,10,0,0,0,False,False,False,False,7935,0,0,3,0,2,0,0,1,269,73218,7822,12194,0,0,0,0,8279,1060,8969,0,0,101,27,39,18,8,12,3,4,100,30,0,83209,0,0,1411,0,145,205,234,1,0,1711,210,1354,0,0,11,0,12,2,1,7,False,0,0,0,0,0,0,0,0,0.0,0,0.2258311774138207,10,6,0,0,0.0,0.0,0,0,23,0,0,0,0,0,0,0.0,0,1,1496.2333084842178,0.0,0.0,8,0,0,0.0,0,0,1.3,0,0,0,0,0.0,0,0,0,0,12,62,0.0,0,0,4.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,32,42,0,1,7,0,0,0,13,0,0,6,0,0,0.1518553653028112,0,0,0,0,0,0,0,6,0,-0.5611733198165894,0.4820138116142447,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.36988655808506,0.0,-8.661750762071543,315.9935000237211,364.6356466644284,902.9875169459584
13,0,0,17385,0,5,2277,7383,2277,16299,3,5,0,0,False,False,False,False,11575,0,2,3,0,1,0,0,1,1112,141943,13304,9479,0,0,0,0,12976,905,14076,0,0,147,41,88,21,8,4,6,12,100,37,0,158776,0,0,4178,247,219,285,138,2,0,3857,290,1400,0,4,8,0,29,5,3,13,True,0,0,0,1,0,0,0,0,0.8192067271153097,5,0.1870555144139444,3,0,0,0,0.0,247.9998779296875,0,0,40,0,0,0,0,0,1,595.0985519708684,0,2,2077.997062961573,0.0,0.0,12,0,0,0.0,0,0,4.666666666666667,2,0,0,0,0.0,0,1,0,0,7,80,0.0,0,1,21.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,8,33,0,1,8,0,2,1,14,0,0,3,0,1,0.2024220654895864,0,2,0,0,2,4,0,10,0,0.2163794040679931,0.8514155837231533,3,2,1,0.0,0.0,0.0,0.0,1256.7459241273943,0.0,6.772042328935186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42928212388495,0.0866218741153863,50.55830052534718,339.6154944483916,418.6723915577008,720.5496228498223
2,0,1,10963,0,7,5997,7305,5997,5235,3,3,0,0,False,False,False,False,8125,0,0,0,2,7,0,3,1,451,91914,13073,4769,0,0,0,0,11048,1886,6049,0,0,92,30,36,11,3,12,3,4,200,29,0,106810,0,0,489,0,143,186,73,1,0,3847,463,140,1,1,1,0,18,3,2,9,True,0,0,0,0,0,150,0,0,0.0818342866080028,3,0.1758040156477965,3,0,0,0,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,0,1142.4553714,0.0,0.0,4,0,0,0.0,0,0,3.0,0,0,1,3,2.0,0,1,0,0,14,56,0.0,0,0,21.0,4,2.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,9,41,0,3,6,0,0,0,9,0,0,6,0,0,0.2982525889304658,0,1,0,0,4,1,0,6,0,0.0977557897567749,0.9828138223946706,2,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.64135682193178,0.2625923143346691,142.32503436939066,478.07556747769866,809.9922527967204,575.4973160958609
9,0,1,10714,0,3,2568,3517,2568,4959,1,1,0,0,False,False,False,True,8260,0,0,0,1,5,0,4,1,855,85036,11012,3203,0,0,0,0,8160,1431,6221,0,0,87,37,60,11,3,12,3,4,200,36,0,96109,0,0,485,0,156,204,35,1,0,2912,527,640,1,1,0,0,16,1,1,4,True,0,0,0,0,0,0,0,0,0.6450921424246585,1,0.1687122745458583,1,3,0,1,1.0,0.0,0,0,25,0,0,0,0,0,1,758.9822921293965,0,1,1174.1451089656975,0.0,1.0,6,0,0,0.0,0,1,14.0,0,0,1,2,0.0,0,0,0,0,9,83,1.0,0,0,39.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,22,31,0,3,2,0,0,1,14,0,0,10,0,0,0.2646702339623372,0,1,0,0,4,1,0,7,0,3.981318950653076,0.8263846102957021,1,1,0,577.5604464246096,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.90211838749516,0.715414128616483,154.88715884546858,438.2422547867827,662.8822911723584,514.3827584752513
7,0,0,16477,0,2,1394,1394,1394,15162,10,0,0,0,False,False,False,False,11935,0,0,2,1,3,0,2,1,509,145873,17249,13786,0,0,0,0,17135,858,15423,0,0,116,41,91,18,4,12,4,4,100,43,0,163701,0,0,1843,0,232,230,346,1,0,692,692,1227,0,0,9,0,15,0,0,10,False,0,0,0,0,0,550,0,0,0.0,0,0.2141176789987888,10,1,0,0,0.0,0.0,0,0,36,0,0,0,0,0,0,0.0,0,0,1866.8350177,0.0,0.0,5,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,8,78,0.0,0,0,16.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,40,0,1,10,0,0,0,10,0,0,3,0,0,0.188854169696428,0,0,0,0,2,0,0,11,0,-0.1413295865058899,0.4863211922701818,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.15054555182185,-0.1928397510153476,-39.467869041141135,393.10383244478606,604.231219848089,978.2760569008584
