assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,1,10272,0,7,754,754,754,4492,1,5,0,0,False,False,False,False,6225,0,0,0,0,2,0,0,1,1020,57116,7711,3668,0,0,0,0,12553,657,3598,0,0,110,72,32,6,2,12,3,4,100,14,0,69670,456,0,0,0,150,167,38,0,0,0,0,786,1,1,2,0,23,5,1,12,True,0,0,0,0,0,0,0,0,0.3672940205884163,5,0.1500283637440513,1,0,0,0,0.0,456.6999816894531,0,0,10,0,0,0,0,0,0,0.0,0,0,1221.7945075915973,0.0,0.0,2,0,0,0.0,0,0,6.0,0,0,0,0,0.0,0,0,0,3,7,72,0.0,0,0,17.0,3,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,24,0,1,4,1,1,0,6,0,0,2,0,0,0.2130677928127471,0,1,0,0,0,1,0,7,0,1.69175386428833,1.140400069457951,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.23758055762775,0.2946485663203974,48.02771631022477,342.08698549798135,410.9856419225676,395.4183760019732
11,0,7,15547,0,5,7244,10665,7244,10700,2,1,0,0,True,False,False,False,11610,0,1,0,1,9,0,7,1,756,125806,18222,10228,16,0,0,0,15002,907,4336,0,0,149,134,62,9,5,12,5,4,100,17,4,143197,2908,10,836,0,190,269,74,1,0,2388,0,201,2,6,1,0,28,3,3,9,True,0,0,1,1,0,0,1,0,0.4021574763187518,1,0.1398016263253605,2,14,0,0,0.0,2908.125244140625,0,0,18,9,0,0,0,0,0,0.0,0,2,1643.8592485,0.0,0.0,5,0,0,0.0,0,0,10.0,0,0,1,3,0.0,0,0,0,5,5,72,0.0,0,0,9.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,76,34,0,2,5,1,18,0,20,0,0,4,0,1,0.2237896394191919,0,1,0,0,1,6,10,9,0,0.4332703351974487,1.0499925955567602,3,1,0,0.0,0.0,0.0,0.0,1301.9991717,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,83.32830205809437,0.4014942280503889,37.66745848618194,480.0775983224332,698.2349620549037,538.9147524694539
2,0,0,9971,0,3,360,1066,360,9255,6,0,0,0,False,False,False,False,7575,0,0,2,1,4,0,3,1,415,72138,14801,9098,0,0,0,0,9455,1026,6399,0,0,125,91,34,6,2,12,2,4,200,24,0,82501,459,0,305,0,162,334,124,1,0,908,224,98,0,0,10,0,11,1,1,5,False,0,0,2,0,0,150,0,0,0.0,0,0.1823240032765082,6,1,0,0,0.0,459.2874755859375,0,0,14,0,0,0,0,0,0,0.0,0,1,1420.9999201685432,0.0,0.0,2,0,0,0.0,0,0,1.0,0,0,1,1,1.0,0,1,0,2,17,63,0.0,0,0,28.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,50,0,0,5,0,1,0,6,0,0,5,0,0,0.2685558749070839,0,0,0,0,1,0,0,7,0,-0.2379764318466186,0.5025371589546948,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.90218824217798,-0.3377903075061874,-168.17734934964307,343.53274273379265,677.7762520111651,658.5222044833124
1,0,0,7490,0,2,597,2638,597,5142,3,0,0,0,False,False,False,False,4350,0,0,0,0,0,0,0,0,730,37494,5490,4040,0,0,0,0,9050,1215,2206,0,0,77,40,19,3,1,4,2,12,200,10,0,48453,0,0,0,0,139,153,62,0,0,1907,0,742,0,0,0,0,8,0,0,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1520195833441573,3,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,915.0390222,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,6,91,0.0,0,0,38.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,5,0,0,0,1,0,0,1,0,0,0.2355715481460921,0,0,0,0,0,0,0,6,0,-0.2173777818679809,0.5280584669266215,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.01131794158364,-0.3278548703624893,-29.24465443633405,324.248466788502,439.6533811560983,458.2755377926876
9,0,0,15634,0,6,1138,7468,1138,9304,3,3,0,0,False,False,False,False,11075,1,2,3,0,2,0,0,1,1152,130534,20870,5316,8,0,0,0,17141,399,5647,0,0,212,142,69,8,4,12,3,4,200,37,2,151757,1732,4,421,0,206,391,65,1,0,4081,0,1997,1,3,8,0,24,3,2,15,False,0,0,2,1,0,0,1,0,0.7289799831770499,3,0.1252465316086665,3,6,0,0,0.0,1732.2115478515625,0,0,30,1,0,0,0,0,0,0.0,0,1,2077.997062961573,0.0,1.0,3,0,0,0.0,1,0,3.6666666666666665,2,0,0,0,0.0,0,1,0,3,12,78,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,38,48,0,1,12,0,0,0,11,0,0,2,0,1,0.2168749338414298,0,0,0,0,0,3,0,9,0,-0.1778880953788757,0.6999588727120113,2,2,0,0.0,0.0,0.0,0.0,1691.9768005896883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.42928212388495,-0.0866218741153863,-50.55830052534718,323.1862123245066,614.1202135200509,374.20649617846914
10,0,0,16254,0,4,830,4506,830,13205,6,2,0,1,False,False,False,False,8850,0,0,1,0,0,0,0,0,598,127525,16659,1492,12,0,0,0,20214,722,15996,0,0,193,124,65,11,3,12,4,4,200,37,4,152962,1206,4,1538,0,220,394,144,1,0,5222,623,2295,0,1,8,0,38,2,3,13,False,0,0,1,0,0,0,1,0,0.5943297210109653,2,0.1406365097474723,6,2,0,3,0.0,1206.96533203125,0,0,31,1,0,1,0,0,0,0.0,0,2,1989.707922929952,0.0,0.0,5,0,0,0.0,0,0,1.6666666666666667,3,0,0,0,0.0,0,0,0,4,12,70,0.0,0,0,41.19999995827675,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,19,49,0,0,4,0,0,0,10,0,0,0,0,0,0.1938857834078746,0,0,0,0,0,1,0,10,0,0.9659734964370728,1.1543604885377938,3,2,0,576.3727030399058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.9325040543448,-0.120620718867414,-14.172934466921143,317.62450795761794,542.9440108019472,596.5900755182297
23,0,1,17729,0,7,1708,7500,1708,12768,4,4,0,0,False,False,False,False,12235,0,0,0,1,6,0,3,1,822,132954,27037,9029,12,0,0,0,13072,1095,9608,0,0,210,136,71,11,4,4,8,6,200,28,8,146653,4238,0,3731,0,185,355,128,1,0,625,625,107,1,4,4,0,42,5,9,14,True,0,0,9,1,0,0,0,0,0.5631555829547437,4,0.152584573222564,4,0,0,3,0.0,4238.2666015625,0,0,32,0,0,0,0,0,0,0.0,0,2,1977.66196205953,0.0,0.0,12,0,0,0.0,0,0,7.25,4,0,1,0,0.0,0,0,0,12,9,60,0.0,0,0,8.000000029802322,2,1.0,0,0.0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,5,57,0,0,10,0,0,0,29,0,0,4,0,1,0.270788242687551,0,1,0,0,0,4,0,8,0,2.9444611072540283,1.2856339896575455,9,1,2,1188.0976935551685,0.0,0.0,0.0,1387.2888484578464,0.0,26.90801059249384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-16.38298183490305,0.5157605392469479,-40.6237271795096,385.5461725147184,872.4847992743369,568.7321805131344
3,0,0,8301,0,4,0,0,0,5862,2,1,0,0,False,True,False,False,6585,0,0,0,0,2,0,0,1,664,44959,6147,776,0,0,0,0,10910,787,8641,0,0,87,73,27,5,2,12,3,4,100,14,0,59898,202,0,0,0,138,234,63,0,0,4028,0,517,0,0,3,0,17,2,3,7,False,0,0,0,0,0,300,0,0,0.6583859536253055,1,0.1781454101642077,2,6,0,0,0.0,202.5343017578125,0,0,6,0,0,0,0,0,0,0.0,0,0,1112.202534035917,0.0,1.0,0,0,0,0.0,0,0,2.5,0,0,0,0,0.0,0,0,0,0,13,66,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,26,0,0,4,0,6,0,5,0,0,4,0,0,0.2523862144473113,0,0,0,0,0,0,0,6,0,0.1304576396942138,0.96214773538675,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.0217151676435,-0.2157880355919504,-80.54288428469552,360.09628439406737,374.0685596986461,536.017480410405
5,0,0,12761,0,6,1058,7391,1058,17109,8,2,0,0,True,False,False,False,10275,0,0,0,1,4,0,2,1,599,113104,16274,13270,19,0,0,0,15608,874,8036,0,0,155,112,59,7,5,4,5,12,100,19,9,130408,871,0,447,0,172,325,270,1,0,1695,0,594,0,1,4,0,31,3,4,13,False,0,0,5,0,0,525,0,0,0.6899158188604081,2,0.1770345699708636,8,2,0,1,0.0,871.778076171875,0,0,14,0,0,0,0,0,1,678.0983931804064,0,0,1797.2615100028968,0.0,0.0,2,0,0,0.0,0,0,1.125,0,0,0,0,0.0,0,0,0,2,11,75,0.0,0,0,41.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,2,17,41,0,0,6,0,0,1,9,0,0,5,0,0,0.2273495394006775,0,1,0,0,3,1,5,8,0,0.4338788986206054,1.0483554460050175,6,4,0,419.053327874374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.30835023549643,-0.7344507144082068,-79.65451838990825,349.56515593492423,572.470947757815,731.179070316752
0,0,0,2908,0,2,0,0,0,968,0,0,0,0,False,False,False,False,1200,0,0,0,0,0,0,0,0,0,8586,1352,786,0,0,0,0,3954,244,634,0,0,25,10,10,1,1,12,0,4,200,2,0,17101,38,0,186,0,47,30,0,1,0,4560,0,469,0,0,0,0,3,0,0,2,True,0,0,0,0,0,0,0,0,0.0,0,0.1671909139810068,0,0,0,0,0.0,38.714115142822266,0,0,0,0,0,0,0,0,0,0.0,0,0,399.09282802339055,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,10,47,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,2,0,0,0,0,0,0,0,0,0,0.1732588041160581,0,0,0,0,0,0,0,1,0,0.0,0.4620732593427239,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69466612298864,0.0,0.7517048138545281,301.7343122812076,240.09451754513628,284.29476059978253
