assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,0,15824,0,5,1841,11354,1841,20513,6,3,1,0,False,False,False,False,11535,0,1,1,3,10,0,4,2,555,125213,27356,7668,4,0,0,0,12223,589,18107,0,0,133,190,146,12,3,4,4,14,200,16,4,142763,0,0,5412,0,202,277,193,1,0,5325,1258,2922,0,2,7,0,28,4,8,5,False,0,0,6,1,0,0,0,0,0.7250068396356777,3,0.2261460744404954,6,4,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,890.5920947790188,0,2,1766.107958061843,0.0,0.0,0,0,0,0.0,0,0,1.8333333333333333,0,0,2,2,0.0,0,0,1,0,4,85,0.0,0,0,15.0,0,2.0,0,0.0,0,0,1,0,0,4,1,0,8,0,0,0,1,0,0,24,33,0,3,2,0,2,0,11,0,0,2,0,1,0.3205121707874446,0,1,0,0,2,2,0,9,0,0.4880601167678833,0.9747260552890784,8,5,0,1147.4273210063334,0.0,0.0,0.0,1711.0229397766238,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.13819217873096,0.0,15.627583735191768,416.5430525591005,992.1477291359572,974.9573870272465
5,0,2,16880,0,6,740,3420,740,16484,2,4,1,0,False,False,False,False,12600,0,1,0,3,13,0,7,2,903,128563,30551,6101,4,0,0,0,11006,471,11303,0,0,168,226,145,13,7,14,2,4,100,15,0,140323,0,0,2866,0,192,267,84,1,0,752,752,557,0,1,2,0,35,4,5,8,True,0,0,0,1,0,300,0,0,0.7974891668182136,4,0.1254557210937388,2,14,0,2,1.0,0.0,0,0,0,0,0,0,0,0,1,988.2853436936904,0,1,1842.9206584959743,0.0,0.0,0,0,0,0.0,0,0,9.0,1,0,2,4,1.0,0,0,0,0,15,78,0.0,0,0,21.0,3,2.0,0,0.0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,1,75,38,0,4,4,0,0,0,18,0,0,4,0,2,0.3126198113739458,0,2,0,0,2,1,5,9,0,1.0555415153503418,1.155112531104448,5,5,1,884.5891421533222,0.0,0.0,0.0,1334.364014993119,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,83.7692058463282,0.2278991220071113,83.73664882889862,458.04467821686416,1034.4992288251374,584.7891470702476
9,0,0,10721,0,6,0,2835,0,15750,5,2,1,0,True,False,False,False,8100,0,0,2,1,5,0,4,2,926,82314,16034,5763,4,0,0,0,9908,1113,11101,0,0,85,125,124,10,5,14,3,4,100,15,4,93619,0,0,0,0,134,232,150,0,0,1397,863,340,0,0,10,0,27,4,3,9,False,0,0,6,0,0,150,0,0,0.7423064390296052,2,0.1635642917637989,5,8,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,4,1476.474508419691,0.0,0.0,0,0,0,0.0,0,0,2.8,4,0,1,1,1.0,0,2,0,0,9,72,1.0,0,0,13.0,0,2.0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,44,29,0,1,7,0,3,0,14,0,1,8,0,0,0.2430408666956195,0,0,0,0,1,0,0,6,0,0.5516647100448608,1.1135286591891247,3,3,0,1087.5914838725998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.11695592664532,-0.1625493692111747,-73.63486425266214,361.67234649486375,731.9191722156169,699.1654743195652
10,0,0,11505,0,3,1027,7638,1027,15403,6,1,0,0,False,False,False,False,8775,0,0,0,1,5,0,2,1,338,74137,12846,6243,0,0,0,0,8741,376,10244,0,0,74,116,118,8,4,14,4,4,100,11,0,85760,0,0,0,0,136,235,195,0,0,2881,496,1187,0,0,3,0,11,1,0,6,True,0,0,0,0,0,0,0,0,0.0,1,0.1956579985135762,6,4,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,864.9152876067844,1,3,1442.6012831605424,0.0,0.0,0,0,0,0.0,0,0,2.5,1,0,0,0,0.0,0,2,0,0,15,71,0.0,0,0,17.0,0,2.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,21,34,0,0,5,1,2,0,15,0,0,8,0,1,0.156177221325125,0,2,0,0,1,0,5,6,0,-0.3991091251373291,0.4950031757404379,0,0,0,1283.299426808833,0.0,0.0,0.0,1273.572173503803,0.0,28.48625185133369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-127.97714944182138,0.0,15.721599768933531,369.5823691712788,570.5942519312147,735.0887680320933
2,0,0,6912,0,3,612,612,612,6278,4,0,0,0,False,False,False,False,4110,0,0,0,0,0,0,0,0,401,41478,4680,4746,0,0,0,0,7759,292,4366,0,0,52,48,67,4,1,4,4,14,100,6,0,49908,0,0,341,0,122,155,76,1,0,671,671,805,0,0,1,0,5,1,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.2002111088838138,4,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,917.7584537,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,5,78,0.0,0,0,18.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,17,0,0,4,0,0,0,2,0,0,2,0,0,0.3107931036313753,0,1,0,0,1,0,0,5,0,-0.54746413230896,0.3750810024641457,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.4106834859221,-0.0653766791884142,-56.877710893920366,319.4304545145918,368.9859773394098,648.4059041906921
13,0,0,15508,0,6,2338,11389,2338,18380,5,2,0,0,False,False,False,True,11875,0,0,0,2,10,0,7,1,928,107752,21923,10264,9,0,0,0,10985,1049,7217,0,0,134,183,148,11,2,4,6,14,200,13,4,119592,0,4,2052,0,170,246,167,1,0,854,640,1161,2,3,2,0,16,3,1,3,True,0,0,6,2,0,0,0,0,0.7034515136325686,2,0.147371769932271,5,5,0,3,1.0,0.0,0,0,0,1,0,0,0,0,1,768.807584461874,0,0,1736.7657412785836,0.0,0.0,0,0,0,0.0,0,1,4.6,0,0,1,1,0.0,0,2,0,0,12,82,1.0,0,0,26.0,0,3.0,0,0.0,0,0,0,0,0,0,1,0,12,0,0,1,0,0,0,30,33,0,5,1,0,0,1,23,0,0,12,0,2,0.2134577357063561,0,2,0,0,4,3,5,8,0,-0.1129087805747985,0.5854712010350439,1,1,0,648.910132763817,0.0,0.0,0.0,1222.3579589863054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,161.6798358731321,0.6909394695432995,179.09151050562326,466.0732191804327,815.7922316897739,644.0246795613095
0,0,0,6952,0,5,267,3237,267,6861,3,1,0,0,False,False,False,False,4910,0,0,0,0,1,0,0,1,727,46813,8914,6307,0,0,0,0,6172,461,2485,0,0,61,81,85,4,2,12,2,4,200,7,0,52985,0,0,1223,0,120,148,71,1,0,0,0,30,0,0,1,0,15,2,1,6,False,0,0,0,0,0,0,0,0,0.8015551520637865,1,0.1672962226060348,3,66,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,951.4926340359126,0,0,1010.0295630753322,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,1,0,7,79,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,20,0,1,5,0,0,0,1,0,0,1,0,0,0.2874233585252149,0,0,0,0,0,0,0,5,0,-0.0575721263885498,0.9017609569754572,1,1,1,859.0918916042112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.16535568412762,-0.4752336144879747,-53.04795221722018,297.0210090549842,556.9143919780953,524.0638683766141
8,0,0,12533,0,0,1004,2526,1004,15496,5,0,0,0,False,False,False,False,9650,0,1,0,2,7,0,3,1,516,91075,22077,6910,0,0,0,0,10615,483,12184,0,0,88,152,95,13,4,14,4,4,100,15,0,107189,0,0,1669,0,163,226,179,1,0,5498,823,2025,0,2,3,0,7,0,1,3,True,0,0,0,0,0,600,0,0,0.0,0,0.2468722604923112,5,10,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,697.0556285629718,0,0,1580.515042318024,0.0,0.0,0,0,0,0.0,0,0,3.0,2,0,1,0,0.0,0,3,0,0,8,77,0.0,0,0,12.0,4,2.0,0,0.0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,55,33,0,3,3,0,0,0,15,0,0,5,0,0,0.2887608284484642,0,1,0,0,1,2,5,7,0,-0.5993428230285645,0.2975304491333086,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71541820735677,0.0,-22.511649081059968,412.57437135406366,887.710627506756,801.7639605261156
14,0,1,12771,0,6,1296,6879,1296,19745,10,3,0,0,False,False,False,False,9610,0,1,1,0,5,0,0,1,590,71469,22680,17791,0,0,0,0,10793,1165,11287,0,0,67,123,121,11,7,14,5,4,200,21,0,88701,0,0,0,0,122,244,309,0,0,6439,1098,480,0,4,7,0,31,3,2,14,True,0,0,0,1,0,0,0,0,0.6505870846300005,3,0.1588659583995046,10,4,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1989.014932698127,0.0,0.0,0,0,0,0.0,0,0,1.9,3,0,0,1,1.0,0,1,2,0,10,49,0.0,0,1,1.0,8,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,23,38,0,0,5,0,2,0,19,0,0,7,0,2,0.2015681573771831,0,1,0,0,0,4,5,5,0,0.3438707590103149,0.9513541901180264,2,1,0,1723.3907580052128,0.0,0.0,0.0,1429.959842404742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-42.262126150039215,0.0301656860457096,-14.087375383346403,310.1937496080323,752.4227070381357,891.6675138251314
1,0,0,9096,0,3,2973,2973,2973,8190,2,1,0,0,False,False,False,False,5660,0,0,0,0,0,0,0,0,469,59472,4229,1201,0,0,0,0,9758,126,6423,0,0,76,60,115,4,2,4,1,14,100,7,0,74491,0,0,0,0,150,163,42,0,0,5260,230,362,1,1,6,0,11,1,0,7,False,0,0,0,0,0,0,0,0,0.4693183326379033,1,0.1556112601025581,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1106.169193204597,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,11,65,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,18,0,0,6,0,0,0,1,0,0,1,0,0,0.1435784766307121,0,1,0,0,2,1,0,7,0,-0.1951478719711303,0.6505984950134035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48241381012402,-0.0542412502251836,31.188718879480568,341.8826001693322,248.750373532692,433.2248655485414
