assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,0,14443,0,7,6001,9107,6001,17137,8,5,0,0,False,False,False,False,12325,0,1,1,2,7,177,4,1,579,111359,18350,15344,0,0,0,0,16397,2156,10573,0,0,119,205,1,18,5,6,5,4,100,48,0,131629,0,0,2514,0,163,155,330,1,0,3872,0,2037,2,3,7,0,28,7,3,15,False,0,0,0,0,0,750,0,0,0.5401727064566139,5,0.2107427471066538,8,5,0,2,0.0,0.0,0,0,44,0,0,0,0,0,0,0.0,0,1,1930.385849499874,0.0,0.0,9,0,0,0.0,0,0,1.625,0,0,1,3,1.0,0,1,0,0,6,55,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,30,55,0,2,5,0,0,0,13,0,0,5,0,1,0.1900776544910199,0,0,0,0,1,3,0,7,0,0.2623372077941894,0.8726025672891954,3,1,0,800.9647201178772,0.0,0.0,0.0,1344.4555999233617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.8683770376572,-0.3108186895150773,-252.66451270680636,383.7367540753144,637.3648047196175,868.8625646704471
2,0,0,3438,0,4,0,0,0,1586,3,2,0,0,False,False,False,False,2170,0,0,0,0,0,0,0,0,281,17383,2560,3171,0,0,0,0,4063,782,1593,0,0,29,55,0,2,2,6,2,4,200,8,0,21446,0,0,164,0,46,51,36,1,0,0,0,291,0,0,0,0,8,2,0,5,False,0,0,0,0,0,0,0,0,0.6386036286050721,2,0.2437023967042903,3,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,561.1931734851097,0.0,0.0,1,0,0,0.0,0,0,0.6666666666666666,0,0,0,0,0.0,0,0,0,0,5,46,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,11,0,0,3,0,0,0,2,0,0,2,0,0,0.2387835159241795,0,0,0,0,0,0,0,1,0,-0.0214011669158935,0.913659216217397,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-225.05619449298445,-0.3207451702987902,13.364382095782924,280.65202401144137,357.4170347696185,540.5625270102277
5,0,6,14246,0,0,11163,15262,11163,5963,0,0,0,0,False,False,False,False,10300,2,2,0,1,6,0,6,1,0,147933,13718,4299,8,0,0,0,9172,542,8759,0,0,114,183,0,12,4,4,7,6,100,26,4,157139,0,2,248,0,190,145,0,1,0,34,32,94,3,6,2,0,27,0,4,8,True,0,0,6,0,0,0,0,0,0.0,0,0.1609135155748269,0,0,0,0,0.0,0.0,0,0,16,2,0,0,0,0,0,0.0,0,1,1451.6954310919311,0.0,0.0,4,0,0,0.0,0,0,11.0,0,0,1,1,0.0,0,0,0,0,4,69,0.0,0,0,6.0,3,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,8,36,0,2,4,0,0,0,11,0,0,3,0,1,0.2026428737855345,0,1,0,0,3,6,0,8,0,0.0860431194305419,1.1294370322385536,4,2,0,0.0,0.0,0.0,0.0,1308.9907520924403,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.65181270810868,0.1653239342494022,32.36216012932048,501.0141827428134,590.702417073114,543.5850958120344
1,0,0,6384,0,4,1249,1249,1249,3839,6,3,0,0,False,True,False,False,5350,0,0,0,0,2,129,0,1,349,49145,4668,2124,3,0,0,0,5524,934,9185,0,0,58,90,0,6,3,4,4,14,100,15,0,55685,0,3,624,0,104,179,132,1,0,1014,684,270,0,0,1,0,20,4,2,10,False,0,0,0,0,0,0,0,0,0.3756106348855177,3,0.2215506225928117,6,0,0,0,0.0,0.0,0,0,11,4,0,0,0,0,0,0.0,0,0,950.5335306316016,0.0,0.0,2,0,0,3.200000017881393,0,0,0.5,0,0,0,1,0.0,0,0,0,0,3,61,0.0,0,0,8.200000017881393,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,13,0,1,5,0,0,0,3,0,0,3,0,0,0.2602202341307627,0,0,0,0,2,0,0,4,0,0.8834207057952881,1.3027442762289805,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-177.18470161498655,-0.5681020001905518,-182.9288440613577,371.6649530135521,396.7876859108676,730.8947844673777
7,0,0,9901,0,2,1922,4954,1922,6771,4,2,0,0,False,False,False,False,8100,0,0,0,1,4,0,2,1,682,71790,5289,5625,2,0,0,0,11368,953,7230,0,0,70,129,0,10,4,12,5,4,100,20,2,84784,0,0,1694,0,140,163,61,1,0,1625,134,214,0,0,4,0,18,2,3,7,False,0,0,6,0,0,150,0,0,0.0,2,0.1643199960260111,4,0,0,1,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,2,1333.4462934078629,0.0,0.0,7,0,0,0.0,0,0,2.75,2,0,0,2,1.0,0,1,0,0,6,62,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,24,0,0,5,0,3,0,11,0,0,7,0,0,0.1486671629218383,0,1,0,0,1,0,5,6,0,-0.4381847977638244,0.8236618420186267,3,3,0,812.7442037632534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.78773509169187,-0.2249809396022211,-146.9125535602504,386.6072466124567,286.98568655659324,588.1001761202059
17,0,3,17272,0,2,7811,9039,7811,19583,7,2,2,0,False,False,False,False,15650,1,1,0,4,11,226,3,2,444,133021,27180,10019,12,0,0,0,14842,2637,17617,0,0,148,241,0,23,12,6,9,4,100,74,0,154502,0,0,3766,217,165,244,227,2,0,6638,2262,866,5,6,6,0,26,2,3,14,True,0,0,0,0,0,1200,0,0,0.3204014515461071,2,0.145510931669234,7,21,0,1,0.0,217.578857421875,0,0,52,0,0,0,0,0,1,635.2597534119408,1,4,2076.9075608401467,0.0,0.0,15,0,0,0.0,0,0,4.0,2,0,2,5,0.0,0,0,0,0,9,57,0.0,0,0,3.0,13,1.0,0,0.0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,3,110,76,0,1,6,0,24,0,28,0,1,8,0,1,0.1894212490933194,0,0,0,0,1,6,0,7,1,0.0024356842041015,0.7712308431890977,3,1,0,1688.0101614078624,0.0,0.0,0.0,1591.6154235953743,0.0,39.53141654131218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.251262402350715,-0.028889104710914,22.30238883682561,484.75917704913695,926.7624791261212,823.4261515751818
5,0,1,7100,0,3,3072,3962,3072,1773,1,1,0,0,False,False,False,False,5375,0,0,0,0,2,0,0,1,430,49788,4615,1033,0,0,0,0,8488,1204,2920,0,0,57,106,1,6,2,12,3,4,200,9,0,59083,0,0,0,0,111,67,16,0,0,805,0,100,0,0,2,0,7,1,2,3,True,0,0,0,0,0,0,0,0,0.4785291365836849,1,0.1125719841716584,1,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,1,513.3660361119632,0,0,954.4913042602265,0.0,0.0,4,0,0,0.0,0,0,7.0,1,0,0,1,1.0,0,0,0,0,8,56,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,3,21,0,0,2,0,5,0,7,0,0,6,0,0,0.1699562725548328,0,1,0,0,2,0,0,4,0,-0.1740373373031616,0.4543191166904634,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.60287064368247,-0.0628607088741397,34.00764350090958,384.7703990186092,365.8493256474931,254.8373137757624
9,0,0,15219,0,2,5414,11086,5414,7660,1,2,0,0,False,False,False,False,9500,1,1,0,0,1,118,0,1,1397,114181,9176,6455,0,0,0,0,14301,1209,5620,0,0,105,173,0,8,3,4,5,12,200,21,0,130481,0,0,3116,0,190,131,45,1,0,1998,0,1840,1,4,2,0,17,2,5,6,True,0,0,0,1,0,0,0,0,0.7747733112883243,2,0.1914282084959974,1,4,0,1,0.0,0.0,0,0,13,0,0,0,0,0,1,869.2903987,1,3,1556.9927805,0.0,0.0,6,0,0,0.0,0,0,10.0,2,0,0,0,0.0,0,0,0,0,4,72,0.0,0,0,4.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,23,27,0,0,4,0,0,0,10,0,0,1,0,1,0.1771396259001666,0,1,0,0,1,4,0,8,0,-0.1924939751625061,0.6655464823558535,5,4,0,1501.4772194,0.0,0.0,0.0,1256.5879005,0.0,15.43663800000013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.77495028500552,0.231214944930183,136.455353332963,405.47394175923097,400.1945338499918,536.2645289414045
7,0,2,17263,0,3,5496,10179,5496,11602,4,3,1,0,False,False,False,False,10975,0,1,0,2,8,230,6,2,431,104408,11962,14003,0,0,0,0,19144,2771,4920,0,0,114,189,0,10,5,12,5,4,100,41,0,124707,0,0,2776,212,169,220,109,3,0,1154,132,1596,0,3,1,0,25,3,1,11,True,0,0,0,1,0,0,0,0,0.607541194322735,3,0.1958503299922574,4,0,0,2,0.0,212.56689453125,0,0,26,0,0,0,0,0,1,901.9906812890006,0,0,1675.4258555453723,0.0,0.0,10,0,0,0.0,0,0,3.75,0,0,1,4,0.0,0,2,0,0,5,46,0.0,0,0,10.0,1,2.0,0,0.0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,1,39,0,0,8,1,0,0,15,0,0,5,0,1,0.1760034260937359,0,2,0,0,1,3,10,8,0,0.0241498947143554,0.9068922325336112,1,0,0,1254.2423355778033,0.0,0.0,0.0,1470.871840542552,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,40.93287672087187,0.143247162627723,127.99133980787056,429.1326874420014,532.3780799059327,734.8937560708763
3,0,1,7307,0,7,1735,1735,1735,5517,3,3,0,0,False,False,False,False,5210,0,0,0,0,1,0,0,1,354,47027,2576,5792,0,0,0,0,7138,583,4845,0,0,48,93,154,4,5,12,3,4,200,10,0,57981,0,0,1292,0,110,95,56,1,0,3816,170,365,0,0,0,0,16,3,0,8,True,0,0,0,0,0,0,0,0,0.2968676844009061,3,0.2448323726261513,3,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,1,796.4336837935618,0,0,912.367955489004,0.0,0.0,2,0,0,0.0,0,0,1.3333333333333333,0,0,0,0,0.0,0,1,0,0,4,71,0.0,0,0,14.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,14,0,1,5,0,0,0,4,0,0,4,0,0,0.1020841109929723,0,0,0,0,0,0,0,5,0,0.6419309377670288,1.0558397164540738,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.579767551181007,-0.0657629409702817,-20.78108934660903,352.226311836829,218.99059343103815,723.5896394960099
