assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
13,0,1,22816,0,7,3509,10175,3509,35737,13,4,0,0,False,False,False,False,14405,0,1,1,2,5,0,2,1,498,210078,29111,22578,9,0,0,0,17263,2496,23523,0,0,182,69,91,37,7,12,6,4,200,61,4,246841,0,5,3317,0,245,886,541,1,0,19500,0,1683,1,5,6,0,51,5,8,6,True,0,0,3,3,0,375,1,0,0.8895657831287843,4,0.2193815055156322,13,79,0,2,0.0,0.0,0,0,72,4,0,0,0,0,0,0.0,0,1,2660.34973680319,0.0,0.0,10,0,0,0.0,0,0,1.3846153846153846,4,0,0,1,0.0,0,1,0,0,11,62,0.0,0,1,15.0,8,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,398,88,0,2,2,0,2,0,18,0,0,3,0,3,0.1664236648087503,0,2,0,0,1,5,0,11,0,1.982320070266724,1.15357058966516,8,2,0,1894.9941890280363,0.0,0.0,0.0,1413.0385373198897,0.0,48.54512018630385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.47062272994576,-0.1578739795710819,-38.83699897448616,363.0424927365294,712.8461246147409,1077.7154448291642
0,0,0,9294,0,3,0,0,0,6467,3,2,0,0,False,False,False,False,5425,0,0,0,0,0,0,0,0,598,58606,4721,6635,0,0,0,0,9186,759,3685,0,0,105,16,41,5,4,14,2,4,200,20,0,78756,0,0,384,0,153,333,60,1,0,10963,838,0,0,0,2,0,8,3,1,6,False,0,0,0,0,0,0,0,0,0.4442274735056759,2,0.201097068220304,3,0,0,0,0.0,0.0,0,0,21,0,0,0,0,0,1,790.8170862256419,0,0,1221.7945075915973,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,6,72,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,4,0,2,0,0,0,0,0,0,0,0.1698831900663147,0,1,0,0,0,0,5,7,0,-0.6284949779510498,0.4236643277838379,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.23758055762775,-0.2946485663203974,-48.02771631022477,291.8494049403536,310.2649403353784,506.8446421654702
10,0,0,9804,0,1,1873,1873,1873,7836,8,0,0,0,False,False,False,False,8275,0,0,0,1,4,0,2,1,206,56616,11195,3290,0,0,0,0,7626,2117,10960,0,0,93,28,33,14,5,14,3,4,100,31,0,65238,0,0,1091,0,116,322,174,1,0,996,532,775,1,1,0,0,11,1,1,7,True,0,0,0,0,0,0,0,0,0.0,0,0.2343623623061341,7,11,0,0,0.0,0.0,0,0,43,0,0,0,0,0,1,951.6186792896816,0,0,1233.1450565834607,0.0,1.0,7,0,0,0.0,0,0,1.75,1,0,0,2,0.0,0,0,0,0,10,48,0.0,0,0,14.0,2,1.0,0,0.0,0,0,0,0,1,2,0,0,13,0,0,0,0,0,0,59,42,0,0,6,0,0,1,14,0,0,8,0,0,0.2421397310886002,0,2,0,0,2,1,5,5,0,-0.2628638744354248,0.5467926663307987,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.945264546350867,0.2432803816537018,-1.654306595245172,420.7290920319119,673.5947207227696,731.1062029457046
7,0,0,16779,0,8,965,9290,965,24416,11,5,0,0,False,False,False,False,12775,0,0,2,1,10,0,3,1,407,177414,24112,8492,16,0,0,0,15361,2663,21235,0,0,178,42,59,25,4,12,4,4,100,36,10,194904,0,0,1576,0,212,739,369,1,0,2128,466,718,0,0,8,0,47,5,3,16,False,0,0,8,0,0,0,0,0,0.8367938425990048,5,0.2213088061872409,11,6,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0,0.0,0,0,2109.686549626237,0.0,0.0,8,0,0,0.0,1,0,1.5454545454545454,4,0,1,1,1.0,0,2,0,0,10,63,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,34,66,0,0,4,0,2,0,17,0,0,6,0,0,0.2187739713449849,0,0,0,0,1,0,0,10,0,0.4664144515991211,1.3427313692985223,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.24561948397976,0.0,-52.44380973069271,392.95884980964274,774.76912401493,865.891665434203
6,0,7,10941,0,5,3822,3822,3822,7351,3,3,3,0,False,False,False,False,10475,0,1,0,2,11,0,7,3,286,97324,18198,3083,0,0,0,0,10296,2147,7528,0,0,89,20,32,23,4,4,4,14,200,23,0,112522,0,0,666,0,167,450,65,1,1,4901,734,532,1,3,3,0,23,3,3,7,True,0,0,0,0,0,0,0,0,0.7064860405705817,3,0.1720234359579777,3,2,0,0,0.0,0.0,0,0,36,0,0,0,0,0,1,779.9938529801641,0,0,1294.4783282386943,0.0,0.0,7,0,0,0.0,1,1,5.666666666666667,2,0,1,4,1.0,0,0,0,0,10,72,1.0,0,0,71.0,2,2.0,0,0.0,0,1,4,1,0,3,0,0,13,0,0,0,0,0,0,17,45,0,2,4,0,0,0,17,0,0,8,0,0,0.3607436027870857,0,1,0,0,5,3,10,7,0,0.9981039762496948,1.0806595896508515,3,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06904294560528,0.4635071803916392,78.00825845991287,568.6769596225021,977.0267855475362,516.5324018284427
9,0,4,13204,0,5,4337,5576,4337,11182,3,5,1,0,False,False,False,False,10775,0,1,0,2,8,0,4,2,849,110304,16983,1116,0,0,0,0,9105,1610,13654,0,0,122,29,54,23,4,14,2,4,100,29,0,120256,0,0,1548,0,178,484,100,1,0,846,618,722,2,5,2,0,28,5,5,9,True,0,0,0,0,0,375,0,0,0.7441783427345482,5,0.1721455276277398,3,0,0,2,0.0,0.0,0,0,38,0,0,0,0,0,0,0.0,1,1,1610.2210114,0.0,0.0,8,0,0,0.0,1,0,5.666666666666667,0,0,1,1,0.0,0,1,1,0,7,63,1.0,0,0,55.0,3,2.0,0,0.0,0,0,1,0,0,2,1,0,9,0,0,1,0,0,0,6,45,0,2,4,0,0,0,17,0,0,1,0,0,0.2004276039848268,0,1,0,0,4,5,0,8,0,0.3832911252975464,1.0638588695839084,5,2,0,920.3310225,0.0,0.0,0.0,0.0,0.0,11.220046700000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.02213004224123,0.26083375948177,119.90900543033368,430.897370663884,715.8768838805379,577.2996336644375
6,0,0,12294,0,2,1437,1978,1437,15897,7,0,0,0,False,False,False,False,10400,0,0,1,1,5,0,3,1,472,102562,15050,9621,8,0,0,0,12110,813,8591,0,0,128,40,57,22,5,12,2,4,100,29,4,117575,0,4,2002,0,172,435,245,1,0,2902,62,3340,1,1,7,0,10,0,1,4,False,0,0,3,0,1,150,1,0,0.0,0,0.1474745350570842,7,4,0,1,0.0,0.0,0,0,34,1,0,0,0,0,0,0.0,0,1,1831.2246463089,0.0,0.0,4,0,0,4.0,0,0,1.5714285714285714,0,0,1,2,0.0,0,0,0,0,7,75,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,26,59,0,0,4,0,0,0,11,0,0,4,0,1,0.1857936775987683,0,1,0,0,1,1,0,8,0,-0.6317980289459229,0.3525790548019007,1,0,1,1134.3388489225042,0.0,0.0,0.0,1502.8816815077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.89367165062382,-0.4259444637621078,-89.5138673075445,344.8839558123036,521.7819681085821,706.1831559588238
3,0,0,11963,0,5,4207,9626,4207,9320,5,3,0,0,False,True,False,False,11175,0,1,0,2,10,0,5,1,469,102045,18930,4657,0,0,0,0,8370,997,9623,0,0,122,25,53,22,4,12,4,4,200,32,0,114937,0,0,1750,0,149,438,156,1,0,4522,132,173,1,3,0,0,27,3,5,5,True,0,0,0,1,0,0,0,0,0.7879188339042003,3,0.1664270291993482,5,4,0,0,1.0,0.0,0,0,34,0,0,0,0,0,1,691.4770554976672,1,0,1496.2333084842178,1.0,1.0,7,0,0,0.0,0,0,2.6,0,0,2,5,1.0,0,0,0,0,13,74,0.0,0,0,18.0,0,2.0,0,0.0,0,0,0,0,0,3,0,0,8,0,0,0,1,0,0,24,50,0,2,2,0,0,0,13,0,0,10,0,1,0.2299348456757906,0,2,0,0,2,3,5,7,0,1.278804063796997,1.0984149985852358,5,5,0,0.0,0.0,0.0,0.0,1220.753510206828,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1458.8985536446276,0.0,0.0,131.36988655808506,0.0,8.661750762071543,447.3633865818061,804.420001329422,579.6154884952874
0,0,0,5703,0,4,484,484,484,5842,8,0,0,0,False,False,False,False,4100,0,0,2,0,0,0,0,0,287,33765,6070,5592,0,0,0,0,5801,1517,7841,0,0,58,19,27,5,3,14,3,4,100,16,0,39999,0,0,362,0,81,222,158,1,0,432,432,255,0,0,10,0,6,0,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1783309167258001,8,2,0,0,0.0,0.0,0,0,23,0,0,0,0,0,0,0.0,0,0,1140.6830284778464,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,10,57,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,4,0,0,0,0,0,0,0,0,0,0.2249646031712485,0,0,0,0,0,0,0,3,0,-0.2988882660865783,0.3464743066946323,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.47910835261249,-0.4208005098844357,-250.7445038273881,207.34945124555568,421.7999110954112,720.042272476005
10,0,2,12311,0,7,2282,4096,2282,6886,4,6,3,0,False,False,False,False,10925,0,2,0,2,8,0,4,2,443,89276,16748,2176,0,0,0,0,11427,1355,7707,0,0,94,25,41,24,2,12,3,4,100,35,0,100704,0,0,617,0,145,393,81,1,0,0,0,4783,0,7,3,0,23,7,4,9,True,0,0,0,0,0,450,0,0,0.5692116946118001,6,0.2069741636857792,3,1,0,1,0.0,0.0,0,0,44,1,0,0,0,0,0,0.0,0,1,1515.2291654945373,0.0,0.0,12,0,0,0.0,0,0,4.5,2,0,1,0,2.0,0,1,0,0,9,63,0.0,0,0,0.0,1,1.0,0,0.0,0,0,3,0,0,1,0,0,11,0,0,0,0,0,0,12,52,0,1,3,0,0,0,18,0,0,6,0,1,0.2795345755713062,0,1,0,0,0,7,10,6,0,0.78874671459198,0.912053524228322,4,2,0,1401.9768454385792,0.0,0.0,0.0,1226.0278387707467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.74147205583033,0.3167837650771054,130.5941071530367,440.3690314278112,716.8816603694896,580.7834352982381
