assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
10,0,7,20119,0,9,3521,8256,3521,19885,6,7,1,0,False,False,False,False,14625,1,1,0,1,9,0,7,2,612,178623,35535,10618,9,0,0,0,13576,803,13258,0,0,125,26,124,46,5,12,5,4,200,32,6,193481,0,2,2873,0,240,346,223,1,0,1281,860,1436,2,4,4,0,42,7,4,19,True,0,0,8,1,0,600,0,0,0.8677219533664443,7,0.1549709030916707,6,5,0,0,0.0,0.0,0,0,13,1,0,0,0,0,1,894.4911811050562,0,0,2136.031363842854,0.0,0.0,2,0,0,0.0,0,0,3.1666666666666665,0,0,1,3,0.0,0,0,0,0,14,78,0.0,0,0,38.75,11,2.0,0,0.0,0,0,1,1,0,2,1,0,12,0,0,0,0,0,0,27,102,0,3,12,0,0,0,19,0,0,2,0,1,0.3204508487327083,0,0,0,0,2,4,0,11,0,0.1739966869354248,1.2039584278481044,4,2,0,0.0,0.0,0.0,0.0,1306.515828469005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.84701002637617,-0.0561789503802568,54.156508166567576,451.2855084046031,1044.8722981223966,711.0288854877205
13,0,5,22572,0,8,9097,13334,9097,31488,7,5,0,0,False,False,True,False,15675,0,1,1,2,10,0,5,1,472,214787,40518,6952,15,0,1,0,15881,276,15625,0,0,147,35,127,23,4,12,4,4,200,26,7,238055,0,0,3219,0,255,337,232,1,0,7385,1543,624,2,7,7,0,22,5,2,9,True,0,0,4,2,0,0,0,0,0.7399604325444459,5,0.175129671487498,7,6,0,0,0.0,0.0,0,0,7,0,0,1,0,0,1,762.0444852303865,1,0,1930.385849499874,0.0,0.0,1,0,0,0.0,0,1,3.2857142857142856,2,0,2,2,0.0,0,1,0,0,21,79,0.0,0,1,107.5,12,3.0,0,0.0,0,0,0,0,0,2,0,0,12,0,0,0,1,0,1,37,117,0,8,4,0,5,0,23,0,0,4,1,1,0.4179810529688353,0,2,0,0,5,7,10,12,0,-0.2078186869621276,0.6912594541203312,2,1,0,0.0,0.0,0.0,0.0,1744.756189232917,1.0,23.333415319159258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,191.8683770376572,0.3108186895150773,252.66451270680636,575.6051311129717,1315.9130857999828,721.1615234128824
5,0,0,12157,0,8,37,3817,37,12098,7,6,0,0,False,False,True,False,9135,0,0,1,0,2,0,0,1,474,96419,18810,6249,4,0,0,0,8002,330,9311,0,0,62,15,74,94,3,12,3,4,100,13,0,105990,0,0,470,0,181,258,250,1,0,1567,0,985,0,1,5,0,37,6,4,15,False,0,0,0,0,0,150,0,0,0.8028923086881841,6,0.1434623820127613,7,3,0,0,0.0,0.0,0,0,3,0,0,0,0,0,1,720.0371083503768,0,0,1637.350081732268,0.0,0.0,0,0,0,0.0,0,1,1.0,0,0,0,1,0.0,0,1,0,0,8,77,0.0,0,0,46.599999994039536,0,1.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,21,53,0,0,4,0,1,0,7,0,0,3,0,0,0.2658189480495326,0,2,0,0,1,1,0,8,0,1.0683696269989014,1.359208008538747,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.45029667520704,-0.5496686445013803,-37.59733528389441,336.69036704524547,701.4138349600613,606.2845148850224
12,0,2,23793,0,9,5782,15896,5782,29240,4,4,0,1,False,False,False,False,17400,0,0,1,2,5,0,2,1,1029,257873,36775,12651,12,0,0,0,17878,236,12397,0,0,146,29,130,48,7,12,6,4,100,29,6,281711,0,0,4315,0,304,501,185,1,0,5959,1162,1305,1,5,8,0,36,6,4,11,True,0,0,5,1,0,0,0,0,0.8620937151290488,4,0.1414637555926365,4,9,0,1,1.0,0.0,0,0,7,2,0,0,0,0,1,652.5370131649926,2,2,2369.065795310996,0.0,0.0,3,0,0,0.0,0,0,4.25,2,0,0,0,0.0,0,0,0,0,12,94,0.0,0,1,64.0,6,3.0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,50,127,0,1,7,0,8,0,17,0,0,0,0,2,0.252585002916892,0,1,0,0,0,5,5,14,0,0.3167769908905029,0.9316359476669032,4,0,1,1548.64862991853,0.0,0.0,0.0,1783.1022255151704,0.0,43.71510569895054,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0078866926436,0.1772850719601331,61.416614214760415,447.9993768432565,966.8114767151604,667.4529694910499
4,0,1,12175,0,6,1036,5841,1036,9102,1,3,0,0,False,False,False,False,8910,0,0,0,0,2,0,0,1,372,100681,9953,3168,4,0,0,0,10486,726,6503,0,0,77,14,81,14,3,12,2,4,100,9,2,118279,0,0,2515,0,178,151,16,1,0,7112,392,284,0,2,0,0,25,3,0,11,True,0,0,2,0,0,0,0,0,0.4907480277503174,3,0.1551819457950781,1,0,0,1,0.0,0.0,0,0,3,1,0,0,0,0,1,864.9842008999999,0,0,1398.1846844,0.0,0.0,0,0,0,0.0,0,0,6.0,0,0,0,2,0.0,0,0,0,0,20,69,0.0,0,0,2.9999999701976776,1,2.0,0,0.0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,79,0,1,5,0,0,0,6,0,0,3,0,1,0.2304374177862094,0,2,0,0,1,2,10,8,0,3.814785003662109,1.1008287590213732,0,0,0,977.5158164,0.0,0.0,0.0,1364.5190651,0.0,21.73334419999992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.865978094245534,0.0858255717852433,97.66950069160691,390.1201365498236,475.13036540310713,427.2396963469413
5,0,0,15177,0,9,6355,13751,6355,19937,8,6,0,0,False,False,False,True,11685,0,0,0,0,2,0,0,1,655,149234,25087,12351,4,0,0,0,16971,887,7836,0,0,106,21,112,17,3,12,3,4,200,23,4,180979,0,0,749,0,220,263,270,1,0,14773,0,1810,3,3,2,0,36,7,3,12,True,0,0,1,0,0,0,0,0,0.7793366004143919,6,0.1882907917757693,8,1,0,1,0.0,0.0,0,0,10,0,0,0,0,0,1,1008.8268806609142,0,0,1733.2237808387486,0.0,0.0,3,0,0,0.0,0,0,0.875,1,0,0,0,0.0,0,0,0,0,13,81,0.0,0,0,64.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,10,64,0,0,4,1,0,1,7,0,0,1,0,1,0.2245671644774985,0,0,0,0,2,3,0,10,0,1.082634449005127,1.2478250702358578,3,2,0,1495.2634274813745,0.0,0.0,0.0,1558.9348775801757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.774453141726863,-0.3807932981860024,62.86551177325276,411.6029377665062,899.1914473074011,761.4827436543177
11,0,0,22678,0,3,2731,16178,2731,27607,5,1,2,0,False,False,False,False,15135,1,1,5,2,11,0,6,3,559,244678,47447,12822,3,0,0,0,11034,1179,12294,0,0,144,41,138,59,5,12,5,4,100,33,2,272976,0,0,4080,0,283,404,143,1,1,17263,1727,684,1,3,11,0,30,1,2,12,False,0,0,3,1,0,600,0,0,0.0,1,0.1592157961929972,5,35,0,2,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,4,2157.2371611912386,0.0,0.0,3,0,0,0.0,0,0,4.4,3,0,2,0,0.0,0,2,0,0,8,70,0.0,0,0,74.90000000596046,0,2.0,0,0.0,0,0,3,1,0,2,0,0,13,0,0,0,0,0,0,184,67,0,5,7,0,2,0,22,0,0,2,0,1,0.3721947757626244,0,0,0,0,0,3,0,13,0,0.0603972673416137,0.8609822527537798,2,1,0,1042.2930333695745,0.0,0.0,0.0,1748.88712279608,1.0,26.40065081694252,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.56175270425928,0.194693475319178,148.9961353264052,473.8839189268792,1400.5136080316984,717.612336672873
4,0,0,10386,0,4,1855,1855,1855,11199,7,2,0,0,False,False,False,False,6500,0,0,1,0,1,0,0,1,330,86581,15523,7341,0,0,0,0,8519,824,6786,0,0,74,16,72,12,3,12,3,4,100,15,0,98428,0,0,0,0,160,74,171,0,0,3328,323,343,0,0,9,0,16,2,0,9,False,0,0,0,0,0,375,0,0,0.5337591493060728,2,0.1495461886524441,7,11,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,1397.877853503732,0.0,0.0,2,0,0,0.0,0,0,0.7142857142857143,2,0,0,0,0.0,0,1,0,0,11,67,0.0,0,0,41.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,56,50,0,0,5,0,0,0,5,0,0,4,0,0,0.269621693576879,0,1,0,0,1,0,0,7,0,-0.2219817638397216,0.711001357276176,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.63310910544857,-0.686755282368766,-69.61981675013367,317.6672403007024,715.5990042282542,621.1272306974008
8,0,0,19646,0,4,5864,7687,5864,23069,7,0,0,0,False,False,False,False,13750,1,1,0,0,3,0,0,1,493,193271,18858,10074,28,0,0,0,15101,299,10287,0,0,115,25,125,19,7,12,3,4,200,12,16,208373,0,6,1897,0,258,419,192,1,0,0,0,1355,2,2,1,0,31,2,4,10,True,0,0,6,0,0,0,0,0,0.0,0,0.2085903041533452,7,8,0,0,0.0,0.0,0,0,3,8,0,0,0,0,1,773.145954173633,0,0,1922.0608419266323,0.0,0.0,2,0,0,0.0,0,0,1.5714285714285714,0,0,0,0,0.0,0,0,0,0,13,79,0.0,0,0,66.00000002980232,1,2.0,0,0.0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,43,54,0,1,4,0,25,0,11,0,0,3,0,2,0.1635413211860659,0,1,0,0,2,2,0,12,0,-0.3050535321235657,0.9728144195076622,4,1,0,0.0,0.0,0.0,0.0,1431.4540778350283,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1825.51287607326,0.0,0.0,83.03587301639234,-0.031216493615185,129.1426340860207,444.8350340163876,598.0143681861008,677.9285918409746
8,0,4,16124,0,4,3984,12322,3984,15364,2,2,1,0,False,False,False,True,12850,0,1,0,1,5,0,4,2,795,164217,29820,2451,0,0,0,0,12381,253,9847,0,0,104,10,108,33,4,12,3,4,200,22,0,189306,0,0,2704,0,233,240,67,1,0,12707,957,785,4,5,2,0,22,2,5,6,True,0,0,0,1,0,150,0,0,0.6577351237918083,2,0.1412681806623935,2,9,0,2,1.0,0.0,0,0,9,1,0,0,0,0,1,855.2632140722012,1,1,1702.9861521757791,0.0,0.0,6,0,0,0.0,0,0,6.5,0,0,1,1,0.0,0,0,0,0,22,89,0.0,0,0,84.0,9,3.0,0,0.0,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,51,106,0,0,4,0,2,1,13,0,0,1,0,1,0.3784042913821551,0,1,0,0,4,5,0,11,0,-0.2214565873146057,0.7979799602511484,6,5,0,1138.7287158860406,0.0,0.0,0.0,1308.6811048984955,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,179.54344467766407,0.2818578409382481,160.79989825527056,477.1853247084541,1093.2913327693473,460.9784988545048
