assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,14222,0,3,2859,8140,2859,20232,6,1,0,0,False,False,False,True,10825,1,2,0,2,7,579,3,1,466,18765,3286,7779,13,0,0,0,115226,12482,12020,0,0,239,71,61,9,6,14,4,4,100,16,4,136677,0,8,4268,0,170,116,199,1,0,2684,2658,1555,3,4,1,0,29,1,7,7,True,0,0,3,0,0,0,0,0,0.4387470240865748,1,0.2120594901015236,6,32,0,1,0.0,0.0,0,0,24,8,0,0,0,0,1,763.8873781713095,0,0,1571.80911889507,0.0,0.0,4,0,0,0.0,0,1,2.333333333333333,0,0,1,2,0.0,0,0,0,0,3,77,1.0,0,0,51.20000001788139,3,3.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,166,12,0,4,6,0,16,1,14,0,0,7,0,1,0.2203889013098097,0,2,0,0,5,4,5,8,0,0.9769209623336792,1.1265825371486071,7,4,0,920.3179665148346,0.0,0.0,0.0,1293.1284003500425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.22349787501673,0.3053805924840442,155.47689414843902,471.0877364806987,703.4060222129353,815.1753190620956
4,0,0,15652,0,1,3751,3751,3751,32599,6,0,0,0,False,False,False,False,10050,0,0,3,0,0,392,0,0,583,24552,4369,13873,0,0,0,0,139802,14508,14016,0,0,277,72,72,10,6,3,3,4,200,23,0,168160,0,0,5827,0,224,174,230,1,0,3805,3805,1436,2,2,11,0,14,0,2,8,False,0,0,0,0,0,0,0,0,0.0,0,0.2588626855223832,6,28,0,0,0.0,0.0,0,0,28,0,0,0,0,0,0,0.0,0,1,1754.062657358076,0.0,0.0,1,0,0,0.0,0,0,0.6666666666666666,0,0,0,0,0.0,0,0,0,0,2,79,0.0,0,0,23.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,144,13,0,0,8,0,11,0,4,0,0,1,0,0,0.2887632024797161,0,2,0,0,1,2,5,10,0,-0.2802060842514038,0.4926227594542771,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.34953579796009,-0.4446819483488782,-22.986636099265088,360.7054727183785,775.9015872613542,1003.134062867631
5,0,5,11728,0,5,2262,9325,2262,10257,1,3,1,0,False,True,False,False,9875,0,0,0,2,7,569,5,2,844,16021,3350,3740,16,0,0,0,99605,9464,7530,0,0,225,56,44,8,3,12,3,4,100,13,5,117381,0,8,3124,0,161,136,21,1,0,1754,1350,1077,2,3,1,0,21,3,4,8,True,0,0,4,0,0,0,1,0,0.6664830307981879,3,0.1786848626676101,1,2,0,1,0.0,0.0,0,0,24,3,0,0,0,0,1,840.6469512188168,0,0,1353.3540922919717,0.0,0.0,5,0,0,0.0,1,0,12.0,2,0,1,1,0.0,0,0,0,0,0,75,0.0,0,0,7.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,14,8,0,0,5,0,2,0,12,0,0,5,0,0,0.1569759352398085,0,2,0,0,4,3,10,7,0,0.0986684560775756,0.9552475079859348,4,4,1,858.4131610849927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.13588884550998,0.4876772485183516,52.13713129614377,467.6381470337793,627.9952932056773,547.3955443141897
5,0,1,15119,0,3,2495,7718,2495,19769,4,1,1,0,False,False,False,True,12490,0,1,0,1,10,567,7,2,714,22740,3340,6481,31,0,0,0,170665,11760,11938,0,0,291,65,52,7,5,3,4,4,200,20,20,200577,0,9,6137,0,210,209,139,1,0,7171,1531,1208,1,2,0,0,10,2,1,6,True,0,0,21,0,0,0,0,0,0.7057895705219859,1,0.1789264575629141,4,1,0,0,0.0,0.0,0,0,25,10,0,0,0,0,1,736.8628249669174,0,2,1494.4963511252645,0.0,0.0,5,0,0,0.0,0,1,3.75,0,0,1,2,2.0,0,0,0,0,2,88,1.0,0,0,69.50000005960464,0,3.0,0,0.0,0,0,1,0,0,3,0,0,6,0,0,1,0,0,0,11,7,0,7,3,0,0,1,15,1,0,8,0,1,0.2196884182721095,0,2,0,0,2,2,5,10,0,-0.3851315379142761,0.4146709592619971,1,1,0,0.0,0.0,0.0,0.0,1229.1215189141988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.507205943121,0.0,0.0,203.58698083866904,0.3211784355569616,124.21575995165487,537.090638860129,667.7701148273677,788.0112916390052
1,0,1,12135,0,1,3656,4454,3656,13030,5,0,0,1,False,False,False,False,9150,2,3,0,2,6,497,3,1,380,13727,2673,3714,4,0,0,0,88728,7394,10106,0,0,174,44,31,8,2,4,3,12,100,14,0,103370,0,0,2079,0,172,107,161,1,0,915,915,1538,2,3,0,0,12,0,1,6,True,0,0,0,0,0,0,0,0,0.0,0,0.1810461042201365,5,2,0,1,0.0,0.0,0,0,29,0,0,0,0,0,1,782.0113231805113,0,0,1450.1255620058748,0.0,0.0,4,0,0,0.0,0,0,1.4,1,0,1,2,0.0,0,0,0,0,0,84,0.0,0,0,37.0,1,1.0,0,0.0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,18,3,0,1,6,0,4,1,7,0,0,5,0,1,0.1553486731334732,0,1,0,0,0,3,5,8,0,-0.2876719832420349,0.5045817579774695,1,1,0,856.5390162373938,0.0,0.0,0.0,1275.4570328522775,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1416.644525273015,0.0,0.0,89.82670426126333,0.1241271823048318,62.93248142854976,408.0887996908523,454.38823869055454,635.5311734007392
1,0,0,11730,0,2,1739,4069,1739,16574,4,1,0,0,False,False,False,False,9875,0,0,1,1,5,412,4,1,732,13838,2719,4273,12,0,0,0,100435,8503,15410,0,0,216,49,45,9,3,12,4,4,100,12,6,130137,0,0,3506,0,184,230,155,1,0,15862,2083,120,0,0,8,0,23,1,5,5,False,0,0,3,0,0,0,0,0,0.723713014351143,1,0.2187732068379272,4,0,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1503.487284369533,0.0,0.0,1,0,0,0.0,0,0,1.5,2,0,1,4,0.0,0,0,0,0,3,79,0.0,0,0,52.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,5,0,2,4,1,2,0,6,0,0,5,0,0,0.2016972846598211,0,1,0,0,3,0,5,8,0,0.3414520025253296,0.9271406433446172,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.8506016423144,-0.1995361072347219,-16.28214635035331,393.3255745810839,531.045395794489,790.3226135352867
4,0,0,16656,0,3,1760,8348,1760,20913,6,1,0,0,False,False,False,False,11275,0,0,1,1,4,594,3,1,530,25683,4540,8091,12,0,0,0,161382,11629,14328,0,0,280,67,37,8,2,12,2,4,100,20,10,192239,0,0,3705,0,239,165,193,1,0,5172,3120,100,1,1,5,0,13,1,2,5,False,0,0,11,0,0,0,0,0,0.4268000156637575,1,0.1959145344691173,6,0,0,0,0.0,0.0,0,0,35,0,0,0,0,0,1,874.9627894175421,0,0,1718.8744806203435,0.0,0.0,6,0,0,0.0,0,0,1.3333333333333333,0,0,1,0,0.0,0,0,0,0,2,74,0.0,0,0,6.999999970197678,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,8,0,1,4,0,8,0,8,0,0,4,0,0,0.2343181283039637,0,1,0,0,0,1,5,11,0,-0.4446246027946472,0.4697076140195697,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.86329471554611,-0.2443459395874104,1.2915428235334554,416.2607613685528,673.3475963773068,786.0957942154977
7,0,4,15371,0,3,6136,13514,6136,16549,2,0,2,0,False,True,False,False,11375,1,1,0,3,12,585,6,2,763,21796,3517,7913,8,0,0,0,129814,12705,5630,0,0,223,65,39,8,2,12,4,4,100,16,0,156800,0,8,3758,0,199,126,70,1,0,5189,1994,376,3,3,1,0,7,1,1,3,True,0,0,0,1,0,0,1,0,0.0,0,0.1853505903685976,2,2,0,1,0.0,0.0,0,0,24,2,0,0,0,0,1,749.903811750221,1,0,1404.0492429627095,0.0,0.0,6,0,0,0.0,0,0,9.5,2,0,2,0,1.0,0,1,0,0,3,79,0.0,0,0,48.0,0,3.0,0,0.0,0,0,2,1,0,3,0,0,14,0,0,0,0,0,0,17,9,0,3,3,0,2,0,19,0,0,11,1,1,0.2570021217649036,0,2,0,0,3,3,0,9,0,-0.6310014724731445,0.314383524985862,1,0,0,1195.069898250526,0.0,0.0,0.0,1265.8536384532538,1.0,19.816327501753,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,227.89798976338216,0.5555360710526848,173.62638897592757,616.4741046927716,778.4769697205198,594.850931465644
0,0,0,7532,0,1,0,2332,0,4732,1,0,0,0,False,False,False,False,4375,0,0,0,0,0,0,0,0,904,8255,1087,2667,0,0,0,0,52234,2972,3710,0,0,154,42,27,2,2,12,0,4,200,8,0,63064,0,0,215,0,137,92,0,1,0,2574,666,35,0,0,2,0,7,0,1,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1617578976092714,1,0,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,0,926.3870335466988,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,4,83,0.0,0,0,33.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0.232418951678623,0,0,0,0,0,0,0,6,0,-0.0539132952690124,0.4608760804657101,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.55547566170134,-0.3886064754401083,-109.3279550904838,313.7349611719808,306.15713490089865,415.3555544995691
6,0,8,17423,0,4,5796,16742,5796,18916,2,1,1,0,False,False,False,False,12250,1,1,0,1,9,690,8,2,943,24050,3627,5734,0,0,0,0,164179,12388,11876,0,0,258,62,46,6,4,14,2,4,100,15,0,191691,0,0,6898,0,248,125,36,1,0,3460,3460,1240,4,5,4,0,15,2,3,9,True,0,0,0,1,0,150,0,0,0.0,1,0.2299145514856101,2,8,0,2,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,2,1634.8963606262605,0.0,0.0,5,0,0,0.0,1,0,7.5,2,0,1,4,0.0,0,0,0,0,0,89,0.0,1,0,80.0,2,3.0,0,0.0,0,0,1,0,0,3,0,0,9,0,0,0,1,0,0,44,7,0,4,8,0,0,0,15,0,3,5,0,1,0.3031384213226343,0,2,0,0,0,5,0,11,0,-0.3740568161010742,0.560970587997567,3,3,1,912.975488636342,0.0,0.0,1609.121115286434,1390.2857711454133,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,163.79019884625876,0.2568970181321558,198.9850903303641,507.3349112369888,714.7609035916952,691.8236698298956
