assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,0,13892,0,1,204,726,204,8360,2,1,0,0,False,False,False,False,10675,0,0,1,1,4,0,3,1,862,7461,956,5227,1,0,0,0,140135,13256,6587,0,0,109,94,103,11,3,4,4,14,100,7,1,148428,0,0,1858,0,244,115,76,1,0,832,832,469,0,0,8,0,20,1,5,5,False,0,0,3,0,0,300,0,0,0.4275834178439232,1,0.1255258055553102,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1725.3816263511014,0.0,0.0,0,0,0,0.0,0,0,2.5,1,0,1,1,0.0,0,0,0,0,11,86,0.0,0,0,62.59999996423721,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,38,0,0,3,0,0,0,5,0,0,1,0,0,0.1871284473748767,0,2,0,0,1,0,0,11,0,-0.02262943983078,0.7289303479106809,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145802736622452,-0.1390996613934973,1.9821701748573373,374.6649379633852,523.1886014162919,427.1750601394304
0,0,0,10448,0,8,0,0,0,8107,5,1,0,0,False,False,False,False,8275,0,0,3,0,4,0,0,1,391,5160,1315,7893,0,0,0,0,79693,12643,6633,0,0,81,59,62,10,3,4,4,14,100,6,0,85865,0,0,1348,0,137,86,101,1,0,1011,1011,88,0,0,9,0,17,1,1,8,False,0,0,0,0,0,750,0,0,0.2710469099840273,1,0.1925971114817803,5,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1341.7290258053283,0.0,0.0,0,0,0,0.0,0,0,0.8,0,0,0,0,1.0,0,1,0,0,16,48,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,34,85,0,2,7,0,2,0,4,0,0,3,0,0,0.2895797339847577,0,0,0,0,0,0,0,6,0,-0.4351524114608764,0.7612951481557605,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.0235041402643,-0.3130289290327522,-97.1284048370197,375.6347148393027,669.4347239457574,653.5596854019535
11,0,0,18623,0,4,8020,19773,8020,19427,7,3,0,0,False,False,False,True,15075,0,1,0,1,6,0,3,1,1008,10241,388,14707,9,0,0,0,203678,24506,12968,0,0,130,112,124,24,5,14,4,4,200,10,6,221227,0,1,5701,0,243,218,286,1,0,7307,1552,1192,1,1,3,0,32,3,12,7,True,0,0,8,1,0,300,0,0,0.689050758894798,3,0.1836846409563156,7,4,0,2,0.0,0.0,0,0,0,3,0,0,0,0,1,877.835254989082,0,1,2109.686549626237,0.0,0.0,0,0,0,0.0,0,0,2.4285714285714284,2,0,1,0,0.0,0,2,1,0,12,77,0.0,0,0,56.0,4,2.0,0,0.0,0,0,0,0,0,3,0,0,8,0,0,0,1,0,0,29,78,0,2,4,0,0,1,17,0,0,5,0,2,0.2249057211491959,0,2,0,0,4,1,5,11,0,-0.3180645704269409,0.9156561009367624,12,5,0,1188.5130965306034,0.0,0.0,0.0,1450.9941225085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.24561948397976,0.0,52.44380973069271,451.2044692936225,752.130689879555,821.0129605778944
2,0,4,7973,0,0,1173,2007,1173,4124,1,0,0,0,False,False,False,False,5800,0,0,0,1,5,0,4,1,400,3902,675,3013,0,0,0,0,58323,7273,4154,0,0,55,50,54,6,3,14,2,4,100,2,0,62583,0,0,512,0,111,74,16,1,0,358,358,682,0,0,0,0,9,0,1,5,True,0,0,0,0,0,0,0,0,0.0,0,0.1998378279384007,1,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,741.9484216168544,0,0,912.6785329247988,0.0,0.0,0,0,0,0.0,0,0,7.0,1,0,1,2,1.0,0,0,0,0,11,62,1.0,0,0,14.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,4,28,0,2,5,0,2,0,7,0,0,7,0,0,0.1985905653833809,0,1,0,0,4,0,0,5,0,-0.0626530051231384,0.6145522157260558,1,1,0,558.7420145673512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.15516167061622,0.3287028117541128,154.0958781503281,435.8599283859536,546.0411108859322,516.0634144539572
3,0,1,10564,0,7,285,587,285,5551,2,4,0,0,False,False,False,False,6300,0,0,0,0,2,0,0,1,617,5284,880,4480,0,0,0,0,75012,11530,3164,0,0,74,60,59,2,3,14,1,4,200,3,0,82263,0,0,457,0,164,58,42,1,0,1966,456,312,0,0,4,0,15,4,2,6,False,0,0,0,0,0,0,0,0,0.6691498551553032,4,0.1285216626439178,2,3,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,1162.5742521,0.0,0.0,0,0,0,0.4000000059604645,0,0,2.5,0,0,0,0,0.0,0,2,0,0,9,80,0.0,0,0,19.400000005960464,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,23,39,0,1,2,0,4,0,5,0,0,4,0,0,0.3112353045012697,0,0,0,0,1,0,0,7,0,-0.2472440600395202,0.811616260482555,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.018395572120552,0.1032192135540931,74.57588179283229,358.11906142592613,664.0092007934811,410.6060315181825
14,1,3,16056,0,6,4451,15734,4451,16447,8,2,0,0,False,False,False,False,11400,0,1,1,1,4,0,3,1,367,11290,1781,12783,8,0,0,0,121698,20706,10706,0,0,98,104,107,15,7,14,4,4,100,5,4,141070,0,0,2176,0,183,114,267,1,0,8082,1410,621,3,5,6,0,27,2,2,13,True,0,0,6,1,0,750,0,0,0.0,2,0.1215832662123764,8,12,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,5,2058.519131674075,0.0,0.0,0,0,0,0.0,0,0,2.25,2,0,1,0,0.0,0,0,0,0,12,73,0.0,0,1,12.0,11,1.0,0,0.0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,65,69,0,1,11,0,2,0,18,0,0,1,0,1,0.1850573349459942,0,0,0,0,0,5,0,8,0,-0.1424016952514648,0.8061007692657911,2,0,0,1854.9820519263587,0.0,0.0,0.0,1602.0410559380932,0.0,10.064518103365344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.76211851530358,-0.2914716656104403,-7.37423313994414,350.6695608959208,696.5589864758302,702.7673329533327
6,0,8,11094,0,8,1481,4865,1481,4739,0,3,0,1,False,False,False,False,7425,0,0,0,1,8,0,8,1,0,7058,845,2340,8,0,0,0,82701,11031,5200,0,0,66,59,59,11,4,14,3,4,100,2,4,90473,0,0,432,0,167,45,0,1,0,714,714,172,1,2,2,0,16,3,0,8,True,0,0,6,0,0,0,0,0,0.4017085782345988,3,0.1374277008246237,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,740.8828069211672,0,0,1191.3155491344626,0.0,0.0,0,0,0,0.0,0,0,14.0,7,0,1,4,0.0,0,1,0,0,5,96,0.0,1,0,43.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,27,0,2,5,0,0,0,14,0,0,6,1,0,0.231759458453386,0,2,0,0,0,2,5,8,0,0.7437970638275146,0.8351832027733761,0,0,0,906.6100393728652,0.0,0.0,1176.3591848585086,0.0,0.0,19.56980423798177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7892752651106,0.5036448994860543,71.87012715665995,467.7853826426472,634.0889284529424,388.4109464836451
0,0,12,9282,0,2,3981,3981,3981,3499,0,2,2,0,False,False,False,True,8550,0,0,0,1,12,0,12,2,0,3198,687,4516,0,0,0,0,56262,12819,2720,0,0,52,49,48,9,2,4,3,14,200,3,0,59921,0,0,1305,0,111,49,0,1,0,460,460,611,1,1,0,0,10,2,2,4,True,0,0,0,0,0,0,0,0,0.5065159426998223,2,0.1733607650297057,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,863.8698390251412,0,0,950.5335306316016,0.0,0.0,0,0,0,0.0,1,0,12.0,0,0,1,3,1.0,0,3,0,0,12,67,1.0,1,0,16.799999982118607,1,3.0,0,0.0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,13,28,0,8,2,0,0,1,12,0,0,12,0,0,0.3979017942042535,0,1,0,0,2,1,0,5,0,-0.46905118227005,0.6916905207641899,2,2,0,0.0,0.0,0.0,735.9253307787199,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,177.18470161498655,0.5681020001905518,182.9288440613577,548.8496546285386,881.6311818512708,495.3849441661612
0,0,2,7124,0,0,1354,1513,1354,3347,1,0,0,0,False,False,False,False,5750,0,0,0,1,3,0,2,1,297,3087,188,902,0,0,0,0,49738,6755,4383,0,0,61,45,50,4,3,14,2,4,200,4,0,53334,0,0,45,0,116,62,14,1,0,508,508,364,0,0,1,0,9,0,2,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1353072430289349,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,945.639795737602,0.0,0.0,0,0,0,0.0,0,0,3.0,0,0,0,1,0.0,0,3,0,0,19,58,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,4,0,2,0,3,0,0,3,0,0,0.3401476955436306,0,0,0,0,2,0,0,5,0,-0.0825402736663818,0.5967295705950044,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.58517557458622,0.1268982127665213,7.169749021308456,370.9869250229252,472.8227407680585,358.4874510654228
8,0,8,22361,0,5,9278,9278,9278,19155,1,2,3,0,False,True,False,False,14050,1,1,0,2,13,0,8,3,1588,16872,2088,8533,30,0,0,0,269812,38152,12127,0,0,150,127,154,19,3,4,3,14,100,14,8,288459,0,22,9498,0,314,281,52,1,1,1775,1239,1029,3,5,4,0,28,2,4,7,True,0,0,2,0,0,300,3,0,0.6442634095661832,2,0.1561378494075,1,5,0,0,0.0,0.0,0,0,0,12,0,0,0,0,0,0.0,0,2,1998.7446319,0.0,0.0,0,0,0,0.0,0,0,21.0,5,0,2,1,0.0,0,0,0,0,13,96,0.0,1,0,123.00000002980232,0,3.0,0,0.0,0,0,4,0,0,5,1,0,10,0,0,0,0,0,0,29,77,0,4,5,0,4,0,21,0,0,4,0,1,0.3557149473120985,0,0,0,0,0,5,0,15,0,-0.2039047479629516,0.8564087355916488,4,1,0,0.0,0.0,0.0,1981.6750437,1858.0627995,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,228.6235033264932,0.3602261081824998,234.4771775844588,541.1196521748117,1245.1815806175075,651.1086905398683
