assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
9,0,0,11734,0,2,1105,4632,1105,10496,7,2,0,0,False,False,False,False,8950,0,0,0,1,5,263,2,1,435,76082,14708,5658,0,0,0,0,12907,4114,12624,0,0,195,24,33,33,9,14,3,4,200,36,0,107097,0,0,890,0,159,114,247,1,0,18107,4381,3852,0,0,4,0,31,2,3,10,True,0,0,0,0,0,150,0,0,0.7183472743471833,2,0.1941034339536635,7,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,1,798.6143112766538,1,0,1661.8206749105982,0.0,0.0,4,0,0,0.0,0,0,2.0,0,0,0,1,1.0,0,1,0,0,9,60,0.0,0,0,48.0,7,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,38,0,2,4,0,2,0,14,0,0,8,0,0,0.2180658785315026,0,1,0,0,5,0,0,7,0,0.2511965036392212,1.1216944930520776,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,42.34851538143676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.470443810633224,0.2166298719441356,-44.69796357780666,377.8024966705726,837.7799247652873,799.2198075592312
13,0,2,15972,0,12,3287,15461,3287,7276,3,10,0,2,False,False,False,True,12900,0,0,0,2,8,314,5,1,785,136190,26323,4463,14,0,0,0,17265,1339,7971,0,0,307,38,69,57,5,4,7,14,200,56,6,167986,0,0,2906,0,191,198,89,1,0,14531,4200,1465,1,2,5,0,54,10,5,23,True,0,0,3,1,0,0,0,0,0.8181577353747324,10,0.1144139632510824,3,2,0,4,1.0,0.0,0,0,28,0,0,0,0,0,1,737.4122031078754,0,3,1949.4232145226288,0.0,0.0,8,0,0,0.0,0,1,7.0,3,0,1,5,0.0,0,0,0,0,12,78,0.0,0,0,22.0,1,1.0,0,0.0,0,0,0,0,0,3,1,0,13,0,0,0,0,0,0,15,51,0,4,4,0,0,1,21,0,0,4,0,1,0.2845145497255767,0,1,0,0,5,2,5,9,0,0.942842960357666,1.6814954778215134,5,2,0,660.1197429580128,0.0,0.0,0.0,1835.771722796396,0.0,25.690098584208727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.387092511785376,0.3693400153626017,35.27197146712846,428.0035211360282,980.690075791548,427.7880727937334
8,0,1,13653,0,5,0,4821,0,7951,4,2,1,0,False,False,False,False,13150,0,0,1,1,9,209,6,3,670,104547,30126,2295,8,0,0,0,13388,2343,15201,0,0,241,20,50,47,3,4,9,14,100,35,8,131443,0,0,3315,0,169,121,144,1,1,13506,4620,218,0,0,8,0,32,2,4,13,False,0,0,2,1,0,1050,0,0,0.5141383503950838,2,0.1309586340568843,4,10,0,2,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,0,3,1937.2983683958428,0.0,0.0,4,0,0,0.0,0,0,4.25,2,0,1,1,1.0,0,2,0,0,5,75,0.0,0,0,5.0,0,1.0,0,0.0,1,0,2,0,0,1,0,0,13,0,0,0,0,0,0,50,43,0,2,6,0,0,0,17,0,0,3,0,1,0.3335313944177264,0,1,0,0,0,0,0,8,0,0.1440745592117309,0.9937068104979944,4,0,0,487.8707569548458,0.0,0.0,0.0,1483.3730648460012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-52.15510509290574,-0.1548548250977011,-53.23908886858965,414.7321925766632,1148.713092574747,548.6196743561356
12,0,3,15208,0,6,3285,5605,3285,7259,2,1,1,0,False,False,False,False,10650,1,1,0,1,4,397,3,2,588,79558,12980,7070,0,0,0,0,16497,1911,7395,0,0,217,24,39,33,6,14,4,4,100,35,0,101445,0,0,3795,292,160,126,66,2,0,5389,3782,865,2,2,2,0,19,2,3,6,True,0,0,0,1,0,0,0,0,0.4874517251405277,1,0.1962811942869019,2,6,0,0,0.0,292.5599670410156,0,0,19,0,0,0,0,0,1,898.5281649181044,0,1,1691.215367023222,0.0,0.0,7,0,0,0.0,0,0,8.0,3,0,1,0,0.0,0,1,0,0,8,65,0.0,0,0,6.0,0,2.0,0,0.0,0,0,1,1,0,1,0,0,16,0,0,0,0,0,0,34,35,0,0,5,0,2,0,16,0,0,5,1,2,0.2067969729110296,0,1,0,0,1,2,5,7,0,-0.3061046004295349,0.6742964487482614,3,0,1,0.0,0.0,0.0,0.0,1214.0588715177328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.018885499341096,0.3547744490141931,83.26556318363113,402.988296635222,662.5058060891042,543.8692303387581
4,0,0,9898,0,4,1947,1947,1947,7995,8,2,0,0,True,False,False,False,7750,0,0,3,1,4,0,4,1,408,83356,14129,4731,0,0,0,0,11943,2201,10741,0,0,182,20,32,33,4,4,7,14,200,30,0,98691,0,0,623,0,155,103,212,1,0,3391,1885,1362,0,0,11,0,16,2,1,8,False,0,0,0,0,0,0,0,0,0.3600338802795228,2,0.1829225502360462,8,2,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,2,1388.9324605,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,1,1,0.0,0,1,0,0,6,79,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,37,0,2,6,0,2,0,8,0,1,6,0,0,0.330879630109743,0,0,0,0,2,0,0,7,0,-0.3048257827758789,0.705068939237078,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.95789942624067,-0.172794579164492,-118.66667724121491,347.31710412062904,786.8633148703058,727.249185058556
7,1,0,17688,0,8,5463,12498,5463,14097,6,3,0,0,False,False,True,False,13450,0,1,1,3,8,247,3,1,908,128576,20695,8925,12,1,0,0,13236,1627,15293,0,0,250,30,39,31,7,14,4,4,200,45,8,156234,0,0,2706,292,176,148,208,2,0,14421,6055,1303,2,3,3,0,20,4,4,6,True,0,0,2,2,0,375,0,0,0.6244322969047835,3,0.1872123028522228,6,2,0,2,0.0,292.56005859375,0,0,27,0,1,0,1,1,1,731.6268444910087,0,1,2066.4557029441908,0.0,0.0,7,0,0,0.0,0,1,2.5,2,0,2,1,1.0,0,1,0,0,4,68,0.0,0,1,12.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,38,0,3,3,0,0,0,15,0,0,3,0,2,0.2147199235328724,0,2,0,0,5,3,10,8,0,-0.1460347771644592,0.6047233697344142,4,2,0,1064.6663159143231,0.0,0.0,0.0,1311.762662058227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1647.8203814735857,0.0,0.0,-31.15479316022809,-0.1742113317440526,-61.99019887892541,405.9704734075575,823.9905639274118,741.0369347952854
11,0,0,13563,0,4,1089,1089,1089,13397,13,2,1,0,False,True,False,False,12250,0,0,2,1,7,0,4,2,553,88139,24521,16479,0,0,0,0,15368,2410,11665,0,0,201,29,43,39,8,14,6,4,200,45,0,114614,167,0,992,0,163,122,443,1,0,11107,4339,2827,0,1,9,0,22,2,4,7,False,0,0,0,0,0,375,0,0,0.8448008947702635,2,0.1835264563367498,13,5,0,0,0.0,167.5353546142578,0,0,25,0,0,0,0,0,0,0.0,0,1,2076.173660110966,0.0,0.0,6,0,0,0.0,0,0,1.3846153846153846,2,0,1,2,2.0,0,1,0,0,11,59,0.0,0,0,8.0,0,1.0,0,0.0,1,0,1,0,0,2,0,0,14,0,0,0,0,0,0,31,57,0,2,5,0,0,0,18,0,2,7,0,0,0.2282092866752076,0,0,0,0,1,1,0,7,0,-0.0427216291427612,0.6496890911152249,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-228.2179034940052,-0.4912883828540064,-191.22677819676235,367.9172001243738,903.7105306016256,895.0696349267226
5,0,0,11696,0,6,839,839,839,6310,6,3,0,0,False,False,False,False,8175,0,0,3,1,2,0,2,1,398,79075,12703,3293,0,0,0,0,13942,1379,14447,0,0,200,31,45,31,6,14,2,4,200,36,0,96030,0,0,1769,174,160,135,145,2,0,3012,1802,949,0,0,11,0,24,4,5,11,False,0,0,0,0,0,0,0,0,0.6397149640616927,3,0.1614265073111672,6,5,0,0,0.0,174.1834716796875,0,0,17,0,0,0,0,0,0,0.0,0,0,1530.2208957935998,0.0,1.0,1,0,0,0.0,0,0,1.1666666666666667,0,0,0,1,0.0,0,0,0,0,5,65,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,25,31,0,1,5,0,0,0,7,0,0,4,0,0,0.2499853117981369,0,0,0,0,1,0,0,7,0,0.8022592067718506,0.9445393008274324,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.16342578469155,-0.5881503791210771,-132.25541525169288,324.0708588957135,622.8512514892207,732.8353723848621
5,0,4,8360,0,1,212,2377,212,1992,0,0,0,0,False,False,False,False,5310,0,0,0,1,4,0,4,1,0,40623,7342,2083,0,0,0,0,12578,1227,2429,0,0,154,13,22,24,3,14,2,4,100,18,0,56062,0,0,545,0,131,91,0,1,0,2860,1284,87,0,0,0,0,12,1,2,7,True,0,0,0,0,0,0,0,0,0.0,0,0.1137609424286781,0,14,0,1,0.0,0.0,0,0,7,0,0,0,0,0,1,826.0831216216575,0,0,925.13175948844,0.0,0.0,3,0,0,0.0,0,0,9.0,0,0,1,4,0.0,0,0,0,0,7,81,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,70,20,0,1,5,0,8,0,9,0,0,8,0,0,0.2852977534336746,0,1,0,0,2,0,0,5,0,1.713498592376709,0.8415998765047927,2,2,0,661.9100733194629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.98218978383704,0.5188450132394334,84.89601529130229,463.5231637027789,639.1522006843271,298.33588261267425
2,0,0,7161,0,8,0,0,0,4057,4,4,0,0,True,False,False,False,4150,0,0,0,0,1,0,0,1,547,39980,3184,5041,0,0,0,0,7449,746,3923,0,0,113,7,15,18,4,14,3,4,200,22,0,51251,0,0,519,0,103,50,113,1,0,3821,1177,478,0,0,2,0,12,4,0,10,False,0,0,0,0,0,0,0,0,0.5341569548231871,4,0.1879455539956204,4,4,0,0,0.0,0.0,0,0,9,0,0,0,0,0,1,804.3175483674271,0,0,1017.0798854684264,0.0,0.0,0,0,0,0.0,0,0,0.75,0,0,0,1,0.0,0,0,0,0,5,63,0.0,0,0,15.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,17,0,0,6,0,0,0,3,0,0,3,0,0,0.1697913229434408,0,1,0,0,0,0,0,4,0,0.1811521053314209,0.7659141690988881,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.14929599711029,-0.0589924162863238,-38.46305541868316,294.01820277103815,301.3332623905423,557.0653869917562
