assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
12,0,1,16710,0,0,8152,15536,8152,24242,6,0,0,0,False,False,False,False,13533,0,1,1,1,7,1096,3,1,751,9743,5661,10997,12,0,0,0,199562,21744,21781,0,0,170,42,130,10,3,12,6,4,200,16,9,231378,0,0,8601,0,216,353,213,1,0,22072,4273,568,4,6,6,0,24,0,8,6,True,0,0,10,0,0,300,0,0,0.0,0,0.2182123744819819,6,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,668.8620039991789,1,4,2020.2081382529825,0.0,0.0,0,0,0,0.0,0,0,3.1666666666666665,4,0,1,0,0.0,0,1,0,0,0,60,0.0,0,1,23.99999997019768,1,1.0,0,0.0,1,0,0,0,0,1,0,0,14,0,0,0,0,0,0,36,1,0,2,6,0,6,0,19,0,0,6,1,0,0.2350090326779592,0,0,1,0,0,6,0,10,0,0.1055881977081298,0.716011430429309,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,40.59122461547827,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.77127040834049,0.0593998201114923,2.4650925346269323,427.2629060619644,940.8634506559828,990.4029006289676
10,0,0,14509,0,1,7389,24315,7389,11008,11,0,0,0,False,False,False,False,11110,1,1,1,0,2,1077,0,1,198,7654,4914,7332,16,0,0,0,149496,8810,13994,0,0,222,20,110,8,3,12,4,4,100,10,11,168207,0,0,3822,0,150,212,293,1,0,11057,3397,2304,3,7,6,0,13,0,1,6,True,0,0,12,0,0,0,0,0,0.0,0,0.2086452578718454,11,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1766.107958061843,0.0,0.0,0,0,0,0.0,0,0,1.0909090909090908,0,0,0,1,0.0,0,1,0,0,8,31,0.0,0,1,0.0,3,0.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,4,25,0,0,6,0,0,0,12,0,0,5,0,1,0.1723872483346527,0,1,0,0,0,7,0,6,0,-0.4164599180221557,0.4523129734077926,1,1,0,0.0,0.0,0.0,0.0,1268.5064633117156,0.0,12.625397066761934,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-21.23313007498881,-0.0339730081199821,-33.973008119982104,438.25180474776914,581.6518720222135,802.816154883297
6,0,2,10941,0,1,3543,3543,3543,9335,2,1,0,0,False,False,False,False,8475,0,0,0,1,2,847,2,1,433,5549,1189,1334,0,0,0,0,83093,12108,10468,0,0,97,15,69,4,3,12,2,4,200,6,0,94307,0,0,4626,0,144,187,46,1,0,5664,2738,1398,1,1,1,0,19,1,3,7,True,0,0,0,0,0,0,0,0,0.0,1,0.2343606487906127,2,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,926.8758651757151,0,0,1166.2135193031074,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,0,66,0.0,0,0,30.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,1,6,0,19,1,8,0,0,4,0,0,0.3634523599848629,0,1,0,0,1,1,0,6,0,0.0793274641036987,1.0082004350641296,3,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.74975780091248,0.2572427733295963,69.40410024432506,466.1239052732285,825.0290226226812,679.1723701448001
12,0,0,16766,0,3,5284,14592,5284,20242,8,1,0,0,False,False,False,False,16775,0,0,2,1,2,1334,2,1,611,11682,4499,11785,18,0,0,0,215799,18731,19136,0,0,231,30,151,11,4,4,4,12,100,14,10,246621,0,6,7739,0,210,364,313,1,0,19138,5814,812,3,3,7,0,24,1,0,12,False,0,0,10,0,0,1100,1,0,0.3831147339029313,1,0.1972056413718467,8,11,0,0,0.0,0.0,0,0,0,3,0,0,0,0,0,0.0,0,4,2164.419690854467,0.0,0.0,0,0,0,0.0,0,0,1.75,1,0,0,0,0.0,0,1,0,0,3,64,0.0,0,0,13.400000035762789,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,57,24,0,0,11,1,2,0,14,0,0,1,0,1,0.2341494054298579,0,1,0,0,2,3,5,10,0,-0.3415148258209228,0.6849936722919617,0,0,1,0.0,0.0,0.0,0.0,1261.1064758161915,0.0,6.117550724356761,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.62860957105232,-0.0554421125011233,-45.98923231968183,478.2991045471912,805.1857998538145,879.7277201115749
11,0,0,14409,0,2,8117,19544,8117,18010,6,1,0,0,False,True,False,False,12805,0,0,0,2,7,1155,4,1,776,6137,3353,8010,5,0,0,0,133235,18721,18645,0,0,155,24,104,8,3,4,4,12,200,8,3,150101,0,0,5339,0,160,243,203,1,0,10728,5242,513,2,6,3,0,21,1,0,9,True,0,0,3,1,0,0,0,0,0.7216612389800412,1,0.2506314760545294,6,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1582.0476738,0.0,0.0,0,0,0,0.0,0,1,3.0,2,0,1,1,1.0,0,0,0,0,0,60,1.0,0,0,42.0,0,3.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,19,0,0,4,8,0,8,0,18,0,0,8,0,1,0.3201765199599445,0,2,0,0,5,6,5,7,0,0.9816464185714722,0.8201561991198542,0,0,1,0.0,0.0,0.0,0.0,1354.2568202,1.0,27.688621099999864,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,187.73138440678008,0.4930319186440688,126.78505415593249,508.315908122035,1036.0496887322056,1030.3987844339006
16,0,4,27563,0,8,9855,24296,9855,44044,7,6,2,0,False,False,False,False,21750,0,0,0,4,14,1813,4,2,703,11544,6233,23864,19,0,0,0,411895,38229,28335,0,0,354,61,196,15,6,12,4,4,100,14,10,455384,0,6,25522,0,329,342,278,1,0,31944,12952,2840,3,4,9,0,51,6,6,23,True,0,0,6,0,1,375,0,0,0.8510189628374704,6,0.2498340288050781,7,11,0,2,1.0,0.0,0,0,0,5,0,0,0,0,1,823.85102629196,0,4,2813.47490057167,0.0,0.0,0,0,0,0.0,0,0,4.285714285714286,1,0,2,0,0.0,0,3,0,0,0,68,0.0,0,0,35.349999994039536,1,1.0,0,0.0,0,0,2,0,0,2,0,0,20,0,0,0,0,0,0,59,2,0,4,4,0,0,0,30,0,0,3,0,0,0.3049699412591694,0,1,0,0,3,4,5,16,0,-0.1701665520668029,1.103047336751848,6,2,1,1968.0107730814,0.0,0.0,0.0,0.0,1.0,24.728416392388223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.51051895219547,0.2985631753207822,20.025058687586757,509.96722938899046,1224.4502338727168,1173.8011237736555
9,0,0,14717,0,4,1605,4557,1605,12234,8,3,0,0,False,False,False,False,11775,0,0,1,0,2,1106,0,1,308,6914,2474,4550,10,0,0,0,163559,13839,15124,0,0,145,31,109,9,3,12,4,4,200,13,6,179280,0,0,3450,0,196,293,264,1,0,8806,3446,1621,0,0,9,0,27,3,3,12,False,0,0,8,0,0,0,0,0,0.730198915242623,3,0.1855965710638009,8,3,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1738.9414075999998,0.0,0.0,0,0,0,0.0,0,0,1.375,2,0,0,0,0.0,0,0,0,0,7,66,0.0,0,0,40.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,19,20,0,1,8,0,1,0,11,0,0,5,0,0,0.2471739807040958,0,1,0,0,1,0,0,9,0,0.0054425001144409,0.9346694160787326,3,0,0,1139.2845757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.414653759608364,0.0690075004687006,20.39171638850105,410.24959028642553,681.7596008805283,734.7573612404905
6,0,0,13266,0,4,3149,3149,3149,23365,11,1,0,0,False,False,False,False,11550,0,0,1,1,4,964,2,1,246,11777,2643,11773,0,0,0,0,113896,14232,23487,0,0,183,19,94,9,3,12,3,4,100,13,0,137606,0,0,5589,0,172,306,343,1,0,11932,7459,1260,1,1,6,0,16,2,0,8,False,0,0,0,0,0,0,0,0,0.486319326592604,1,0.2552944065566042,11,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1733.2237808387486,0.0,0.0,0,0,0,0.0,0,0,0.9090909090909092,0,0,0,0,0.0,0,1,0,0,0,53,0.0,0,0,13.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,2,5,0,8,0,10,0,0,4,0,0,0.2640994591569001,0,1,0,0,2,1,0,8,0,-0.1550512313842773,0.5564675351563764,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.61935162020131,-0.5538811609978217,-190.3966490930012,395.9211773957554,842.4532458776868,1264.2683675500905
10,0,5,18301,0,4,4915,18776,4915,18082,6,4,2,0,True,False,False,False,14400,0,1,0,1,9,1082,5,2,353,5994,2939,4924,12,0,0,0,160730,18126,19463,0,0,183,25,127,11,7,14,6,4,200,9,0,186607,0,10,7824,0,190,214,204,1,0,19882,8888,2036,2,3,1,0,36,4,6,16,True,0,0,0,1,0,0,2,0,0.6672172495825733,4,0.2537968271977727,6,26,0,1,0.0,0.0,0,0,0,4,0,0,0,0,1,773.145954173633,0,0,1922.0608419266323,0.0,0.0,0,0,0,0.0,0,0,3.1666666666666665,3,0,1,1,0.0,0,2,0,0,4,63,0.0,0,0,11.0,1,1.0,0,0.0,1,0,2,0,0,2,0,0,15,0,0,0,0,0,0,131,18,0,2,7,0,8,0,19,0,0,5,0,2,0.2557100211154853,0,1,0,0,0,3,0,8,0,0.6047067642211914,1.1392254191300395,6,3,0,1292.4037653134071,0.0,0.0,0.0,1431.4540778350283,0.0,47.45436788976258,1.0,0.0,0.0,0.0,1.0,1825.51287607326,0.0,0.0,134.60552046867812,0.343381429767036,4.713690535892949,489.10002196272,935.0588497492544,824.8646272876509
1,0,0,6472,0,0,0,0,0,3930,3,0,0,0,False,False,False,False,4100,0,0,0,0,0,0,0,0,187,1203,1203,1599,0,0,0,0,40833,4510,5746,0,0,81,8,50,2,1,12,1,4,200,5,0,44316,0,0,1131,0,100,151,43,1,0,2279,1042,102,0,0,3,0,7,0,0,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1829967404592964,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,966.788826248603,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,0,51,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0.3091485702817347,0,0,0,0,0,0,0,4,0,0.1486958265304565,0.4895955769149269,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.73316261996125,-0.1241222454603988,-64.2953231484866,298.38987808679883,419.2849451652273,462.2312420945253
