assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,15509,0,3,6441,17202,6441,33008,8,1,0,0,False,True,False,False,12725,0,1,1,2,8,405,4,1,614,694,259,5873,4,0,0,0,141941,14204,21543,0,0,63,15,75,12,6,14,3,4,200,15,0,145908,0,4,3418,0,215,155,306,1,0,3272,3269,4264,2,3,7,0,22,1,4,7,False,0,0,0,1,0,375,0,0,0.0,1,0.2496525171130815,8,6,0,2,1.0,0.0,0,0,0,1,0,0,0,0,1,890.5920947790188,0,2,1766.107958061843,0.0,0.0,0,0,0,0.0,0,0,1.625,0,0,2,4,0.0,0,0,1,0,0,78,1.0,0,0,73.99999997019768,0,3.0,0,0.0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,35,0,0,5,6,0,0,0,13,0,0,7,0,1,0.1946158835113118,0,1,0,0,4,3,0,10,0,0.7136783599853516,0.7751189513785008,4,3,1,1147.4273210063334,0.0,0.0,0.0,1711.0229397766238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.23313007498881,0.0339730081199821,33.973008119982104,459.4849348227579,602.4093799835226,1076.298870249153
5,0,1,21635,0,3,10577,11418,10577,67531,6,1,1,0,False,False,False,False,16525,0,0,6,1,6,643,4,2,696,581,187,9179,13,0,0,0,265696,17820,34276,0,0,110,22,111,8,2,4,8,14,200,32,9,273682,0,2,2371,0,301,454,284,1,0,7404,7328,1930,3,3,11,0,17,1,4,5,False,0,0,12,0,0,150,0,0,0.0,1,0.2542698280540325,6,6,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0.0,0,0,2200.1277841,0.0,0.0,0,0,0,0.0,0,0,1.8333333333333333,0,0,1,2,0.0,0,0,1,0,0,60,0.0,0,0,65.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,8,0,0,0,0,0,0,34,0,0,2,4,0,1,0,11,0,0,0,0,1,0.2364117620112689,0,0,0,0,4,3,0,14,0,-0.4027254581451416,0.4865871089332894,4,1,0,0.0,0.0,0.0,0.0,1640.4220901,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.463086712718724,-0.2454402893788718,45.73370725426311,469.2818332924029,690.9144146015241,1237.728108194386
2,0,0,12414,0,2,3359,5682,3359,50791,10,0,0,0,False,False,False,False,8900,0,0,1,0,2,0,0,1,445,17930,2003,14623,16,0,0,0,103922,9648,17294,0,0,57,20,84,5,2,4,3,12,100,32,9,135258,0,2,196,0,177,78,310,1,0,13405,2385,946,1,1,5,0,15,0,1,9,False,0,0,10,0,0,300,0,0,0.0,0,0.2849619010263116,10,4,0,0,0.0,0.0,0,0,0,3,0,0,0,0,1,720.0371083503768,0,0,1637.350081732268,0.0,0.0,0,0,0,0.0,0,0,0.4,1,1,0,0,0.0,0,2,0,0,0,69,0.0,0,0,17.400000035762787,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,9,0,13,0,4,0,0,0,0,0,0.1949411154875935,0,2,0,0,1,1,0,8,0,-0.4285820126533508,0.5623491253305354,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.10061415858902,-0.6229577971015643,-110.26353008697689,340.28153552265445,514.3799175243917,1204.287355526224
1,0,3,8137,0,2,4088,4088,4088,8778,1,1,0,0,False,True,False,True,7575,0,0,0,2,8,0,5,1,666,0,0,5024,0,0,0,0,59476,10194,6037,0,0,51,16,49,4,4,14,3,4,200,33,0,61352,0,0,2137,0,105,76,30,1,0,1875,1875,136,1,1,0,0,11,1,0,5,True,0,0,0,0,0,0,0,0,0.2277744887993623,1,0.2544849269137159,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,866.1045030763703,0,0,953.7159018982828,0.0,0.0,0,0,0,0.0,0,0,9.0,0,0,2,3,0.0,0,0,0,0,0,60,0.0,0,0,22.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,3,4,0,0,1,9,0,0,9,1,0,0.3290192757168988,0,0,0,0,2,1,0,4,0,1.1195640563964844,0.7047726480018385,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.831307239455,0.5032945335656086,111.2280919179995,482.53363405602727,759.345627517112,704.4865233584607
1,0,0,9142,0,1,2872,2872,2872,16134,4,0,0,0,False,False,False,False,6100,0,0,2,0,0,221,0,0,682,0,0,1832,0,0,0,0,68171,5394,14489,0,0,53,11,39,3,2,4,3,14,200,21,0,70749,0,0,219,0,131,107,139,1,0,2577,2577,85,1,1,9,0,6,0,0,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1698049203815864,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1324.9725715617774,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,0,57,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,4,0,1,0,0,1,0,0,0.1510115163109978,0,2,0,0,0,1,5,6,0,-0.5001167058944702,0.3122390532911769,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163.88263776966477,-0.316987693945193,-182.90189940637637,287.5531223645679,360.958415491019,743.0191546075323
4,0,0,11281,0,3,0,1297,0,24595,4,1,0,0,False,True,False,False,8350,0,0,2,0,3,0,0,1,569,0,0,12418,4,0,0,0,78629,8710,9266,0,0,47,19,56,5,3,14,2,4,200,26,2,81113,0,0,1653,0,155,140,99,1,0,2484,2484,249,0,0,9,0,19,2,5,6,False,0,0,2,0,0,0,0,0,0.0,1,0.25926595320261,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,2,1424.0468648,0.0,0.0,0,0,0,0.0,1,0,1.75,1,1,0,0,0.0,0,1,0,0,0,63,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,1,5,0,0,0,7,0,1,5,0,0,0.2838489773229459,0,1,0,0,0,0,0,7,0,0.3168131113052368,0.8367736954695808,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.984145490883705,-0.0421334448206005,-65.39110636157204,347.81158699405745,471.64178132180245,924.1128452502315
8,0,0,18205,0,2,5009,14424,5009,33912,6,0,0,0,False,False,False,False,12150,1,1,0,0,1,632,0,1,528,0,0,6461,14,0,0,0,168460,11725,19433,0,0,118,17,91,9,8,14,4,4,100,30,5,176966,0,5,1525,0,235,280,243,1,0,8506,5567,3170,1,2,5,0,20,0,6,5,True,0,0,4,2,0,0,0,0,0.0,0,0.2445927544777972,6,0,0,0,1.0,0.0,0,0,0,5,0,0,0,0,1,620.8858128857095,0,2,1989.707922929952,0.0,0.0,0,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,0,55,0.0,0,0,18.2000000178814,5,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,5,0,0,1,5,0,1,0,9,0,0,4,0,2,0.1505149833784341,0,2,0,0,2,2,5,11,0,0.1734894514083862,0.6275015508786501,8,0,1,0.0,0.0,0.0,0.0,1233.5204779091152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-24.757402547536724,-0.0904655391505605,15.9520900702155,392.0776466785292,521.4735228435476,876.460298470347
0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,103.80156569029928,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0129816491162,0.0,0.0
6,0,0,18488,0,4,6304,11101,6304,65403,6,2,1,0,False,False,False,True,15750,0,0,0,4,11,385,3,2,622,0,0,13275,12,0,0,0,154337,23224,30051,0,0,106,33,109,16,7,14,5,4,200,37,0,163686,0,6,4813,0,197,230,246,1,0,9349,9085,1051,2,3,5,0,26,2,7,4,True,0,0,0,1,0,750,1,0,0.2826840290325939,2,0.2696747509796035,6,12,0,0,0.0,0.0,0,0,1,3,0,0,0,0,1,780.9624696830309,0,0,1980.7517559132343,0.0,0.0,1,0,0,0.0,1,1,2.833333333333333,0,0,2,0,0.0,0,1,0,1,0,73,1.0,0,0,14.0,5,3.0,0,0.0,0,0,1,0,0,2,0,0,10,0,0,0,1,0,1,66,0,0,4,2,0,0,1,17,0,0,3,0,2,0.2439200463928265,0,2,0,0,5,3,5,9,0,0.1384725570678711,0.7897195744838259,8,1,0,0.0,0.0,0.0,0.0,1309.343867799007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.35773447436176,0.2120407056291398,125.64926384995316,495.1756307027928,978.7193141253584,1344.24719910062
7,0,1,12888,0,4,4173,4173,4173,17995,5,3,0,0,False,False,False,False,9225,0,0,0,0,2,582,0,1,628,0,0,5848,0,0,0,0,89435,4724,12645,0,0,62,17,43,3,3,14,3,4,100,10,0,90573,0,0,564,0,176,108,177,1,0,1137,1137,2941,1,1,0,0,17,3,5,4,True,0,0,0,0,0,0,0,0,0.7363694870410561,3,0.2149414373496452,5,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,836.1141633384501,1,0,1472.0801509044918,0.0,0.0,0,0,0,0.0,0,0,1.8,1,0,0,1,0.0,0,0,1,0,0,66,0.0,0,0,2.0,2,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,14,0,0,0,1,0,0,0,9,0,0,2,0,1,0.0697209744261277,0,1,0,0,3,1,5,8,0,-0.1832393407821655,0.7040350786073073,6,3,0,0.0,0.0,0.0,0.0,1297.625127255337,0.0,35.59252898076352,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-51.39665795609848,0.1222759507282279,63.78728762989224,391.4460769313004,238.9272077229574,873.6616679531886
