assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,15265,0,6,0,6081,0,25309,10,5,0,0,False,False,False,False,8585,0,0,2,0,0,0,0,0,322,15815,2651,10053,15,0,0,0,117895,13391,21840,0,0,149,22,21,8,3,12,4,4,100,35,14,154346,0,0,4544,0,154,468,298,1,0,20635,0,1663,0,0,9,0,33,5,2,12,False,0,0,7,1,0,0,0,0,0.7942105520941359,5,0.2157042429252513,10,0,0,0,0.0,0.0,0,0,34,0,0,0,0,0,1,688.369005,0,2,2061.5752096,0.0,0.0,1,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,2,0,7,55,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,56,0,0,7,0,6,0,5,0,0,0,0,2,0.1439683230165962,0,0,0,0,0,0,0,7,0,0.2837198972702026,0.9780404101369684,2,1,0,0.0,0.0,0.0,0.0,1267.7944581,0.0,24.092526200000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207.4821224121107,-0.5820791763560407,-135.62444809095746,279.2815888156283,466.8857073551802,976.6706500078004
8,0,0,18491,0,2,4853,6399,4853,25627,3,1,1,0,False,False,False,False,11575,0,1,0,1,2,0,2,2,703,11499,3747,12192,8,0,0,0,144286,23842,17727,0,0,138,35,32,9,4,12,3,4,200,49,0,158280,0,0,6545,0,218,483,130,1,0,2495,0,626,1,4,5,0,19,1,3,6,True,0,0,0,1,0,0,0,0,0.2601492795394098,1,0.2602953090674576,3,9,0,1,0.0,0.0,0,0,48,0,0,0,0,0,1,836.098175672414,1,2,1799.561393379992,0.0,1.0,3,0,0,0.0,0,0,3.333333333333333,0,0,0,0,0.0,0,0,0,4,9,70,0.0,0,0,25.0,3,2.0,0,0.0,0,0,1,1,0,2,1,0,8,0,0,0,0,0,2,50,60,0,2,5,0,18,0,10,0,0,2,0,2,0.3028619611447128,0,2,0,0,0,4,5,10,0,0.2989460229873657,0.635146475751798,3,1,1,1633.243024737381,0.0,0.0,0.0,1232.2347644777628,1.0,9.116730536580462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.28525512105838,-0.0333414576578052,115.42812641132174,413.7008066180474,919.8574753211888,1018.4481656153188
9,0,0,15190,0,7,2401,5821,2401,29626,12,3,0,0,False,False,False,False,10533,0,0,1,0,2,0,0,1,290,13749,5877,20831,0,0,0,0,128356,25148,20302,0,0,148,29,37,10,4,4,4,12,200,53,0,146026,0,0,8128,0,191,485,401,1,0,3920,0,2351,2,2,8,0,41,6,1,8,False,0,0,0,0,0,0,0,0,0.795808630440469,3,0.2215473203803551,12,6,0,0,0.0,0.0,0,0,57,0,0,0,0,0,0,0.0,0,1,2076.9075608401467,0.0,0.0,4,0,0,0.0,0,0,0.9166666666666666,0,0,0,0,0.0,0,0,0,2,9,69,0.0,0,0,59.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,33,64,0,0,3,0,11,0,11,0,3,3,0,0,0.1827868622138036,0,1,0,0,0,2,0,9,0,0.5361343622207642,1.187509668384186,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.99354246487567,-0.43333657066371,-18.51791611969588,307.6400760665232,896.3133627608179,1256.2716074588063
1,0,1,7289,0,2,289,289,289,4770,1,1,0,0,False,False,False,False,5158,0,0,0,0,1,0,0,1,242,2101,694,219,0,0,0,0,39919,3856,5338,0,0,54,13,17,3,2,12,3,4,100,12,0,51236,0,0,1256,0,108,217,10,1,0,9214,0,450,0,0,0,0,11,1,1,6,True,0,0,0,0,0,0,0,0,0.5413797231279326,1,0.1753637379789571,1,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,1,602.2684277752857,0,0,918.8511358884488,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,5,61,0.0,0,0,7.0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,16,0,0,5,0,3,0,2,0,0,2,0,0,0.1619719091938797,0,1,0,0,0,0,10,5,0,0.3374080657958984,0.7188852978905995,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.716527193654958,0.0652989343502146,-20.83036005771848,326.690568554124,297.11015129347675,392.2506986417395
6,0,0,17233,0,3,2925,16192,2925,28687,8,1,0,0,False,False,False,False,13200,1,1,0,1,4,0,3,1,638,15658,2930,14248,8,0,0,0,156263,16936,21683,0,0,137,26,34,6,3,12,4,4,100,25,6,179139,0,0,6515,0,226,469,290,1,0,7217,0,1883,2,2,4,0,27,2,7,8,True,0,0,5,1,0,0,0,0,0.6061404937551481,1,0.2482908086341988,8,1,0,1,0.0,0.0,0,0,19,0,0,0,0,0,1,764.2092527558917,0,2,2157.9747862230884,0.0,0.0,0,0,0,0.0,0,1,1.25,1,0,1,2,0.0,0,1,0,2,12,74,0.0,0,0,21.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,11,46,0,4,7,0,0,0,10,0,0,3,0,1,0.1599517784124143,0,2,0,0,4,2,10,10,0,-0.4488036632537842,0.768575889315527,7,3,0,896.361344374894,0.0,0.0,0.0,1850.9038621639768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.599834920440856,-0.055607693271535,-5.2549270141600655,385.5559412981885,552.3790211127938,1051.4024605315497
2,0,0,13763,0,2,2372,4582,2372,18751,2,1,0,0,False,False,False,False,9258,0,0,1,0,1,0,0,1,1351,12165,3295,6452,0,0,0,0,126184,16664,13985,0,0,126,25,23,7,2,12,2,4,100,33,0,141977,0,0,2769,0,216,408,47,1,0,3628,0,284,1,1,8,0,18,1,1,9,False,0,0,0,0,0,0,0,0,0.3442730714515817,1,0.2123717700773782,2,1,0,0,0.0,0.0,0,0,37,0,0,0,0,0,0,0.0,0,0,1507.6333992999998,0.0,0.0,2,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,2,9,88,0.0,0,0,25.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,46,0,1,4,0,0,0,3,0,0,0,0,0,0.3146709352115029,0,1,0,0,2,1,0,10,0,-0.2809920310974121,0.7279365101444606,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-47.16000589600363,-0.0397974733299608,-19.699749298330637,369.28075502870695,794.357567666019,824.6832423434493
9,0,1,18635,0,5,7645,12872,7645,29223,3,2,1,0,False,False,False,False,12108,1,1,0,1,4,3,3,2,1054,15260,4003,6378,0,0,1,0,192169,22397,20290,0,0,168,27,31,9,5,12,3,4,100,38,0,210245,0,0,8276,0,264,529,137,1,0,2814,209,832,4,6,6,0,28,3,3,12,True,0,0,0,0,0,525,0,0,0.7288357448101884,2,0.1895615746488218,3,1,0,3,0.0,0.0,0,0,40,0,0,0,0,0,1,879.3650742300342,0,2,2061.412599471059,0.0,0.0,5,0,0,0.0,0,0,4.333333333333333,2,0,1,0,0.0,0,0,0,5,7,78,0.0,0,0,15.0,2,1.0,0,0.0,0,0,1,1,0,2,0,0,9,0,0,0,0,0,0,8,49,0,0,9,0,2,0,13,0,0,0,0,1,0.2040007769429272,0,2,0,0,1,6,0,12,0,-0.2895922660827636,0.8401125057535139,3,0,1,1351.0194127515313,0.0,0.0,0.0,1844.304873639965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.711101700681144,0.0,-11.904458140159209,429.1135118835384,774.5174354758839,800.4220020889443
3,0,0,15694,0,3,5093,9453,5093,34109,6,2,0,0,False,False,False,False,11233,0,0,1,1,6,0,4,1,758,14408,3268,16112,9,0,0,0,143787,22191,23176,0,0,148,24,37,10,4,12,5,4,200,35,2,171437,0,5,11496,0,190,442,192,1,0,13240,0,1317,1,1,8,0,36,2,4,6,False,0,0,2,0,0,0,0,0,0.4832697884852309,2,0.2734939211454739,6,3,0,0,0.0,0.0,0,0,36,2,0,0,0,0,1,943.1498272,0,1,2009.5370773,0.0,0.0,3,0,0,0.0,0,0,1.5,1,0,1,3,0.0,0,0,0,2,6,64,1.0,0,0,48.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,18,50,0,3,4,0,10,0,9,0,0,4,0,1,0.2829521196254317,0,2,0,0,0,1,5,9,0,-0.0121785402297973,1.09700954446767,4,1,1,0.0,0.0,0.0,0.0,1617.2028446,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.10703567111536,0.0597152455436309,-57.77450006346296,339.89917763434744,760.1750757704222,1212.3986302723397
5,0,1,15200,0,6,7134,12190,7134,16109,3,3,0,0,False,False,False,False,10588,0,1,0,1,4,0,3,1,749,22296,4068,13969,16,0,0,0,128835,14291,6859,0,0,134,22,42,6,3,12,4,4,200,30,2,155542,0,8,4679,0,208,376,112,1,0,4410,0,1213,2,5,1,0,21,3,1,8,True,0,0,2,0,0,375,0,0,0.7236053329681932,3,0.187969075119708,3,0,0,0,0.0,0.0,0,0,30,7,0,0,0,0,0,0.0,0,2,1633.7633611,0.0,0.0,1,0,0,0.0,0,0,3.0,0,0,1,2,0.0,0,1,0,1,6,83,0.0,0,0,30.00000002980232,10,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,9,38,0,2,4,0,4,0,9,0,0,0,0,0,0.1814614116143969,0,2,0,0,1,5,5,9,0,0.3222411870956421,0.8054773817569592,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.5517354000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.526261172744817,-0.1469000993132872,34.705148462764114,444.88695077029047,674.2714558479885,809.4929972658693
6,0,3,21214,0,2,8935,18417,8935,47899,3,1,1,0,False,False,False,False,15358,0,0,1,2,6,0,3,2,650,29644,5605,21401,32,0,0,0,217835,23678,15251,0,0,200,30,39,9,5,12,5,4,200,50,15,261730,0,8,12032,0,247,706,110,1,0,14250,544,2244,4,4,8,0,28,1,6,6,False,0,0,12,1,0,0,1,0,0.7825173367774656,1,0.2047418060675641,3,5,0,0,0.0,0.0,0,0,42,2,0,0,0,0,0,0.0,0,1,2227.615089305176,0.0,0.0,3,0,0,0.0,0,0,4.0,0,0,2,2,0.0,0,0,0,3,10,81,0.0,0,0,54.19999998807907,0,1.0,0,0.0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,1,27,77,0,1,5,0,2,0,12,0,0,1,0,1,0.2250755663358722,0,1,0,1,0,4,0,11,0,0.3863987922668457,0.7800049740444688,6,1,0,0.0,0.0,0.0,0.0,1696.8219050633004,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-21.493838962517728,-0.1885424470396292,30.516941785128555,432.7318505912404,803.37936683586,1047.6765089286366
