assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,1,16878,0,7,6343,9842,6343,28835,8,5,1,0,False,False,False,False,12830,0,1,1,2,7,0,3,2,562,110871,22127,27967,16,0,0,0,35104,3139,15226,0,0,121,34,118,42,4,12,5,6,100,9,14,206004,0,0,10307,0,176,183,292,1,0,60028,5456,508,1,4,6,0,21,6,1,11,True,0,0,7,1,0,800,0,0,0.0466008192376262,5,0.2203756464351146,8,24,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,5,2058.519131674075,0.0,0.0,0,0,0,0.0,0,0,1.875,0,0,1,1,0.0,0,0,0,0,8,57,0.0,0,1,0.0,11,0.0,0,0.0,0,0,1,0,0,2,0,0,11,0,0,0,0,0,0,124,88,0,0,6,0,6,0,15,0,0,1,0,1,0.2379044176662305,0,0,0,0,0,4,0,8,0,-0.3206199407577514,0.6347542032325063,1,1,1,0.0,0.0,0.0,0.0,1602.0410559380932,0.0,10.064518103365344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.92009998214392,-0.0874414996831321,-38.70743719306648,387.7447567615688,895.4592510883947,1273.7894730507462
6,0,2,16295,0,1,9752,10480,9752,31626,4,0,1,0,False,False,False,False,12850,0,1,1,3,8,0,3,2,770,100771,20317,10564,0,0,0,0,29913,3961,21271,0,0,89,15,98,29,5,6,3,12,200,7,0,184874,0,0,11555,0,199,103,135,1,0,54188,7245,1237,4,5,7,0,14,0,2,6,True,0,0,0,0,0,525,0,0,0.0,0,0.2632657897031688,4,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1596.1614143864,0.0,0.0,0,0,0,0.0,0,0,3.5,0,0,1,0,0.0,0,2,0,0,0,81,0.0,0,1,39.0,13,3.0,0,0.0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,12,84,0,7,5,0,12,0,14,1,0,3,0,0,0.3956470672975933,0,1,0,0,0,5,0,9,0,-0.0725075602531433,0.5299671791381032,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.80510601593838,0.263131282472116,151.3004874214667,516.4139369431327,1184.992935521569,1243.182539131117
5,0,0,14823,0,4,1765,1765,1765,24857,9,2,2,0,False,False,False,False,11375,0,0,2,2,5,0,2,2,485,59497,10859,5119,0,0,0,0,32913,3057,20587,0,0,72,18,76,22,5,6,3,12,100,7,0,131152,0,0,4887,0,198,126,290,1,0,38742,4667,4117,1,1,10,0,22,3,4,9,False,0,0,0,0,0,450,0,0,0.2405010684104249,2,0.2498379128183981,9,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1808.768730666985,0.0,0.0,0,0,0,0.0,0,0,1.1111111111111112,1,0,0,0,0.0,0,2,0,0,0,53,0.0,0,0,2.0,0,1.0,0,0.0,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,8,49,0,0,7,0,2,0,10,0,0,0,0,1,0.2585231263406292,0,0,0,0,0,1,0,9,0,-0.3085963129997253,0.7553391234449421,4,2,0,0.0,0.0,0.0,0.0,1275.2863683070275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-242.94979924711333,-0.2653738932245913,-178.06588235370077,385.057519068882,616.4635539607256,989.3470456779296
4,0,1,16898,0,2,11950,22116,11950,25758,12,1,0,0,False,False,False,False,13125,1,1,1,0,2,0,0,1,311,124429,10308,13690,20,0,0,0,40505,1897,21805,0,0,127,28,119,32,5,6,6,12,100,7,13,232141,0,0,6171,0,223,85,361,1,0,67207,3270,1715,4,5,7,0,11,1,2,6,True,0,0,8,0,0,375,0,0,0.1299413370147972,1,0.2347020141865695,12,3,0,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,1,2060.791992123275,0.0,0.0,0,0,0,0.0,0,0,0.5,1,0,0,0,0.0,0,0,0,0,0,71,0.0,0,1,45.0,18,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,20,53,0,0,5,0,0,0,6,0,0,1,0,0,0.1135766120652166,1,1,0,0,0,5,5,10,0,-0.7327674627304077,0.3470767240148569,2,0,2,1896.3699429963865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1896.3699429963865,0.0,16.187951102055926,-0.4367252995158973,-23.26290095421346,408.6875352869767,450.55493400056736,1083.3698929991026
6,0,4,27867,0,4,14759,18053,14759,63067,12,2,1,0,False,False,False,False,17700,1,1,0,3,12,0,4,3,526,194617,32478,13800,28,0,0,0,55229,7600,37438,0,0,117,25,164,45,7,6,4,12,100,8,18,330779,0,5,19148,0,280,122,381,1,1,80932,9631,2973,6,6,5,0,28,2,3,12,True,0,0,8,0,0,850,0,0,0.2614431323816161,2,0.2958431691316187,12,6,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0.0,1,1,2241.028932556859,0.0,0.0,0,0,0,0.0,0,0,1.5,1,0,1,2,0.0,0,0,0,0,5,70,0.0,0,0,116.0,10,3.0,0,0.0,0,0,2,0,0,5,0,0,9,0,0,0,0,0,0,31,91,0,9,10,0,0,0,18,0,0,5,0,2,0.3386492542477312,0,1,0,1,4,6,0,13,0,-0.244035005569458,0.7691225081554361,3,0,0,0.0,0.0,0.0,0.0,1724.7281580503975,1.0,42.0714253015085,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,165.94163270159595,0.0803202481614694,299.7551661386041,548.5872949428366,1330.9065120355492,1451.4404311098613
2,0,0,10887,0,2,543,4970,543,15828,8,0,0,0,False,False,False,False,7700,0,0,1,0,1,0,0,1,221,47352,6217,3643,0,0,0,0,22501,2519,13152,0,0,65,13,74,26,3,12,3,6,100,4,0,117384,0,0,2750,0,168,65,223,1,0,47530,2527,4372,0,0,9,0,13,0,0,8,False,0,0,0,0,0,0,0,0,0.0,0,0.2796464888154585,8,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1478.2596360443104,0.0,0.0,0,0,0,0.0,0,0,0.375,0,0,0,1,0.0,0,0,0,0,0,71,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,43,0,0,8,0,0,0,3,0,0,1,0,0,0.2388253531802602,0,0,0,0,1,0,0,7,0,-0.2691155672073364,0.5445520524403515,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.39129111546148,-0.2029413458130893,-132.11481612432118,309.89143505658745,457.2268521168903,859.1724816342951
3,0,0,15599,0,10,1501,11693,1501,29060,6,5,1,0,False,False,False,True,12675,0,0,1,3,9,0,4,2,484,68144,15356,15746,4,0,0,0,29775,2468,14629,0,0,105,21,106,38,5,14,3,12,200,6,2,135701,0,0,8767,0,182,59,174,1,0,37781,6301,1569,1,1,8,0,28,5,4,10,False,0,0,2,2,0,300,0,0,0.5828101955837386,5,0.2544506659562175,6,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,864.3835851194052,0,1,1782.581214503486,0.0,0.0,0,0,0,0.0,0,0,2.0,1,0,1,2,0.0,0,1,0,0,4,73,0.0,0,0,44.0,0,3.0,0,0.0,0,0,1,0,0,2,0,0,8,0,0,0,0,0,0,28,66,0,3,5,0,8,1,12,0,0,3,0,2,0.2985774174436847,0,1,0,0,3,1,0,8,0,0.8001968860626221,0.9754032681095344,4,1,1,0.0,0.0,0.0,0.0,1231.892205022543,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,85.09009225829209,-0.100977166445758,84.48422925961754,447.59811979856335,812.058372556786,1075.2385273699133
0,0,0,11698,0,2,6215,6287,6215,25650,12,1,0,0,False,False,False,False,9225,0,0,3,0,1,0,0,1,176,76782,9830,3961,6,0,0,0,29757,2648,28440,0,0,89,14,96,24,4,14,3,12,200,3,2,152210,0,4,3686,0,183,80,310,1,0,45668,3466,1535,2,2,11,0,16,1,0,7,False,0,0,2,0,0,600,0,0,0.3088158549015185,1,0.2750068495992445,12,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0,1542.8296513263438,0.0,0.0,0,0,0,0.0,0,0,0.0833333333333333,0,0,0,0,0.0,0,1,0,0,0,48,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,46,0,0,6,0,1,0,1,0,0,0,0,0,0.267265796494992,0,1,0,0,3,2,0,8,0,-0.4244056940078735,0.6448422257003621,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.2745969869273,-0.7777916369239993,-215.52606259164023,407.446149002637,620.0943825376585,1319.7957391144882
10,0,1,15174,0,8,6983,10285,6983,22267,4,5,1,0,False,False,False,False,10125,1,1,0,1,6,0,3,2,577,73936,14521,6189,0,0,0,0,25127,4254,15162,0,0,88,21,97,26,4,12,3,4,200,5,0,128532,0,0,4948,0,161,79,124,1,0,29468,5527,447,3,6,3,0,26,5,1,10,True,0,0,0,1,0,0,0,0,0.3828994301855188,5,0.2039786175690583,4,2,0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,538.4218856204429,1,1,1628.292336934622,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,1,1,0.0,0,0,0,0,4,70,0.0,0,0,22.0,1,2.0,0,0.0,0,0,1,1,0,2,0,0,13,0,0,0,0,0,0,11,51,0,2,5,0,4,0,16,0,0,3,0,1,0.2380693582161801,0,1,0,0,0,6,0,7,0,1.3274941444396973,0.9736897421626752,1,0,0,0.0,0.0,0.0,0.0,1492.016871820995,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.674363269614126,0.2210905203163493,110.32416963785832,410.1966120269335,895.5271525413731,803.2587087293499
0,0,0,6680,0,2,1670,1670,1670,6342,3,0,0,0,False,False,False,False,4885,0,0,0,0,1,0,0,1,510,35884,5094,7247,0,0,0,0,16719,795,3914,0,0,54,14,41,11,2,6,2,12,100,2,0,79882,0,0,1150,0,111,23,81,1,0,27278,2064,84,0,0,0,0,7,0,0,5,True,0,0,0,0,0,0,0,0,0.0,0,0.2562843549488228,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,947.6794310975812,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,1,0.0,0,0,0,0,10,71,0.0,0,0,31.0,1,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,26,0,1,5,0,6,0,1,0,0,1,0,0,0.2743264298628998,0,1,0,0,2,0,0,5,0,0.0046230554580688,0.4890051115388878,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.23908799362397,-0.2532501942371349,-116.24183915484495,319.285182384468,503.5880112405429,712.012921097705
