assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,14770,0,4,10601,15490,10601,32697,6,1,1,0,False,False,False,True,16125,2,2,0,3,11,557,3,2,435,20191,6552,8241,20,0,0,0,153035,21622,20702,0,0,258,21,56,6,4,12,4,4,200,21,4,175718,0,13,14644,0,217,167,203,1,0,2492,558,3196,4,6,1,0,14,3,4,4,True,0,0,1,0,0,450,2,0,0.4375089844045901,1,0.3323155034431085,6,2,0,0,0.0,0.0,0,0,17,7,0,0,0,0,1,740.9017038157859,0,0,1476.474508419691,0.0,0.0,2,0,0,0.0,0,1,3.1666666666666665,0,1,2,5,0.0,0,0,0,0,8,91,1.0,0,0,90.40000000596046,3,4.0,0,0.0,0,0,1,0,0,4,0,0,9,0,0,1,0,0,0,14,19,0,7,3,0,0,1,19,0,0,10,0,1,0.317573292142783,0,2,0,0,4,6,0,10,0,-0.5249463319778442,0.6002347245297058,4,3,0,0.0,0.0,0.0,0.0,1313.8124805741147,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,284.2582094080417,0.3657360807251431,216.1093863662568,649.2221806294318,1167.592119043868,1306.0841816117888
3,0,0,10798,0,1,2574,2751,2574,19896,9,0,0,0,False,False,False,False,10050,0,0,1,1,4,406,2,1,250,13519,4411,5164,0,0,0,0,88148,11938,15990,0,0,167,15,41,6,2,12,4,4,200,11,0,101667,0,0,6000,0,159,62,197,1,0,0,0,1169,1,1,9,0,10,0,0,8,False,0,0,0,0,0,825,0,0,0.0,0,0.2471199190824924,9,2,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,0,1355.1010014689025,0.0,0.0,0,0,0,0.0,0,0,0.7777777777777778,0,0,0,0,0.0,0,2,0,0,6,60,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,11,16,0,2,8,0,0,0,7,0,0,4,1,0,0.2523714745671889,0,0,0,0,3,1,0,7,0,-0.5473939180374146,0.4489620050095025,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.2343935193213,-0.1328314271813566,-97.36543612393444,441.3545553812544,723.9312781383937,988.3986496564748
2,0,0,15133,0,5,4194,8394,4194,40059,11,2,0,0,False,False,False,False,12725,0,0,2,0,1,426,0,1,446,16981,5635,14962,12,0,0,0,155721,13895,18632,0,0,272,28,57,9,4,12,6,4,200,17,2,174721,0,0,8957,0,249,84,354,1,0,2018,23,3160,1,2,11,0,41,3,4,12,False,0,0,2,0,0,450,0,0,0.5199109006297463,2,0.2572893593247493,11,8,0,0,0.0,0.0,0,0,15,0,0,0,0,0,1,741.1081553,0,0,1998.7446319,0.0,0.0,1,0,0,0.0,0,0,0.2727272727272727,0,0,0,0,0.0,0,0,0,0,7,79,0.0,0,0,72.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,40,23,0,0,6,0,9,0,3,0,0,0,0,1,0.1823210274403691,0,2,0,0,0,2,5,12,0,0.1306484937667846,1.240494443630091,4,2,0,0.0,0.0,0.0,0.0,1410.0618348,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.390287922303738,-0.4502826352281247,-54.30408580851184,374.66517135214826,586.9884432833834,1103.3425505206485
2,0,0,13819,0,1,4201,4201,4201,18565,11,0,0,0,False,False,False,False,11825,0,0,4,1,3,395,2,1,284,19624,2387,9576,4,0,0,0,154489,9465,17582,0,0,230,25,49,4,2,12,2,4,200,13,4,193776,0,0,8715,0,223,62,248,1,0,19662,468,948,2,2,11,0,14,0,1,9,False,0,0,1,0,0,300,0,0,0.0,0,0.2158498743049846,11,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1581.9884723025818,0.0,0.0,1,0,0,0.0,0,0,0.4545454545454545,0,0,0,2,1.0,0,1,0,0,5,51,0.0,0,0,33.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,17,0,2,8,0,2,0,5,0,0,3,0,0,0.1423165560900865,0,1,0,0,2,2,0,10,0,-0.0102850794792175,0.5553950090503804,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.983860139818,-0.5689042719066413,-56.283595967297046,438.8906823002435,467.3358958955756,1065.974897747204
5,0,2,15877,0,4,2973,8028,2973,20883,3,2,0,0,False,False,False,False,10850,0,0,0,2,4,492,2,1,834,15924,4471,1716,4,0,0,0,134725,12421,20796,0,0,218,10,50,6,3,12,1,4,100,12,4,164160,0,0,11992,0,230,63,82,1,0,13510,0,0,1,2,4,0,13,3,0,9,True,0,0,1,1,0,0,0,0,0.6085367780685467,2,0.2112952370147573,3,0,0,0,0.0,0.0,0,0,13,0,0,0,0,0,1,830.7729075409964,0,0,1628.2678122244229,0.0,0.0,4,0,0,0.0,0,0,3.0,0,0,0,0,0.0,0,1,0,0,5,75,0.0,0,0,26.0,3,1.0,0,0.0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,4,19,0,2,7,0,0,0,9,0,0,4,0,1,0.1851534098189078,0,2,0,0,0,2,10,11,0,-0.284060001373291,0.5101774079968342,20,16,0,0.0,0.0,0.0,0.0,1530.4987970980972,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.697806745054535,0.1842448752887656,68.42854668224754,449.48379775447256,622.4897356506235,829.580975475196
8,0,0,14993,0,3,7730,27196,7730,40057,6,2,0,0,True,False,False,False,14850,1,1,1,1,6,469,2,1,675,30813,6602,15707,34,0,0,0,167389,22627,17026,0,0,261,25,88,7,5,4,4,12,100,26,9,201451,0,10,11173,0,213,133,152,1,0,3249,160,400,3,5,10,0,28,2,7,6,False,0,0,5,1,0,375,2,0,0.2624187818764124,2,0.2398606638824948,6,10,0,1,0.0,0.0,0,0,26,4,0,0,0,0,0,0.0,1,3,1952.0392955,0.0,0.0,6,0,0,0.0,1,0,2.333333333333333,0,0,0,1,1.0,0,0,1,0,11,66,0.0,0,0,81.5,0,2.0,0,0.0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,3,51,34,0,1,4,0,18,0,14,0,0,5,0,1,0.269189332255407,0,0,0,0,2,5,0,10,0,-0.2381050586700439,0.8732791304240587,7,4,1,1177.8542927,0.0,0.0,0.0,1403.4394571,0.0,32.70249879999983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.7224603527455,-0.3073708615308969,-48.16501400189154,457.79816116411786,903.362962039306,1018.4733496826268
4,0,9,14134,0,2,5389,8697,5389,25225,3,1,1,0,False,True,False,False,11975,1,1,0,2,13,546,9,2,385,19388,6633,5968,11,0,0,0,145404,23584,17182,0,0,230,18,50,6,4,4,3,12,100,20,0,166921,0,11,14800,0,193,131,70,1,0,2128,878,2773,3,4,1,0,14,1,0,8,True,0,0,0,0,0,0,2,0,0.1291922036580217,1,0.2923606136080236,3,1,0,0,0.0,0.0,0,0,13,5,0,0,0,0,1,722.9981414441233,1,2,1386.132621210042,0.0,0.0,3,0,0,0.0,1,1,5.666666666666667,0,0,1,6,0.0,0,0,0,0,1,76,1.0,1,0,90.0,0,4.0,0,0.0,0,0,1,0,0,5,0,0,6,0,0,0,1,0,0,10,19,0,8,6,0,2,1,17,0,0,6,0,0,0.3704482888798275,0,2,0,0,5,4,5,9,0,-0.3051728010177612,0.6245984805441899,0,0,0,0.0,0.0,0.0,1363.679877150559,0.0,1.0,9.095777782255029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,378.4053502341743,0.5194308170681871,229.71827884840573,646.5182236442034,1346.018390629362,1122.100422571551
1,0,0,13581,0,1,2736,7608,2736,19870,7,0,0,0,False,False,False,False,9450,0,0,1,0,0,413,0,0,431,15810,2823,14411,5,0,0,0,138608,6009,12793,0,0,254,16,50,7,3,12,3,4,200,6,0,155986,0,2,8189,0,232,60,182,1,0,1567,0,143,1,1,7,0,12,0,2,5,False,0,0,1,0,0,0,0,0,0.0,0,0.2391548258269544,7,4,0,0,0.0,0.0,0,0,6,2,0,0,0,0,1,890.4136168187456,0,0,1723.202351531491,0.0,0.0,0,0,0,0.0,0,0,0.1428571428571428,0,0,0,0,0.0,0,0,0,0,1,60,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,13,0,0,5,0,0,0,1,0,0,0,0,0,0.1096490585275413,0,2,0,0,0,1,10,11,0,-0.7386515140533447,0.4292824261106522,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.67390683349151,-0.3133700459032432,-145.54297687506184,346.6917274509547,307.5552906070386,952.2271128179884
0,0,6,9951,0,1,2493,5462,2493,6831,0,0,0,0,False,True,False,False,6550,0,0,0,1,6,0,6,1,0,11547,2020,1700,16,0,0,0,82577,6853,7036,0,0,159,10,40,3,2,12,2,4,200,8,0,95123,0,12,5185,0,149,41,0,1,0,997,0,0,1,1,0,0,8,0,2,4,True,0,0,0,0,0,0,1,0,0.0,0,0.1959939177178779,0,0,0,0,0.0,0.0,0,0,8,5,0,0,0,0,1,711.5263102072656,0,0,915.5063401479088,0.0,0.0,2,0,0,0.0,0,1,6.0,0,0,1,3,1.0,0,0,0,0,3,80,1.0,0,0,61.0,0,2.0,0,0.0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,1,0,11,0,3,4,0,0,1,6,0,1,6,0,0,0.2207546155606273,0,1,0,0,5,1,0,7,0,-0.3204100728034973,0.5694971276379696,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.608015818408,0.3932250211853678,226.1043871815865,564.5400554151264,581.579806333159,572.5356308458956
2,0,5,11240,0,1,4941,4941,4941,14305,3,0,1,0,False,True,False,False,9600,0,0,0,2,8,0,5,2,553,15127,3991,3563,0,0,0,0,92252,15324,14209,0,0,186,14,42,5,3,4,2,12,200,9,0,107379,0,0,9438,0,168,59,92,1,0,0,0,1474,2,2,1,0,11,0,1,6,True,0,0,0,0,0,0,0,0,0.0,0,0.3660785002568723,3,0,0,0,1.0,0.0,0,0,7,0,0,0,0,0,1,781.3805259978643,0,0,1106.169193204597,0.0,0.0,0,0,0,0.0,0,0,3.333333333333333,0,0,1,2,0.0,0,0,0,0,1,82,0.0,0,0,55.0,0,2.0,0,0.0,0,1,1,1,0,2,0,0,3,0,0,0,0,0,0,7,10,0,6,6,0,2,0,10,0,0,6,0,0,0.5083834502370598,0,1,0,0,2,2,10,7,0,-0.1250942945480346,0.6021540425241346,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.321032156364,0.3796887515762852,167.9851519473936,545.1245647630951,1047.7239893496464,1043.9271018338834
