assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,26868,0,5,9182,51711,9182,54009,9,0,1,0,False,False,False,False,21500,2,2,1,4,15,0,5,2,547,96411,18317,19976,20,0,0,0,210407,33837,33786,0,0,96,169,97,14,5,12,7,4,200,37,2,338554,0,4,17817,0,268,198,380,1,0,31735,720,2438,4,4,6,0,24,0,4,12,True,0,0,2,2,0,600,0,0,0.0,0,0.2580225752149239,9,35,0,2,0.0,0.0,0,0,33,1,0,0,0,0,0,0.0,0,1,2660.34973680319,0.0,0.0,8,0,0,0.0,0,0,2.2222222222222223,1,0,2,1,0.0,0,3,0,0,0,67,1.0,0,1,16.0,8,2.0,0,0.0,0,0,1,0,0,6,0,0,11,0,0,1,2,0,1,176,0,0,7,12,0,12,0,20,0,0,3,0,3,0.2783995564686055,0,2,0,0,3,4,0,13,0,-0.478147804737091,0.5504939716589935,4,0,0,1894.9941890280363,0.0,0.0,0.0,1413.0385373198897,1.0,48.54512018630385,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,103.56533059862974,0.1353205539180702,54.3312023981052,486.0714296737082,1192.4898279773408,1267.5250751249107
6,0,0,14100,0,6,9113,23331,9113,20126,4,4,0,0,False,False,False,False,11525,0,0,0,1,6,0,5,1,596,52882,8309,10145,20,0,0,0,85654,7277,11785,0,0,43,98,72,7,4,12,3,4,200,15,2,143028,0,8,2403,0,177,120,159,1,0,4491,54,1150,2,2,0,0,23,5,1,13,True,0,1,2,0,0,0,0,0,0.66190456379701,4,0.2313665627737233,4,2,0,0,1.0,0.0,0,0,17,2,0,0,0,0,1,795.7750570999999,3,1,1531.4825823,0.0,0.0,4,0,0,0.0,1,0,3.0,0,0,1,2,0.0,0,2,0,0,0,72,1.0,0,0,76.75,0,3.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,16,0,0,5,9,0,2,0,12,0,0,7,0,1,0.1647388335356355,0,2,0,0,3,2,0,8,0,1.859827995300293,0.9402214819959904,1,1,0,0.0,0.0,0.0,0.0,1230.5045886,0.0,14.682183000000125,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,204.1551132305032,0.1567108909848422,157.7295117762437,473.97208978365535,612.7395837507331,904.300196428032
0,0,0,2748,0,3,103,103,103,2341,3,1,0,0,False,False,False,False,2125,0,0,0,0,1,0,0,1,287,3551,486,2098,0,0,0,0,10977,1715,2990,0,0,9,14,16,0,1,12,1,4,200,6,0,14599,0,0,235,0,48,32,40,1,0,70,70,146,0,0,0,0,3,2,0,3,False,0,0,0,0,0,0,0,0,0.0,1,0.2523472799427995,3,0,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,561.1931734851097,0.0,0.0,1,0,0,0.0,0,0,0.3333333333333333,0,0,0,1,0.0,0,0,0,0,0,48,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0.1623244740435086,0,0,0,0,0,0,0,1,0,-0.4463462233543396,0.3653757339418246,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-148.18426867804106,-0.5345752838313169,-137.27893288788218,282.04191974940284,242.9110089729504,559.7003221713888
2,0,1,12427,0,2,7637,10899,7637,12562,5,0,0,0,False,False,False,False,8500,0,0,0,0,1,0,0,1,729,31975,3745,9199,12,0,0,0,67879,4857,10652,0,0,51,87,59,3,3,12,4,4,100,11,2,104020,0,4,1343,0,154,107,110,1,0,4166,112,992,2,2,1,0,14,0,1,8,True,0,0,2,1,0,0,1,0,0.0,0,0.2069881080735538,5,9,0,0,0.0,0.0,0,0,10,1,0,0,0,0,1,763.8873781713095,0,0,1571.80911889507,0.0,0.0,1,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,0,0,0,0,49,0.0,0,0,27.599999994039536,3,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,50,0,0,1,8,0,6,0,3,0,0,1,0,1,0.104230353084326,0,2,0,0,0,2,5,7,0,0.1522756814956665,0.5390030392930344,1,0,0,0.0,0.0,0.0,0.0,1293.1284003500425,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.20384076206541,-0.3435531665445497,39.203233560139175,344.81286148854645,332.6739829373057,795.6691337171773
4,0,0,13743,0,3,6985,8494,6985,14794,7,2,0,1,False,False,False,False,10900,0,0,1,0,2,0,0,1,437,40074,7932,9318,12,1,0,0,86807,8043,17016,0,0,49,113,59,8,3,12,3,4,200,27,4,131701,0,0,4263,0,204,123,209,1,0,4820,288,1123,2,2,8,0,22,2,4,9,False,0,0,1,0,0,900,0,0,0.2016732852306529,2,0.2282795152270528,7,1,0,1,0.0,0.0,0,0,24,0,1,0,1,1,0,0.0,0,0,1569.4555837500736,0.0,0.0,3,0,0,0.0,1,0,0.8571428571428571,0,0,0,0,0.0,0,0,0,0,0,64,0.0,0,0,76.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,13,0,0,0,7,1,0,0,6,0,0,3,0,0,0.2116721929183544,0,0,0,0,2,2,0,9,0,0.0038470029830932,0.878411148084139,4,2,0,1437.7492722963198,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.557673414947253,-0.2293789029313032,52.26016005118192,440.1398849080157,621.7697462124527,1049.714319447954
11,0,0,26624,0,10,4066,13457,4066,61609,10,2,0,0,False,False,False,False,21483,0,0,1,0,5,0,0,1,508,120533,9750,7888,48,0,0,0,226282,16362,28464,0,0,71,184,120,14,4,4,8,14,200,27,9,364541,0,20,12401,0,318,171,376,1,0,17724,1910,7107,1,1,9,0,62,2,12,19,False,0,0,11,3,0,600,2,0,0.4795890108491733,2,0.1867138361184711,10,28,0,0,0.0,0.0,0,0,26,5,0,0,0,0,0,0.0,0,3,2813.47490057167,0.0,0.0,5,0,0,0.0,0,0,1.6,0,0,0,1,0.0,0,0,0,0,0,55,0.0,0,0,22.650000035762787,0,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,4,145,0,0,1,17,0,2,0,16,0,0,2,0,3,0.1423695495618479,0,1,0,0,3,1,5,15,0,0.2050610780715942,1.3292394392985416,12,6,1,0.0,0.0,0.0,0.0,1468.6345888179528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.51051895219547,-0.2985631753207822,-20.025058687586757,436.456710436795,597.6381732278287,926.8253999600856
3,0,0,7896,0,1,0,0,0,12283,7,0,1,0,False,False,False,False,6150,0,0,1,1,3,0,2,2,310,22037,5259,3564,0,0,0,0,38892,8516,12914,0,0,33,58,33,5,2,12,2,4,200,7,0,63613,0,0,2609,0,109,52,193,1,0,2682,77,1961,0,0,8,0,11,0,1,7,False,0,0,0,0,0,300,0,0,0.0,0,0.2346991051486671,7,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,1238.0212545,0.0,0.0,4,0,0,0.0,0,0,0.8571428571428571,0,0,0,0,0.0,0,0,0,0,0,55,0.0,0,0,3.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,7,1,4,0,6,0,0,4,1,0,0.3461174555504902,0,0,0,0,0,0,0,5,0,-0.0921006798744201,0.5643531095890046,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-158.28484308142384,-0.2423221725067725,-171.70949143829904,319.1383011914195,671.4262755817655,893.6841722049772
1,0,4,14939,0,1,3565,5172,3565,7817,1,0,0,0,False,False,False,False,10350,0,1,0,2,7,0,4,1,854,39903,7310,7507,12,0,0,0,82103,10005,5923,0,0,43,87,55,7,3,4,3,14,200,14,0,136634,0,10,3215,0,180,92,32,1,0,14626,1269,335,1,2,2,0,8,0,0,5,True,0,0,0,0,0,0,1,0,0.0,0,0.1941943467089218,1,0,0,0,0.0,0.0,0,0,17,4,0,0,0,0,0,0.0,0,0,1498.8338281616489,0.0,0.0,2,0,0,0.0,1,0,8.0,0,0,2,4,0.0,0,0,0,0,0,61,1.0,0,0,60.0,1,3.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,5,5,0,12,0,8,1,0,3,0,1,0.2664923343240199,0,2,0,0,2,2,0,8,0,0.122926115989685,0.3488968900208944,0,0,0,0.0,0.0,0.0,0.0,1347.1519983334233,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,124.29663415623656,0.120093366334528,167.04987257132856,443.1044906522971,743.93837332029,551.0684269870379
8,0,7,26991,0,6,5220,15518,5220,49036,6,4,0,0,False,True,False,False,18250,0,0,0,2,12,0,7,1,571,75268,13719,5460,12,0,0,0,186193,24711,31684,0,0,93,195,82,15,5,4,5,12,100,25,4,293651,0,8,19094,0,260,779,149,1,0,32189,5323,2444,2,3,5,0,46,4,3,15,True,0,0,1,0,0,1200,1,0,0.87925518675938,4,0.2448356399362273,6,10,0,2,0.0,0.0,0,0,28,2,0,0,0,0,0,0.0,0,4,2412.3851528583486,0.0,0.0,11,0,0,0.0,0,0,3.333333333333333,3,0,2,2,0.0,0,2,0,0,0,54,0.0,0,0,10.0,4,1.0,0,0.0,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,50,0,0,6,8,0,1,0,20,0,0,2,0,1,0.2664172684737725,1,1,0,0,2,3,0,12,0,0.4900786876678467,1.1643377181466394,3,0,1,1499.6725946003482,0.0,0.0,0.0,2101.3615808921363,1.0,29.09466345313149,0.0,1.0,0.0,0.0,1.0,2390.596929147628,2245.347778783064,0.0,79.58928107831625,0.1741015523588167,114.53394980176446,515.8131563385001,1088.2590604942898,984.6686368407936
2,0,0,10677,0,2,1862,1862,1862,16401,10,0,0,0,False,False,False,False,7750,0,0,3,0,2,0,0,1,413,23994,2414,4296,8,0,0,0,54609,4434,10815,0,0,35,72,30,5,3,12,2,4,100,6,8,83499,0,0,736,0,142,58,216,1,0,4895,0,2793,0,0,11,0,12,0,2,7,False,0,0,4,0,0,0,0,0,0.0,0,0.1940138016614469,10,2,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1494.4963511252645,0.0,0.0,1,0,0,0.0,0,0,0.4,0,0,0,0,0.0,0,1,0,0,0,53,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,2,7,0,0,0,4,0,0,3,0,0,0.1000297108428217,0,0,0,0,2,0,0,6,1,0.176476240158081,0.4933514839899828,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.76966572314052,-0.3613257400015818,-180.58257539190168,315.47751832582554,274.96888814120376,718.8374860809247
