assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,0,19958,0,1,7525,18152,7525,28313,5,0,2,0,False,False,True,False,17400,0,4,0,2,9,0,4,2,896,21449,5526,8303,24,0,0,0,225142,46217,11518,0,0,193,103,120,220,4,12,3,4,100,16,13,252346,0,4,2748,0,236,274,175,1,0,5754,330,1749,2,6,4,0,29,0,3,13,True,0,0,6,0,0,550,0,0,0.0,0,0.1527521591849126,5,31,0,1,0.0,0.0,0,0,11,6,0,0,0,0,1,583.2066998,0,1,2200.1277841,0.0,0.0,5,0,0,0.0,0,1,4.0,3,0,1,2,0.0,0,1,0,3,5,94,0.0,0,0,38.0,6,1.0,0,0.0,0,0,2,0,0,2,0,0,17,0,1,0,0,0,1,157,37,0,2,9,0,0,0,20,0,0,2,0,1,0.3968520137672301,0,2,0,0,7,6,10,11,0,0.674271821975708,0.8146791111572725,3,1,0,1602.5780585999998,0.0,0.0,0.0,2013.899076,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1835.8401259,0.0,0.0,9.463086712718724,0.2454402893788718,-45.73370725426311,478.7449200051216,1420.090243202888,588.265831354627
6,0,0,10923,0,3,2960,6129,2960,11310,6,1,0,0,False,False,False,False,10850,0,0,2,1,7,0,5,1,708,9380,2714,8171,0,0,0,0,112703,19546,5995,0,0,108,66,61,124,2,12,3,4,200,9,0,122084,0,0,821,0,169,108,166,1,0,0,0,905,1,1,10,0,12,2,0,7,False,0,0,0,0,0,450,0,0,0.6269118793912161,1,0.1795223745227487,6,5,0,0,1.0,0.0,0,0,7,0,0,0,0,0,1,592.7973105152134,0,0,1451.6954310919311,0.0,0.0,4,0,0,0.0,1,1,2.1666666666666665,1,0,1,0,0.0,0,2,0,5,5,76,1.0,0,0,41.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,26,25,0,2,3,0,0,1,13,0,0,9,0,0,0.3749490737421589,0,1,0,0,6,1,5,7,0,0.1269793510437011,0.5274294373672763,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.36425815140932,0.0826619671247011,-106.67526857442677,450.0944109939975,920.0690250814856,622.9819152353099
4,0,0,9452,0,8,444,3307,444,12998,11,4,2,0,True,False,False,False,8925,0,0,2,2,6,0,2,2,212,9165,3589,6962,4,0,0,0,72480,12410,12593,0,0,91,57,78,97,4,4,4,12,100,13,4,87508,0,0,927,0,141,115,321,1,0,5861,152,419,0,0,10,0,31,5,6,11,False,0,0,1,0,0,900,0,0,0.731210602723691,4,0.1898871528059827,11,10,0,1,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,4,1476.474508419691,0.0,0.0,1,0,0,0.0,0,0,0.9090909090909092,5,0,0,0,0.0,0,2,0,2,4,75,0.0,0,0,5.0,0,1.0,0,0.0,0,0,2,1,0,2,0,0,9,0,0,0,0,0,0,52,17,0,1,7,0,2,0,10,0,1,2,0,0,0.2179606339084468,0,0,0,0,0,0,0,6,0,1.105025291442871,1.2635092300430293,6,6,0,1087.5914838725998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-284.2582094080417,-0.3657360807251431,-216.1093863662568,364.96397122139,656.3743528747235,811.6902751560009
8,0,4,10534,0,1,4070,5592,4070,8139,3,0,1,0,True,False,False,False,7850,0,0,0,2,6,0,4,2,525,11297,3619,6619,0,0,0,0,72277,15288,3959,0,0,69,47,42,77,3,4,3,12,200,10,0,83909,0,0,1375,0,141,85,75,1,0,334,72,162,2,3,0,0,8,0,0,4,True,0,0,0,0,0,0,0,0,0.0,0,0.1666022025367662,3,5,0,1,0.0,0.0,0,0,10,0,0,0,0,0,1,719.2554432999999,0,0,1139.9371816,0.0,0.0,2,0,0,0.0,0,1,4.666666666666667,0,0,1,1,0.0,0,0,0,5,5,73,0.0,0,0,26.0,0,2.0,0,0.0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,28,19,0,4,3,0,0,1,14,0,0,8,0,0,0.3408441206773145,0,2,0,0,4,3,5,6,0,-0.3834304213523865,0.4417782330707738,0,0,1,880.6578627,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,165.11436159650222,0.4737103137929614,93.84727661031668,514.1335939032941,999.0024173100452,565.3469422722443
13,0,2,15997,0,3,5262,7604,5262,15847,2,2,0,0,False,False,False,False,10650,1,1,0,2,8,0,5,1,716,14840,5279,2922,12,0,0,0,114694,24046,13131,0,0,114,86,79,115,4,12,4,4,100,13,12,130162,0,0,2141,0,169,140,72,1,0,628,290,836,1,3,2,0,37,2,3,11,True,0,0,5,1,0,0,0,0,0.4568817965431335,2,0.1684986404783109,2,3,0,1,0.0,0.0,0,0,13,0,0,0,0,0,1,912.0083017017386,0,0,1617.7924479528006,0.0,0.0,4,0,0,0.0,0,0,10.5,1,0,1,1,0.0,0,1,0,3,9,67,0.0,0,0,16.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,18,37,0,2,4,0,6,0,21,0,0,3,0,1,0.2893617108975653,0,1,0,0,0,3,0,8,0,0.9146735668182372,1.375374887410742,3,1,0,1395.450326073114,0.0,0.0,0.0,1465.6644718109744,1.0,38.4125266817332,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.0800185348234,0.7046639397053606,117.71596550656918,453.76648959447823,1098.3856441217872,626.4091548222916
0,0,0,14534,0,2,3916,5595,3916,14625,10,0,0,0,False,False,False,False,8800,0,0,3,0,1,0,0,1,361,24365,3735,8948,8,0,0,0,148477,10391,14560,0,0,122,102,81,160,2,12,5,4,200,11,0,175337,0,2,2998,0,214,154,232,1,0,2495,0,258,1,1,11,0,17,0,1,10,False,0,0,0,0,0,0,0,0,0.0,0,0.2455395286512482,10,5,0,0,0.0,0.0,0,0,13,2,0,0,0,0,0,0.0,0,0,1847.5961202539563,0.0,0.0,0,0,0,0.0,0,0,0.1,0,0,0,1,0.0,0,0,0,0,6,52,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,15,0,1,10,0,5,0,1,0,0,1,0,0,0.2014189946494715,0,1,0,0,1,1,0,10,0,-0.0863630175590515,0.5824582350987504,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175.72022177410437,-0.4221701872229452,-98.98267158888748,315.06885818746264,458.769094992196,771.7920515031167
2,0,3,12956,0,6,8374,21037,8374,6804,1,5,0,1,False,False,False,False,8085,0,0,0,1,4,0,3,1,870,15160,2364,1563,12,0,0,0,119559,11244,7342,0,0,104,67,55,87,2,12,2,4,200,5,0,134719,0,4,1167,0,183,91,35,1,0,0,0,737,2,2,2,0,27,5,4,9,True,0,0,0,0,0,0,0,0,0.2324087982347554,5,0.1489970529187396,1,0,0,1,0.0,0.0,0,0,9,1,0,0,0,0,1,750.936259167784,0,0,1289.7568129469846,0.0,0.0,1,0,0,0.0,0,0,6.0,0,0,1,1,0.0,0,0,0,0,5,79,0.0,0,0,42.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,1,19,0,0,4,0,2,0,6,0,0,2,0,1,0.2421340434602318,0,1,0,0,4,2,0,8,0,3.215117931365967,1.281249792139273,4,4,0,1277.4696817349118,0.0,0.0,0.0,1266.8627956281268,0.0,16.066934849572817,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.3312311397179,0.186081591188978,128.72194070497557,494.23270619792567,633.0495732249033,448.5961959588288
1,0,0,10566,0,3,37,1294,37,12749,7,0,0,0,False,False,False,False,7375,0,0,1,0,0,0,0,0,437,8555,3086,3539,4,0,0,0,87042,9800,15411,0,0,90,47,73,112,4,12,3,4,100,10,2,95678,0,0,1333,0,181,81,205,1,0,80,80,434,1,1,8,0,22,2,5,8,False,0,0,2,0,0,0,0,0,0.0,0,0.2141428375365837,7,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1503.487284369533,0.0,0.0,1,0,0,0.0,0,0,0.1428571428571428,0,0,0,0,0.0,0,0,0,1,5,78,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,0,0,8,0,4,0,1,0,0,0,0,0,0.1965458389194442,0,1,0,0,0,1,5,8,0,0.0825592279434204,0.8985656423982368,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274.08279689761406,-0.5986083217041658,-208.51523206028443,296.1514903577743,517.4769405025279,773.601487749017
2,0,0,11881,0,3,3034,6173,3034,13085,5,1,0,0,True,False,False,False,8725,0,0,1,0,1,0,0,1,593,10513,2255,7395,8,0,0,0,113199,7979,8873,0,0,93,45,53,144,3,12,2,4,100,6,6,132122,0,0,1438,0,208,105,141,1,0,8410,0,752,1,1,8,0,14,1,3,6,False,0,0,3,0,0,550,0,0,0.0,1,0.2196601251211491,5,9,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,2,1556.9927805,0.0,0.0,0,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,1,0,0,2,78,0.0,0,0,41.99999997019768,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,45,20,0,0,5,0,0,0,3,0,0,1,0,0,0.2039900945155043,0,1,0,0,1,1,5,9,0,-0.4307478666305542,0.5773918743346405,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10034152114041,-0.1926791207751525,-53.79601052042258,384.12509517734406,394.4141602267372,655.9182629427742
8,0,0,15427,0,4,11832,13949,11832,18186,3,2,1,0,True,False,False,False,11800,1,1,0,3,8,0,4,2,838,23900,5612,4918,12,0,0,0,152622,25627,13583,0,0,134,100,94,173,4,12,5,4,200,17,4,191838,0,4,1481,0,201,202,74,1,0,15315,945,448,3,6,3,0,27,2,2,11,True,0,0,6,0,0,0,0,0,0.0,2,0.1731966530883219,3,7,0,0,0.0,0.0,0,0,16,1,0,0,0,0,1,849.6639503676051,0,0,1599.2481098937862,0.0,0.0,3,0,0,0.0,0,0,5.333333333333333,2,0,1,3,0.0,0,0,0,3,19,78,0.0,0,0,53.00000002980232,0,3.0,0,0.0,0,0,1,0,0,1,0,0,14,0,0,0,0,0,1,36,54,0,1,9,0,8,0,16,0,1,5,0,1,0.3066756818738301,0,2,0,0,3,6,10,9,0,0.5946248769760132,1.0229644056422034,2,1,0,0.0,0.0,0.0,0.0,1262.4941129958108,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1593.471630159587,0.0,0.0,244.3523288115398,0.4126939378054564,160.76304759058007,555.2609345018868,1207.504944388056,710.9591019466727
