assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
0,0,0,9906,0,2,2166,7287,2166,5664,4,1,0,0,False,True,False,False,6075,0,0,0,0,1,0,0,1,413,34743,4626,6441,0,0,0,0,48017,4475,4960,0,0,27,26,39,3,2,4,3,12,200,5,0,94677,0,0,2675,0,175,140,103,1,0,11917,0,28,0,0,4,0,11,1,0,6,False,0,0,0,0,0,0,0,0,0.0,1,0.1510196681432523,4,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1233.1450565834607,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,2,68,0.0,0,0,34.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9,0,1,5,0,6,0,1,0,0,1,0,0,0.2018992083215738,0,0,0,0,1,0,0,8,0,-0.0420388579368591,0.5765584215686276,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.26918034816015,-0.1946243053229614,-30.361391630381984,338.5976351856221,442.86760676239874,556.0902963840316
1,0,1,14594,0,2,1847,3291,1847,11876,5,1,0,0,False,False,False,False,11810,0,0,3,0,2,0,0,1,1064,110283,8841,5796,11,0,0,0,59739,6972,12794,0,0,55,25,60,3,4,4,3,12,200,7,9,177565,0,0,4998,361,251,256,219,4,0,7542,196,1126,0,0,11,0,21,1,0,10,False,0,0,5,0,0,0,0,0,0.0,1,0.1740481308204534,5,6,0,0,0.0,361.199951171875,0,0,0,0,0,0,0,0,0,0.0,0,1,1754.062657358076,0.0,0.0,0,0,0,0.0,0,0,0.6,0,0,0,0,0.0,0,0,0,0,2,90,0.0,0,0,22.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,15,0,0,9,0,2,0,3,0,0,0,0,0,0.2038016657208423,0,2,0,0,1,0,5,12,1,-0.1696515679359436,0.7212079786048518,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.42222921715887,-0.1026189111574334,-113.70175356243624,399.7006589582032,547.6087162397839,674.4456904303717
0,0,0,9263,0,2,2719,3968,2719,6405,5,1,0,0,False,False,False,False,5760,0,0,1,0,0,0,0,0,501,31867,3601,7274,8,0,0,0,28805,1556,4899,0,0,41,17,64,3,3,3,2,12,200,7,2,68362,0,0,609,114,125,207,119,2,0,7690,0,478,1,1,6,0,11,1,1,7,False,0,0,2,0,0,0,0,0,0.0952955465115546,1,0.1908402316506037,5,5,0,0,0.0,114.99993896484376,0,0,0,0,0,0,0,0,0,0.0,0,0,1191.3155491344626,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,54,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,10,0,0,6,0,0,0,0,0,0,0,0,0,0.1333204551920197,0,0,0,0,1,1,0,5,0,-0.5749101638793945,0.5646276734626541,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-216.8191292287464,-0.4029159195888434,-141.42348777568404,308.381771955311,259.7296746649582,637.2115268297559
6,0,0,18781,0,4,4288,12578,4288,32324,12,1,2,0,False,False,False,False,16275,0,0,3,3,6,498,2,2,631,112177,16700,11065,16,0,0,0,144327,16937,23084,0,0,66,64,136,10,5,4,8,6,200,21,14,286047,0,0,10674,1702,263,482,396,5,0,29541,3297,3229,1,1,10,0,39,1,7,14,False,0,0,7,0,0,1050,0,0,0.3701900585704853,1,0.2118207790717483,12,20,0,0,0.0,1702.58056640625,0,0,0,0,0,0,0,0,0,0.0,0,1,2369.065795310996,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,2,0,0,3,54,0.0,0,0,29.0,0,1.0,0,0.0,0,0,2,0,0,1,0,0,10,0,0,0,0,0,0,104,28,0,0,5,0,8,0,12,0,0,2,0,0,0.2503089534077116,0,1,0,0,3,1,5,12,0,0.030129075050354,0.9886873876817052,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547278777731384,-0.1013057554057903,-90.92191547669688,424.9269910495877,935.4320189782168,946.6516313894082
3,0,0,10258,0,1,0,213,0,7355,4,0,0,0,False,True,False,False,7000,0,0,1,0,1,0,0,1,830,38196,4841,8435,4,0,0,0,39528,4043,5965,0,0,45,21,43,5,2,12,1,4,200,5,0,80329,0,0,1700,115,169,180,143,3,0,2605,0,647,0,0,6,0,11,0,0,8,False,0,0,0,0,0,0,0,0,0.0,0,0.2513166709419301,4,69,0,0,0.0,115.0,0,0,0,0,0,0,0,0,0,0.0,0,1,1398.1846844,0.0,0.0,0,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,0,0,0,2,84,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,352,8,0,0,6,0,0,0,4,0,1,2,0,0,0.2295121248314476,0,0,0,0,0,0,0,8,0,-0.4489668011665344,0.4949808899522054,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.70990700060912,-0.0858255717852433,-104.27806971907066,320.8589001191322,381.2371898700509,645.7516021121709
18,0,2,19254,0,4,8547,25379,8547,29848,4,3,3,0,False,False,False,False,14375,1,2,0,3,11,0,4,3,1037,137006,27780,12218,17,0,0,0,74400,11452,16674,0,0,63,58,113,8,4,12,4,4,100,18,14,224329,0,3,16179,2999,240,335,181,5,1,12922,1497,2241,2,6,3,0,40,3,9,15,True,0,0,10,2,0,150,0,0,0.1965284147284101,3,0.2102762538771437,4,7,0,1,0.0,2999.069580078125,0,0,0,4,0,0,0,0,0,0.0,0,3,1936.8823306241304,0.0,0.0,0,0,0,0.0,0,0,7.25,5,0,2,3,0.0,0,0,0,0,2,67,0.0,0,0,77.40000003576279,8,3.0,0,0.0,0,0,4,1,0,2,0,0,18,0,0,0,0,1,0,40,22,0,0,5,0,4,0,29,0,0,1,0,2,0.3205317098618244,0,0,0,0,0,6,0,11,0,0.7911989688873291,1.2524981145878047,10,0,2,1236.9992385593832,0.0,0.0,0.0,1381.421766253317,0.0,35.1161461144859,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,188.00316066834145,0.619552350200499,189.92377295396295,511.7812188831222,1261.7183611833163,964.4571435571168
7,0,0,14472,0,4,8356,10769,8356,12011,4,3,0,0,False,False,False,False,11325,0,1,0,2,6,0,4,1,476,76435,9846,2366,8,0,0,0,56082,5168,12747,0,0,44,35,71,4,3,12,2,4,200,6,0,132517,0,4,5316,910,191,188,90,4,0,0,0,605,1,5,1,0,20,3,1,10,True,0,0,0,1,0,0,0,0,0.6254323817360985,3,0.260021718734059,4,0,0,1,0.0,910.3750610351562,0,0,0,1,0,0,0,0,1,706.545963186266,0,0,1442.9178841606667,0.0,0.0,0,0,0,0.0,0,0,3.25,1,0,1,2,0.0,0,1,0,0,4,67,0.0,0,0,41.0,1,2.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,3,15,0,3,7,0,0,1,13,0,0,4,0,1,0.1880032197726413,0,1,0,0,3,5,5,9,0,-0.1075695157051086,0.8721744449569792,1,1,0,1064.368373793974,0.0,0.0,0.0,1293.688119169448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,149.03134985057517,0.3742416709417345,135.8081441439672,487.428985197668,624.3598543544604,653.675451911563
7,0,0,18583,0,8,1183,23552,1183,23305,9,3,0,1,False,False,False,False,15640,0,0,3,0,3,0,0,1,509,148999,18269,13199,12,0,0,0,76063,7280,19376,0,0,67,64,108,10,6,12,5,4,100,10,0,229780,0,0,13731,3113,291,308,270,5,0,4717,1379,562,0,0,10,0,51,5,8,16,False,0,0,0,1,0,375,0,0,0.0,3,0.2336538979413533,9,14,0,2,0.0,3113.6640625,0,0,0,0,0,1,0,0,1,785.0399066047986,0,4,2312.114718563703,0.0,0.0,0,0,0,0.0,0,0,1.1111111111111112,0,0,0,0,0.0,0,1,0,0,3,74,0.0,0,0,83.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,71,28,0,0,4,0,10,0,10,0,0,1,0,1,0.1949529525128256,0,2,0,0,0,0,0,14,0,0.2125090360641479,1.342975743471418,8,2,0,1181.7960028769735,0.0,0.0,0.0,1969.9302041176304,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.646183241870094,-0.1038010778933535,27.221832677531957,395.1188030010501,698.814806647529,859.940029807487
8,0,1,19015,0,5,11120,29740,11120,20440,4,0,0,0,False,False,False,False,15100,0,1,0,1,3,0,2,1,604,164191,12973,11067,26,0,0,0,87755,7069,17258,0,0,55,53,111,7,6,12,5,4,100,4,12,259059,0,10,15610,1899,246,276,115,5,0,7111,424,2106,4,7,6,0,27,0,5,12,True,0,0,10,0,0,0,1,0,0.0,0,0.2133765769230032,4,4,0,2,0.0,1899.268798828125,0,0,0,9,0,0,0,0,0,0.0,1,2,2258.4980137432703,0.0,0.0,0,0,0,0.0,0,0,2.75,0,0,0,1,0.0,0,0,0,0,4,45,0.0,0,0,52.85000005364418,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,27,15,0,0,12,0,8,0,11,0,0,0,0,0,0.1710149008854572,0,0,0,0,2,7,0,11,0,-0.0555375218391418,0.7233050383985881,5,0,0,1436.5706363490704,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.639412220683504,0.0265663284337164,28.82446635058236,414.2487592669409,543.7330440528749,808.4665068948594
5,0,0,20320,0,3,5095,8996,5095,18378,9,2,0,0,False,False,False,False,17648,0,0,2,1,4,0,3,1,536,179370,20218,9384,20,0,0,0,85831,9936,24020,0,0,74,68,112,6,3,12,3,4,100,8,12,303972,0,2,14452,1968,322,227,320,5,0,38770,3064,1391,2,2,10,0,28,2,5,12,False,0,0,3,0,0,750,0,0,0.1834522484266733,2,0.2450591052077774,9,4,0,0,0.0,1968.9736328125,0,0,0,2,0,0,0,0,0,0.0,0,1,2138.4927878695967,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,1,0,0.0,0,0,0,0,3,74,0.0,0,0,114.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,23,19,0,1,2,0,4,0,9,0,0,0,0,0,0.3192812924765623,0,1,0,0,2,2,5,15,0,0.2201857566833496,0.7937382871845364,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.61869153957622,0.0,-14.39331484987778,492.3748192992303,932.0302651034892,976.2763811234838
