assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,3,16120,0,2,2542,3811,2542,14572,9,1,1,0,False,False,False,False,10425,0,0,0,2,6,0,3,3,584,123412,20031,17011,0,0,0,0,25059,3761,10649,0,0,124,54,115,11,5,12,3,4,200,30,0,151457,0,0,4773,0,201,88,251,1,1,2985,490,1060,1,2,3,0,25,1,2,7,True,0,0,0,1,0,375,0,0,0.9052516260686956,1,0.2415400782063418,9,2,0,0,0.0,0.0,0,0,29,0,0,0,0,0,1,804.2351939814524,1,5,1813.931468693631,0.0,0.0,9,0,0,0.0,0,0,1.3333333333333333,0,0,1,0,0.0,0,0,0,0,4,55,0.0,0,0,41.99999997019768,4,1.0,0,0.0,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,14,26,0,1,6,0,5,0,12,0,0,1,0,1,0.2641525230089527,0,2,0,0,0,2,0,9,0,0.7355294227600098,0.8328044588348622,2,2,0,0.0,0.0,0.0,0.0,1417.5628303748097,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.3195138460572,-0.0992319738130093,76.80554773126924,399.342539948154,803.2166733671021,950.0138399611473
4,0,0,12071,0,7,5596,5596,5596,5058,1,2,0,0,False,False,False,True,9485,0,1,0,1,4,0,4,1,1177,70449,12166,4003,0,0,0,0,18977,2207,4964,0,0,126,30,43,6,2,12,2,4,100,18,0,93477,0,0,642,0,174,83,0,1,0,4051,627,370,3,5,2,0,26,2,2,8,True,0,0,0,0,0,0,0,0,0.6023243648757832,2,0.1663941099063008,1,0,0,0,0.0,0.0,0,0,18,0,0,0,0,0,1,740.8828069211672,0,0,1191.3155491344626,0.0,0.0,4,0,0,0.0,0,1,8.0,1,0,1,1,0.0,0,0,0,0,12,81,1.0,0,0,41.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8,37,0,3,2,0,0,1,8,0,0,5,1,0,0.2761349205715766,0,2,0,0,5,5,5,8,0,1.3524439334869385,1.3282549676727275,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,216.8191292287464,0.4029159195888434,141.42348777568404,525.2009011840574,755.5177137190301,470.30360714007753
1,0,0,7000,0,1,0,0,0,3612,4,0,0,0,False,False,False,False,3885,0,0,0,0,0,0,0,0,401,25630,7528,6795,0,0,0,0,10693,1710,1835,0,0,66,21,35,4,2,4,2,12,200,18,0,36323,0,0,674,0,94,33,60,1,0,0,0,220,0,0,2,0,8,0,1,4,False,0,0,0,0,0,0,0,0,0.0,0,0.1963873567115801,4,0,0,0,0.0,0.0,0,0,17,0,0,0,0,0,0,0.0,0,0,948.7265570769172,0.0,0.0,1,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,7,56,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,23,0,0,4,0,16,0,1,0,0,1,0,0,0.2600266992561517,0,0,0,0,0,0,0,4,0,-0.0425267815589904,0.5388612268397646,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.7425339527048,-0.3794560163986358,-116.9356957201796,284.65525496837665,584.2357799150997,559.7608668573877
7,0,0,11666,0,4,4678,4678,4678,13248,5,3,0,0,False,False,True,False,8730,0,1,0,0,3,0,0,1,802,57533,12740,8297,8,0,0,0,22504,2138,11921,0,0,93,35,85,5,4,12,3,4,200,16,0,82944,0,0,2759,0,134,66,146,1,0,2907,342,207,2,4,0,0,23,3,3,8,True,0,0,0,0,0,0,0,0,0.7970598960860971,3,0.2351837515047991,5,3,0,0,0.0,0.0,0,0,16,0,0,0,0,0,1,691.4770554976672,1,0,1496.2333084842178,0.0,0.0,3,0,0,0.0,0,1,2.0,0,0,0,2,0.0,0,0,0,0,7,68,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,20,21,0,0,5,0,0,0,10,0,0,7,0,1,0.1744680210658953,0,2,0,0,5,4,5,6,0,0.0118526220321655,0.941005563239238,3,2,0,0.0,0.0,0.0,0.0,1220.753510206828,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1458.8985536446276,0.0,0.0,50.92788642514287,0.1203020939176603,-72.46196123640406,392.6259338492707,610.372723840236,819.0968567873765
6,0,1,14329,0,6,8943,8943,8943,11069,6,4,0,0,False,False,False,False,11725,1,2,0,2,8,0,3,1,358,100741,20554,5875,0,0,0,0,23578,2111,12827,0,0,83,44,88,7,3,12,4,4,100,15,0,124320,0,0,3594,0,190,48,197,1,0,0,0,1416,4,5,0,0,13,5,2,5,True,0,0,0,0,0,0,0,0,0.4399184849994543,4,0.2143333993350061,6,2,0,0,0.0,0.0,0,0,18,0,0,0,0,0,1,741.1050727626543,0,1,1530.2208957935998,0.0,0.0,7,0,0,0.0,0,1,2.333333333333333,1,0,1,4,0.0,0,1,0,0,2,74,1.0,0,0,78.0,0,4.0,0,0.0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,13,22,0,4,1,0,0,0,14,0,0,8,0,1,0.2240297897827591,0,2,0,0,5,5,0,9,0,0.0769660472869873,0.5141271421472059,2,2,0,0.0,0.0,0.0,0.0,1228.5031436523086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1475.5351671273454,0.0,0.0,206.83288332424547,0.3136802021979078,154.33065948137065,506.3974764232474,888.7344328772223,788.8272884771886
8,0,0,17574,0,1,5954,12000,5954,10402,6,0,0,0,False,False,False,False,11385,0,1,0,0,3,0,0,1,385,115996,14427,4805,0,0,0,0,27167,2379,10947,0,0,145,37,78,6,2,12,4,4,100,13,0,160611,0,0,2708,0,239,33,187,1,0,17448,357,1865,3,3,2,0,20,0,2,8,True,0,0,0,1,0,150,0,0,0.0,0,0.1508984844406038,6,0,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,1,1,1957.24754,0.0,0.0,6,0,0,0.0,0,0,1.8333333333333333,3,0,0,1,0.0,0,1,0,0,8,67,0.0,0,0,11.0,4,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,27,0,1,8,0,0,0,11,0,0,1,0,2,0.1824674517181033,0,1,0,0,1,3,0,11,0,0.2915143966674804,0.6341365024145083,2,0,0,0.0,0.0,0.0,0.0,1214.9636766,0.0,31.9801309999998,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.138464774874618,0.1226211785148034,56.28312093829481,391.9279418279407,526.1981323016505,540.0849807684519
0,0,0,11766,0,3,3322,3322,3322,6808,3,0,0,0,False,False,False,False,8425,0,0,0,1,3,0,3,1,497,61083,8902,5069,0,0,0,0,13706,2374,7229,0,0,117,36,71,4,3,4,3,12,200,12,0,75176,0,0,1687,0,161,37,46,1,0,386,386,656,1,1,6,0,17,1,3,8,False,0,0,0,0,0,150,0,0,0.0,0,0.1839735204058134,3,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1383.4057856,0.0,0.0,2,0,0,0.0,0,0,1.0,0,0,1,1,0.0,0,1,0,0,19,68,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,36,0,1,8,0,0,0,3,0,0,0,0,0,0.2824948818560225,0,0,0,0,1,1,0,7,0,0.0197473764419555,0.754501663957105,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-14.7028443944076,-0.0433712224023822,10.105494819755076,369.7830422027114,505.8819381013871,561.8308150004602
6,0,0,17527,0,8,535,9520,535,21793,6,6,2,0,False,False,False,False,15075,0,0,2,1,8,0,6,3,622,157824,38562,3919,0,0,0,0,20185,2706,25847,0,0,139,56,123,10,5,4,2,12,200,46,0,186666,0,0,4667,0,245,88,207,1,1,8657,516,1461,0,0,8,0,31,7,4,13,False,0,0,0,0,0,1575,0,0,0.6712088926173668,5,0.1877085801848312,6,0,0,1,0.0,0.0,0,0,47,0,0,0,0,0,1,967.225891813766,0,0,2115.7368678954645,0.0,0.0,7,0,0,0.0,0,0,2.333333333333333,2,0,1,0,0.0,0,4,0,0,7,67,0.0,0,0,29.99999997019768,0,1.0,0,0.0,0,0,3,1,0,3,0,0,10,0,0,0,1,0,0,4,47,0,2,7,0,0,0,14,0,0,2,0,0,0.2914852147238992,0,1,0,0,0,0,0,11,0,0.3197495937347412,0.8799288199344117,4,1,0,1225.2511870195374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.41657671720588,-0.2268713124413522,-140.2064710887557,439.3079376286236,1184.948864881183,885.5921681148186
0,0,1,10911,0,4,2662,2662,2662,4632,1,1,0,0,False,False,False,False,7975,0,0,0,1,4,0,3,1,941,58126,12081,3264,0,0,0,0,24659,2396,4745,0,0,101,33,69,2,3,12,1,4,200,15,0,83124,0,0,1816,0,162,45,37,1,0,338,130,26,1,1,0,0,14,1,1,7,True,0,0,0,0,0,0,0,0,0.2211995372635275,1,0.1757033465378148,1,0,0,0,0.0,0.0,0,0,18,0,0,0,0,0,1,893.3849013166216,0,0,1112.202534035917,0.0,0.0,1,0,0,0.0,0,0,4.0,0,0,1,2,0.0,0,1,0,0,6,82,0.0,0,0,76.0,1,2.0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,24,0,3,6,0,0,0,4,0,0,1,0,0,0.3086042917650289,0,2,0,0,3,1,0,7,0,0.7588083744049072,0.766171865580154,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.3646540998449,0.1618410266939628,102.06774083499258,426.828734400878,788.0579059818032,433.5181635042285
0,0,0,4068,0,2,0,0,0,2242,3,0,0,0,False,False,False,False,2050,0,0,0,0,0,0,0,0,183,16472,2497,3035,0,0,0,0,5211,768,2790,0,0,32,13,35,2,2,4,2,12,100,4,0,21683,0,0,171,0,56,28,34,1,0,0,0,82,0,0,0,0,3,0,1,0,False,0,0,0,0,0,0,0,0,0.0,0,0.2417465922729859,3,0,0,0,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,0,618.4156820408244,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,6,56,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0.233490290884226,0,0,0,0,0,0,0,2,0,-0.1056599617004394,0.3735351495544783,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-134.1815908130902,-0.388088476682835,-90.32759294792984,252.839642558867,316.8742412115348,573.2066800605473
