assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,15710,0,5,4195,7063,4195,47715,7,1,1,0,False,False,False,False,11720,0,1,1,2,10,0,5,2,564,73766,18463,13662,8,0,0,0,43383,7655,9826,0,0,76,63,53,10,3,12,4,4,200,37,8,120009,0,0,2276,0,154,1100,221,1,0,2859,474,5001,1,3,7,0,14,2,2,5,False,0,0,4,1,0,0,0,0,0.0838861479206301,1,0.2291479980246517,7,11,0,1,0.0,0.0,0,0,12,0,0,0,0,0,1,831.2609225713818,0,1,1926.4700713427933,0.0,1.0,3,0,0,0.0,0,0,2.142857142857143,0,0,2,4,0.0,0,2,0,0,0,61,1.0,0,0,29.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,7,0,0,0,1,0,0,57,0,0,5,4,0,0,0,15,0,0,6,0,1,0.3020400588456778,0,1,0,0,1,3,5,7,0,-0.1444123983383178,0.4506923556928436,2,0,0,1228.445145652659,0.0,0.0,0.0,1425.4147077842222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.90475533696366,-0.0311450465244853,-81.9114723593966,372.7439168050413,828.2402222256402,887.3535205291134
1,0,0,10568,0,3,0,4237,0,16509,4,2,0,0,False,False,False,False,6825,0,0,3,1,3,0,2,1,618,51073,7798,9209,0,0,0,0,26968,3628,5261,0,0,60,47,44,5,3,4,2,12,100,28,0,86173,0,0,707,0,154,492,93,1,0,8131,0,0,0,0,9,0,15,3,0,9,False,0,0,0,0,0,150,0,0,0.663336019431935,2,0.1907009296596886,4,9,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,1341.7290258053283,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,1,0.0,0,1,0,0,0,60,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48,0,0,2,7,0,1,0,4,0,0,4,0,0,0.2210311075995507,0,0,0,0,0,0,0,7,0,0.4635078907012939,0.7146216721432451,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.98024759099022,-0.1788736737330013,-103.8808860204405,330.1113648742539,510.9526490183182,647.1202331475655
7,0,0,10074,0,1,845,1290,845,24440,11,1,0,0,False,False,False,False,6525,0,0,2,0,1,0,0,1,424,35029,7968,12140,0,0,0,0,25502,1996,10317,0,0,50,32,44,6,3,4,3,12,100,19,0,63027,0,0,1354,0,120,716,218,1,0,2495,0,1657,0,0,10,0,8,1,1,5,False,0,0,0,0,0,0,0,0,0.669725955655095,1,0.2071664133492782,11,4,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,3,1531.4825823,0.0,1.0,2,0,0,0.0,0,0,0.7272727272727273,1,0,0,1,1.0,0,0,0,0,0,36,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,4,0,0,0,8,0,0,1,0,0,0.1427981624182434,0,0,0,0,2,0,0,5,0,-0.6503286361694336,0.3287685471235751,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,29.756780600000184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.1551132305032,-0.1567108909848422,-157.7295117762437,269.81697655315213,390.4060071659882,944.7316063021212
8,0,0,12376,0,4,8047,14273,8047,39850,5,2,0,0,False,False,False,False,10460,0,1,0,1,4,63,2,1,337,68040,9116,6370,12,0,0,0,54673,4360,9385,0,0,45,63,65,9,3,4,3,12,100,26,6,122714,0,2,390,0,138,2042,115,1,0,0,0,2080,2,4,3,0,22,2,7,6,True,0,0,8,0,0,0,0,0,0.3972317105763503,2,0.171018989821476,5,0,0,1,0.0,0.0,0,0,8,2,0,0,0,0,1,770.7668109338974,1,1,1569.4555837500736,0.0,1.0,6,0,0,0.0,0,1,2.4,4,0,0,1,0.0,0,0,0,0,0,62,0.0,0,0,5.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,1,4,1,0,0,12,0,0,6,0,1,0.1359060276107712,0,1,0,0,5,4,0,6,0,-0.0038322806358337,0.8750448346480357,7,3,0,1103.1463417137577,0.0,0.0,0.0,1245.1745238135968,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-28.557673414947253,0.2293789029313032,-52.26016005118192,411.5822114930684,515.1850159837071,681.8287889632988
11,0,0,15758,0,1,5163,6248,5163,59901,2,0,0,0,False,False,False,False,11175,1,1,0,1,3,0,3,1,804,80713,14595,8960,12,0,0,0,73679,10128,11941,0,0,46,79,70,8,2,4,4,12,100,36,4,155620,0,2,2960,0,231,2035,78,1,0,1228,56,1212,4,5,2,0,12,1,2,4,True,0,0,1,0,0,0,0,0,0.0,0,0.2200060309216182,2,3,0,0,0.0,0.0,0,0,8,2,0,0,0,0,1,859.5382999453725,1,4,1657.459687919472,0.0,1.0,3,0,0,0.0,1,0,7.0,0,0,1,0,0.0,0,0,0,0,0,82,0.0,0,0,51.25,1,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,18,0,0,0,4,0,2,0,14,0,0,1,0,0,0.2818369788242004,0,2,0,0,2,5,5,11,0,-0.4427756071090698,0.4496391873910125,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09118094355857,0.2533998280991107,55.27736250104888,437.259503372737,896.9991914954095,800.5262569405337
7,0,2,18683,0,3,6329,8483,6329,50040,2,1,0,0,False,False,False,True,11975,1,1,0,1,3,0,2,1,1063,86530,12731,14898,2,0,0,0,48481,4599,6686,0,0,83,73,66,10,3,4,4,12,200,27,0,143052,0,2,7412,0,211,1320,49,1,0,8040,0,1764,4,5,3,0,36,1,9,9,True,0,0,0,1,0,0,0,0,0.0,1,0.2090427729871387,2,2,0,1,0.0,0.0,0,0,6,2,0,0,0,0,1,898.9079644544196,0,2,2032.9411607055283,0.0,1.0,4,0,0,0.0,0,0,5.0,1,0,0,1,0.0,0,0,0,0,0,77,0.0,0,0,17.0,7,3.0,0,0.0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,11,0,0,1,8,0,2,1,10,0,0,2,0,1,0.1700956789368099,0,1,0,1,2,5,0,10,0,0.043431282043457,1.0757974933232874,9,0,0,1458.8312778602703,0.0,0.0,0.0,1615.53706732235,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9.385416739448733,0.0,150.3437511658863,374.3541695697098,511.50521229995593,689.1197970106555
3,0,0,11197,0,1,2022,2727,2022,21103,3,0,0,0,False,False,False,False,5950,0,0,2,1,3,0,2,1,735,38166,9611,8798,0,0,0,0,41903,3731,6615,0,0,57,43,36,7,3,12,3,4,200,24,0,87086,0,0,1802,0,151,373,107,1,0,7017,0,257,1,1,10,0,10,0,1,5,False,0,0,0,0,0,0,0,0,0.0,0,0.183202312963613,3,2,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,1,1420.9999201685432,0.0,1.0,2,0,0,0.0,0,0,2.0,1,0,0,1,0.0,0,0,0,0,0,63,0.0,0,0,31.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,1,5,0,6,0,6,0,0,5,0,0,0.2232224090705392,0,0,0,0,1,1,0,7,0,-0.3256231546401977,0.4537169908019905,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.889515375309372,-0.1266713653148203,-24.99648275545787,335.38355156520583,563.3497853434441,661.6889886161829
8,0,0,13277,0,5,2655,4084,2655,27398,2,5,0,0,False,False,False,False,8575,0,0,0,0,0,0,0,0,955,53994,7024,6857,8,0,0,0,40818,1824,7384,0,0,65,52,63,6,3,12,1,4,200,19,0,98162,0,4,788,0,167,1411,53,1,0,3350,0,607,1,3,2,0,26,5,5,8,True,0,0,0,0,0,0,0,0,0.4004134234326978,5,0.2042643498928241,2,2,0,1,0.0,0.0,0,0,4,6,0,0,0,0,1,869.2903987,1,3,1556.9927805,0.0,1.0,4,0,0,0.0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,0,75,0.0,0,0,10.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,14,0,0,0,3,0,2,1,8,0,0,2,0,1,0.1509341793873458,0,1,0,0,3,3,0,7,0,0.7566908597946167,1.0142990426159486,5,2,0,1501.4772194,0.0,0.0,0.0,1256.5879005,0.0,15.43663800000013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-32.10034152114041,0.1926791207751525,53.79601052042258,352.02475365620364,341.00350794786493,572.218452878048
4,0,0,11279,0,5,3524,5867,3524,36062,8,1,0,0,False,False,False,True,9375,0,0,1,1,4,0,2,1,333,49480,11675,10890,4,0,0,0,38398,6353,12584,0,0,43,40,53,7,3,12,3,4,200,29,0,91738,0,4,0,0,148,1436,266,0,0,3860,0,886,2,2,8,0,18,1,3,5,False,0,0,0,0,0,450,0,0,0.0,1,0.2508695852992561,8,0,0,0,0.0,0.0,0,0,7,6,0,0,0,0,1,923.6465915743536,0,0,1521.3689025827398,0.0,1.0,2,0,0,0.0,0,0,1.0,1,0,0,2,0.0,0,0,1,0,0,59,0.0,0,0,22.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,0,0,2,4,0,0,1,8,0,0,4,1,0,0.2830732859708129,0,1,0,0,2,2,0,7,0,-0.2669376730918884,0.7311303845329027,3,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.778515014233605,-0.1183144993265107,-84.43711435268652,384.9559426420239,710.9912646194454,960.7531726977096
2,0,0,15236,0,0,1341,1341,1341,28683,7,0,0,0,False,False,False,False,9250,0,0,2,0,2,0,0,1,350,59004,3233,15001,0,0,0,0,44411,1488,2644,0,0,76,66,54,9,4,14,4,12,200,8,0,104288,0,0,1126,0,211,658,245,1,0,872,872,984,1,1,10,0,10,0,3,2,False,0,0,0,0,0,0,0,0,0.0,0,0.1742343666687923,7,18,0,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0,0,1691.215367023222,0.0,0.0,2,0,0,0.0,0,0,0.5714285714285714,0,0,0,0,0.0,0,1,0,0,0,75,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,93,0,0,1,2,0,0,0,4,0,0,1,0,0,0.1019942409060779,0,1,0,0,0,1,0,10,0,-0.6194742918014526,0.3596643989622296,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.04041838032242,-0.3547744490141931,-116.96913583997949,348.6013736013461,198.42534933363825,660.9093210685404
