assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,1,13436,0,4,2439,5582,2439,27923,2,3,0,0,False,False,False,False,8175,0,1,0,0,2,0,0,1,477,93813,13597,15228,0,0,0,0,20640,2263,13572,0,0,86,31,55,7,4,12,5,4,100,55,0,119141,0,0,12186,0,161,530,42,1,0,4688,120,967,1,2,3,0,13,3,0,8,True,0,0,0,0,0,0,0,0,0.74672851488779,3,0.3012031753398584,2,2,0,0,0.0,0.0,0,0,82,0,0,0,0,0,1,851.0729379999999,0,1,1569.9501064,0.0,0.0,7,0,0,0.0,0,0,5.0,0,0,0,0,1.0,0,0,0,6,4,64,0.0,0,0,3.0,3,1.0,0,0.0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,14,23,0,0,5,0,4,0,10,0,0,1,0,0,0.2036777261906305,0,2,0,0,1,2,10,7,0,-0.5875909328460693,0.5214654482875414,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.91875205901129,0.1528711001844102,7.452466133990001,333.0296917517378,610.7582630117652,1137.6667275723812
10,0,0,15029,0,5,3701,9358,3701,38260,4,2,0,0,False,False,False,False,10100,0,0,1,0,1,0,0,1,695,90464,11950,9234,0,0,0,0,29609,2656,23469,0,0,67,27,50,8,2,12,3,4,100,55,0,126874,0,0,10480,0,205,427,112,1,0,6801,0,791,1,1,8,0,14,4,2,7,False,0,0,0,0,1,0,0,0,0.0,2,0.2814067513634117,4,8,0,0,0.0,0.0,0,0,98,0,0,0,0,0,0,0.0,1,3,1799.561393379992,0.0,0.0,8,0,0,0.0,0,0,2.75,1,0,0,0,0.0,0,0,0,7,2,64,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,47,19,0,0,5,0,10,0,11,0,0,2,0,0,0.1706078331901526,0,0,0,1,1,1,0,9,0,-0.2301450967788696,0.4889706313050787,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.307795120205355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.28525512105838,0.0333414576578052,-115.42812641132174,337.415551496989,487.0186720075611,1116.7721242481864
8,0,1,12141,0,3,6044,7228,6044,17815,0,1,0,0,False,False,True,False,9025,1,3,0,0,1,0,0,1,0,57070,6714,5258,0,0,0,0,22044,1707,13051,0,0,62,15,38,7,3,12,3,4,100,43,0,82635,0,0,8256,0,151,342,0,1,0,3520,0,869,3,7,0,0,28,1,4,9,True,0,0,0,1,0,150,0,0,0.3706600703282333,1,0.2260575410313717,0,0,0,1,0.0,0.0,0,0,67,0,0,0,0,0,1,782.0113231805113,0,0,1450.1255620058748,0.0,0.0,7,0,0,0.0,0,1,9.0,0,0,0,1,1.0,0,0,0,3,5,71,0.0,0,0,26.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,27,0,0,3,0,4,0,9,0,0,3,0,1,0.1191264930908076,0,1,0,0,5,7,5,7,0,1.2626631259918213,1.166011416609026,4,3,0,1179.7875567423027,0.0,0.0,0.0,1275.4570328522775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1416.644525273015,0.0,0.0,124.95469685353076,0.2068786371747198,70.33873663940473,417.3569626362797,348.4250007296631,793.5450764747902
10,0,0,13904,0,2,4484,9296,4484,27938,6,0,0,0,True,False,False,True,10450,0,0,0,1,3,0,2,1,490,91002,16740,11613,4,0,0,0,19551,2450,14643,0,0,95,38,57,8,4,12,3,4,100,68,0,110553,0,0,11111,0,162,471,154,1,0,0,0,3054,2,2,4,0,16,0,2,8,True,0,0,0,1,0,0,0,0,0.0,0,0.2819569049731499,6,0,0,1,0.0,0.0,0,0,90,1,0,0,0,0,1,958.4353990792016,0,2,1569.4409880393514,0.0,0.0,10,0,0,0.0,0,0,2.1666666666666665,0,0,0,0,0.0,0,1,0,6,5,63,0.0,0,0,20.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,28,0,1,8,1,1,1,13,0,1,4,0,1,0.1868344569133426,0,0,0,0,3,2,0,7,0,-0.1415145397186279,0.6220304485654428,2,0,0,1309.3900088308762,0.0,0.0,0.0,1420.933377253289,0.0,21.028388055241976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.934225216515145,0.1146905180709392,53.86631332065114,395.9881287262629,733.6752440997984,1120.5645917257668
11,0,1,12796,0,3,7490,12196,7490,29791,0,2,0,0,False,False,False,False,7850,0,1,0,0,1,0,0,1,0,88222,9563,8961,4,0,0,0,30055,2298,13806,0,0,102,22,30,5,4,12,3,4,200,44,2,119791,0,0,11853,0,169,386,0,1,0,1513,3,460,1,5,0,0,15,2,1,10,True,0,0,2,0,0,0,0,0,0.1945410924265379,2,0.2651772500972457,0,2,0,0,0.0,0.0,0,0,69,0,0,0,0,0,1,899.3142710730656,0,2,1397.877853503732,0.0,0.0,8,0,0,0.0,0,0,12.0,0,0,0,1,0.0,0,0,0,5,5,52,0.0,0,0,11.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,13,22,0,0,8,0,4,0,12,0,0,2,0,0,0.1490488669111438,0,1,0,0,3,5,0,8,0,0.2358715534210205,0.6614565946746988,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.01416615481008,0.3862998463324309,91.59598578593418,406.5162049571615,509.27196408158807,997.0399033840042
5,0,0,14335,0,4,1879,11397,1879,56456,7,2,0,0,False,False,False,False,10275,0,0,1,1,5,15,3,1,848,87614,10261,26660,1,0,0,0,20886,1496,15660,0,0,79,19,46,9,4,12,4,4,100,54,0,127730,0,0,10797,0,173,632,174,1,0,19229,372,1363,1,1,8,0,20,3,4,5,False,0,0,0,0,0,450,0,0,0.0,2,0.2958892407758524,7,26,0,1,0.0,0.0,0,0,73,0,0,0,0,0,0,0.0,0,0,1740.11556056679,0.0,0.0,6,0,0,0.0,0,0,1.4285714285714286,0,0,1,0,0.0,0,1,0,4,2,50,0.0,0,0,8.25,0,0.0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,133,24,0,1,3,0,1,0,10,0,0,2,1,0,0.1270293086069386,0,0,0,1,1,1,0,8,0,0.221016526222229,0.7045058941987972,4,2,0,1099.190908005751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.30773423905293,-0.2068828117844891,-14.757640573960224,381.5953463364902,418.24808449097554,1506.2447916656038
19,0,1,17572,0,1,5870,14700,5870,57739,9,0,0,1,False,False,False,False,11500,0,0,1,0,3,0,0,1,290,122644,21011,13664,8,0,0,0,26977,4020,29661,0,0,106,46,57,16,5,12,4,4,100,88,4,150366,0,0,14670,0,177,565,270,1,0,744,338,958,3,3,6,0,11,0,2,4,True,0,0,1,1,0,0,0,0,0.0,0,0.3194347842539507,9,7,0,2,0.0,0.0,0,0,133,1,0,0,0,0,0,0.0,1,2,1817.874669887297,0.0,1.0,14,0,0,0.0,0,0,2.4444444444444446,0,0,0,0,0.0,0,0,1,13,4,68,0.0,0,1,15.75,2,1.0,0,0.0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,43,28,0,1,4,0,4,0,22,0,0,3,0,1,0.1917535344946573,0,1,0,0,2,3,0,8,0,-0.6113849878311157,0.3715896573002053,2,0,1,1323.198833623958,0.0,0.0,0.0,1607.0267739601854,0.0,40.51114200462962,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-65.35103985323987,0.1320223027338179,72.51324977654949,409.6982109587205,837.3514550892401,1461.6519191417815
18,0,1,16560,0,7,5772,17383,5772,61194,3,5,0,0,False,False,False,False,12400,0,1,1,2,6,4,3,1,1188,105962,18845,12344,0,0,1,0,31704,6140,28532,0,0,102,48,54,11,3,12,4,4,200,88,0,150372,0,0,18455,0,169,425,100,1,0,12705,0,1875,2,4,6,0,37,6,5,13,True,0,0,0,2,0,375,0,0,0.7975203605730896,5,0.2893164051220168,3,18,0,0,0.0,0.0,0,0,127,0,0,0,0,0,1,757.9321239999999,2,6,1952.0392955,0.0,1.0,15,0,0,0.0,0,0,8.0,0,0,1,0,0.0,0,1,0,11,3,54,0.0,0,1,3.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,94,29,0,1,8,0,4,0,24,0,0,6,0,1,0.2298149839782808,0,2,0,0,2,4,5,7,0,0.3125169277191162,1.14619359221346,5,0,0,0.0,0.0,0.0,0.0,1795.4589763,0.0,7.866500999999971,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-44.7224603527455,0.3073708615308969,48.16501400189154,413.0757008113724,767.9660975349459,1314.0719072168904
10,0,1,12814,0,1,2623,9083,2623,24705,4,0,0,0,False,False,False,False,8350,0,1,0,0,2,0,0,1,551,78233,15084,5498,0,0,0,0,21311,3032,20131,0,0,96,20,48,6,4,12,2,4,100,54,0,103305,0,0,10182,0,140,415,126,1,0,3760,0,2317,0,0,1,0,15,0,1,7,True,0,0,0,1,0,0,0,0,0.0,0,0.2686765001387377,4,5,0,1,0.0,0.0,0,0,82,0,0,0,0,0,1,891.1536698981215,2,0,1575.0883717845754,0.0,0.0,7,0,0,0.0,0,0,3.0,3,0,0,1,0.0,0,0,0,7,8,63,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,27,36,0,1,7,0,0,0,12,0,0,1,0,1,0.2277816382237414,0,2,0,0,3,0,5,6,0,-0.2667718529701233,0.5738170003230938,1,0,0,1418.1416734811503,0.0,0.0,0.0,1365.9735895481667,0.0,7.4881915603778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98862522940812,0.190465503633996,32.64578732286693,343.79023405936294,690.0946127666946,1064.6259791125844
12,0,1,13270,0,7,8174,20110,8174,30390,5,5,0,1,False,False,False,True,10100,0,2,0,0,2,0,0,1,618,104857,13696,6914,13,0,0,0,24016,1520,18189,0,0,101,26,73,10,3,4,5,12,200,57,4,143665,0,0,7094,0,127,477,121,1,0,14791,161,4348,5,6,2,0,31,6,7,9,True,0,0,6,1,0,0,0,0,0.7042323421224759,5,0.2440653433186309,5,1,0,3,0.0,0.0,0,0,79,1,1,1,0,0,1,820.1076588999999,0,1,1741.6687585,0.0,0.0,9,0,0,4.0,0,1,2.8,0,0,0,2,0.0,0,0,0,3,3,39,0.0,0,0,2.0,6,1.0,0,0.0,0,0,0,0,0,0,1,0,12,0,0,0,1,0,0,12,23,0,0,4,0,0,1,14,0,0,1,0,1,0.1311349509533673,0,1,0,0,7,6,0,5,0,-0.1018826365470886,1.0903778924794485,7,2,0,890.7063463,0.0,0.0,0.0,1403.633965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.64396191585014,0.2066983163377446,36.96454890506667,388.7995330312977,529.8022344930291,1014.6131354632092
