assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
0,0,0,6369,0,2,287,287,287,10417,5,0,0,0,False,False,False,False,3860,0,0,0,0,1,0,0,1,220,35931,5356,1069,0,0,0,0,10222,1350,9316,0,0,61,20,19,3,3,4,1,12,100,3,0,46154,0,0,1606,0,88,17,104,1,0,0,0,1169,0,0,3,0,5,1,0,4,False,0,0,0,0,0,450,0,0,0.0,0,0.2388902270895984,5,0,0,0,0.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0,0,953.7159018982828,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,1,0,1,0,58,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,1,2,0,1,0,0,1,0,0,0.2768608231245624,0,1,0,0,0,0,0,4,0,-0.5282048583030701,0.3325083207921601,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-193.831307239455,-0.5032945335656086,-111.2280919179995,288.7023268165722,421.9495545780672,726.9460419188259
5,0,0,15303,0,2,12958,24094,12958,29380,4,0,2,1,False,False,False,True,15460,2,3,0,3,15,0,10,2,1188,134977,25328,10303,12,1,0,0,17343,2394,12625,0,0,93,43,43,10,5,14,4,6,100,3,0,157638,0,4,6655,0,184,21,137,1,0,5318,1043,1124,6,9,4,0,14,0,2,7,True,0,0,0,0,0,500,0,0,0.0,0,0.2174956887889758,4,9,0,1,1.0,0.0,0,0,14,3,1,0,1,1,1,541.1561523249652,0,1,1581.9884723025818,0.0,0.0,5,0,0,0.0,1,2,5.0,0,0,1,5,0.0,0,1,0,12,0,79,1.0,1,0,28.0,0,3.0,0,0.0,0,1,2,0,0,3,0,0,8,0,1,0,1,0,0,49,0,0,10,7,0,0,1,20,0,0,8,1,1,0.2837637334334246,0,1,0,0,5,9,15,8,0,0.0103919506072998,0.561166649488978,2,1,0,1273.0187262358138,0.0,0.0,962.0825125240732,1320.1989630242376,1.0,34.802989811194266,0.0,0.0,0.0,0.0,0.0,1406.8066381198646,0.0,0.0,213.983860139818,0.5689042719066413,56.283595967297046,652.8745424400615,1091.0066857110962,912.2569634780295
5,0,4,18832,0,3,4788,12698,4788,33838,5,2,0,0,False,False,False,False,12650,0,1,0,2,7,0,4,1,478,145448,23894,11492,8,0,0,0,22192,3720,18493,0,0,159,60,67,11,4,6,4,12,100,21,0,169985,0,0,10492,0,214,330,173,1,0,2344,1636,432,2,3,0,0,21,2,0,12,True,0,0,0,2,0,450,0,0,0.7427764220511284,2,0.3028743068037792,5,1,0,1,0.0,0.0,0,0,24,0,0,0,0,0,1,757.7538992929591,0,2,1949.724921223429,0.0,0.0,6,0,0,0.0,0,0,2.4,2,0,1,2,0.0,0,0,0,8,0,77,0.0,0,0,53.0,0,2.0,0,0.0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,2,10,0,0,2,10,0,9,0,12,0,0,1,0,2,0.3197125664936112,0,1,0,0,2,3,5,10,0,0.2504103183746338,0.6576593721483087,0,0,0,1760.1988788618007,0.0,0.0,0.0,1350.1947705814127,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.955383169254,0.1846414312507758,111.70806590671936,417.5358232017544,900.1885244912822,936.0705092976832
2,0,0,13664,0,2,797,1511,797,37265,5,0,0,0,True,False,False,False,8885,0,0,1,1,3,0,2,1,841,97882,15135,3589,4,0,0,0,16828,2874,22802,0,0,133,77,46,4,4,12,3,4,100,20,4,114808,0,0,6980,0,187,293,156,1,0,97,97,1369,0,0,7,0,18,0,1,9,False,0,0,1,1,0,450,0,0,0.0,0,0.2421741953432176,5,10,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,2,1595.7222559288116,0.0,0.0,0,0,0,0.0,0,0,1.0,2,0,0,0,0.0,0,0,0,0,0,71,1.0,0,0,14.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,53,0,0,2,9,0,0,0,5,0,2,4,0,1,0.3141039904722475,0,0,0,0,1,0,0,8,0,0.1553897857666015,0.6808591011608305,26,23,0,0.0,0.0,0.0,0.0,1334.3937067770012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.39992232060407,-0.0376005283983936,28.914806338364688,371.9444269169096,680.8327677097132,1043.828268867805
4,0,0,11889,0,4,1997,1997,1997,24400,4,0,0,0,False,False,False,False,9705,0,0,1,1,4,0,2,1,1092,86398,17949,12437,0,0,0,0,16246,2369,11692,0,0,91,36,42,8,4,12,5,6,200,22,0,117102,0,0,6111,0,183,260,169,1,0,14457,1131,1109,1,1,7,0,12,1,1,7,False,0,0,0,0,0,0,0,0,0.0,0,0.23083930123967,4,3,0,0,0.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,0,1560.1950427687689,0.0,1.0,4,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,5,0,80,0.0,0,0,66.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,21,0,0,2,7,0,9,0,8,0,0,2,0,0,0.3004855532924074,0,0,0,0,3,1,0,8,0,0.1434078216552734,0.4977954059345165,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.22148950973325,-0.2691971122114677,-37.03383129423478,380.337062824488,824.8584085462531,970.6478731739207
5,0,0,14075,0,5,3194,8710,3194,21099,3,2,0,0,False,False,False,False,8450,0,0,2,0,3,0,0,1,603,115187,15425,6328,0,0,0,0,22236,3847,12857,0,0,124,40,46,6,4,12,5,6,100,17,0,137426,0,0,3894,0,210,266,107,1,0,2,0,730,1,1,9,0,26,3,2,8,False,0,0,0,0,0,0,0,0,0.7221598340011873,2,0.2056586925780218,3,8,0,2,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,1,1625.8886424,0.0,0.0,4,0,0,0.0,0,0,2.6666666666666665,0,0,0,1,0.0,0,0,0,4,0,85,1.0,0,0,39.25,0,2.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,41,0,0,2,6,0,0,0,8,0,1,3,0,0,0.3377918779547276,0,1,0,0,2,1,5,9,0,0.6900306940078735,0.9750076757470804,2,2,0,1054.4385803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.568715545140337,0.0,41.10982650160863,370.874108026182,711.1926178985651,734.9211802329766
0,0,4,9716,0,1,2040,3010,2040,10089,0,0,0,0,False,False,False,False,6250,0,0,0,1,4,0,4,1,0,44218,4167,501,4,0,0,0,12553,1737,8368,0,0,60,28,32,2,2,12,3,6,200,3,2,56771,0,0,2100,0,123,22,0,1,0,0,0,24,0,0,0,0,6,0,0,4,True,0,0,2,0,0,0,0,0,0.0,0,0.2666294181093712,0,0,0,0,0.0,0.0,0,0,11,0,0,0,0,0,1,668.6320849073137,0,0,925.1541805690772,0.0,0.0,0,0,0,0.0,0,0,4.0,0,0,1,3,0.0,0,1,0,1,0,71,1.0,0,0,23.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,4,0,4,0,0,4,0,0,0.2166055691305966,0,1,0,0,3,0,5,5,0,-0.1954990625381469,0.4011166664852651,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.44669369542913,0.2594162195239415,198.19399171629132,421.2270864520001,382.8983400173377,576.811964111484
2,0,0,11133,0,1,337,337,337,31513,4,0,0,0,False,False,False,False,7750,0,0,1,1,3,0,3,1,851,64436,10956,1625,0,0,0,0,11121,2338,14183,0,0,93,39,36,4,5,14,3,12,200,13,0,79304,0,0,2848,0,143,146,61,1,0,3747,742,635,0,0,6,0,13,0,1,7,False,0,0,0,0,0,300,0,0,0.0,0,0.2004309088131463,4,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,1065.4298846318777,0,0,1434.0158728107124,0.0,0.0,0,0,0,0.0,0,0,1.25,0,0,1,0,0.0,0,2,0,1,0,51,0.0,0,0,5.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,2,7,0,0,0,5,0,0,4,0,0,0.2804618393934801,0,0,0,0,1,0,0,6,0,-0.4716036319732666,0.5834858045423351,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.30045494321078,0.0,-48.74423032919014,346.43967993621834,587.2738342493673,688.0258571100452
3,0,0,12081,0,5,538,7752,538,26846,8,2,0,0,False,False,False,False,8725,0,0,2,0,2,0,0,1,584,98241,18565,8251,11,0,0,0,19779,2280,16201,0,0,111,43,45,8,4,6,3,12,200,7,7,122228,0,0,5429,0,180,73,260,1,0,4207,90,585,0,0,9,0,25,3,3,9,False,0,0,5,0,0,0,0,0,0.6764112637717985,2,0.2688478322279965,8,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,1561.95894873296,0.0,0.0,0,0,0,0.0,0,0,0.625,0,0,0,0,0.0,0,1,0,2,0,89,0.0,0,0,8.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,7,0,0,2,7,0,6,0,5,0,0,0,0,0,0.3025730760078551,0,0,0,0,2,0,0,8,0,-0.1563735008239746,0.9773361055845428,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.826137259638,-0.3073064118550423,-119.73426071902088,330.77693906047125,804.1824665231641,961.8306558048008
4,0,2,20081,0,7,334,17416,334,82199,5,4,2,0,False,False,False,False,14825,0,0,0,3,15,0,8,3,663,165314,42545,18388,8,0,0,0,25687,4736,23045,0,0,209,62,106,10,3,12,5,4,100,42,0,197127,0,8,20964,0,217,433,233,1,1,6127,1612,6342,0,0,6,0,20,5,4,8,True,0,0,2,2,0,300,1,0,0.7762930430824879,4,0.2992041683058368,5,7,0,4,0.0,0.0,0,0,40,4,0,0,0,0,1,817.0373268278316,0,1,2227.615089305176,0.0,1.0,9,0,0,0.0,0,0,3.8,1,0,2,1,0.0,0,1,0,9,0,82,0.0,1,0,9.0,3,1.0,0,0.0,0,0,3,1,0,3,0,0,12,0,0,0,0,0,0,41,0,0,5,4,0,12,0,19,0,0,2,0,2,0.3204932433617538,1,1,0,1,1,0,5,10,0,-0.2787068486213684,0.5626122677038646,4,1,0,1070.2186498093165,0.0,0.0,1590.699914715252,1304.4017487030526,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2172.4560690899107,0.0,21.493838962517728,0.1885424470396292,-30.516941785128555,454.2256895537581,1316.9151233012271,1286.8291356807606
