assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,1,10530,0,0,3957,4518,3957,10549,1,0,0,0,False,False,False,False,6100,0,0,0,0,1,0,0,1,163,36757,3662,3967,0,0,0,0,41880,2575,6517,0,0,50,35,19,10,3,12,2,4,100,18,0,88238,0,0,798,0,142,377,8,1,0,9600,0,0,1,1,0,0,12,0,0,6,True,0,0,0,0,0,0,0,0,0.0,0,0.1635366963274878,1,2,0,0,0.0,0.0,0,0,29,0,0,0,0,0,1,951.6186792896816,0,0,1233.1450565834607,0.0,0.0,5,0,0,0.0,0,0,5.0,0,0,0,0,0.0,0,0,0,2,5,57,0.0,0,0,0.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,12,17,0,0,3,0,0,0,5,0,0,2,0,0,0.1091114017326056,0,2,0,0,4,1,5,6,1,0.0438836812973022,0.6018599283479491,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.26918034816015,0.1946243053229614,30.361391630381984,366.8668155337823,303.51660415115833,510.1589603278127
10,0,0,12497,0,1,4577,6059,4577,25221,4,0,0,0,False,False,False,False,8000,1,1,0,0,2,4,0,1,535,48061,8222,7478,0,0,0,0,43380,4777,13616,0,0,54,61,34,12,4,4,2,12,100,23,0,94597,0,0,990,0,145,261,127,1,0,3155,170,1250,1,2,3,0,6,0,0,6,True,0,0,0,1,0,0,0,0,0.0,0,0.2413961791664778,4,1,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,1,0,1394.19298000184,0.0,0.0,3,0,0,0.0,0,0,3.0,0,0,0,0,0.0,0,1,0,2,5,62,0.0,0,0,20.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,27,0,2,5,0,0,0,12,0,0,2,0,1,0.1991819990522151,0,0,0,0,4,2,0,6,0,-0.5283176898956299,0.2962825807819498,0,0,0,0.0,0.0,0.0,0.0,1240.978028102193,0.0,10.889098900530826,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,24.91764088494704,0.2582138951807983,28.44656411908462,379.48835461738,566.7794999218524,961.6315813024898
13,0,4,17305,0,1,2841,5576,2841,36412,1,0,2,0,False,False,False,False,11950,0,1,0,2,7,0,4,2,1205,66981,17264,9328,0,0,0,0,60503,7174,14069,0,0,88,68,24,12,3,12,3,4,200,50,0,145579,0,0,8576,0,196,478,41,1,0,18095,0,3727,0,1,5,0,15,0,1,8,True,0,0,0,1,0,0,0,0,0.0,0,0.2232749789555117,1,0,0,1,0.0,0.0,0,0,69,0,0,0,0,0,1,737.4122031078754,0,3,1949.4232145226288,0.0,1.0,8,0,0,0.0,0,0,20.0,0,0,2,0,1.0,0,2,0,2,9,60,0.0,0,0,5.0,1,1.0,0,0.0,0,0,2,0,0,2,1,0,13,0,0,0,0,0,0,5,44,0,1,8,0,2,0,20,0,0,5,0,1,0.218221229060714,0,1,0,1,0,1,5,9,0,-0.414821982383728,0.487246453855553,1,0,0,1387.7326510153987,0.0,0.0,0.0,1835.771722796396,0.0,25.690098584208727,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.45486622516749,0.430896684589702,64.6960593576824,382.9132609271773,752.1609412859383,834.8623263925475
20,0,1,17685,0,4,0,5395,0,75463,10,3,0,0,False,False,False,False,10925,0,0,0,0,2,0,0,1,313,71774,15957,13327,0,0,0,0,53605,6923,33390,0,0,93,86,36,21,6,4,6,12,200,56,0,165803,0,0,12259,5728,202,550,378,5,0,40423,605,8322,0,0,6,0,42,3,16,7,True,0,0,0,0,0,0,0,0,0.0839354169027869,3,0.2299448773675974,10,7,0,0,0.0,5728.052734375,0,0,82,0,0,0,0,0,0,0.0,0,5,2457.9741271068447,0.0,0.0,15,0,0,0.0,0,0,2.2,2,0,0,0,0.0,0,0,0,1,10,60,0.0,0,0,11.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,38,59,0,0,4,0,9,0,22,0,0,4,0,0,0.1334766646126152,0,0,0,1,0,0,0,9,0,0.1502710580825805,1.0410703048828855,16,2,1,0.0,0.0,0.0,0.0,0.0,0.0,14.936339961130216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126.12826009072302,0.0488206928936415,-69.10569079094965,290.263429599146,573.3013966500331,1343.5210580865694
2,0,0,7350,0,3,0,0,0,5952,2,0,0,0,False,False,False,False,4850,0,0,0,0,2,0,0,1,186,22004,2644,6551,0,0,0,0,23580,1946,3147,0,0,39,32,16,4,2,4,3,12,200,9,0,45584,0,0,121,0,108,227,24,1,0,0,0,80,0,0,2,0,8,0,1,5,False,0,0,0,0,0,0,0,0,0.0,0,0.1822729952836091,2,0,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,912.6785329247988,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,0,1,0.0,0,1,0,1,7,74,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,15,0,2,5,0,0,0,4,0,0,4,0,0,0.2050027080554439,0,0,0,0,0,0,0,5,0,0.7112622261047363,0.5856637621487042,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.762865918847474,0.0657405623508225,11.175895599639835,343.9546222195037,301.7491811902756,642.8769592286939
18,0,2,20063,0,2,2065,8664,2065,47689,3,2,0,1,False,False,False,False,13090,0,2,0,2,5,66,3,1,1223,84636,16635,5072,4,0,1,0,68805,8593,18839,0,0,96,107,41,16,7,4,7,12,200,43,0,154777,0,0,9979,4057,206,577,91,6,0,1335,135,3427,1,5,5,0,30,2,0,14,True,0,0,0,1,0,375,0,0,0.0,2,0.1810260210833081,3,2,0,2,0.0,4057.859130859375,0,0,58,0,0,1,0,0,0,0.0,0,3,2061.568182630321,0.0,1.0,12,0,0,0.0,0,0,7.666666666666667,3,0,1,0,0.0,0,0,0,7,8,49,0.0,0,0,18.0,4,3.0,0,0.0,0,0,0,0,0,1,1,0,19,0,0,0,2,0,0,16,48,0,0,12,0,18,0,23,0,0,2,0,2,0.1830989385602187,0,2,0,0,2,5,5,9,0,0.10791015625,0.9021280982380552,0,0,1,1134.6533507594263,0.0,0.0,0.0,1309.521679975731,0.0,27.71866211398583,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.090928129632978,0.3783527542634126,114.99013323805715,398.6964908195761,738.1953276259383,795.6758422159568
7,0,1,12449,0,2,8124,9887,8124,21674,1,2,0,0,False,False,False,False,9150,0,0,0,1,4,0,3,1,1077,59806,12820,6042,0,0,0,0,49421,5536,9663,0,0,66,53,24,12,2,12,2,4,100,32,0,112720,0,0,2690,0,163,394,41,1,0,3492,0,3933,3,4,1,0,20,2,2,7,True,0,0,0,0,0,0,0,0,0.6395165998244903,2,0.2842101028131258,1,5,0,0,0.0,0.0,0,0,42,0,0,0,0,0,1,840.6469512188168,0,0,1353.3540922919717,0.0,1.0,3,0,0,0.0,0,0,11.0,0,0,1,0,0.0,0,2,0,5,7,71,1.0,0,0,24.0,0,3.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,29,30,0,3,4,0,2,1,11,0,0,4,0,0,0.2034095482017248,0,2,0,0,3,4,10,7,0,0.342037558555603,0.8903939889471868,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.9933866885482,0.4433429531985014,140.98305911712345,437.9341691694797,813.8003248911692,870.7255600818569
5,0,0,15202,0,3,904,904,904,63820,4,1,0,0,False,False,False,False,9710,0,0,1,0,1,0,0,1,874,54886,9572,22982,0,0,0,0,71350,7456,10069,0,0,107,60,26,13,4,12,1,4,200,49,0,126533,0,0,5054,0,193,660,111,1,0,296,0,3261,0,0,9,0,17,2,2,6,False,0,0,0,0,0,0,0,0,0.0,1,0.3046420850511648,4,1,0,0,0.0,0.0,0,0,57,0,0,0,0,0,0,0.0,0,0,1949.724921223429,0.0,0.0,3,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,2,12,55,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,60,0,1,5,0,6,0,6,0,0,2,0,0,0.2365316202185332,0,1,0,0,2,0,0,9,1,-0.2002624869346618,0.5259548612486169,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.955383169254,-0.1846414312507758,-111.70806590671936,297.58044003250035,524.0123818897017,1117.4807155015703
9,0,0,13906,0,6,1168,1271,1168,44443,3,3,0,0,False,False,True,False,9450,0,0,2,1,3,4,2,1,1310,49570,16202,11120,0,0,0,0,55175,8433,24689,0,0,74,82,34,18,3,4,2,12,200,52,0,104748,0,0,3834,0,156,514,93,1,0,2,0,410,0,1,10,0,20,4,2,7,False,0,0,0,0,0,0,0,0,0.2789845797433551,3,0.3199329323221517,3,0,0,0,1.0,0.0,0,0,73,0,0,0,0,0,1,661.7382861,0,1,1643.8592485,0.0,1.0,7,0,0,0.0,0,1,4.0,2,0,0,1,0.0,0,0,0,6,10,73,0.0,0,0,23.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,47,0,1,4,0,0,0,12,0,0,4,0,0,0.3307483005848954,0,1,0,0,5,1,5,7,0,1.080120086669922,0.7596139318408295,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.139382986839703,0.1459979011092323,-10.073855176537032,362.8047842564424,899.1645734564847,1321.9744950688216
7,0,2,11789,0,3,3481,7812,3481,19400,3,3,0,0,False,False,False,False,7825,0,1,0,1,2,0,2,1,361,35586,5544,8333,4,0,0,0,39835,3009,9604,0,0,76,49,23,7,3,12,2,4,100,24,0,79709,0,4,2496,651,118,320,58,4,0,4287,0,710,1,1,1,0,15,3,0,9,True,0,0,0,0,0,0,0,0,0.5267528327311609,3,0.2083548510427123,2,0,0,1,0.0,651.5709228515625,0,0,33,1,0,0,0,0,1,711.4631779306318,0,1,1420.9999201685432,0.0,0.0,6,0,0,0.0,0,0,3.0,0,0,0,0,0.0,0,1,0,1,11,52,0.0,0,0,6.0,1,1.0,0,0.0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,2,27,0,1,6,0,2,0,9,0,0,3,0,1,0.1213511699085865,0,1,0,0,1,1,5,5,0,0.482850432395935,0.6727944496358713,0,0,1,1078.2579966409965,0.0,0.0,0.0,1217.379468185644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.889515375309372,0.1266713653148203,24.99648275545787,352.2730669405152,361.1822863009909,787.3469830084847
