assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,0,14742,0,6,5057,5591,5057,17493,7,3,0,0,False,False,False,False,8825,1,1,0,0,2,0,0,1,687,1579,745,7813,0,0,1,0,106322,13790,14998,0,0,117,24,35,5,4,12,7,6,200,21,0,109980,0,0,3149,0,161,44,180,1,0,2078,598,717,2,5,4,0,22,3,2,8,True,0,0,0,0,0,0,0,0,0.6155191511239333,3,0.1686066803363576,7,8,0,2,0.0,0.0,0,0,22,0,0,0,0,0,1,900.4193161860303,0,0,1937.2983683958428,0.0,0.0,6,0,0,0.0,0,0,1.8571428571428568,0,0,0,0,0.0,0,0,0,0,1,74,0.0,0,0,10.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,47,7,0,0,5,0,6,1,13,0,0,1,0,1,0.1333820567026673,0,1,0,0,0,5,5,7,0,0.0357946157455444,0.6907280499419154,2,0,0,1253.9784591756827,0.0,0.0,0.0,1860.2489903213789,0.0,23.60901259817365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-106.81885835239424,0.0619419300390804,-82.13499923182069,317.607246275385,468.7145846057218,728.6848649797424
3,0,1,10989,0,3,2899,3774,2899,13461,7,0,0,0,False,True,False,False,8125,0,0,0,1,7,0,4,1,329,3682,480,791,11,0,0,0,100258,16700,16473,0,0,101,17,32,5,6,14,3,4,100,15,7,104930,0,4,1983,0,137,31,171,1,0,988,834,335,0,2,2,0,10,1,1,7,True,0,0,6,1,0,0,0,0,0.0,0,0.2404710108608612,7,0,0,1,0.0,0.0,0,0,15,6,0,0,0,0,1,750.9048925,0,1,1378.3526955,0.0,0.0,5,0,0,0.0,1,0,1.4285714285714286,0,0,1,1,0.0,0,0,0,0,3,60,0.0,0,0,13.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,5,5,0,3,7,0,2,0,10,1,0,3,0,1,0.2105229860247884,0,1,0,0,1,2,0,6,0,-0.418453574180603,0.4407699920610283,14,14,1,1129.7418937,0.0,0.0,0.0,1321.3067387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.05754974380577,0.0,-71.65074680989007,386.76603001571885,784.1969646295076,766.1319221470626
9,0,3,16058,0,6,2004,9920,2004,21180,7,3,0,0,False,False,False,False,11650,0,0,0,1,6,0,3,1,453,3943,132,9527,4,0,1,0,146777,22364,13595,0,0,164,30,43,5,4,4,3,12,200,30,0,155590,0,2,1310,0,194,97,227,1,0,4869,310,1519,0,1,5,0,26,5,1,11,True,0,0,0,2,0,300,0,0,0.1644257463800007,3,0.2301235768249362,6,0,0,1,0.0,0.0,0,0,25,2,0,0,0,0,0,0.0,2,1,1718.8744806203435,0.0,0.0,9,0,0,0.0,0,0,2.142857142857143,1,0,1,1,0.0,0,1,1,0,2,55,0.0,0,0,53.0,8,2.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,6,13,0,1,4,0,7,0,15,0,0,3,0,1,0.2445660166672607,0,1,0,0,3,1,0,9,0,0.3433659076690674,0.9189512449460562,1,0,0,1472.0188698754855,0.0,0.0,0.0,1346.2032930856074,0.0,33.16665843008764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-116.06432130401996,-0.0349065627982014,150.97088410222148,429.3158158550802,796.1139777385815,860.1675204732812
5,0,0,15665,0,3,1732,3156,1732,27412,7,1,1,0,False,False,False,False,12825,0,0,0,2,6,0,4,2,636,1531,396,13377,4,0,0,0,148165,23877,17176,0,0,151,28,43,4,5,12,5,4,200,24,2,158119,0,0,7479,0,194,59,238,1,0,8422,0,3620,1,2,3,0,27,1,3,12,True,0,0,2,1,0,750,0,0,0.0,1,0.2543437189117997,7,3,0,0,0.0,0.0,0,0,25,0,0,0,0,0,1,1114.313779516334,2,1,1924.197308152144,0.0,0.0,6,0,0,0.0,0,0,1.5714285714285714,0,0,1,1,0.0,0,0,0,0,0,64,0.0,0,0,20.0,1,1.0,0,0.0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,21,1,0,0,11,1,12,0,11,0,0,2,0,2,0.2435745484005587,0,0,0,0,0,2,0,9,0,0.1827892065048217,0.8524321707261034,3,3,3,0.0,0.0,0.0,0.0,1391.106381401502,0.0,18.3286403716354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.98101125734637,0.0623636669127445,22.54446558895716,397.8178312363975,756.9078253199807,1065.6079765380662
5,0,2,13420,0,4,2352,9608,2352,15099,7,4,0,0,False,True,False,False,8150,1,1,0,2,6,0,2,1,345,4623,989,6984,4,0,0,0,97817,12243,14964,0,0,122,28,17,4,3,12,3,4,100,17,0,111202,0,0,2969,0,156,61,180,1,0,8761,150,229,3,5,2,0,25,4,1,13,True,0,0,0,1,0,0,0,0,0.7059811891032468,4,0.2335582293663922,7,0,0,0,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,1,0,1521.3689025827398,0.0,0.0,6,0,0,0.0,0,0,1.5714285714285714,0,0,0,4,0.0,0,1,0,0,0,61,0.0,0,0,14.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,1,9,2,0,2,9,0,0,0,11,0,0,3,0,1,0.181106922854008,0,1,0,0,1,5,10,7,1,0.364140510559082,0.997364561501046,1,1,1,0.0,0.0,0.0,0.0,1386.6816178427243,0.0,10.754006401727338,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.778515014233605,0.1183144993265107,84.43711435268652,411.7344576562575,527.8009814955645,874.659655354452
12,0,1,17490,0,6,2394,17390,2394,26335,4,3,0,1,False,False,False,True,12050,0,2,1,3,10,0,4,1,649,2467,1805,19089,16,0,0,0,177653,20828,19663,0,0,173,31,29,8,8,6,4,12,100,24,2,181261,0,0,10712,0,187,56,145,1,0,1140,0,1935,3,4,7,0,36,4,6,7,True,0,0,2,0,0,0,0,0,0.7027620171681597,3,0.2285347324047514,4,3,0,2,0.0,0.0,0,0,25,0,0,0,0,0,1,846.1677981855402,0,1,2076.173660110966,0.0,0.0,11,0,0,0.0,0,0,5.5,1,0,1,2,1.0,0,0,0,0,3,51,0.0,0,1,9.0,5,1.0,0,0.0,0,0,0,0,0,2,0,0,16,0,0,0,1,0,2,22,9,0,3,4,0,6,1,22,0,0,9,0,1,0.1613665354764161,0,1,0,0,1,4,5,8,0,-0.3148988485336303,1.0486991218375514,6,2,1,1600.2293928801555,0.0,0.0,0.0,1860.5136837183309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.34511891348356,0.2311945331077677,47.30818133717697,420.7451509394987,654.0782334785133,1175.8553953861065
2,0,0,10285,0,3,0,1259,0,14432,6,3,0,0,False,False,False,False,6775,0,0,1,0,1,0,0,1,448,3441,1121,3082,0,0,0,0,76805,8474,13130,0,0,82,15,28,5,1,14,3,4,200,12,0,87797,0,0,593,0,152,17,126,1,0,7550,270,276,0,0,9,0,19,3,1,8,False,0,0,0,0,0,0,0,0,0.6771837568223785,3,0.184358242576316,6,2,0,0,0.0,0.0,0,0,12,0,0,0,0,0,1,747.0736599208906,0,2,1629.771537348866,0.0,0.0,1,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,0,63,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,11,0,0,5,0,2,0,3,0,0,0,0,0,0.1652955333708248,0,2,0,0,0,0,0,7,0,0.5305471420288086,0.7163669452724775,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211.57566695569824,-0.4785946877369196,-162.31722909477529,283.18079523633736,363.1797380403625,607.0421389303128
8,0,0,12460,0,2,2451,10258,2451,19161,2,0,0,0,False,False,False,True,8100,0,1,0,0,1,0,0,1,1066,2749,961,2138,0,0,0,0,99435,12652,14804,0,0,96,25,26,5,2,12,3,4,100,19,0,106636,0,0,3260,0,161,54,80,1,0,4452,0,440,1,4,3,0,15,0,1,9,True,0,0,0,0,0,0,0,0,0.0,0,0.2031959033416504,2,9,0,0,0.0,0.0,0,0,17,0,0,0,0,0,1,697.0556285629718,0,0,1580.515042318024,0.0,0.0,3,0,0,0.0,0,1,4.5,1,0,0,0,0.0,0,0,1,0,0,73,1.0,0,0,39.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,50,0,0,1,9,0,0,1,9,0,0,2,0,0,0.1681090931340445,0,1,0,0,5,4,5,7,0,0.9437978267669678,0.6071115099885845,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.677455898619737,0.2657361611592239,15.792320434605308,337.067339276107,516.8188711459535,659.8988127758271
2,0,0,5927,0,3,1157,1157,1157,8907,4,0,0,0,True,False,False,False,5550,0,0,0,1,3,0,2,1,354,874,399,682,0,0,0,0,45295,9359,11245,0,0,67,18,15,1,2,4,2,12,100,18,0,46169,0,0,869,0,83,29,67,1,0,0,0,0,0,0,0,0,7,2,2,3,True,0,0,0,0,0,0,0,0,0.0,0,0.3251059453220882,4,0,0,0,0.0,0.0,0,0,17,0,0,0,0,0,1,738.8831365423069,0,0,930.4343302135684,0.0,0.0,4,0,0,0.0,0,0,1.25,1,0,0,1,1.0,0,1,0,0,0,45,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,1,3,1,6,0,5,0,1,5,0,0,0.2422767678721442,0,1,0,0,2,0,0,3,0,0.0770373344421386,0.5076852878282345,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.322430063313699,0.1289720253254796,-99.69537557659574,361.831017050633,629.3189975756777,769.1891590411603
7,0,1,19430,0,3,3552,17396,3552,22282,2,2,0,1,False,True,False,True,14350,0,1,0,2,6,0,3,1,1667,4944,1067,5167,8,0,0,0,169475,16487,13677,0,0,173,19,28,5,2,14,4,4,200,10,0,176763,0,4,2363,0,249,24,104,1,0,2342,1034,2185,3,4,4,0,41,2,9,7,True,0,0,0,2,0,450,0,0,0.6935391025625441,2,0.1881139439297217,2,0,0,3,1.0,0.0,0,0,11,6,0,0,0,0,1,909.6285776847508,1,5,2332.263706110756,0.0,0.0,7,0,0,0.0,0,0,6.5,4,0,1,1,0.0,0,0,0,0,0,67,0.0,0,0,30.0,4,2.0,0,0.0,0,0,0,0,0,1,1,0,9,0,0,0,1,0,0,4,6,0,1,5,0,6,1,13,0,0,1,0,2,0.1428588474808441,1,2,0,0,0,4,0,12,0,-0.1030290126800537,1.0682682994426334,9,3,3,1094.379990891611,0.0,0.0,0.0,1270.6831234779752,0.0,51.50637853339731,0.0,0.0,0.0,0.0,1.0,0.0,2247.705832106083,0.0,36.73684059633142,0.1029043153958863,15.95016888636238,412.4919482644103,478.2220797235327,541.0194381938724
