assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
6,0,0,12638,0,1,5328,5328,5328,27190,9,0,0,0,False,True,False,True,10330,0,0,2,2,4,0,2,1,458,7215,2472,9302,0,0,0,0,105979,12300,21071,0,0,58,27,53,9,4,4,4,12,100,20,0,117461,0,0,6163,0,175,49,272,1,0,4267,37,2569,2,2,11,0,13,0,2,5,False,0,0,0,0,0,0,0,0,0.0,0,0.2290655838360687,9,2,0,0,1.0,0.0,0,0,20,0,0,0,0,0,1,749.6571570856174,0,0,1717.4497194492387,0.0,0.0,6,0,0,0.0,0,1,1.1111111111111112,1,0,0,1,0.0,0,0,0,0,0,62,1.0,0,0,41.5,0,2.0,0,0.0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,11,0,0,1,5,0,10,1,10,0,0,5,0,0,0.1995215573448807,0,1,0,0,5,2,0,8,0,0.2856707572937011,0.4594250709601846,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.67315284926507,-0.1746776028448772,-83.95005592724802,399.2081935416825,517.3601241059574,1150.8808541037583
9,0,0,14913,0,4,6438,12096,6438,25142,3,1,0,0,False,False,False,False,9475,0,0,0,1,3,0,2,1,513,5632,1670,6000,4,0,0,0,136049,11010,24945,0,0,80,30,73,7,3,12,3,4,100,16,0,141681,0,4,12787,0,204,33,99,1,0,0,0,1286,2,3,2,0,14,1,7,4,True,0,0,0,1,0,0,0,0,0.4423140435312444,1,0.2425848227938334,3,1,0,1,0.0,0.0,0,0,14,6,0,0,0,0,1,849.0401541128438,0,2,1668.7975001330526,0.0,0.0,4,0,0,0.0,0,0,4.0,1,0,0,0,0.0,0,0,0,0,0,73,0.0,0,0,22.00000002980232,1,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,9,0,0,0,3,0,13,0,12,0,0,2,0,1,0.1254406288405646,0,2,0,0,1,3,5,9,0,-0.1373378038406372,0.5223811240335059,7,2,1,1315.3593497912975,0.0,0.0,0.0,1457.1939502915752,0.0,19.340406152348805,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.90510831758657,0.0359540327662381,47.24359905483686,408.83330658489336,455.8971354758991,1158.8703841213862
0,0,0,7189,0,2,0,0,0,12223,3,1,0,0,False,False,False,False,4225,0,0,0,0,1,0,0,1,433,935,260,11567,0,0,0,0,39208,4129,2503,0,0,43,13,35,3,1,4,2,12,100,11,0,41743,0,0,1375,0,98,155,62,1,0,1600,0,93,0,0,1,0,8,1,1,5,False,0,0,0,0,0,150,0,0,0.4340021360677115,1,0.2858986001053918,3,24,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,917.7584537,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,1,0,0,0,63,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,1,4,0,2,0,1,0,0,1,0,0,0.2417264728657916,0,1,0,0,0,0,0,4,0,-0.4704705476760864,0.5742622293815408,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156.31563993949837,-0.2615067167536568,-103.8835432303902,301.6479977753432,287.0036216371384,925.9952840246988
9,0,1,25737,0,6,11127,22396,11127,70264,5,2,1,0,False,False,False,True,22100,5,7,1,1,9,0,8,2,1735,8202,6015,13679,37,0,0,0,319996,34748,29105,0,0,99,62,128,11,4,4,7,14,200,28,18,344101,0,7,19681,0,298,113,302,1,0,15902,2812,11897,7,7,5,0,40,3,2,10,True,0,0,12,1,0,0,0,0,0.7412875838030962,2,0.2412188579732958,5,3,0,0,0.0,0.0,0,0,28,5,0,0,0,0,1,929.8503178054696,0,1,2712.322342940993,0.0,0.0,7,0,0,0.0,1,0,3.6,0,0,1,3,0.0,0,1,0,0,0,73,1.0,1,1,117.0,3,5.0,0,0.0,0,1,1,0,0,3,0,0,12,0,0,0,1,0,2,21,0,0,5,8,0,12,1,18,0,0,4,0,2,0.1861155099720119,1,2,0,0,2,7,10,14,0,-0.3175909519195556,0.905799555841584,2,1,0,0.0,0.0,0.0,1626.510013533343,1521.92214526295,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1655.5086058375848,2669.7846696875927,0.0,138.5676009262504,0.1106063225784246,73.77441715980923,471.82445085504384,963.978343800002,1209.6349862466832
15,0,0,18633,0,4,1455,2021,1455,35320,10,3,0,0,False,True,False,False,12475,0,1,5,0,3,0,0,1,460,2220,2061,10395,4,0,0,0,164981,22996,27561,0,0,75,59,74,12,7,14,6,4,100,26,4,186609,0,0,12040,0,218,43,259,1,0,19407,1025,1960,0,1,11,0,21,3,4,9,False,1,0,3,0,0,0,0,0,0.0893292986958231,3,0.2463281500258151,10,23,0,0,1.0,0.0,0,0,28,0,0,0,0,0,0,0.0,0,4,2157.2371611912386,0.0,0.0,11,0,0,0.0,0,0,1.8,3,0,0,0,0.0,0,1,0,0,0,57,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,118,0,0,2,6,0,0,0,18,0,0,3,0,1,0.1927992306375985,0,0,0,0,0,1,0,10,0,-0.5028741359710693,0.5975181959197696,4,1,0,0.0,0.0,0.0,0.0,1748.88712279608,0.0,26.40065081694252,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-94.78790912682264,0.1390667680851271,-6.146751149362619,354.1196182519677,725.4835157464912,1110.225636330804
3,0,0,11337,0,3,2600,3302,2600,19023,6,2,0,0,False,False,False,False,8100,0,0,1,1,4,0,2,1,574,7600,1108,3772,0,0,0,0,78381,8377,19536,0,0,42,28,56,9,2,12,4,4,200,16,0,97211,0,0,4648,0,144,23,175,1,0,11230,0,4732,0,0,7,0,19,2,3,10,False,0,0,0,0,0,0,0,0,0.0,2,0.2244432329486773,6,2,0,0,0.0,0.0,0,0,15,0,0,0,0,0,1,841.2181502,0,0,1610.2210114,0.0,0.0,2,0,0,0.0,0,0,1.1666666666666667,0,0,0,1,0.0,0,1,1,0,0,46,0.0,0,0,17.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,17,0,0,3,4,0,3,0,7,0,0,4,0,0,0.1434922943344772,0,1,0,0,2,0,5,6,0,0.1154068708419799,0.7117297833484936,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.1082849350279,-0.3726196564025286,-78.51096160401276,320.4901664718148,353.42974409779833,1044.8627785183303
6,1,0,15152,0,1,434,5263,434,35093,9,0,0,0,False,False,False,False,10050,0,0,1,0,2,0,0,1,385,3900,3041,22843,8,0,0,0,142821,10489,20170,0,0,81,29,69,10,5,12,3,4,100,17,2,149742,0,0,11013,0,219,41,281,1,0,3020,0,2202,0,0,9,0,16,0,4,8,False,0,0,2,1,0,0,0,0,0.0,0,0.3449575721690934,9,2,0,0,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,0,2,1952.7303731,0.0,0.0,3,0,0,0.0,0,0,0.8888888888888888,0,0,0,0,0.0,0,0,1,0,0,84,0.0,0,0,30.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,1,8,0,2,0,8,0,0,2,1,1,0.1566582222549858,0,0,0,0,1,0,0,10,0,-0.5307925939559937,0.513713873485451,4,1,0,0.0,0.0,0.0,0.0,1577.6263423,0.0,13.76681540000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.01941808609236,-0.2150834573916323,11.491601866352925,333.25645412423484,415.7255969298264,1389.3162299171493
0,0,1,5297,0,2,0,0,0,4704,1,0,0,0,False,False,False,False,3325,0,0,0,0,1,0,0,1,372,936,195,1138,0,0,0,0,26373,2666,5803,0,0,21,11,24,1,2,12,2,4,200,7,0,36039,0,0,1034,0,71,15,14,1,0,8730,0,0,0,0,0,0,4,1,1,2,False,0,0,0,0,0,150,0,0,0.0,0,0.204587461811747,1,0,0,0,0.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,673.9615406108477,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,62,0.0,0,0,3.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0.1651773728377774,0,0,0,0,0,0,0,3,0,-0.5005123615264893,0.3855997310672377,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.59578826293584,-0.0890258514538066,-5.608628641589819,324.2321509947638,254.7029610093408,617.928434940872
11,0,0,12585,0,3,3446,16702,3446,27494,8,2,0,0,True,False,False,False,9900,0,0,2,1,2,0,2,1,429,3566,1279,11832,11,0,0,0,114617,7816,17872,0,0,77,27,84,7,3,4,4,12,100,10,4,127935,0,2,7096,0,173,38,257,1,0,9752,0,1056,2,2,11,0,35,2,4,11,False,0,0,1,0,0,0,0,0,0.7013582239267754,2,0.2285712929813126,8,1,0,0,0.0,0.0,0,0,10,2,0,0,0,0,0,0.0,0,2,1724.7164534971023,0.0,0.0,4,0,0,0.0,0,0,1.625,0,0,0,1,0.0,0,0,1,0,0,68,0.0,0,0,23.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,11,0,0,2,9,0,0,0,13,0,1,5,0,0,0.1071686291464685,0,2,0,0,3,2,5,8,0,1.1938817501068115,1.2383223923864544,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,22.97487887444936,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.13658773538705,-0.3478832701940175,-168.02761950371044,363.9902656040005,316.3998342414589,1070.1237274438172
3,0,0,8194,0,2,2717,2717,2717,7949,0,0,0,0,False,False,False,True,6075,0,0,0,0,0,0,0,0,0,2000,604,1926,0,0,0,0,60415,8059,7205,0,0,45,18,44,2,2,4,2,12,100,11,0,62415,0,0,4372,0,134,24,0,1,0,0,0,1075,1,1,0,0,12,1,3,5,True,0,0,0,0,0,0,0,0,0.0,0,0.314366620675004,0,0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,1,829.6604181,0,0,916.4914564,0.0,0.0,0,0,0,0.0,0,1,3.0,0,0,0,0,0.0,0,0,0,0,0,75,1.0,0,0,21.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,5,0,0,1,3,0,0,3,0,0,0.2368060570026836,0,0,0,0,4,1,0,6,0,0.1753113269805908,0.7863175790327898,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130.80318333887308,0.1964011761844941,86.35105046244925,431.8207193709744,567.1411297620908,668.2222684383771
