assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
5,0,0,9184,0,1,1285,9248,1285,13931,4,0,0,0,True,False,False,False,7750,0,0,1,0,1,997,0,1,797,12880,1261,5931,12,0,0,0,58567,8109,14492,0,0,125,44,58,6,3,12,3,4,100,13,4,80031,0,0,3743,0,121,101,110,1,0,8583,0,1033,0,0,7,0,12,0,3,3,False,0,0,1,0,0,0,0,0,0.0,0,0.2930456451254074,4,0,0,0,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,0,1294.4783282386943,0.0,0.0,2,0,0,4.0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,6,58,0.0,0,0,11.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,4,20,0,0,3,0,6,0,6,0,0,5,0,0,0.21859328715331,0,1,0,0,3,0,0,5,0,-0.2920305728912353,0.5682330264544465,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.1265532410825,-0.1390521541174917,-161.30049877629042,354.582992999604,434.3525787450051,994.5473569663402
7,0,6,12611,0,3,13269,17357,13269,7994,3,2,2,0,False,False,False,True,14350,0,1,0,2,14,896,7,2,795,10067,1303,6668,14,0,0,0,118170,22332,8289,0,0,148,59,79,11,4,14,3,4,200,7,2,130175,0,7,5021,0,123,75,103,1,0,1937,1489,215,5,5,2,0,11,2,2,4,True,0,0,3,0,0,0,1,0,0.2691468670434296,2,0.1822920883511402,3,4,0,0,0.0,0.0,0,0,2,4,0,0,0,0,1,720.5095547067214,0,1,1418.470274119039,0.0,0.0,1,0,0,0.0,1,2,7.0,4,0,2,5,2.0,0,1,0,0,9,58,0.0,0,0,10.0,2,1.0,0,0.0,0,0,2,0,0,2,0,0,13,0,0,2,0,0,0,22,33,0,4,2,0,0,1,21,0,0,10,0,1,0.3441551486475483,0,2,0,0,8,5,5,5,0,-0.1064884662628173,0.5004019681454964,2,1,0,0.0,0.0,0.0,0.0,1377.8149434183756,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.7470013047904,0.5498881536198776,74.65789162608338,650.4330875548352,1062.7223055035236,641.8040734518771
1,0,0,7298,0,1,338,338,338,11694,6,0,0,0,False,False,False,False,5600,0,0,0,0,1,390,0,1,367,9769,1831,7153,8,0,0,0,48066,7571,12733,0,0,88,44,41,5,2,4,3,14,200,13,4,58729,0,0,7441,0,120,58,132,1,0,893,717,642,0,0,4,0,9,0,0,5,False,0,0,1,0,0,150,0,0,0.0,0,0.2410105393569764,6,0,0,0,0.0,0.0,0,0,5,0,0,0,0,0,0,0.0,0,0,1140.9823032264148,0.0,0.0,1,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,6,78,0.0,0,0,34.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,20,0,0,5,0,2,0,2,0,0,1,0,0,0.2060933249193529,0,1,0,0,1,0,0,5,0,0.6475503444671631,0.4959326958313266,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-174.69157885829824,-0.4732764026865395,-184.3674519798897,307.31414414445965,532.1204354205659,1079.5434745279963
2,0,0,12997,0,4,9051,12798,9051,16655,5,1,0,0,False,True,False,False,11400,0,0,0,2,8,628,4,1,422,17535,2490,4615,4,0,0,0,96142,14319,15915,0,0,142,60,63,6,4,14,4,4,100,9,0,120104,0,2,7412,0,172,84,167,1,0,6426,604,254,3,3,2,0,22,2,3,5,True,0,0,0,1,0,0,0,0,0.426161481191426,1,0.2146457803574862,5,10,0,0,1.0,0.0,0,0,3,2,0,0,0,0,1,859.660368457227,0,1,1355.1010014689025,0.0,0.0,0,0,0,0.0,0,0,2.0,2,0,1,3,0.0,0,0,0,0,5,75,0.0,0,0,27.0,0,2.0,0,0.0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,53,16,0,7,4,0,1,0,10,1,0,6,1,1,0.2259938613262881,0,2,0,0,3,3,5,8,0,1.2094268798828125,0.9919486696741252,3,3,0,0.0,0.0,0.0,0.0,1296.0689536277018,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.2343935193213,0.1328314271813566,97.36543612393444,514.5889489005757,771.0421576453816,920.3004046548326
4,0,0,9109,0,4,1023,5552,1023,13349,5,1,2,0,True,False,False,False,11175,0,0,2,3,10,1567,4,2,425,11392,1224,7402,1,0,0,0,71198,17100,11163,0,0,121,47,66,10,6,14,4,4,200,14,1,85063,0,0,5499,0,119,76,150,1,0,2472,541,1171,0,0,10,0,19,1,8,2,False,0,0,2,0,0,1350,0,0,0.0,1,0.1602043497708768,5,5,0,1,0.0,0.0,0,0,7,1,0,0,0,0,0,0.0,0,0,1561.728352836926,0.0,0.0,5,0,0,0.0,0,0,2.8,6,0,2,4,1.0,0,0,0,0,4,60,0.0,0,0,19.0,0,1.0,0,0.0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,27,23,0,0,1,0,4,0,14,0,1,9,0,0,0.2580005589876386,0,2,0,0,2,0,0,4,0,-0.1282909512519836,0.7335053354995047,8,7,0,868.8254138597346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5378656271906155,0.1920948668537912,-138.69249386843728,441.3571660832707,724.8123516127251,758.2752774186555
6,0,1,18854,0,4,7718,25377,7718,40430,11,2,0,0,False,False,False,True,15750,1,1,1,1,7,1425,2,1,829,55446,3830,20432,41,0,0,0,169762,20212,30909,0,0,237,150,125,14,8,3,6,4,200,17,13,235963,0,11,17797,0,233,149,382,1,0,10754,51,1805,4,5,3,0,43,2,17,5,True,0,0,13,0,0,0,0,0,0.8036222313635946,2,0.3067590827075858,11,4,0,0,0.0,0.0,0,0,5,4,0,0,0,0,1,921.816338090278,0,1,2157.2371611912386,0.0,0.0,3,0,0,4.0,0,0,1.181818181818182,3,0,0,3,0.0,0,0,0,0,3,60,1.0,0,1,52.45000004768372,3,3.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,2,23,30,0,3,1,0,0,1,13,0,0,5,1,1,0.1817065708430762,0,2,0,0,3,5,5,11,0,1.011563062667847,1.2019455928418157,17,9,0,0.0,0.0,0.0,0.0,1228.794894964532,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1596.796885810518,0.0,0.0,94.78790912682264,-0.1390667680851271,6.146751149362619,448.9075273787904,670.1071286949935,1478.1963046840503
1,0,0,8144,0,4,1719,1719,1719,14541,8,0,0,0,False,False,False,False,6235,0,0,0,0,2,401,0,1,297,12986,2657,4575,0,0,0,0,40700,6395,14176,0,0,99,69,60,8,4,14,2,4,100,14,0,58665,0,0,6972,0,98,65,191,1,0,4978,718,2887,0,0,4,0,12,2,2,6,False,0,0,0,0,0,0,0,0,0.0,0,0.2310079416083262,8,2,0,0,0.0,0.0,0,0,4,0,0,0,0,0,0,0.0,0,0,1436.298484568556,0.0,0.0,0,0,0,0.0,0,0,0.375,0,0,0,0,0.0,0,1,0,0,7,38,0.0,0,0,4.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11,26,0,1,6,0,1,0,3,0,0,2,0,0,0.171204779108478,0,0,0,0,2,0,0,4,0,-0.0711251497268676,0.5376516170674585,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.08695861122257,-0.4595145139335399,-157.02864162510696,266.7690623617805,408.1742105131471,903.9485970007156
14,0,3,15103,0,3,7286,8638,7286,25996,4,2,0,0,False,False,False,False,10000,0,0,0,1,3,482,3,1,685,18008,3449,3054,0,0,0,0,97221,17854,25129,0,0,199,88,121,9,4,12,5,4,100,28,0,116856,0,0,14288,0,175,158,114,1,0,1626,56,3353,2,5,2,0,34,2,3,10,True,0,0,0,1,0,0,0,0,0.7922771886022868,2,0.3344200556971531,4,0,0,0,0.0,0.0,0,0,12,0,0,0,0,0,1,823.5680188,0,3,1724.8485084,0.0,0.0,6,0,0,0.0,0,0,4.25,1,0,1,0,0.0,0,0,0,0,6,72,0.0,0,0,12.0,5,1.0,0,0.0,0,0,0,0,0,1,0,0,14,0,0,0,2,0,0,4,53,0,0,3,0,10,0,17,0,0,3,0,1,0.2027465213517332,0,2,0,0,0,5,0,8,0,0.7755316495895386,1.2145869919583294,3,1,0,0.0,0.0,0.0,0.0,1326.8922246,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-20.69746985091227,0.2782853089198288,50.64792622340885,388.9385048790758,743.056560479558,1097.0354734255802
1,0,0,14798,0,1,0,856,0,17233,6,0,1,1,False,False,False,False,9550,0,0,2,1,5,516,4,4,450,19464,2380,7319,12,0,0,0,82632,9409,15622,1,0,130,68,86,9,3,4,3,14,100,24,8,103761,0,0,6318,0,172,130,171,1,1,1664,768,2250,0,0,9,0,14,0,3,6,False,0,0,2,0,0,950,0,0,0.0,0,0.235632459446143,6,0,0,1,0.0,0.0,0,0,9,0,0,0,0,0,1,804.575438825915,0,0,1655.5403669661994,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0,1,0,0.0,0,3,0,0,6,70,0.0,0,0,18.0,0,1.0,0,0.0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,8,31,0,4,6,0,0,0,6,0,0,0,0,0,0.1870510599770292,0,0,0,0,0,0,0,8,0,-0.5212329626083374,0.5109079663242742,3,3,0,996.7603817008054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.32553244929717,-0.1812097161664225,-29.863361224226438,368.5080787960368,455.1263231235868,913.0432758761366
6,0,0,13340,0,2,0,0,0,23952,6,0,0,0,False,False,False,False,8100,0,0,1,0,1,426,0,1,416,32699,3935,15525,4,0,0,0,63663,11430,18183,0,0,147,118,104,10,5,14,5,4,100,29,4,98124,0,0,15120,0,168,129,192,1,0,1762,1462,1352,0,0,10,0,18,0,5,7,False,0,0,1,0,0,0,0,0,0.0,0,0.2756713811790668,6,7,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,2,1801.7989316274245,0.0,0.0,1,0,0,0.0,0,0,1.1666666666666667,2,0,0,0,0.0,0,0,0,0,7,64,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,40,39,0,0,7,0,10,0,7,0,0,1,0,0,0.1604702067702652,0,0,0,0,0,0,0,7,0,-0.1092445850372314,0.6127167713514406,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.0280740315665,-0.266400424361698,-155.57784782723164,284.74875358961,560.3732926448317,1167.5331598181867
