assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
15,0,1,20516,0,3,4527,19385,4527,76906,4,1,0,1,False,False,False,True,15975,0,0,1,1,5,0,2,1,782,0,0,27049,14,0,0,0,167344,24600,25246,0,0,92,40,41,9,5,4,5,12,100,40,2,183110,0,0,11425,0,233,308,171,1,0,15766,6063,2633,2,3,6,0,37,1,9,13,False,0,0,1,3,0,950,0,0,0.0,1,0.2491580145826075,4,16,0,3,0.0,0.0,0,0,83,0,0,0,0,0,1,947.8153948924634,0,3,2457.9741271068447,0.0,0.0,12,0,0,0.0,0,0,5.0,0,0,0,3,0.0,0,0,0,13,0,74,0.0,0,0,48.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,2,85,0,0,1,12,1,9,1,20,0,0,4,0,3,0.1511746260012007,0,2,1,2,2,3,0,11,0,-0.1306396722793579,0.9050652005568384,14,1,5,720.5041416326011,0.0,0.0,0.0,1317.0993223823446,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.12826009072302,-0.0488206928936415,69.10569079094965,416.391689689869,748.4944530988658,1340.835919977419
1,0,0,9592,0,4,1165,1165,1165,13843,3,2,0,0,False,False,False,False,6075,0,0,0,0,2,0,0,1,372,0,0,2889,0,0,0,0,49356,6754,12555,0,0,37,19,24,4,2,12,2,4,100,15,0,58979,0,0,411,0,120,124,81,1,0,9622,1398,2041,0,0,2,0,18,3,1,9,False,0,0,0,0,0,375,0,0,0.6930912166727946,2,0.2868546239455906,3,0,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0,0.0,0,0,1166.2135193031074,0.0,0.0,2,0,0,0.0,1,0,1.0,1,0,0,1,0.0,0,0,0,2,0,54,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,0,1,7,0,2,0,3,0,0,3,0,0,0.2178438764336372,0,1,0,0,2,0,0,5,0,-0.0734970569610595,0.9341006524921266,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.74975780091248,-0.2572427733295963,-69.40410024432506,345.37414747231594,419.46006619123966,899.629426888264
5,0,0,16112,0,3,2962,8863,2962,38195,8,1,1,0,False,False,False,True,13075,0,0,3,1,5,0,2,2,593,254,101,19156,0,0,0,0,152268,19826,18106,0,0,57,18,38,8,3,12,4,4,100,37,0,185429,0,0,2564,0,218,371,340,1,0,32907,7266,513,1,1,10,0,27,1,3,7,False,0,0,0,0,0,600,0,0,0.0,1,0.2222386630932246,8,9,0,0,0.0,0.0,0,0,75,0,0,0,0,0,1,957.6454299462696,0,1,2061.568182630321,0.0,0.0,6,0,0,0.0,0,0,1.25,1,0,0,0,0.0,0,0,1,6,0,59,0.0,0,0,22.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,48,0,0,0,6,0,4,1,10,0,0,2,0,0,0.2157727690868841,0,0,0,0,2,1,0,10,0,-0.0973997116088867,0.8142610858824515,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.090928129632978,-0.3783527542634126,-114.99013323805715,390.6055626899431,791.4557538030186,1099.4639998314567
0,0,0,10409,0,3,5320,5320,5320,23822,6,1,0,0,False,False,False,False,8125,0,0,1,0,1,0,0,1,460,0,0,4069,0,0,0,0,100623,13380,17563,0,0,60,12,22,6,2,4,5,14,100,24,0,106877,0,0,2508,0,181,118,167,1,0,6253,2303,172,2,2,7,0,16,2,1,8,False,0,0,0,0,0,0,0,0,0.6469733735729348,1,0.23358048304293,6,6,0,0,0.0,0.0,0,0,61,0,0,0,0,0,0,0.0,0,0,1459.8266812644574,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0,0,0,1,0.0,0,0,0,1,0,74,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,7,0,5,0,1,0,0,1,0,0,0.3333311679838874,0,0,0,0,1,2,0,8,1,-0.095272958278656,0.6786754693278227,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.403837344542985,-0.3288061563474361,-188.1182222002769,351.69928498312635,644.6244695191485,896.2022798944806
4,0,0,17977,0,1,14923,14923,14923,59192,8,0,0,0,False,True,False,True,14975,2,2,1,2,7,0,4,1,743,0,0,14625,8,0,0,0,211257,19875,31707,0,0,88,29,36,9,5,4,5,12,200,36,0,233370,0,8,5240,0,255,281,332,1,0,22112,4948,1116,5,5,4,0,16,0,3,5,True,0,0,0,0,0,450,1,0,0.0,0,0.285054193654335,8,3,0,0,1.0,0.0,0,0,76,2,0,0,0,0,1,823.215858587049,0,0,1921.66081868455,0.0,0.0,4,0,0,0.0,0,1,1.375,1,0,1,2,1.0,0,0,0,9,0,78,1.0,0,1,87.0,16,2.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,22,0,0,5,5,0,2,1,11,1,0,6,1,0,0.2623997292675514,0,2,0,0,5,5,5,12,0,-0.2736153602600097,0.5037338486394403,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.75324707153777,-0.2497839344659055,5.089347664742825,492.1055738896422,775.0795486477049,1481.5309613009024
5,0,0,19416,0,4,14306,19464,14306,55061,3,1,1,1,False,True,False,True,15175,2,3,3,2,12,4,6,3,849,389,46,12625,16,0,0,0,219998,14239,27005,0,0,95,49,37,6,5,4,5,12,100,25,0,240321,0,8,5239,0,255,370,71,1,1,19933,7593,1511,6,8,8,0,21,1,6,6,True,0,0,0,1,0,700,1,0,0.225310911280637,1,0.3083862381692574,3,2,0,1,1.0,0.0,0,0,67,8,0,1,0,0,1,595.0985519708684,0,2,2077.997062961573,0.0,0.0,8,0,0,0.0,0,1,5.666666666666667,2,0,2,2,0.0,0,4,0,10,0,85,1.0,0,1,58.0,1,3.0,0,0.0,1,0,2,0,0,3,0,0,9,0,1,0,0,0,1,17,0,0,6,5,0,5,1,17,0,0,7,0,1,0.3054264927268958,0,2,0,1,5,8,0,12,0,-0.3446285724639892,0.620630827565844,6,0,1,1367.6474508475633,0.0,0.0,0.0,1256.7459241273943,0.0,6.772042328935186,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,117.92124462907933,0.2887395803846213,39.0375912680008,535.2943080750493,631.7044539654744,1187.9612555764472
5,0,0,7612,0,1,9230,9561,9230,10824,2,0,0,0,False,False,False,True,8800,0,0,0,1,5,0,4,1,641,23,23,4927,0,0,0,0,63713,7485,9296,0,0,36,14,23,4,2,4,2,12,100,19,0,70393,0,0,2369,0,117,132,62,1,0,6655,2371,550,3,3,0,0,5,0,0,4,True,0,0,0,0,0,0,0,0,0.0,0,0.3582740503864968,2,0,0,1,1.0,0.0,0,0,46,0,0,0,0,0,1,562.7512839598348,0,4,921.126928220658,0.0,0.0,3,0,0,0.0,0,2,5.0,0,0,1,2,0.0,0,1,0,5,0,82,1.0,0,0,52.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,3,4,0,2,1,10,0,0,10,0,0,0.3120642109686578,0,1,0,0,6,3,5,5,0,-0.0213493108749389,0.3564552406398762,0,0,0,884.217362710385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.5834308003112,0.5862384254069292,124.021995774977,573.3411800479768,643.6246534939852,962.3429441068856
3,0,0,10674,0,4,0,1708,0,18285,5,3,0,0,False,False,False,False,7425,0,1,0,0,3,0,0,1,479,0,0,10539,0,0,0,0,62149,13224,13706,0,0,68,13,19,5,3,12,4,4,100,22,0,67023,0,0,1722,0,133,102,168,1,0,4874,3151,508,0,0,1,0,15,3,1,9,True,0,0,0,1,0,0,0,0,0.3918837351050952,3,0.2558791916457787,5,0,0,0,0.0,0.0,0,0,54,0,0,0,0,0,1,841.0211819626389,0,1,1417.3222669109766,0.0,0.0,3,0,0,0.0,0,0,1.2,0,0,0,1,0.0,0,0,0,3,0,71,0.0,0,0,7.0,1,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,7,0,0,1,6,0,2,0,6,0,0,1,0,1,0.1646531925615254,0,2,0,0,0,0,10,6,0,0.2914397716522217,0.6385508304038279,1,0,0,0.0,0.0,0.0,0.0,1289.913405992686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-14.901339302338476,-0.2540001017444058,22.47900900437992,331.0044659232516,693.2509443610651,1047.919753096837
13,0,5,15379,0,5,8460,21598,8460,35726,4,2,1,0,False,False,False,False,13050,1,1,0,2,10,0,5,2,362,0,0,11659,12,1,0,0,121790,20839,21171,0,0,70,36,37,9,5,4,3,12,200,32,0,141878,0,2,6253,0,159,315,100,1,0,20088,5636,2337,3,5,3,0,26,2,5,9,True,0,0,0,1,0,300,0,0,0.2090171983938505,2,0.2807900737907568,4,2,0,0,0.0,0.0,0,0,73,2,1,0,1,1,1,651.0137142944035,0,3,1742.991738958541,0.0,0.0,11,0,0,4.0,1,0,5.75,7,0,1,0,0.0,0,1,0,13,0,59,0.0,0,0,5.0,0,1.0,0,0.0,0,0,1,1,0,3,0,0,16,0,0,0,2,0,1,13,0,0,2,7,0,7,0,23,0,0,8,1,1,0.2357285164808464,0,2,0,0,3,5,10,7,0,-0.2371281385421753,0.9029334049733422,5,1,0,0.0,0.0,0.0,0.0,1332.9074129266237,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.98140354579317,0.3442357106973481,29.328882551414058,490.6391584569303,911.364044071229,1210.6425709515036
3,0,0,11739,0,6,7037,13386,7037,21882,3,4,0,0,False,False,False,False,9100,0,0,1,0,0,0,0,0,827,0,0,7680,8,0,0,0,106746,8852,13822,0,0,57,15,22,5,4,12,2,4,100,21,4,121647,0,4,2268,0,187,219,70,1,0,14900,2017,187,3,3,6,0,24,4,3,10,False,0,0,3,0,0,0,1,0,0.795286477780795,4,0.176317816504966,3,2,0,0,0.0,0.0,0,0,48,1,0,0,0,0,1,861.2308858492065,0,0,1582.2912864212567,0.0,0.0,2,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,0,0,2,0,75,0.0,0,0,57.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,14,0,0,0,6,0,0,0,3,0,0,0,0,0,0.1436623930639695,0,1,0,0,2,3,5,8,0,0.1485159397125244,0.9105915020263312,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0758393862304643,-0.4550363173827861,-81.37566142528826,361.4505147743931,412.1870641625738,822.478143669386
