assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,0,9702,0,1,121,121,121,36664,11,0,1,0,False,False,False,False,8250,0,0,2,2,5,4,2,2,300,13291,7381,12027,0,0,0,0,48050,8516,20438,0,0,85,17,20,5,3,12,4,4,200,17,0,61863,2739,0,1225,0,102,235,296,1,0,522,176,554,0,0,10,0,16,0,2,9,False,0,0,0,0,0,450,0,0,0.0,0,0.2412802304556166,11,6,0,0,0.0,2739.74267578125,0,0,6,0,0,0,0,0,0,0.0,0,1,1572.8865300558289,0.0,0.0,1,0,0,0.0,0,0,1.0909090909090908,0,0,0,1,0.0,0,3,0,0,0,38,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,36,0,0,5,9,0,0,0,12,2,0,6,0,0,0.1780138331975609,0,0,0,0,0,0,0,4,0,0.4435516595840454,0.639660070717052,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.21368234817768,-0.6866356722895108,-219.3038044440221,314.55543076107256,613.1656553545332,1259.5949943888693
9,0,6,15327,0,4,3146,10281,3146,40472,4,1,1,1,False,False,False,False,9875,0,1,0,2,13,0,6,3,596,50071,10968,4498,4,0,0,0,46289,12659,17659,0,0,127,18,40,6,3,4,3,12,100,43,0,107481,3393,0,1500,0,150,333,88,1,1,11120,1170,335,2,2,3,0,14,1,1,10,True,0,0,0,0,0,150,0,0,0.6244137253451794,1,0.2490164345089878,3,9,0,1,0.0,3393.5087890625,0,0,23,0,0,0,0,0,1,864.9152876067844,1,3,1442.6012831605424,0.0,1.0,9,0,0,0.0,0,0,5.5,0,0,2,0,0.0,0,3,0,0,0,47,0.0,0,0,4.0,0,2.0,0,0.0,0,0,2,0,1,6,0,0,10,0,0,0,1,0,0,48,0,0,5,8,0,0,0,22,0,0,7,0,1,0.2823097614375007,0,2,0,0,1,2,5,6,0,-0.1849638223648071,0.6201261528223683,1,0,0,1283.299426808833,0.0,0.0,0.0,1273.572173503803,1.0,28.48625185133369,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.60078608757142,0.4575068715827218,111.09098672704091,510.86880942277935,1031.386854682576,935.559960852886
13,0,0,16552,0,6,401,743,401,38670,3,3,0,0,False,False,False,False,9925,0,0,0,0,1,4,0,1,873,27010,5533,7494,4,0,0,0,50008,5266,16473,0,0,150,23,35,6,3,4,4,12,100,36,0,82664,2209,0,1738,0,188,2929,113,1,0,5645,685,866,0,2,1,0,36,5,6,13,True,0,0,0,1,0,0,0,0,0.5300624912062412,3,0.2121625205822558,3,0,0,0,0.0,2209.597412109375,0,0,15,0,0,0,0,0,1,743.9993586855906,1,2,1793.1725078738734,0.0,0.0,3,0,0,0.0,0,0,4.666666666666667,0,0,0,0,0.0,0,0,1,0,0,78,0.0,0,0,17.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,8,0,0,0,5,0,12,0,14,0,0,2,0,1,0.1548765077142285,0,2,0,0,0,2,5,8,0,0.2828156948089599,1.2321244541091854,6,1,0,0.0,0.0,0.0,0.0,1310.6183038811496,0.0,17.19583620822391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.11722510012381,0.2676819981860673,77.69469997350605,353.4071581051554,384.2909686458729,830.9518428690996
4,0,0,10441,0,1,465,465,465,25537,5,0,0,0,False,False,False,False,7000,0,0,3,0,0,0,0,0,366,15512,5446,9759,0,0,0,0,44788,5869,12487,0,0,92,9,16,5,1,12,2,4,200,27,0,66020,1520,0,3268,0,138,298,113,1,0,5720,0,617,0,0,11,0,12,0,0,8,False,0,0,0,0,0,0,0,0,0.0,0,0.2388094882421418,5,7,0,0,0.0,1520.94140625,0,0,14,0,0,0,0,0,0,0.0,0,0,1450.1255620058748,0.0,0.0,2,0,0,0.0,0,0,0.8,0,0,0,0,0.0,0,0,0,0,0,70,0.0,0,0,11.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,41,0,0,0,8,0,14,0,4,0,0,1,0,0,0.2372155630868211,0,0,0,0,1,0,0,6,0,-0.5580429434776306,0.515326987546637,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.95469685353076,-0.2068786371747198,-70.33873663940473,292.40226578274894,468.2077316538259,946.0146320725588
12,0,2,13720,0,6,734,5964,734,21033,1,3,0,0,False,False,False,False,8675,0,1,0,1,3,0,2,1,762,30187,4041,6611,0,0,0,0,30828,3474,8177,0,0,106,12,21,5,4,12,2,4,200,22,0,73569,2496,0,920,0,142,189,32,1,0,12553,409,230,1,1,1,0,25,3,2,12,True,0,0,0,1,0,0,0,0,0.2288083650514303,3,0.2223601725047854,1,0,0,1,0.0,2496.61181640625,0,0,13,0,0,0,0,0,1,889.5776830273375,2,10,1686.2270430817143,0.0,0.0,8,0,0,0.0,0,0,15.0,0,0,0,0,0.0,0,0,0,0,0,47,0.0,0,0,0.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,6,0,0,0,4,0,0,0,15,0,0,3,0,1,0.1080949353532664,0,1,0,0,0,1,5,6,0,0.2789885997772217,0.9010428562093074,2,0,0,957.725527040877,0.0,0.0,0.0,1495.606822715979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.585089865461535,0.2846591756248682,80.20272273230663,312.7336868208709,281.954913456432,534.3764374417839
4,0,0,8827,0,4,0,463,0,27446,10,1,0,0,False,False,False,False,5850,0,0,1,0,1,3,0,1,195,27192,5292,6467,0,0,0,0,20175,3729,16097,0,0,93,15,26,4,2,12,3,4,200,30,0,51968,1129,0,1063,0,114,267,222,1,0,4600,260,2264,0,0,8,0,20,2,1,6,False,0,0,0,0,0,0,0,0,0.0,1,0.2442485379670905,10,11,0,0,0.0,1129.4755859375,0,0,13,0,0,0,0,0,0,0.0,0,1,1386.132621210042,0.0,0.0,3,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,0,55,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,56,0,0,0,5,0,0,0,5,0,0,3,0,0,0.1481616524971596,0,0,0,0,0,0,0,5,0,0.4392067193984985,0.898926331870871,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-378.4053502341743,-0.5194308170681871,-229.71827884840573,268.11287341002924,401.82302290366505,1074.7456464155014
21,0,0,20648,0,4,4763,15800,4763,65927,6,2,0,0,False,False,False,False,14850,0,0,0,2,7,0,3,1,901,75878,11073,8420,19,0,0,0,93324,13608,22560,0,0,226,39,89,11,8,6,5,12,200,65,11,186007,4749,0,3198,0,191,3392,165,1,0,16803,1440,6343,2,6,2,0,56,2,2,14,True,0,0,7,2,0,150,0,0,0.5187646001556536,2,0.2936784264881722,6,6,0,1,0.0,4749.43359375,0,0,32,0,0,0,0,0,0,0.0,0,3,2157.1541094224,0.0,1.0,12,0,0,0.4000000059604645,1,0,4.666666666666667,0,0,1,0,0.0,0,2,0,0,0,50,0.0,0,0,4.0,7,3.0,0,0.0,0,0,0,0,0,1,0,0,25,0,0,0,1,2,1,38,0,0,1,6,0,15,0,28,0,0,10,0,3,0.2126440709368507,1,1,0,0,0,6,0,9,0,1.2698054313659668,1.572782282836935,2,1,3,1050.519165266447,0.0,0.0,0.0,1259.4967675838425,0.0,18.011418187900745,1.0,0.0,0.0,0.0,3.0,0.0,2105.7248135363843,0.0,86.36378791215975,0.5562884889672126,150.5594795389761,438.49440142840535,726.540581015628,1038.1455781106122
28,0,0,17132,0,5,769,971,769,42637,6,4,0,0,False,False,False,False,10680,0,1,1,1,2,3,2,1,536,31968,4254,16157,0,0,0,0,36068,6624,15477,0,0,140,22,43,8,4,12,4,4,100,32,0,75975,4839,0,3709,0,155,372,211,1,0,7939,932,2952,1,2,4,0,19,4,1,9,True,2,0,0,0,0,0,0,0,0.5305451582250856,4,0.2521860671662487,6,12,0,0,0.0,4839.970703125,0,0,22,0,0,0,0,0,0,0.0,2,9,2076.1417565,0.0,0.0,11,0,0,0.0,0,0,5.0,0,0,0,0,1.0,0,1,0,0,0,42,0.0,0,1,1.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,67,0,0,1,5,0,2,0,30,0,0,9,0,1,0.103758877959825,0,1,0,0,0,2,0,7,0,0.3875962495803833,0.5516823806155124,1,1,2,0.0,0.0,0.0,0.0,1235.853766,0.0,14.911646599999813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.31141088053155,0.5201956931017488,17.715553326187337,316.59687877386995,341.3350739569309,999.5560242950104
1,0,0,8875,0,1,2291,2291,2291,16766,4,0,0,0,False,False,False,False,6550,0,0,0,1,3,0,2,1,617,10636,3850,3064,0,0,0,0,45504,5590,12933,0,0,98,22,24,4,2,12,3,4,200,19,0,59938,374,0,332,0,119,157,84,1,0,3796,351,2602,1,1,1,0,9,0,0,6,False,0,0,0,0,0,0,0,0,0.0,0,0.329326836761098,4,0,0,0,0.0,374.156494140625,0,0,12,0,0,0,0,0,1,901.632297970419,0,0,1173.820633610627,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,0,1,0.0,0,2,0,0,0,54,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,3,0,0,0.2432957438517164,0,1,0,0,3,1,0,5,0,-0.1277134418487548,0.497737974044463,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.66715535041523,-0.1022302697396659,-32.56034091208361,359.03270732570684,500.5705157802744,950.7415085788934
3,0,3,7849,0,2,818,818,818,12345,0,0,1,0,False,False,False,False,4875,0,0,0,1,3,0,3,2,0,7325,1887,1398,0,0,0,0,20172,3229,8187,0,0,76,4,14,2,1,12,2,4,200,12,0,29349,321,0,190,0,101,170,0,1,0,1850,170,54,0,0,0,0,6,1,1,3,True,0,0,0,0,0,0,0,0,0.0,0,0.2172917095029854,0,2,0,0,0.0,321.83526611328125,0,0,10,0,0,0,0,0,1,917.0474415719048,0,0,1017.58125876008,0.0,0.0,3,0,0,0.0,0,0,6.0,0,0,1,0,0.0,0,0,0,0,0,59,0.0,0,0,3.0,0,1.0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,3,0,6,0,6,0,0,4,0,0,0.1490150326074288,0,1,0,0,1,0,0,4,0,-0.4088023900985718,0.3791039657339251,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4788376550030806,0.2358534003391919,-12.618156918146768,364.6883202744755,311.7981952484117,568.4066948174525
