assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
14,0,0,19174,0,3,5914,9783,5914,99215,5,2,0,0,False,False,False,False,12000,0,1,0,0,1,0,0,1,694,60472,6306,28111,4,0,0,0,98653,9384,17333,0,0,82,132,56,12,4,12,5,4,200,47,0,167745,0,4,7437,0,231,819,214,1,0,8619,387,2082,2,5,4,0,34,2,5,14,True,0,0,0,1,0,150,0,0,0.2119869326843162,2,0.2909709725394183,5,28,0,2,0.0,0.0,0,0,58,6,0,0,0,0,1,894.4911811050562,0,0,2136.031363842854,0.0,0.0,9,0,0,0.0,0,0,3.0,2,0,0,0,0.0,0,0,0,0,3,69,0.0,0,0,1.0000000298023224,11,1.0,0,0.0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,145,15,0,0,12,0,4,0,15,0,0,1,0,1,0.1385145744832211,0,0,0,1,0,5,0,10,0,-0.3766937851905823,0.9573133681500424,5,2,2,1124.5746839533251,0.0,0.0,0.0,1306.515828469005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.75826899781918,-0.0561789503802568,26.319838253150323,365.8092354010423,451.6506715820747,1335.008487361233
4,0,2,12891,0,2,8825,8825,8825,34824,3,0,1,0,False,False,False,False,8950,0,3,0,2,4,0,2,2,689,21347,3229,7881,0,0,0,0,91697,6102,16975,0,0,57,56,43,5,3,12,4,6,200,27,0,113800,0,0,4010,0,164,625,73,1,0,756,3,623,3,3,0,0,10,0,0,6,True,0,0,0,0,0,0,0,0,0.0,0,0.3076602412934385,3,12,0,0,0.0,0.0,0,0,30,0,0,0,0,0,1,802.6062233562513,0,0,1341.7290258053283,0.0,0.0,5,0,0,0.0,0,1,2.6666666666666665,0,0,0,1,0.0,0,0,0,0,5,70,0.0,0,0,29.0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,64,13,0,1,6,1,0,0,8,0,0,1,0,1,0.1553639185746786,0,2,0,1,5,3,5,7,1,-0.3167101740837097,0.4882937020059833,0,0,0,0.0,0.0,0.0,0.0,1328.0582625177624,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1326.6935464250332,0.0,0.0,130.98024759099022,0.1788736737330013,103.8808860204405,461.0916124652441,417.4464360743918,1139.4253016792184
4,0,0,10059,0,1,1100,1753,1100,31265,6,0,0,0,False,False,False,False,7950,0,0,0,1,3,0,2,1,385,16960,5366,7660,0,0,0,0,61297,10272,16942,0,0,58,40,22,6,3,12,3,6,100,43,0,82018,0,0,2352,0,136,304,180,1,0,3760,65,3537,1,1,5,0,9,0,1,6,False,0,0,0,0,0,0,0,0,0.0,0,0.3286992579432994,6,0,0,0,0.0,0.0,0,0,50,0,0,0,0,0,0,0.0,0,0,1373.2093305171295,0.0,0.0,1,0,0,0.0,0,1,1.1666666666666667,0,0,0,2,0.0,0,0,0,0,6,60,1.0,0,0,27.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,13,0,2,6,0,5,0,7,0,0,3,1,0,0.3110561464020004,0,1,0,0,3,1,0,6,0,-0.4487319588661194,0.4183423418714426,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.39405210357991,0.0,-51.38328034330221,349.1528853939863,686.1590429517158,1229.528493929017
1,0,0,7412,0,1,2332,2332,2332,14004,3,0,0,0,False,False,False,False,4550,0,0,0,0,0,0,0,0,502,6685,1399,7846,0,0,0,0,38748,2924,4939,0,0,34,27,25,3,2,12,2,4,100,16,0,45740,0,0,1113,0,111,321,86,1,0,307,307,307,0,0,1,0,3,0,0,2,False,0,0,0,0,0,0,0,0,0.0,0,0.2505113308754573,3,0,0,0,0.0,0.0,0,0,14,0,0,0,0,0,0,0.0,0,0,950.5335306316016,0.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0.0,0,0,0,0,0,70,0.0,0,0,6.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,1,0,0,0.191666184144723,0,0,0,0,3,0,0,5,0,-0.3652217388153076,0.1943553005313039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.74063045475541,-0.0631224444656168,-81.86981047190507,313.9079163275127,292.2569178758061,826.4621653883216
0,0,0,9269,0,3,3448,3900,3448,48910,10,1,0,0,False,False,False,False,7125,0,0,2,0,1,0,0,1,408,28654,4438,17646,0,0,0,0,68404,9327,30085,0,0,65,45,29,6,1,4,2,12,200,41,0,109079,0,0,4828,0,151,552,261,1,0,12020,355,4270,0,0,10,0,14,1,1,7,False,0,0,0,0,0,300,0,0,0.5994455561020094,1,0.4573341695076034,9,3,0,0,0.0,0.0,0,0,40,0,0,0,0,0,0,0.0,0,0,1353.3540922919717,0.0,0.0,0,0,0,0.0,0,0,0.1,0,0,0,0,0.0,0,0,0,0,2,74,0.0,0,0,16.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,12,0,0,6,0,4,0,1,0,0,0,0,0,0.3305596798650679,0,0,0,0,4,0,0,7,0,-0.2548643946647644,0.6634642583236703,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.9933866885482,-0.4433429531985014,-140.98305911712345,327.9407824809315,626.0889185069237,2305.472025222847
7,0,6,17582,0,6,8974,9893,8974,68744,1,3,0,0,False,True,False,True,13285,1,1,0,1,7,0,6,1,1608,61871,6754,8803,3,0,0,0,116878,9069,19729,0,0,83,84,55,11,4,4,4,12,100,42,0,186529,0,2,5790,0,266,714,11,1,0,7779,151,1651,3,4,2,0,19,3,7,6,True,0,1,0,0,0,0,0,0,0.589024159318424,3,0.2950593059130454,1,0,0,0,1.0,0.0,0,0,41,1,0,0,0,0,1,648.8147991300623,0,1,1847.5961202539563,0.0,1.0,7,0,0,0.0,0,1,14.0,0,0,1,2,0.0,0,2,0,0,3,70,1.0,0,0,46.25,3,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,18,0,3,3,1,0,1,14,0,0,7,0,1,0.2072112923866794,0,1,0,1,7,4,0,12,0,0.0945266485214233,0.6375160398709504,7,6,0,0.0,0.0,0.0,0.0,1626.8371717822968,0.0,21.095768804269028,1.0,0.0,0.0,0.0,1.0,1828.8861382845228,0.0,0.0,175.72022177410437,0.4221701872229452,98.98267158888748,490.78907996156704,518.7822108374269,980.214225472106
2,0,0,10493,0,1,819,1697,819,27396,4,1,0,0,False,False,False,False,6575,0,0,1,0,2,0,0,1,857,13862,3174,5385,7,0,0,0,67170,8091,16225,0,0,45,56,26,6,1,12,2,4,200,30,5,81381,0,0,2340,0,129,298,146,1,0,348,348,2788,0,0,9,0,16,1,1,5,False,0,0,4,0,0,0,0,0,0.5951644642649611,1,0.2527774738767472,4,1,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,0,0,1353.3721678332845,0.0,0.0,1,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,1,0,0,3,63,0.0,0,0,7.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,13,0,1,4,0,0,0,4,0,0,1,0,0,0.2164576763937409,0,0,0,0,2,0,0,6,0,0.7001456022262573,0.7447173074590695,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.9667425919023,-0.1330011095825737,-38.25998585658704,313.0402782541843,514.8472951941428,1081.742357938266
10,0,1,10143,0,3,823,1220,823,54001,4,2,0,0,False,False,False,False,7000,0,0,1,0,2,0,0,1,1030,25112,5121,5612,0,0,0,0,44702,10494,34964,0,0,42,65,31,9,2,12,4,4,200,31,0,79297,0,0,1888,0,140,474,153,1,0,9481,291,4448,1,1,7,0,11,2,5,4,False,0,0,0,0,0,375,0,0,0.2403974709791473,2,0.370372763615278,4,3,0,0,0.0,0.0,0,0,30,0,0,0,0,0,0,0.0,0,1,1417.3222669109766,0.0,0.0,3,0,0,0.0,0,0,3.0,1,0,0,0,0.0,0,0,1,0,4,76,0.0,0,0,17.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,19,0,0,2,0,23,0,12,0,0,4,0,0,0.208434773027,0,0,0,1,1,1,0,6,0,-0.2256704568862915,0.4944487803918798,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.901339302338476,0.2540001017444058,-22.47900900437992,345.90580522559003,673.3966030747107,1906.0590968403123
12,0,0,18345,0,7,1114,3753,1114,69805,2,5,0,0,False,False,True,False,11850,0,0,1,1,6,47,6,1,1786,61073,13723,5304,0,0,0,0,102028,12744,23242,0,0,92,96,64,10,3,12,4,6,100,43,0,163127,0,0,7337,0,234,596,56,1,0,26,26,8934,0,2,8,0,28,6,3,13,False,0,0,0,0,0,0,0,0,0.6175640586396209,5,0.2505262105551611,2,3,0,1,0.0,0.0,0,0,48,0,0,0,0,0,1,1012.4041522,0,1,1961.6106429,0.0,0.0,4,0,0,0.0,0,0,9.0,3,0,1,1,0.0,0,1,0,0,10,79,0.0,0,0,23.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,17,31,0,3,8,0,2,0,18,0,0,3,0,0,0.2442854268142063,0,1,0,2,2,2,0,11,0,0.5770283937454224,0.8690344478681374,3,1,0,1451.76977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.500753261945915,0.3670453168706143,19.025182257793517,389.037448773112,810.3748854308382,1146.435460135625
21,0,1,22624,0,7,7569,8229,7569,197272,8,5,0,0,False,False,False,False,14225,0,2,1,1,4,0,2,1,321,86523,17908,19009,0,0,0,0,109863,15540,44973,0,0,123,128,73,19,5,12,6,4,100,82,0,196436,0,0,20493,0,252,777,285,1,0,49,49,7554,3,4,6,0,27,7,4,9,True,0,0,0,0,0,0,0,0,0.6809183604824225,5,0.2714073198750351,7,5,0,0,0.0,0.0,0,0,88,0,0,0,0,0,0,0.0,1,10,2763.1032874,0.0,0.0,9,0,0,0.0,0,0,3.125,2,0,0,2,0.0,0,1,0,0,4,70,0.0,0,1,53.0,10,2.0,0,0.0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,32,37,0,2,4,0,22,0,25,0,0,3,0,0,0.1870411322551525,0,1,0,6,2,4,0,12,0,-0.503507137298584,0.606101011019673,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,28.45363569999972,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987645716482744,0.1302882891282538,16.39460971530528,335.5357739349632,727.3778034881867,1553.4055565613164
