assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
4,0,0,10419,0,2,539,3831,539,34689,8,0,0,0,False,False,False,False,7750,0,0,1,1,2,0,2,1,313,56543,9042,12801,8,0,0,0,33692,7507,16266,0,0,27,69,59,8,3,12,3,6,100,32,5,90235,0,0,4743,0,113,2059,260,1,0,0,0,2398,0,0,8,0,18,0,2,8,False,0,0,5,0,0,0,0,0,0.0,0,0.3215198908462058,8,0,0,0,0.0,0.0,0,0,17,0,0,0,0,0,0,0.0,0,0,1725.3816263511014,0.0,1.0,1,0,0,0.0,0,0,0.75,0,0,0,0,0.0,0,0,1,0,0,54,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,6,0,0,1,8,0,4,0,6,0,0,3,0,0,0.2058434990745759,0,2,0,0,1,0,0,5,0,0.5058397054672241,0.6453366483358104,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.53479020282052,-0.208649492090246,-159.6516363643866,269.54036886524955,575.4900741002469,1094.1927114365988
2,0,0,11836,0,5,3352,3352,3352,21593,4,1,0,0,False,False,False,False,7975,0,0,1,1,4,0,4,1,716,55095,5733,7238,0,0,0,0,39660,7934,11348,0,0,52,79,54,6,4,6,3,12,200,31,0,95692,0,0,1879,0,140,879,72,1,0,936,550,952,0,1,7,0,14,1,1,7,False,0,0,0,0,0,0,0,0,0.0,1,0.2295478492938207,4,0,0,0,0.0,0.0,0,0,19,0,0,0,0,0,1,816.1240242505156,0,2,1394.19298000184,0.0,1.0,1,0,0,0.0,0,0,1.5,0,0,1,2,0.0,0,0,0,0,0,53,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,3,6,0,4,1,6,0,0,3,0,0,0.2091140062048118,0,2,0,0,3,1,10,6,0,1.1200711727142334,0.6281401561713863,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.91764088494704,-0.2582138951807983,-28.44656411908462,354.5707137324329,611.8378246309018,840.8735496562699
1,0,0,10721,0,2,370,3360,370,32429,7,0,0,0,False,False,False,False,8100,0,0,1,1,5,0,3,1,461,56818,6634,7347,8,0,0,0,49059,9345,16865,0,0,40,102,54,6,6,14,3,4,200,33,0,110765,0,4,5740,0,132,2769,144,1,0,4887,1579,2242,0,0,8,0,11,0,0,7,False,0,0,0,0,0,300,1,0,0.0,0,0.2812803498356905,7,2,0,0,0.0,0.0,0,0,20,1,0,0,0,0,1,775.2171903867647,0,1,1460.93173416865,0.0,1.0,0,1,0,4.0,0,0,0.8571428571428571,0,0,1,1,0.0,0,1,0,0,0,48,0.0,0,0,10.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,14,0,0,4,7,0,1,0,6,0,0,5,0,0,0.2586040233652765,0,2,0,0,0,0,5,6,0,-0.3720496296882629,0.462803464230912,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.654178645046,-0.3696271272437582,-45.46413665098226,341.49439589242775,721.1425252525723,1086.4984056926248
7,0,0,11416,0,8,895,895,895,32390,8,6,0,0,False,False,False,False,10030,0,0,1,2,7,23,2,1,340,20136,4109,16929,1,0,0,0,40663,13647,15598,0,0,37,53,32,9,5,4,4,12,100,25,1,63294,0,0,7299,0,117,147,254,1,0,2495,0,5368,0,1,7,0,38,6,11,11,False,0,0,1,0,0,0,0,0,0.8019940248883378,6,0.2592926441273459,8,6,0,0,0.0,0.0,0,0,21,0,0,0,0,0,0,0.0,0,1,1831.2246463089,0.0,0.0,6,0,0,0.0,0,0,1.75,1,0,0,4,0.0,0,0,0,0,0,59,0.0,0,0,8.0,0,2.0,0,0.0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,35,0,0,2,5,0,6,0,14,0,0,6,0,1,0.2071560017775305,0,1,0,0,1,1,0,5,0,0.5603065490722656,1.2754702356348346,11,3,0,0.0,0.0,0.0,0.0,1502.8816815077032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.20661693597235,-0.3604145462602451,-93.31460252265256,323.97991212920937,581.7746075815375,1241.6281118665445
1,0,0,7508,0,3,796,2611,796,10365,2,1,0,0,False,False,False,False,5000,0,0,0,1,2,0,2,1,537,23329,1806,2285,0,0,0,0,26675,5069,7402,0,0,12,37,26,3,2,12,3,6,100,11,0,55719,0,0,1012,0,112,582,60,1,0,5714,0,1042,0,0,0,0,6,2,1,2,True,0,0,0,0,0,0,0,0,0.2197824432000463,1,0.2915937756266373,2,0,0,0,1.0,0.0,0,0,9,0,0,0,0,0,1,734.104575106252,0,0,966.788826248603,0.0,1.0,1,0,0,0.0,0,0,1.5,0,0,0,2,0.0,0,0,0,0,0,74,1.0,0,0,31.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,2,1,0,1,0,3,0,0,2,0,0,0.2353455868096568,0,1,0,0,1,0,5,5,0,-0.1294475793838501,0.4262186288363142,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73316261996125,0.1241222454603988,64.2953231484866,336.1230407067601,426.7322798928512,665.9158468950399
5,0,3,10259,0,6,1003,2147,1003,25074,3,1,1,0,False,False,False,False,7625,0,1,0,1,4,4,3,2,474,33359,5185,11051,0,0,0,0,44932,10970,10422,0,0,36,69,34,6,3,12,4,6,100,18,0,80097,0,0,3919,0,143,1235,81,1,0,1805,0,277,0,3,0,0,18,1,2,7,True,0,0,0,0,0,150,0,0,0.6989468264296829,1,0.2624152751935837,2,3,0,1,0.0,0.0,0,0,8,0,0,0,0,0,1,804.8515570383105,0,1,1305.230302610986,0.0,1.0,2,0,0,0.0,1,0,3.0,0,0,1,1,0.0,0,0,0,0,0,83,0.0,0,0,28.0,1,1.0,0,0.0,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0,19,0,0,1,6,0,2,0,9,0,0,2,0,0,0.1868489323958256,0,2,0,0,0,3,10,6,0,0.6646109819412231,0.8481806707765196,2,2,0,1249.755977767294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.837344393793824,0.1379066971092592,-58.334532877216645,372.256144396927,742.6735328323973,999.9154918402022
7,0,0,11554,0,3,2351,2872,2351,20345,1,0,0,0,False,False,False,True,7775,0,1,0,1,4,0,4,1,1011,26093,2856,5080,8,0,0,0,33272,7931,9531,0,0,40,62,42,6,5,6,3,12,100,21,0,60965,0,4,1667,0,103,1471,35,1,0,1600,0,332,1,4,2,0,12,2,3,5,True,0,0,0,1,0,0,0,0,0.0,0,0.2237686982147145,1,2,0,0,0.0,0.0,0,0,11,3,0,0,0,0,1,581.9704147635366,0,0,1376.1852531899403,0.0,1.0,8,0,0,0.0,0,1,11.0,1,0,1,3,0.0,0,0,0,0,0,64,0.0,0,0,8.0,1,1.0,0,0.0,1,1,0,0,0,0,0,0,6,0,1,0,0,0,1,15,0,0,1,5,0,0,1,11,0,0,5,0,1,0.1384236960788639,0,2,0,0,5,4,10,4,0,-0.22254079580307,0.5575607631645729,3,3,0,0.0,0.0,0.0,0.0,1317.4454120549622,0.0,35.25931340962961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.75880298559699,0.3051914696996334,-2.223537850668758,376.562674827962,470.3000548071351,651.5837878087174
1,0,0,14342,0,2,6171,7069,6171,61056,6,0,0,0,False,False,False,True,10950,0,0,2,1,5,3,2,1,405,82110,6067,5832,0,0,0,0,52555,10807,26369,0,0,59,76,54,8,2,12,4,6,200,26,0,137160,0,0,7071,0,206,2871,137,1,0,2495,0,3762,2,2,10,0,16,0,2,8,False,0,0,0,0,0,300,0,0,0.0,0,0.3228809017929439,6,5,0,0,0.0,0.0,0,0,18,0,0,0,0,0,1,857.8637230378554,0,0,1502.0933831076509,0.0,1.0,1,0,0,0.0,0,0,1.0,1,0,0,3,0.0,0,1,0,0,0,92,0.0,0,0,33.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,5,4,0,6,1,6,0,0,3,0,0,0.3220988766664865,0,1,0,0,4,2,0,9,0,0.7245395183563232,0.6412644061505974,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.52575150589142,-0.159777016994422,1.4779374071984035,440.9845669046047,674.0193461909693,1436.5551597968483
16,0,0,14527,0,4,1354,13568,1354,55034,9,2,1,0,False,False,False,False,11000,0,2,1,1,5,4,4,2,670,59514,6757,6375,20,0,0,0,52938,8063,23910,0,0,78,113,85,9,8,6,4,12,200,30,12,113779,0,0,5943,0,128,2395,240,1,0,1326,471,6358,0,3,10,0,24,2,2,10,False,0,0,10,1,0,450,0,0,0.056187557572531,2,0.2249112631788401,9,2,0,1,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,1,13,2106.7127930289653,0.0,1.0,5,0,0,0.0,0,0,2.333333333333333,1,0,1,2,0.0,0,0,0,0,0,54,0.0,0,0,4.0,0,1.0,0,0.0,0,0,1,0,0,2,0,0,12,0,0,0,1,0,0,19,0,0,0,8,0,0,0,21,0,0,1,0,1,0.1131817825040723,0,1,0,0,0,3,0,6,0,0.2948611974716186,0.6996798207134743,2,0,1,1114.8762281689476,0.0,0.0,0.0,1714.2624478149369,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.53876273815182,-0.227843112544008,-40.38519169842542,322.22712191536334,435.5221096278713,1043.6353770078288
1,1,0,16184,0,2,2225,5432,2225,58519,5,0,1,0,False,False,False,False,12250,0,0,3,2,7,4,3,2,629,86438,4919,16334,4,0,0,0,77872,8977,17853,0,0,63,111,64,8,4,4,3,12,100,28,0,164309,0,0,7307,0,202,3465,166,1,0,0,0,1966,1,1,11,0,8,0,0,5,False,0,0,0,1,0,1050,0,0,0.0,0,0.2493474474168831,5,4,0,0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0,1685.4679107711725,0.0,1.0,5,0,0,0.0,0,0,1.6,1,0,1,1,0.0,0,0,1,0,0,80,0.0,0,0,19.0,0,2.0,0,0.0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,22,0,0,2,5,0,2,0,8,0,0,3,0,1,0.2113500053700507,0,0,0,1,3,1,0,9,0,-0.3359876275062561,0.2917546990918345,0,0,1,0.0,0.0,0.0,0.0,1240.9189193093434,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.80254298376125,-0.1067952696397776,12.174660738934648,459.57564368317634,494.7112873946632,1287.0609912753866
