assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,15041,0,2,4305,15398,4305,23755,6,0,1,0,False,False,False,False,11550,0,0,0,2,7,1425,4,4,578,20040,4137,4882,4,0,0,0,110834,14489,16420,1,0,229,60,35,9,4,12,4,4,200,24,4,135045,0,0,5567,0,148,170,133,1,1,4170,1989,800,1,2,4,0,10,0,0,5,True,0,0,1,1,0,150,0,0,0.0,0,0.2173326120325491,6,3,0,1,0.0,0.0,0,0,35,0,0,0,0,0,0,0.0,0,1,1717.4497194492387,0.0,0.0,6,0,0,0.0,0,0,2.5,1,0,1,1,0.0,0,0,0,0,3,35,0.0,0,0,3.0,3,2.0,0,0.0,0,0,3,0,0,2,0,0,13,0,0,0,1,0,0,20,13,0,1,5,0,2,0,15,0,0,3,0,2,0.1683807658204392,0,1,0,0,0,2,5,6,0,-0.2221958637237548,0.3573427159629701,0,0,0,1126.892027492454,0.0,0.0,0.0,1249.9066146114487,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,22.67315284926507,0.1746776028448772,83.95005592724802,421.8813463909476,720.265627570567,772.1798111360645
8,0,1,13527,0,4,475,8493,475,18337,3,1,1,0,False,False,False,False,9825,0,0,0,1,6,342,4,2,771,13833,3738,7260,0,0,0,0,69545,11388,12021,0,0,202,76,38,7,4,12,3,4,100,11,0,86318,0,0,4463,0,137,93,116,1,0,2938,1398,1377,1,2,2,0,16,1,1,6,True,0,0,0,1,0,0,0,0,0.0,1,0.175426479651373,3,2,0,1,0.0,0.0,0,0,18,0,0,0,0,0,0,0.0,0,0,1507.612960481423,0.0,0.0,4,0,0,0.0,0,0,4.666666666666667,0,0,1,1,0.0,0,0,0,0,3,60,0.0,0,0,8.0,5,2.0,0,0.0,0,0,1,0,0,2,1,0,9,0,0,0,1,0,0,15,12,0,1,5,0,1,0,14,0,0,4,0,1,0.1918940642368667,0,2,0,0,2,2,5,6,0,0.2397239208221435,0.6747735592272956,1,1,0,845.3256444031347,0.0,0.0,0.0,1260.356712227741,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.521824431901157,0.2785860900704132,122.61767764384902,410.15832060938266,657.6621626305111,822.1871478235238
11,0,0,19360,0,4,492,7704,492,49503,16,2,0,0,False,False,False,False,13325,0,1,2,0,3,0,0,1,281,28257,5592,6274,22,0,0,0,155959,14208,33764,0,0,338,88,52,10,6,14,5,4,200,26,12,195026,0,3,8463,0,208,187,525,1,0,10809,4172,2006,0,1,10,0,27,3,3,14,True,0,0,12,1,0,0,0,0,0.0,2,0.2716648482849813,16,1,0,0,0.0,0.0,1,0,38,4,0,0,0,0,0,0.0,0,6,2423.155710530368,0.0,0.0,6,0,0,0.0,0,0,0.875,2,0,0,0,0.0,0,0,1,0,5,45,0.0,0,1,2.0,19,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,12,14,0,0,11,0,10,0,14,0,0,1,0,2,0.1543721793004348,1,1,0,0,0,1,0,9,0,-0.2825839519500732,0.6759441860910658,3,1,0,0.0,0.0,0.0,0.0,1486.6748855270885,0.0,9.699241789217922,0.0,0.0,0.0,0.0,1.0,0.0,2180.745765405136,0.0,-160.67477558624708,-0.2476109964343459,-99.91103706125858,339.67276490863577,593.5978417520575,1041.1051956078509
9,0,0,20255,0,2,3920,6515,3920,37238,2,0,0,0,False,False,False,False,14640,0,0,1,1,2,0,2,1,1848,37885,6873,15499,12,0,0,0,190944,21397,15854,0,0,419,103,86,9,5,12,5,4,100,39,8,251074,0,2,9253,0,278,231,12,1,0,22245,3131,282,2,2,6,0,27,0,5,11,False,0,0,3,0,0,0,0,0,0.0,0,0.1968718151272717,2,10,0,0,0.0,0.0,0,0,59,2,0,0,0,0,1,958.8613689,1,1,2193.459154,0.0,0.0,5,0,0,0.0,0,0,5.5,2,0,0,1,0.0,0,0,0,0,4,71,0.0,0,0,47.400000005960464,0,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,54,19,0,1,11,0,32,0,11,0,0,2,0,1,0.2081622504469932,0,1,0,0,0,2,0,13,0,0.188886284828186,0.7463903137991899,5,1,0,0.0,0.0,0.0,0.0,1429.8614699999998,0.0,23.76214219999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556027011387876,-0.1094162157350115,73.281510488524,389.1661253155024,858.9720016277084,865.3454961942729
9,0,0,14271,0,3,1006,3486,1006,31429,9,0,0,0,False,False,False,True,10025,0,0,1,0,2,423,0,1,675,22624,5508,9005,20,0,0,0,151469,16577,19727,0,0,278,64,32,10,3,12,3,4,100,34,10,178412,0,8,6724,0,202,175,334,1,0,4318,1238,193,1,1,9,0,15,0,1,7,False,0,0,6,0,0,0,1,0,0.0,0,0.1991582206859291,9,1,0,0,0.0,0.0,0,0,50,2,0,0,0,0,1,604.0696835169715,0,0,1972.3425032008688,0.0,0.0,6,0,0,0.0,0,1,1.2222222222222223,2,0,0,0,0.0,0,0,0,0,4,63,0.0,0,0,20.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,11,20,0,1,7,0,2,1,11,0,0,4,0,0,0.2228759450089118,0,2,0,0,5,1,10,9,0,-0.4092010855674743,0.4624210486355609,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.7688216750634,-0.3650481591465623,-143.9202367435322,352.33231493629046,709.5015179812729,879.9485876227885
3,0,0,15405,0,7,8303,12627,8303,17732,5,2,0,0,False,False,False,False,12555,1,3,0,0,1,566,0,1,760,20576,3032,7374,27,0,0,0,157842,9776,12775,0,0,298,52,30,8,4,4,4,12,200,18,6,188021,0,14,5708,0,216,151,212,1,0,9602,1768,2265,5,6,2,0,27,3,2,11,True,0,0,3,0,0,0,0,0,0.3121480245987568,2,0.2134877810568247,5,2,0,0,0.0,0.0,0,0,28,9,0,0,0,0,0,0.0,1,0,1814.698435797047,0.0,0.0,2,0,0,4.0,0,0,0.8,0,0,0,0,0.0,0,0,0,0,5,61,0.0,0,0,46.35000002384186,1,1.0,0,0.0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,11,11,0,0,9,0,4,0,4,0,0,1,0,1,0.13368561843773,0,0,0,0,0,6,0,10,0,0.2965980768203735,0.9103013814278206,2,1,1,0.0,0.0,0.0,0.0,1447.6943202938105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1699.309567879763,0.0,0.0,70.16041755944913,-0.033063344749976,-7.505379258244558,413.4240627537002,481.9643764204005,741.1148725707126
3,0,7,8246,0,3,5008,5008,5008,6781,0,0,1,0,True,False,False,False,7400,0,0,0,1,7,402,7,3,0,11350,2304,3155,4,0,0,0,64198,6861,4552,0,0,151,30,15,3,3,3,2,4,100,13,0,76719,0,4,1837,0,123,80,0,1,1,1170,1146,261,1,1,0,0,6,0,0,5,True,0,0,0,0,0,0,1,0,0.0,0,0.1970651698464348,0,0,0,0,1.0,0.0,0,0,17,1,0,0,0,0,1,826.0831216216575,0,0,925.13175948844,0.0,0.0,2,0,0,0.0,0,1,10.0,1,0,1,3,1.0,0,0,0,0,1,67,1.0,0,0,65.0,0,3.0,0,0.0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,6,5,0,3,5,0,0,0,10,1,0,7,0,0,0.2985439908414471,0,1,0,0,5,1,0,5,0,1.0792875289916992,0.4455762700828326,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.4815155120754,0.5837006398943626,192.94548929841432,570.1458139234825,668.7912220656298,516.8344888131306
2,0,0,8143,0,2,594,1022,594,9648,6,1,0,0,False,False,False,False,6025,0,0,0,0,1,317,0,1,215,7727,1730,3284,0,0,0,0,45973,6523,9203,0,0,132,39,23,4,2,4,2,12,100,10,0,54464,0,0,749,0,113,61,140,1,0,764,764,0,0,0,6,0,12,1,1,7,False,0,0,0,0,0,0,0,0,0.6103823063860925,1,0.2432875253003603,6,7,0,0,0.0,0.0,0,0,15,0,0,0,0,0,0,0.0,0,0,1106.169193204597,0.0,0.0,2,0,0,0.0,0,0,0.5,0,0,0,0,0.0,0,1,0,0,0,58,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,38,5,0,1,6,0,2,0,3,0,0,3,0,0,0.2823311805733057,0,1,0,0,4,0,0,5,1,0.1429803371429443,0.6882502124701304,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.321032156364,-0.3796887515762852,-167.9851519473936,326.80353260673115,489.1475945307057,677.3647328120927
4,0,1,9420,0,1,1405,1808,1405,10895,5,0,0,0,False,True,False,False,8250,0,0,2,0,3,305,0,1,489,15080,2577,5536,4,0,0,0,93084,10067,9471,0,0,215,59,46,6,4,12,3,4,100,21,0,110022,0,0,3309,0,169,169,124,1,0,1857,1439,572,0,0,9,0,10,0,0,6,False,0,0,0,0,0,150,0,0,0.0,0,0.2403293689073332,5,4,0,0,0.0,0.0,0,0,28,0,0,0,0,0,0,0.0,0,1,1218.0753059166243,0.0,0.0,5,0,1,4.0,0,0,1.4,1,0,0,0,0.0,0,2,0,0,7,71,0.0,0,0,28.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,28,14,0,1,6,0,11,0,7,0,0,5,0,0,0.3651281248482504,0,0,0,0,3,0,0,8,0,-0.1868528127670288,0.5162607656495033,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.24031338456296,0.1477741147248253,-54.03606795104448,408.3491370229341,693.7994686330551,767.4402358042598
1,0,0,13586,0,1,2021,7455,2021,32757,12,0,0,0,False,False,False,False,9950,0,0,2,0,4,526,0,1,266,19833,5714,11222,12,0,0,0,133831,14256,15890,0,0,265,75,52,8,4,12,4,4,200,31,5,158235,0,4,4748,0,206,157,392,1,0,4569,1519,2022,1,1,9,0,8,0,0,6,False,0,0,4,0,0,150,0,0,0.0,0,0.2393655279564747,12,0,0,0,0.0,0.0,0,0,45,1,0,0,0,0,1,817.4417452531627,0,0,1687.8306371198928,0.0,0.0,1,0,0,0.0,0,0,0.4166666666666667,0,0,0,0,0.0,0,1,0,0,3,81,0.0,0,0,90.0,0,2.0,0,0.0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,5,22,0,3,6,0,0,0,5,0,0,1,0,0,0.2498336333483868,0,1,0,0,1,1,10,9,0,-0.4481426477432251,0.3170761392604935,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.54997155287704,-0.7465203986047195,-168.28702699974963,381.00979201168497,763.9036593150865,1035.708181588024
