assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
7,0,2,13942,0,3,2153,2153,2153,11923,1,1,0,0,False,False,False,False,7625,0,0,0,1,2,0,2,1,202,70917,6497,5102,0,0,0,0,16342,968,6655,0,0,40,110,35,3,2,12,2,4,100,21,0,87371,0,0,20687,271,173,221,10,4,0,111,102,1561,2,2,3,0,13,1,2,5,True,0,0,0,0,0,0,0,0,0.0396923410274225,1,0.2360923060353479,1,0,0,0,0.0,271.91510009765625,0,0,61,0,0,0,0,0,0,0.0,0,0,1376.4288279212633,0.0,0.0,6,0,0,0.0,0,0,9.0,2,0,0,0,0.0,0,1,0,3,4,57,0.0,0,0,19.999999940395355,6,3.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,13,0,0,4,0,6,0,9,0,0,4,0,1,0.1415690944237401,0,0,0,0,1,2,0,8,0,0.0437707901000976,0.5918009693992314,2,1,0,0.0,0.0,0.0,0.0,1258.7031784348462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.00725213342606,0.3487285286845632,188.9672714809477,399.2069832116538,329.8971881355968,580.5894091937122
0,0,0,9358,0,1,2831,3531,2831,16438,4,0,0,0,False,False,False,False,4350,0,0,0,0,1,0,0,1,373,58771,5702,2641,8,0,0,0,11291,815,15010,0,0,29,91,36,3,1,12,1,4,200,21,6,82240,0,0,14117,0,130,250,84,1,0,12177,411,2009,1,1,4,0,7,0,1,4,False,0,0,3,0,0,0,0,0,0.0,0,0.3175676250130467,4,1,0,0,0.0,0.0,0,0,65,0,0,0,0,0,0,0.0,0,0,1162.5742521,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,1,0.0,0,0,0,0,5,54,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,4,0,8,0,1,0,0,1,0,0,0.1676248523187088,0,0,0,0,1,1,0,6,0,-0.0403773188591003,0.4049987770099983,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.13336801354404,-0.2580480338852328,-60.38323992914449,338.6622396709796,357.6029653581557,1014.6964788435126
16,0,5,15423,0,6,9971,13600,9971,46830,0,4,0,0,False,False,False,False,11785,0,1,0,1,5,0,5,1,0,110415,20401,9305,4,0,0,0,30368,3183,23678,0,0,47,152,55,9,3,4,4,12,200,51,0,144833,0,0,32367,0,182,340,0,1,0,4050,0,1938,3,5,2,0,26,5,4,9,True,0,0,0,0,0,0,0,0,0.6686915618849789,4,0.3041196975435677,0,2,0,1,0.0,0.0,0,0,142,0,0,0,0,0,0,0.0,0,3,1637.350081732268,0.0,0.0,17,0,0,0.0,0,0,21.0,1,0,1,1,0.0,0,0,0,17,5,64,1.0,0,0,13.0,3,2.0,0,0.0,0,0,0,0,0,1,1,0,12,0,0,0,0,0,1,16,21,0,1,5,0,5,0,21,0,0,4,0,1,0.2385804341216088,0,0,0,2,4,5,0,8,0,0.7500323057174683,0.9841291505006364,4,2,0,940.1149611866764,0.0,0.0,0.0,1414.1859302652688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.10061415858902,0.6229577971015643,110.26353008697689,455.3821496812435,864.2256874613702,1279.7018935518136
3,0,0,10766,0,3,1115,1549,1115,18466,4,0,0,0,False,False,False,False,7550,0,0,1,1,2,3,2,1,663,54628,8792,5857,0,0,0,0,10711,950,13600,0,0,31,86,37,5,3,12,3,4,100,19,0,67330,0,0,13956,0,132,168,86,1,0,1990,105,3459,0,0,7,0,7,0,0,5,False,0,0,0,0,0,450,0,0,0.0,0,0.2574061535209505,4,2,0,0,0.0,0.0,0,0,56,0,0,0,0,0,1,870.7976964443069,0,0,1498.8338281616489,0.0,0.0,0,0,0,0.0,0,0,1.25,0,0,0,0,0.0,0,0,0,1,1,50,0.0,0,0,22.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,9,0,1,5,0,0,0,5,0,0,1,0,0,0.2043444950289595,0,0,0,0,2,0,0,6,0,-0.109469473361969,0.3107033247489401,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.29663415623656,-0.120093366334528,-167.04987257132856,318.80785649606054,394.1864594320327,917.4332565515716
7,0,2,18663,0,4,1854,13388,1854,56212,4,2,0,0,False,False,False,False,13325,0,1,0,1,6,35,2,1,723,140040,21396,14994,4,0,0,0,18615,2283,34878,0,0,72,199,78,16,4,4,4,12,200,53,0,164567,0,0,58764,4464,241,415,172,10,0,5912,372,7195,1,3,6,0,22,3,2,7,True,0,0,0,1,0,0,0,0,0.80265598864213,2,0.3235463298390862,4,5,0,1,1.0,4464.3544921875,0,0,135,0,0,0,0,0,0,0.0,0,0,2193.459154,0.0,0.0,7,0,0,4.0,0,0,3.25,5,0,0,1,0.0,0,0,1,3,5,74,0.0,0,0,8.0,18,1.0,0,0.0,0,0,0,0,0,2,0,0,9,0,0,0,1,0,1,27,20,0,1,5,0,5,0,13,0,0,1,0,1,0.18965856379611,0,1,0,0,1,3,0,11,0,-0.1588765978813171,0.6278063411423657,2,0,0,2028.3449029,0.0,0.0,0.0,2055.2167983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-92.64818067362106,-0.1914783775362702,-41.74228630290692,383.4491280433481,657.9197052146246,1561.0411498914102
3,0,4,8849,0,2,1066,1855,1066,11202,0,0,0,0,False,True,False,False,5875,0,0,0,1,4,0,4,1,0,43329,7698,6578,0,0,0,0,9947,754,6436,0,0,30,78,21,5,2,12,2,4,100,27,0,55662,0,0,10896,218,120,194,0,2,0,2385,0,190,1,1,1,0,8,1,1,4,True,0,0,0,0,0,0,0,0,0.0,0,0.2907589957472793,0,1,0,0,0.0,218.952880859375,0,0,79,0,0,0,0,0,1,787.2552131921302,0,0,948.7265570769172,0.0,1.0,5,0,0,0.0,0,0,7.0,1,0,1,0,0.0,0,0,0,6,7,62,0.0,0,0,24.0,1,2.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,9,15,0,2,4,0,6,0,7,0,0,6,0,0,0.2627203048608567,0,1,0,0,0,1,0,5,0,0.0444155931472778,0.5627950780938206,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.7425339527048,0.3794560163986358,116.9356957201796,422.3977889210815,534.5270417668784,835.056206754598
2,0,0,12611,0,1,2459,3967,2459,22390,5,0,0,0,True,False,False,False,8450,0,0,0,0,2,0,0,1,505,79228,7141,6053,8,0,0,0,17532,1278,16031,0,0,37,99,29,5,2,12,3,4,200,16,2,103744,0,0,22551,237,192,200,113,2,0,6983,448,3268,1,1,4,0,19,0,6,5,False,0,0,2,0,0,0,0,0,0.0,0,0.2888366701883973,5,19,0,0,0.0,237.391845703125,0,0,37,0,0,0,0,0,1,900.5649876,0,0,1447.4741616,0.0,0.0,2,0,0,0.0,0,0,0.8,0,1,0,0,0.0,0,1,0,2,5,73,0.0,0,0,72.44999998807907,0,2.0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,100,10,0,1,5,0,1,1,4,0,1,2,0,0,0.1884295109604085,0,1,0,0,2,1,0,9,0,-0.1496092081069946,0.8209376637197133,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.792885219817246,-0.4145151712668748,35.814110797457985,388.11055485717486,367.5920538794646,1050.9203137129075
1,0,0,7187,0,1,0,300,0,13236,4,0,0,0,False,False,False,False,3400,0,0,0,0,0,0,0,0,262,36364,5714,2467,3,0,0,0,9696,1383,14102,0,0,20,81,23,3,1,12,1,4,100,19,2,46199,0,0,10252,0,76,151,93,1,0,138,138,1224,0,0,4,0,6,0,0,4,False,0,0,2,0,0,0,0,0,0.0,0,0.2990618920749335,4,0,0,0,0.0,0.0,0,0,57,0,0,0,0,0,0,0.0,0,0,1023.1809815,0.0,0.0,0,0,0,0.0,0,0,0.25,0,0,0,0,0.0,0,0,0,0,5,50,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,13,0,0,4,1,6,0,1,0,0,1,0,0,0.2448122150267627,0,0,0,0,0,0,0,3,0,-0.0459315180778503,0.3781122938042469,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.28537853056253,-0.3518439127672546,-190.5234787634684,240.48531437641856,424.2651181451813,1043.3931233112935
1,0,0,4504,0,1,752,752,752,6223,4,0,0,0,False,False,False,False,2100,0,0,0,0,0,0,0,0,248,14818,2348,6851,0,0,0,0,7462,1081,4431,0,0,12,37,10,1,1,12,1,4,100,10,0,22409,0,0,4756,0,51,73,86,1,0,128,128,1935,0,0,4,0,1,0,0,1,False,0,0,0,0,0,0,0,0,0.0,0,0.2488612581920699,4,5,0,0,0.0,0.0,0,0,36,0,0,0,0,0,0,0.0,0,0,916.2364489,0.0,0.0,1,0,0,0.0,0,0,0.25,1,0,0,0,0.0,0,0,0,1,1,42,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,2,0,0,1,0,0,0,1,0,0,1,0,0,0.150642278611303,0,0,0,0,0,0,0,2,0,-0.6942695379257202,0.1015412983358922,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.23157606156656,-0.1309705591215756,-269.93032234956746,222.64995050667864,233.0621099568439,865.5189399549328
11,0,4,15854,0,7,8477,19286,8477,41204,2,5,1,0,False,False,False,True,13125,0,1,0,2,9,47,4,2,905,89118,18434,9099,10,0,0,0,26088,3123,21469,0,0,32,138,51,12,4,12,4,4,100,46,4,123389,0,2,36696,0,159,232,73,1,0,8182,0,4720,2,5,3,0,25,5,4,10,True,0,0,3,2,0,0,0,0,0.2398931783574852,5,0.2859413110069715,2,10,0,2,0.0,0.0,0,0,125,2,0,0,0,0,1,727.3533271,0,1,1819.5350626,0.0,1.0,12,0,0,0.0,1,1,10.0,1,0,2,4,0.0,0,1,0,15,5,75,1.0,0,0,47.0,0,2.0,0,0.0,0,0,1,1,0,3,0,0,13,0,0,0,2,0,1,54,25,0,4,5,0,2,1,20,0,0,6,0,2,0.2162179945736306,0,2,0,0,8,5,5,7,0,0.2572652101516723,0.8552375139894639,4,0,1,1267.8565663,0.0,0.0,0.0,1312.2817239,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,145.35581393088128,0.5605827669748144,118.05213563351973,456.2484214037372,710.8848994378263,1163.670897869072
