assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
17,0,0,9721,0,7,518,1298,518,23902,3,3,0,0,False,False,False,False,5675,0,1,0,0,2,4,0,1,777,5912,4413,6959,0,0,0,0,4555,597,9671,0,0,25,22,15,6,7,14,11,4,100,42,0,16887,0,0,7901,4933,23,179,43,5,0,6419,1158,787,0,4,3,0,51,5,2,20,True,1,0,0,0,0,0,0,1,0.1892666852842603,3,0.1762421225543958,3,3,0,1,0.0,4933.416015625,0,0,67,0,0,0,0,0,1,851.0729379999999,0,1,1569.9501064,0.0,0.0,13,0,0,0.0,0,0,6.333333333333333,0,0,0,0,0.0,0,1,0,8,0,11,0.0,0,0,19.0,3,2.0,0,0.0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,22,0,0,0,17,0,2,0,19,0,0,4,0,0,0.0786197554482416,0,2,0,0,0,4,10,0,0,-0.1485565900802612,1.9738115349271723,2,2,1,1247.2094764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.51698871543195,0.4203955255071283,106.24541462816514,268.67095857410106,235.72723648436065,665.6772057530145
24,0,0,15548,0,20,603,785,603,74121,8,16,0,0,False,False,False,False,9425,0,0,0,0,2,4,0,1,632,14857,8005,9313,0,0,0,0,6189,1333,26718,0,0,44,28,24,11,5,14,17,4,200,72,0,30279,0,0,14188,7287,42,280,199,5,0,9231,690,5197,0,3,6,0,107,9,14,55,True,0,0,0,0,0,0,0,0,0.755349034233552,16,0.172249005752029,8,5,0,1,0.0,7287.92724609375,0,0,96,0,0,0,0,0,0,0.0,0,5,2457.9741271068447,0.0,0.0,13,0,0,0.0,0,0,3.25,4,0,0,0,0.0,0,0,0,7,0,13,0.0,0,0,3.0,2,1.0,0,0.0,0,0,0,0,0,2,0,0,20,0,0,0,0,1,0,26,0,0,0,39,0,8,1,26,0,0,6,0,0,0.0569966274733024,0,0,0,1,0,3,0,1,0,-0.4911769032478332,2.6178055415861285,14,3,0,1082.985540502405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-76.59966715012364,0.1464620786809247,-4.833248596470516,253.9652444327235,244.81136451516568,1006.4141736559744
14,0,0,12992,0,14,0,1746,0,32289,6,10,0,0,False,False,False,False,7950,0,0,3,0,1,0,0,1,794,14601,6842,13238,0,0,0,0,5039,1164,11595,0,0,33,29,29,8,6,14,10,4,100,57,0,28713,0,0,7902,4550,48,237,214,5,0,9071,1126,433,0,0,10,0,71,12,4,40,False,1,0,0,0,0,0,0,0,0.6180243836976786,10,0.14864054231925,6,5,0,0,0.0,4550.08203125,0,0,85,0,0,0,0,0,1,957.6454299462696,0,1,2061.568182630321,0.0,0.0,9,0,0,0.0,0,0,2.5,1,0,0,0,0.0,0,0,1,8,0,17,0.0,0,0,29.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,33,0,0,0,30,0,2,0,15,0,0,3,0,0,0.0724630835572519,0,0,0,0,0,0,0,1,0,-0.2901490926742553,2.09387257144694,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.61634453161967,-0.3492486962431501,0.9604339146686628,237.95477837366627,265.7782578410372,735.3431299399525
28,0,0,13017,0,3,1106,6689,1106,56123,9,1,0,0,False,False,False,False,9475,0,1,1,0,2,4,0,1,633,14727,7779,17920,0,0,0,0,4934,1006,17172,0,0,31,30,49,11,7,4,7,14,100,63,0,30461,2632,0,11394,7257,37,249,258,5,0,10798,1220,977,0,3,6,0,66,1,8,28,True,1,0,0,0,0,0,0,1,0.0,1,0.1818938946568816,9,42,0,3,0.0,9889.7392578125,0,0,90,0,0,0,0,0,0,0.0,0,5,2058.519131674075,0.0,0.0,19,0,0,0.0,0,0,3.333333333333333,3,0,0,0,0.0,0,0,0,13,0,14,0.0,0,1,2.0,11,1.0,0,0.0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,215,0,0,0,27,0,7,1,30,0,0,9,0,1,0.0774846365179362,0,0,0,0,0,3,0,0,0,-0.2998642325401306,1.933828175259758,8,1,1,532.5269122265336,0.0,0.0,0.0,1602.0410559380932,0.0,10.064518103365344,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.75278259146335,0.1457358328052201,51.7653678124142,280.22085931787734,291.6465486098066,1051.3674450234194
19,0,0,12104,0,13,273,3361,273,51430,6,9,0,0,False,False,False,False,8425,0,0,2,0,0,4,0,0,525,15924,6111,8837,0,0,0,0,7554,1284,18333,0,0,34,22,29,9,7,14,9,4,100,62,0,32180,0,0,9722,4721,36,205,167,5,0,8701,1376,991,0,2,7,0,107,11,10,61,False,1,0,0,0,0,0,0,1,0.6169370472675887,9,0.1750029516864276,6,21,0,2,0.0,4721.77783203125,0,0,87,0,0,0,0,0,0,0.0,0,4,2164.419690854467,0.0,0.0,13,0,0,0.0,0,0,3.1666666666666665,6,0,0,0,0.0,0,0,0,6,0,15,0.0,0,0,32.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,107,0,0,0,52,0,0,0,19,0,0,4,0,1,0.0707155333237596,0,1,0,0,0,2,5,1,0,0.3528552055358886,2.967229316228764,10,7,1,820.5125994994946,0.0,0.0,0.0,1261.1064758161915,0.0,6.117550724356761,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-42.49637923211105,-0.2494895062550551,-74.15382547025249,243.363152823681,243.16910542992704,780.680386128318
21,0,2,11320,0,11,235,713,235,37289,5,9,0,0,False,False,False,False,6375,1,1,0,1,3,0,2,1,587,13252,7456,6287,0,0,0,0,3752,1323,20124,0,0,40,34,54,9,9,14,14,4,200,56,0,22198,0,0,11599,7507,30,98,106,5,0,5193,1542,756,1,3,4,0,74,9,7,37,True,0,0,0,1,0,0,0,0,0.537887691867459,9,0.227311350132773,5,31,0,0,0.0,7507.943359375,0,0,100,0,0,0,0,0,0,0.0,0,2,1769.8046090733235,0.0,0.0,18,0,0,0.0,0,0,4.8,4,0,0,2,0.0,0,0,0,13,0,12,0.0,0,0,16.0,4,1.0,0,0.0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,157,0,0,0,29,0,2,0,24,0,0,5,0,1,0.1038724633508841,0,1,0,0,0,3,0,0,0,-0.2591747641563415,2.522100294268624,7,2,0,0.0,0.0,0.0,0.0,1528.7273677686694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8985146624515283,0.3729225229815502,78.0764154933191,290.303233117365,349.9369347468692,921.0169256217978
22,0,0,12980,0,18,0,393,0,31479,9,12,0,0,False,False,False,False,7900,0,0,4,0,3,0,0,1,298,16207,6738,4259,0,0,0,0,4678,1571,18248,0,0,34,28,58,8,8,14,18,4,100,63,0,27698,0,0,7280,4496,33,307,226,5,0,6812,1088,5336,0,1,11,0,90,12,7,48,False,1,0,0,0,0,0,0,1,0.7218232761141476,12,0.1650519622749803,9,1,0,0,0.0,4496.1748046875,0,0,83,0,0,0,0,0,0,0.0,0,4,2066.4557029441908,0.0,0.0,15,0,0,0.0,0,0,2.7777777777777777,4,0,0,0,0.0,0,1,0,9,0,12,0.0,0,0,11.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,12,0,0,1,36,0,0,0,25,0,0,7,0,0,0.0867228856161353,0,0,0,0,0,1,0,0,0,0.1175534725189209,2.630374638854111,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,21.405968213322467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.191362907027084,0.1161408878293684,-21.776416468006584,259.80716607429724,272.84398073314384,808.4567201802338
21,0,0,14561,0,30,433,888,433,57520,6,21,0,0,False,False,False,False,9125,0,1,0,0,1,0,0,1,1013,10547,5628,22265,0,0,0,0,4303,830,11867,0,0,32,25,19,10,8,14,11,4,100,40,0,22733,0,0,12579,5865,37,87,230,5,0,7882,1133,2774,0,3,5,0,129,21,14,63,True,1,0,0,0,0,0,0,0,0.7601295477920467,21,0.1985046899053474,6,3,0,1,0.0,5865.0390625,0,0,69,0,0,0,0,0,1,767.5324716598113,0,1,2370.8982380043644,0.0,0.0,15,0,0,0.0,0,0,3.6666666666666665,5,0,0,1,0.0,0,0,0,11,0,14,0.0,0,0,6.0,6,1.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0,18,0,0,0,42,0,13,1,22,0,0,7,0,0,0.0571987873070359,0,1,0,0,2,3,0,0,0,-0.0189286470413208,3.2795786236361733,14,6,0,796.0336866194774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9363539794388736,0.1771480501641112,48.48795201634815,248.9689310735037,192.1297138351332,933.9751341938126
5,0,0,6738,0,10,0,2016,0,20804,7,5,0,0,False,False,False,False,5350,0,0,1,0,1,0,0,1,449,8311,3708,11991,0,0,0,0,4520,375,6512,0,0,20,23,15,6,6,14,10,4,200,43,0,22675,632,0,4599,2703,37,194,171,5,0,9843,986,727,0,0,7,0,39,6,3,27,False,0,0,0,0,0,0,0,0,0.0,4,0.1758850838129102,7,2,0,0,0.0,3336.024169921875,0,0,63,0,0,0,0,0,0,0.0,0,0,1560.1950427687689,0.0,0.0,3,0,0,0.0,0,0,0.8571428571428571,1,0,0,0,0.0,0,0,0,1,0,18,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,21,0,2,0,6,0,0,2,0,0,0.0710308401291903,0,0,0,0,1,0,0,1,0,-0.4886558055877685,1.510917291566047,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.02770571672191,-0.5768509547388595,-117.56222457577957,223.12594929299084,194.9756227017345,739.5613807055338
11,0,0,9421,0,6,441,441,441,24719,6,3,0,0,False,False,False,False,6925,0,0,1,1,3,4,2,1,740,12585,4443,7524,0,0,0,0,5424,1296,10414,0,0,32,28,22,7,5,14,10,4,100,57,0,25389,0,0,5103,3176,33,221,164,5,0,7379,818,1296,0,0,7,0,57,3,3,25,False,0,0,0,0,0,0,0,0,0.6865530590927766,3,0.149897073352112,6,1,0,0,0.0,3176.17578125,0,0,75,0,0,0,0,0,0,0.0,0,0,1647.3935648193908,0.0,0.0,12,0,0,0.0,0,0,2.333333333333333,2,0,0,0,0.0,0,0,0,7,0,15,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,11,0,0,0,22,0,8,0,14,0,0,7,0,0,0.0910863137361921,0,0,0,0,2,0,0,0,0,-0.0895179510116577,2.0779837081011627,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-47.52962599352164,-0.6555810481865054,-61.55177619084412,256.29576867157994,238.85002855595013,700.5611923259685
