assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
3,0,0,2329,0,4,101,531,101,1471,2,1,0,0,True,False,False,False,2050,0,0,0,0,0,0,0,0,191,2606,1359,1027,0,0,0,0,1285,799,2511,0,0,16,12,7,0,2,14,1,4,100,5,0,4154,0,0,528,273,1,33,20,4,0,262,262,234,0,0,0,0,5,2,0,3,True,0,0,0,0,0,0,0,0,0.0,1,0.1613790906309067,2,0,0,1,0.0,273.26007080078125,0,0,3,0,0,0,0,0,0,0.0,0,1,561.1931734851097,0.0,0.0,0,0,0,0.0,0,0,1.5,0,0,0,0,0.0,0,0,0,0,4,1,0.0,0,0,0.0,2,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,2,0,0,0,3,0,0,3,0,0,0.1587603783450412,0,0,0,0,1,0,0,0,0,-0.4652931690216064,0.5487086644146975,0,0,0,541.5617936565803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.53255138717483,-0.3207451702987902,-26.621849134799582,246.1184606759383,258.84135243112365,403.39050917911175
7,0,3,5179,0,8,0,2906,0,3544,1,5,0,0,False,False,False,False,4350,0,0,0,1,3,0,3,1,219,6494,2903,2846,0,0,0,0,4736,1508,2740,0,0,25,30,16,4,3,14,1,4,100,24,0,16581,372,0,1477,1092,27,104,10,5,0,5351,247,48,0,0,1,0,35,6,6,17,True,0,0,0,0,0,0,0,0,0.4068358546850421,5,0.1206168517612474,1,2,0,0,0.0,1465.8682861328125,0,0,16,0,0,0,0,0,0,0.0,0,0,1010.0295630753322,0.0,0.0,3,0,0,0.0,0,0,10.0,0,0,1,1,0.0,0,0,0,0,2,16,0.0,0,0,17.0,3,2.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,17,17,0,0,5,0,0,0,10,0,0,7,0,0,0.1240994778590152,0,1,0,0,0,0,0,0,0,0.1526672840118408,2.134018857662539,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.59333954975269,0.356425210865981,70.92861696233022,303.85249226324885,276.76417623743424,334.68327300315616
27,0,1,15961,0,17,1025,3264,1025,13266,9,11,0,0,False,False,False,False,10825,0,0,1,0,2,0,0,1,402,41124,10285,9763,0,0,0,0,9483,1790,13849,0,0,74,62,24,10,4,4,6,14,100,75,0,54206,0,0,9427,5646,60,356,279,5,0,3599,2264,2434,0,4,7,0,129,10,15,65,True,1,0,0,0,0,375,0,1,0.5488288986027853,11,0.1642886011772815,9,2,0,0,0.0,5646.15576171875,1,0,49,0,0,0,0,0,0,0.0,0,1,2060.791992123275,0.0,0.0,14,0,0,0.0,0,0,3.2222222222222223,1,0,0,0,0.0,0,1,0,0,9,6,0.0,0,1,14.0,18,2.0,0,0.0,0,0,0,0,0,1,0,0,22,0,0,0,1,4,0,12,48,0,1,35,0,0,0,29,0,0,9,0,0,0.1052440810683328,1,1,0,0,1,4,5,2,1,0.405408501625061,3.763117219348545,15,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1896.3699429963865,0.0,92.09080815791889,0.2329201597418118,102.74690546610675,361.3465128194534,417.5093863371978,758.3589250993717
14,0,1,9256,0,6,0,0,0,15161,2,3,0,0,False,False,False,False,6350,0,0,2,0,1,0,0,1,203,14578,6609,6035,0,0,0,0,4601,2280,10356,0,0,63,48,25,6,4,4,5,3,200,44,0,19180,313,0,5882,1410,14,230,18,5,0,0,0,512,0,0,10,0,60,4,8,29,False,0,0,0,0,0,0,0,1,0.6088236374198568,3,0.1537618871662761,2,2,0,0,0.0,1723.759765625,0,0,23,0,0,0,0,0,0,0.0,0,0,1562.765926031805,0.0,1.0,7,0,0,0.0,0,0,7.5,2,0,0,0,0.0,0,0,0,0,10,3,0.0,0,0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,40,0,0,24,0,0,0,15,0,0,8,0,0,0.1449463490179204,0,0,0,0,0,0,0,0,0,-0.0234479904174804,2.321924454406211,8,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-17.54581383126596,0.0,16.854731448415222,265.068487288972,341.2795167311228,649.0031444282708
5,0,0,7554,0,11,0,4745,0,11585,6,5,0,0,False,False,False,False,6075,0,0,2,0,2,0,0,1,510,10717,6490,2158,0,0,0,0,3149,1589,13898,0,0,47,20,27,5,3,14,3,4,100,33,0,19050,214,0,2474,671,13,145,110,4,0,5183,722,1287,0,0,10,0,54,5,4,24,False,0,0,0,0,0,300,0,1,0.0856742342344287,5,0.1643864189533477,6,3,0,0,0.0,886.5827026367188,0,0,16,0,0,0,0,0,0,0.0,0,0,1479.8433754451084,0.0,0.0,1,0,0,0.0,0,0,1.1666666666666667,1,0,0,0,0.0,0,1,0,0,4,4,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,21,28,0,0,12,0,0,0,7,0,0,3,0,0,0.1589891219796108,0,0,0,0,0,0,0,0,0,-0.0253916382789611,2.212764204095328,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.51000174794363,-0.6081724694204867,-127.27022543406052,250.68869189512463,356.8756050559416,703.2095539752614
27,0,0,15650,0,26,752,4183,752,24576,5,22,0,0,True,False,True,False,10350,0,0,0,0,1,0,0,1,801,22257,7707,13413,0,0,0,0,7159,2462,10709,0,0,80,64,49,14,6,14,5,4,100,62,0,37924,4446,0,14377,7012,39,271,160,10,0,8507,4002,2186,0,2,6,0,131,19,11,81,True,1,0,0,1,0,450,0,0,0.817248366830276,22,0.1647719383652658,5,4,0,5,0.0,11458.8466796875,0,0,37,0,0,0,0,0,1,817.0373268278316,0,1,2227.615089305176,0.0,0.0,5,0,0,0.0,0,1,5.6,6,0,0,0,0.0,0,0,0,0,1,13,1.0,0,0,7.0,3,3.0,0,0.0,0,0,0,0,0,1,0,0,25,0,0,0,0,23,0,29,35,0,0,37,0,4,0,28,0,0,8,0,2,0.092897640236843,1,1,0,0,5,2,5,1,0,0.5620627403259277,3.5385705905979403,11,2,0,425.991455433721,0.0,0.0,0.0,1304.4017487030526,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2172.4560690899107,0.0,75.92873688638781,0.4309541646620096,94.45976596685423,307.24338476872146,381.717651349375,708.650254516092
23,0,0,12343,0,13,97,5585,97,20450,10,11,0,0,False,False,False,False,7825,0,0,2,0,3,0,0,1,411,27025,10409,9649,0,0,0,0,5211,2686,8957,0,0,62,53,24,9,7,14,5,4,200,51,0,38121,1640,0,4003,2447,28,264,244,5,0,5884,2048,2141,0,1,8,0,107,11,14,54,False,0,0,0,0,0,0,0,0,0.7946093755534105,11,0.1423283348845883,10,2,0,1,0.0,4088.178955078125,0,0,36,0,0,0,0,0,0,0.0,0,6,1925.089044918356,0.0,0.0,9,0,0,0.0,0,0,2.6,1,0,0,0,0.0,0,0,0,0,8,3,0.0,0,0,0.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,19,36,0,0,30,0,0,0,26,0,0,4,0,0,0.1006719948426042,0,1,0,0,1,1,0,0,0,-0.0688673853874206,3.3362696319624807,14,5,1,1284.7904673444943,0.0,0.0,0.0,0.0,0.0,35.575114755747336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.62295250841336,-0.062334778911533,-9.848895068022218,270.1900991920399,472.0301133075839,646.6609964282436
19,0,0,11999,0,12,460,3764,460,13853,5,6,0,0,False,False,True,False,7975,0,0,0,0,2,0,0,1,308,15206,5239,5588,0,0,0,0,4688,2158,8542,0,0,53,43,23,8,6,14,4,4,100,32,0,20941,517,0,4277,1718,12,163,110,5,0,1046,1046,1302,0,3,1,0,72,9,8,39,True,1,0,0,1,0,0,0,0,0.7676682208812307,6,0.1389585731046218,5,8,0,1,0.0,2236.098876953125,0,0,19,0,0,0,0,0,1,949.6773278238796,0,0,1614.0075268995474,0.0,0.0,5,0,0,0.0,0,0,4.2,2,0,0,2,0.0,0,0,0,0,5,0,0.0,0,0,2.0,0,3.0,0,0.0,0,1,0,0,0,1,0,0,19,0,0,0,1,1,0,42,18,0,0,24,0,0,0,21,0,0,7,0,1,0.0879573713520492,0,2,0,0,0,3,10,0,0,-0.0371827483177185,2.690288661182859,8,5,1,1525.428431551343,0.0,0.0,0.0,1366.03230627596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76548789521647,0.4089200260842879,142.60156545993894,325.20294438048643,313.90188184142977,573.714796596256
18,0,0,17387,0,14,596,2199,596,20024,7,11,0,0,False,False,False,False,10875,0,1,3,1,3,0,3,1,652,47423,11652,16504,0,0,0,0,8455,2686,16631,0,0,92,104,44,19,7,14,6,4,200,60,0,58223,0,0,16760,6672,56,384,223,7,0,2344,2287,2206,0,1,9,0,118,11,18,60,False,0,0,0,1,0,0,0,1,0.8395557649335912,11,0.155119015443586,7,30,0,1,0.0,6672.7109375,0,0,42,0,0,0,0,0,1,827.927750928612,0,2,2470.193125059161,0.0,0.0,6,0,0,0.0,0,0,3.0,2,0,1,0,0.0,0,0,0,0,5,6,0.0,0,0,19.0,0,3.0,0,0.0,0,0,0,0,0,1,0,0,18,0,0,0,0,2,0,157,32,0,0,44,1,0,0,21,0,0,3,0,1,0.1028994793723457,0,2,0,0,2,1,5,2,0,-0.2238700985908508,2.872324559823761,18,7,4,1631.5844133084513,0.0,0.0,0.0,1333.477351219655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-6.94682526071277,-0.3157647845778532,-38.936226898330666,277.6544040391877,403.83886987626056,858.4430012731144
33,0,0,15419,0,13,1181,3628,1181,23359,10,7,0,0,False,False,False,False,9750,0,1,1,0,3,0,0,1,359,28280,10933,6694,1,0,0,0,6085,2385,19505,0,0,67,43,22,9,6,14,6,4,200,72,0,38956,2228,1,10012,5450,28,269,257,9,0,4590,4590,1296,0,4,9,0,104,10,15,53,True,1,0,0,1,0,0,0,1,0.6086155584429458,7,0.1624210772679064,10,28,0,0,0.0,7678.3916015625,0,0,49,1,0,0,0,0,0,0.0,1,2,2098.1393576454425,0.0,0.0,11,0,0,0.0,0,0,3.6,6,0,0,0,0.0,0,2,0,0,9,4,0.0,0,1,0.0,0,1.0,0,0.0,0,1,0,0,0,1,0,0,30,0,0,0,0,1,0,142,36,0,0,29,0,2,0,36,0,0,9,0,1,0.1193221001892652,0,2,0,0,1,4,10,0,0,0.1168467998504638,2.9852781168582894,15,8,1,0.0,0.0,0.0,0.0,1830.9915587706105,0.0,16.66940298592567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.277767428570066,0.428951488241463,62.741304346784666,314.59302147628904,512.1394801944241,786.2680779466018
