assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
19,0,0,10598,0,9,501,1624,501,17893,4,5,1,0,False,False,True,False,7625,1,1,0,1,4,0,2,2,677,7644,5747,10847,0,0,0,0,5079,1811,12153,0,0,28,33,22,10,5,14,4,4,200,38,0,20135,0,0,1766,0,34,159,130,1,0,7411,583,1095,0,3,3,0,80,7,12,31,True,1,0,0,1,0,0,0,0,0.6888063750427681,5,0.2026440961823372,4,7,0,1,1.0,0.0,0,0,43,0,0,0,0,0,1,804.2351939814524,1,5,1813.931468693631,0.0,1.0,13,0,0,0.0,0,1,5.75,5,0,0,3,0.0,0,0,0,9,2,13,1.0,0,0,17.0,4,2.0,0,0.0,0,0,1,0,0,3,0,0,17,0,0,0,1,0,0,37,14,0,0,26,0,7,0,23,0,0,8,0,1,0.0885606452596965,0,2,0,0,2,3,0,1,0,-0.1144566535949707,2.6757183926009334,12,10,0,1756.1150963587254,0.0,0.0,0.0,1417.5628303748097,0.0,13.09965311238966,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,63.17768999428262,0.4630825444607103,70.0577735119846,300.7059579780227,269.2824996039031,797.0312136660912
7,0,1,8250,0,9,0,3572,0,8983,3,5,0,0,False,False,False,False,5100,0,0,0,0,1,0,0,1,419,9182,4461,2567,0,0,0,0,4814,762,7126,0,0,20,55,22,10,3,14,8,4,100,36,0,21423,399,0,902,0,38,230,51,1,0,7426,376,199,0,0,3,0,56,7,4,29,True,0,0,0,1,0,0,0,1,0.2519877808700701,5,0.1753604148234836,3,0,0,0,0.0,399.6661071777344,0,0,37,0,0,0,0,0,0,0.0,0,0,1376.4288279212633,0.0,1.0,5,0,0,0.0,0,0,2.6666666666666665,2,0,0,0,0.0,0,0,0,5,4,20,0.0,0,0,15.0,6,2.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,13,0,0,24,0,8,0,8,0,0,3,0,1,0.1047489312730521,0,0,0,0,1,0,0,1,0,0.3398107290267944,2.461186637780539,4,4,1,0.0,0.0,0.0,0.0,1258.7031784348462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.603522912038542,0.1307731982567112,79.20496707748143,259.7155717378285,244.10997007919423,431.246416784548
9,0,0,9333,0,9,218,739,218,14471,7,7,0,0,True,False,False,False,6975,0,0,1,0,0,0,0,0,508,7438,5503,10597,0,0,0,0,5668,1484,9311,0,0,24,45,25,8,6,3,7,4,200,41,0,21179,0,0,1919,0,43,198,173,1,0,8072,52,998,0,1,8,0,92,7,17,32,False,0,0,0,1,0,0,0,0,0.8508867435255147,7,0.1898678823942494,7,0,0,1,0.0,0.0,0,0,40,0,0,0,0,0,1,709.1261712885894,0,1,1864.204860365332,0.0,0.0,5,0,0,0.0,0,0,1.2857142857142858,0,0,0,0,0.0,0,0,0,4,2,15,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,12,0,0,25,0,2,0,9,0,0,5,0,1,0.0788209863740127,0,1,0,0,1,1,0,1,0,0.1874734163284301,2.9875295273815827,17,14,0,677.0983701844068,0.0,0.0,0.0,1365.414057477867,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.39134200920013,-0.193111823520002,-54.48971953656057,242.16222669408253,226.5845395968024,672.865963751527
20,0,0,11218,0,13,0,6986,0,17122,10,7,0,0,False,False,False,False,7425,0,0,1,0,2,4,0,1,364,9833,6791,9250,0,0,0,0,4415,1891,12580,0,0,25,26,20,11,7,14,7,4,100,40,0,25798,0,0,1033,0,24,183,260,1,0,11549,866,1701,0,0,6,0,41,9,5,12,True,0,0,0,1,0,0,0,0,0.7258766312038282,7,0.2077773659165302,10,3,0,0,0.0,0.0,0,0,47,0,0,0,0,0,0,0.0,0,1,1766.107958061843,0.0,1.0,14,0,0,0.0,0,0,2.2,1,0,0,0,0.0,0,1,0,9,3,9,0.0,0,1,17.0,3,1.0,0,0.0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,19,16,0,0,5,0,0,0,22,0,0,8,0,1,0.0961441405052237,0,1,0,0,0,0,0,0,0,0.0268045663833618,1.4215619464227365,5,3,0,0.0,0.0,0.0,0.0,1268.5064633117156,0.0,12.625397066761934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.346984712074022,0.2378110568398747,3.023597722678407,273.312850325256,324.3742815295891,799.4528270794189
8,0,0,13847,0,18,292,8786,292,24591,4,14,0,0,False,True,False,False,8875,0,3,0,0,2,0,0,1,778,24337,4799,11641,1,0,0,0,12199,2028,13629,0,0,38,82,45,15,6,14,16,4,100,39,1,43256,0,0,2233,0,40,275,111,1,0,6719,920,255,0,2,4,0,79,15,6,40,True,0,0,4,1,0,0,0,0,0.7897233184165942,14,0.1807610846139195,4,26,0,2,0.0,0.0,0,0,44,0,0,0,0,0,1,583.2066998,0,1,2200.1277841,0.0,1.0,9,0,0,0.0,0,0,2.5,1,0,0,0,0.0,0,0,0,7,2,11,0.0,0,0,26.60000002384185,6,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,130,12,0,0,24,0,0,0,10,0,0,2,0,1,0.0590436975489622,0,2,0,0,1,2,10,1,0,-0.2563076019287109,2.156514256981948,6,4,1,1225.3898895999998,0.0,0.0,0.0,2013.899076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.8401259,0.0,0.0,4.554280925141288,-0.2181691461145527,-13.226504483194756,250.3218240231849,211.26954686868,696.1232029650091
13,0,0,9944,0,12,549,1378,549,13584,6,7,0,0,False,False,False,False,7125,0,2,0,0,0,0,0,0,630,10234,5336,13515,0,0,0,0,6706,1768,7039,0,0,25,40,27,19,8,14,8,4,100,32,0,24010,0,0,40,0,33,158,158,1,0,7069,1082,317,1,2,1,0,88,9,7,35,True,1,0,0,0,0,0,0,1,0.7468286758569652,7,0.1623722927749442,6,15,0,1,0.0,0.0,0,0,42,0,0,0,0,0,1,645.837862568142,0,4,1987.166538429372,0.0,0.0,9,0,0,0.0,0,0,2.1666666666666665,2,0,0,0,0.0,0,0,0,8,1,14,1.0,0,0,30.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,78,14,0,0,28,0,0,1,13,0,0,6,0,0,0.0766920675666051,0,2,0,0,2,2,15,0,0,0.2322982549667358,2.6725136381827834,7,4,1,1928.5839192713283,0.0,0.0,0.0,0.0,0.0,31.644552069157044,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.378093044419093,-0.2415499610713982,-100.3942025702999,234.0619122781849,247.1961914114422,630.234042180412
8,0,4,7275,0,8,898,3769,898,7424,1,4,0,0,False,False,False,False,5275,0,0,0,1,4,0,4,1,142,8653,2582,2223,0,0,0,0,6125,1588,6698,0,0,19,15,18,4,4,14,11,4,200,25,0,22659,132,0,1352,0,30,164,8,1,0,7881,530,592,0,1,1,0,42,6,5,16,True,0,0,0,0,0,0,0,1,0.7677971188984107,4,0.1689146330043545,1,5,0,2,0.0,132.19236755371094,0,0,30,0,0,0,0,0,1,926.8758651757151,0,0,1166.2135193031074,0.0,1.0,7,0,0,0.0,1,0,12.0,1,0,1,0,0.0,0,2,0,7,4,13,0.0,0,0,1.0,2,1.0,0,0.0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,26,10,0,1,12,0,2,0,12,0,0,6,0,0,0.1065382570804581,0,1,0,0,0,1,0,0,0,0.2027475833892822,2.187097598559617,5,5,0,639.4663260515446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71928520429144,0.411588437327354,46.97253040998428,323.04547474730697,241.80820692982047,489.4815490915557
7,0,0,6213,0,4,0,4052,0,7174,3,1,0,1,False,False,False,False,4450,0,0,0,1,2,0,2,1,763,8652,3131,3418,4,0,0,0,7828,1502,6448,0,0,14,19,20,6,3,14,4,4,100,26,0,21160,0,0,560,0,30,126,72,1,0,4679,218,68,0,0,1,0,25,2,2,13,True,0,0,0,0,0,0,0,0,0.0,1,0.170801071273263,3,13,0,1,0.0,0.0,0,0,29,0,0,0,0,0,1,832.8915334999999,0,0,1162.5742521,0.0,1.0,6,0,0,4.0,0,0,3.0,2,0,0,0,0.0,0,2,0,5,1,18,0.0,0,0,11.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,71,8,0,1,12,0,4,0,9,0,0,6,0,0,0.1092921787125316,0,2,0,0,0,0,10,0,0,-0.2914833426475525,1.309633343847753,2,2,0,548.159421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39856934123821,0.2580480338852328,68.69238662024898,262.4348504612818,250.3582024754529,512.7414433299576
7,0,0,3600,0,6,0,3349,0,3213,2,4,0,0,False,False,False,False,3600,0,0,0,0,0,0,0,0,590,3687,1317,1259,4,0,0,0,6025,1243,4045,0,0,16,19,23,4,15,4,3,14,100,20,4,14163,0,0,658,0,18,90,35,1,0,4450,400,340,0,0,0,0,21,4,3,10,True,0,0,1,0,0,0,0,0,0.4008085112417648,4,0.1641994405874534,2,0,0,2,0.0,0.0,0,0,25,0,0,0,0,0,1,817.283129914869,0,0,945.639795737602,0.0,0.0,6,0,0,4.0,0,0,3.5,2,0,0,0,0.0,0,0,0,2,2,11,0.0,0,0,3.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,4,7,0,0,6,0,0,0,7,0,0,7,0,0,0.1093247635078408,0,1,0,0,0,0,0,0,0,0.616917610168457,1.345710226981766,3,3,1,483.66748969222266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.54668527675815,0.4441437446828247,28.42519965970078,234.888591830831,187.87280400083483,358.10675642712323
6,0,0,5511,0,10,369,1041,369,8053,8,5,0,0,True,False,False,False,5675,0,0,1,0,2,0,0,1,487,5743,4208,9025,0,0,0,0,4621,1534,6235,0,0,23,21,18,9,8,4,4,14,100,31,0,14888,0,0,559,0,37,119,167,1,0,4523,316,270,0,0,6,0,66,6,14,22,False,0,0,0,0,0,0,0,0,0.5771017836691471,5,0.1754065582649525,8,2,0,1,0.0,0.0,0,0,34,0,0,0,0,0,0,0.0,0,0,1418.470274119039,0.0,0.0,5,0,0,0.0,0,0,1.0,2,0,0,1,0.0,0,0,0,4,4,15,0.0,0,0,9.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,11,0,0,17,1,2,0,8,0,0,5,0,0,0.1052710503841507,0,0,0,0,2,0,0,0,0,0.133863091468811,2.793056862615958,14,9,0,603.5603013986504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-67.76314016146492,-0.3383927099199247,-147.20082881516723,258.1090394914225,256.2478795868629,656.9471472207938
