assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
15,0,0,11026,0,12,726,2388,726,14959,5,7,0,0,False,False,False,False,6375,0,1,0,0,0,0,0,0,684,7645,4117,8066,0,0,0,0,3980,538,6653,0,0,54,19,14,6,4,3,3,4,100,23,0,16612,1531,0,2039,648,32,117,96,5,0,4986,0,518,0,5,5,0,78,10,8,39,True,1,0,0,0,0,0,0,0,0.3355666856986924,7,0.1235322571779988,5,0,0,1,0.0,2180.15576171875,0,0,11,0,0,0,0,0,0,0.0,1,5,1864.204860365332,0.0,0.0,6,0,0,0.0,0,0,3.0,0,0,0,0,0.0,0,0,1,0,6,11,0.0,0,0,2.0,4,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,2,30,0,0,31,0,6,0,15,0,0,5,0,0,0.0522659468020454,0,1,0,0,0,5,5,0,0,-0.1578758955001831,2.515870635420636,8,4,0,1670.9001510334558,0.0,0.0,0.0,0.0,0.0,15.790739402473264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.39134200920013,0.193111823520002,54.48971953656057,229.7708846848824,149.85477505152156,490.4396611329651
29,0,0,13641,0,21,1017,2367,1017,30440,10,18,0,0,False,False,False,False,8450,0,2,0,0,1,0,0,1,293,9011,5467,12760,0,0,0,0,5747,1000,13873,0,0,65,25,32,9,7,14,4,4,100,35,0,20099,2311,0,3859,1116,26,144,257,4,0,5340,740,2961,1,6,3,0,81,18,6,43,True,1,0,0,2,0,0,0,0,0.7178238863497105,18,0.1998845932397134,10,3,0,1,0.0,3428.70703125,0,0,24,0,0,0,0,0,0,0.0,0,3,1936.8823306241304,0.0,0.0,12,0,0,0.0,0,0,3.0,4,0,0,0,0.0,0,0,0,0,8,9,0.0,0,0,3.0,8,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,19,39,0,0,24,0,12,0,30,0,0,5,0,2,0.0567229820629706,0,0,0,0,1,6,0,0,0,-0.0146429538726806,2.519320352116036,6,3,1,1236.9992385593832,0.0,0.0,0.0,1381.421766253317,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.77526088287204,0.2168433225701746,112.8514605890209,294.78300822539745,223.25568939474985,916.7825902091884
18,0,0,8719,0,11,1410,4369,1410,15362,4,6,0,0,False,True,False,False,6925,0,2,0,0,1,0,0,1,543,8461,5498,2405,0,0,0,0,9123,1513,10237,0,0,61,25,16,5,5,3,4,4,100,33,0,23524,1127,0,1963,622,30,113,67,5,0,5940,0,3754,2,4,0,0,63,7,8,23,True,1,0,0,0,0,0,0,0,0.8574202748422471,6,0.1932677567420418,4,1,0,2,0.0,1749.918212890625,0,0,24,0,0,0,0,0,1,782.0113231805113,0,0,1450.1255620058748,0.0,1.0,13,0,0,0.0,0,0,4.75,0,0,0,0,0.0,0,0,0,0,10,17,0.0,0,0,1.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,36,0,0,17,0,6,0,19,1,0,10,0,1,0.0991830050711101,0,1,0,0,0,4,5,0,0,-0.0869939923286438,2.625098640234706,8,8,0,856.5390162373938,0.0,0.0,0.0,1275.4570328522775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1416.644525273015,0.0,0.0,0.5378844566542714,0.4551330017843835,43.03075653234172,321.19977207747,290.0852250463921,678.4378027507761
7,0,0,5017,0,6,0,0,0,5518,1,2,0,0,False,False,False,False,3600,0,0,0,0,0,0,0,0,602,3845,2499,2312,0,0,0,0,4557,875,3893,0,0,32,14,8,3,3,14,2,4,100,16,0,13689,573,0,428,514,22,68,16,3,0,5286,448,80,0,0,1,0,13,4,0,9,True,0,0,0,0,0,0,0,0,0.2050875630453149,2,0.1384036098771356,1,4,0,0,0.0,1087.8499755859375,0,0,11,0,0,0,0,0,1,787.2552131921302,0,0,948.7265570769172,0.0,0.0,5,0,0,0.0,0,0,7.0,0,0,0,0,0.0,0,0,0,0,8,15,0.0,0,0,3.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,21,17,0,0,7,0,2,0,7,0,0,5,0,0,0.1188205466742456,0,1,0,0,1,0,0,0,0,-0.2724446654319763,0.8304245067841699,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.118827103963625,0.1264853387995453,41.29746311805153,255.12092835868285,241.71348244593105,397.4801771775711
9,0,0,4747,0,6,0,162,0,5672,2,2,0,0,False,False,False,False,4350,0,0,0,0,0,0,0,0,263,4964,2833,1058,0,0,0,0,3917,1083,5511,0,0,39,10,11,3,2,4,3,3,100,21,0,13078,328,0,249,287,21,84,22,3,0,4196,0,247,0,1,0,0,25,2,1,10,True,0,0,0,0,0,0,0,0,0.1358101351355967,2,0.1410236478537093,2,0,0,1,0.0,615.60986328125,0,0,14,0,0,0,0,0,1,811.6214625134003,0,0,923.6969063386224,0.0,1.0,7,0,0,0.0,0,0,4.5,0,0,0,0,0.0,0,0,0,0,7,15,0.0,0,0,16.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,19,0,0,8,0,0,1,9,0,0,9,0,0,0.1113500722622018,0,1,0,0,1,1,0,0,0,-0.0463849306106567,1.6296783247560769,1,1,0,710.2129604567883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.770750895355835,0.2598254885916195,91.26370286780636,284.768735496415,254.43410970334344,442.8075889322676
6,0,0,6410,0,10,601,601,601,12119,5,8,0,0,False,False,False,False,3900,0,0,1,0,0,0,0,0,400,3967,3148,3801,0,0,0,0,5329,627,7566,0,0,52,14,15,4,5,14,3,4,200,24,0,15564,748,0,489,560,29,89,70,3,0,6267,538,978,0,0,9,0,39,8,2,22,False,0,0,0,0,0,0,0,1,0.6759829426494969,8,0.1279062344446034,5,1,0,0,0.0,1308.90185546875,0,0,16,0,0,0,0,0,0,0.0,0,0,1353.3721678332845,0.0,0.0,4,0,0,0.0,0,0,1.2,0,0,0,0,0.0,0,0,0,0,7,13,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,12,26,0,0,14,0,9,0,6,0,0,2,0,0,0.0804088964812694,0,0,0,0,0,0,0,0,0,0.0597196817398071,1.762301231814873,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.77128211513421,-0.3103359223593386,-73.50527989596907,209.2994127797768,191.25559557974097,547.343899635485
24,0,0,11931,0,13,242,1963,242,32644,10,11,0,0,False,False,False,False,7225,0,2,1,0,1,0,0,1,570,10766,8109,9594,0,0,0,0,4678,1289,18251,0,0,78,16,28,11,8,3,4,4,200,42,0,20271,3148,0,4141,1131,27,164,289,5,0,4827,312,6371,0,2,10,0,101,11,4,52,False,1,0,0,1,0,0,0,0,0.3922715589207119,11,0.2100192216510975,10,6,0,2,0.0,4279.3759765625,0,0,31,0,0,0,0,0,0,0.0,1,13,2106.7127930289653,0.0,0.0,12,0,0,0.0,0,0,2.5,3,0,0,0,0.0,0,0,1,0,3,12,0.0,0,0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,32,59,0,0,41,1,4,0,25,0,0,4,0,1,0.0718752723877625,0,1,0,0,0,2,0,0,0,0.3650071620941162,2.87780173037951,4,2,1,1114.8762281689476,0.0,0.0,0.0,1714.2624478149369,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-19.423625344376685,0.028480389068001,21.04700752125274,236.0454645955923,276.5730582393577,974.5419531288584
4,0,0,4727,0,7,0,0,0,5353,2,1,0,0,False,False,False,False,3175,0,0,0,0,0,0,0,0,450,2593,2070,3453,0,0,0,0,3351,1137,2882,0,0,27,9,14,2,2,14,2,4,100,14,0,11633,77,0,110,135,22,48,35,2,0,5688,204,313,0,0,0,0,25,3,3,9,True,0,0,0,0,0,0,0,0,0.0,1,0.156978619074151,2,1,0,0,0.0,212.35989379882807,0,0,7,0,0,0,0,0,1,926.9521095,0,0,999.5320156,0.0,0.0,3,0,0,0.0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,4,10,0.0,0,0,15.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,16,0,0,8,0,1,0,4,0,0,4,0,0,0.1029543321483845,0,1,0,0,0,0,0,0,0,-0.1813903450965881,1.549073254495491,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18851193984706,0.1200561844214327,7.743623895182412,234.94995291274387,204.81585062296423,399.1267851090532
16,0,0,7734,0,8,0,0,0,24578,6,3,0,0,False,False,False,False,6225,0,0,1,0,0,4,0,0,593,7374,4473,3659,0,0,0,0,4112,898,13121,0,0,60,21,26,7,4,14,1,4,100,31,0,18714,967,0,429,486,24,127,146,4,0,7227,498,2181,0,0,8,0,52,5,1,25,False,1,1,0,0,0,0,0,1,0.3865979110217668,3,0.179269563098702,6,3,0,0,0.0,1454.267333984375,0,0,19,0,0,0,0,0,0,0.0,0,0,1709.2318978094977,0.0,0.0,7,0,0,0.0,0,0,2.6666666666666665,1,0,0,0,0.0,0,0,0,0,6,12,0.0,0,0,19.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,0,23,34,0,0,21,0,2,0,16,0,0,9,0,0,0.0880889585143259,0,1,0,0,0,0,0,0,0,-0.1855372190475464,1.8528455694526296,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.45721835101026,-0.0702069743454873,-105.66149638995842,235.05295010869156,206.02236621683247,665.667427256738
2,0,0,4062,0,3,0,44,0,5616,3,1,0,0,False,False,False,False,2425,0,0,0,0,0,0,0,0,441,2457,1494,5049,0,0,0,0,1775,424,1664,0,0,25,10,8,3,3,14,2,4,100,11,0,7616,371,0,272,145,17,64,44,3,0,3383,356,236,0,0,4,0,6,1,0,5,False,0,0,0,0,0,0,0,0,0.0,1,0.1308687717349403,3,2,0,1,0.0,516.6619262695312,0,0,7,0,0,0,0,0,0,0.0,0,0,916.2364489,0.0,0.0,2,0,0,0.0,0,0,0.6666666666666666,0,0,0,0,0.0,0,0,0,0,5,12,0.0,0,0,5.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,15,18,0,0,4,0,2,0,2,0,0,2,0,0,0.0962693666686356,0,0,0,0,0,0,0,0,0,-0.7220593690872192,0.4490794236524366,0,0,1,435.3879228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157.88500902105946,-0.785823354729454,-9.6918213749966,193.57448638168884,148.91352572123154,455.12269294747546
