assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
17,0,0,18428,0,23,2454,22311,2454,11553,5,18,0,1,True,False,False,False,11955,0,1,1,0,3,0,0,1,869,87626,27825,5348,4,0,0,0,6311,1334,16130,0,0,135,92,47,15,8,3,5,4,200,50,0,94138,0,0,1605,0,34,454,189,1,0,200,125,1686,2,4,6,0,124,20,6,70,True,0,0,0,3,0,300,0,1,0.8465431801059449,18,0.1063555059687427,5,15,0,2,0.0,0.0,0,0,13,0,0,1,0,0,0,0.0,0,1,2660.34973680319,0.0,0.0,7,0,0,0.0,0,0,4.0,5,0,0,0,0.0,0,1,0,0,13,4,0.0,0,1,0.0,8,2.0,0,0.0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,79,98,0,0,49,0,4,0,20,0,0,4,0,3,0.1541925844338945,0,2,0,0,3,4,0,1,0,-0.0186859369277954,2.8095173936130937,6,3,0,2203.7089210926574,0.0,0.0,0.0,1413.0385373198897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.00133906087639,0.0451068513060234,79.27529117033615,290.3753552825257,660.4545168227947,522.4726586776692
9,0,1,9326,0,4,1815,12527,1815,5954,3,1,3,0,False,False,False,False,9675,0,1,0,2,10,0,7,2,854,52767,14864,3321,4,0,0,0,2568,579,6716,0,0,78,51,35,8,5,3,4,4,100,20,0,58760,0,0,1618,0,42,118,43,1,0,3424,572,569,1,1,2,0,62,2,9,23,True,0,0,0,1,1,450,0,1,0.0,1,0.1297824526475224,3,3,0,1,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,1,1451.6954310919311,0.0,0.0,3,0,0,0.0,1,0,6.333333333333333,3,0,1,2,0.0,0,2,0,0,27,5,1.0,0,0,18.0,3,3.0,0,0.0,0,0,3,0,0,0,0,0,14,0,0,0,1,0,1,15,85,0,1,21,0,2,0,19,0,0,11,0,1,0.2270862593015536,0,1,0,0,4,1,0,1,0,0.2951622009277344,2.5982015593495498,9,8,0,920.4494873868152,0.0,0.0,0.0,1308.9907520924403,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,231.53616991628775,0.4959718027482066,90.3495300672983,463.3203257339497,661.9570327346064,438.3977426458523
13,1,0,16213,0,19,909,17500,909,12091,9,14,0,0,False,False,False,False,10500,0,0,1,0,0,0,0,0,791,97836,18373,5229,29,0,0,0,5258,239,22379,0,0,136,117,63,16,6,4,7,3,200,28,19,103099,0,0,2660,0,47,281,346,1,0,4,0,1725,1,1,9,0,146,13,17,76,False,1,0,11,2,0,0,0,1,0.7941585922090588,14,0.1260273338801578,9,16,0,1,0.0,0.0,0,0,11,1,0,0,0,0,0,0.0,0,3,2813.47490057167,0.0,0.0,4,0,0,0.0,0,0,1.4444444444444444,2,0,0,0,0.0,0,0,0,0,17,9,0.0,0,0,34.400000005960464,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,85,98,0,0,62,0,0,0,13,0,0,0,0,3,0.0945568798367724,0,1,0,0,1,1,5,2,0,-0.0234463810920715,3.129617650478668,17,5,2,1654.4720962023737,0.0,0.0,0.0,1468.6345888179528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.54762665514033,-0.4904966451698566,-75.40852770959187,253.096268907646,396.9184156478857,625.5751560614162
8,0,1,5742,0,5,1409,1735,1409,2020,2,3,0,0,False,False,False,False,5225,1,1,0,0,2,0,0,1,449,24657,8886,2962,1,0,0,0,3302,967,2715,0,0,59,31,17,5,3,4,4,14,100,16,0,28458,0,0,0,0,27,179,24,0,0,498,498,227,1,3,1,0,42,3,4,16,True,0,0,1,0,0,0,0,1,0.1724534043147766,3,0.1319349264399669,2,1,0,0,0.0,0.0,0,0,7,0,0,0,0,0,1,569.4745878,0,0,1037.5141715,0.0,1.0,3,0,0,0.0,0,0,5.0,1,0,0,0,1.0,0,0,0,0,15,12,0.0,0,0,21.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,58,0,0,12,0,2,1,10,0,0,8,0,0,0.2227163215013167,0,2,0,0,0,3,10,0,0,2.4737398624420166,2.4782699889849167,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,88.24939698667046,0.2891526768894838,39.03561138008031,334.4918166257549,598.6617022319873,341.4893114064804
0,0,0,0,0,2,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,4,0,0,0,0,14,1,4,200,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.66073038096668,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.732809219045106,0.0,-4.586247375236085,286.6404609522553,0.0,0.0
19,0,1,16264,0,12,2880,16132,2880,13817,11,10,0,1,False,False,False,False,10200,0,1,0,0,4,0,0,1,435,66289,25223,10547,4,0,0,0,3015,391,14000,0,0,140,66,36,12,8,3,5,4,100,31,0,79008,0,0,2027,0,47,211,328,1,0,9702,4687,741,3,3,5,0,123,10,18,48,True,0,0,0,1,0,300,0,1,0.5822504503098015,10,0.1563954608804139,11,12,0,3,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,4,2412.3851528583486,0.0,0.0,7,0,0,0.0,0,0,2.090909090909091,5,0,0,1,0.0,0,0,0,0,6,7,0.0,0,0,6.0,4,2.0,0,0.0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,68,96,0,0,37,0,1,0,23,0,0,6,1,1,0.1845094843225355,1,1,0,0,2,3,0,1,0,0.0348132848739624,3.081240394600757,18,6,4,1499.6725946003482,0.0,0.0,0.0,2101.3615808921363,0.0,29.09466345313149,0.0,0.0,1.0,1.0,1.0,2390.596929147628,2245.347778783064,0.0,53.44917657415675,0.1741015523588167,60.56246857053127,316.0938041326003,753.6856201613178,628.979165371731
9,0,1,10412,0,8,1115,4063,1115,6523,7,6,0,0,False,False,False,False,6850,0,0,0,0,3,0,0,1,486,35525,10509,4493,0,0,0,0,2382,413,11468,0,0,63,43,33,9,3,14,4,4,100,20,0,38371,0,0,858,0,34,186,196,1,0,464,464,394,1,1,4,0,65,6,5,32,True,0,0,0,0,0,0,0,1,0.7778701898874498,6,0.1535008890024554,7,1,0,0,0.0,0.0,0,0,7,0,0,0,0,0,1,830.7729075409964,0,0,1628.2678122244229,0.0,1.0,2,0,0,0.0,0,0,1.7142857142857142,1,0,0,2,0.0,0,0,0,0,6,5,0.0,0,0,1.0,3,2.0,0,0.0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,11,42,0,0,21,0,0,0,12,0,0,3,0,1,0.1247994023172408,0,2,0,0,4,1,10,0,0,1.0795466899871826,2.424115300691273,8,4,1,0.0,0.0,0.0,0.0,1530.4987970980972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.44102581017165,0.0,93.11735997094212,302.2721423987488,419.562430007577,602.6649870695522
8,0,0,7909,0,2,3906,11660,3906,4067,5,0,0,0,False,False,True,False,6850,0,3,0,0,1,0,0,1,577,28960,8648,5278,0,0,0,0,2646,222,6605,0,0,50,34,27,7,4,4,4,3,100,13,0,32890,0,0,1674,0,15,128,81,1,0,1282,0,2610,2,5,0,0,42,0,7,18,True,0,0,0,1,0,0,0,1,0.0,0,0.154409800224672,4,2,0,1,0.0,0.0,0,0,6,0,0,0,0,0,1,741.1050727626543,0,1,1530.2208957935998,0.0,0.0,3,0,0,0.0,0,1,1.8,0,0,0,1,0.0,0,0,0,0,14,6,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,11,50,0,0,17,0,0,0,9,0,0,5,0,1,0.0876769575745429,0,2,0,0,5,5,0,0,0,0.1903369426727295,1.6691004640228526,7,6,0,1426.263460074152,0.0,0.0,0.0,1228.5031436523086,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1475.5351671273454,0.0,0.0,22.310504381326197,-0.0392100252747384,-9.76329629340988,305.48530691548746,347.7929241869303,568.2708963067847
7,0,1,9936,0,2,795,10527,795,5803,4,2,2,0,False,False,False,False,11410,0,0,0,3,13,0,7,2,449,59548,21600,5093,6,0,0,0,2073,757,8687,0,0,74,54,31,7,5,7,2,4,200,21,4,61622,0,0,2277,450,35,134,114,4,0,0,0,560,0,1,1,0,50,2,7,18,True,0,0,1,1,0,450,0,1,0.623952296392701,2,0.1748859698611992,4,0,0,3,0.0,450.0,0,0,9,1,0,0,0,0,1,890.7768884803544,0,0,1403.2812763610225,0.0,0.0,5,0,0,0.0,0,0,5.0,2,0,1,8,2.0,0,0,0,0,19,12,1.0,0,0,33.0,5,2.0,0,0.0,0,0,2,0,0,3,0,0,17,0,0,0,0,0,0,9,66,0,1,15,0,0,0,20,0,0,7,0,1,0.2924447444479214,0,2,0,0,0,1,0,1,0,0.2071815729141235,2.153226649925171,7,7,0,641.2612105266559,0.0,0.0,0.0,1245.4027878675906,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,208.2262515165389,0.6413539574431383,142.55160627436155,489.652368042588,955.9594520342456,613.1343833156402
9,0,1,9197,0,7,263,6499,263,6702,11,3,0,0,False,False,False,False,8325,0,1,1,0,1,0,0,1,378,47540,12173,4019,3,0,0,0,3171,429,14092,0,0,105,68,45,11,7,14,6,4,100,24,2,53219,0,0,450,0,46,228,270,1,0,2507,1401,354,0,1,6,0,71,5,16,32,False,0,0,3,1,0,0,0,1,0.1787825435872667,3,0.1611642533339651,11,4,0,2,0.0,0.0,0,0,9,0,0,0,0,0,1,628.9310362393135,0,2,1960.9402643790763,0.0,0.0,1,0,0,0.0,0,0,0.9090909090909092,0,0,0,0,0.0,0,0,0,0,13,6,0.0,0,0,10.800000011920927,0,1.0,0,0.0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,27,65,0,0,27,0,3,0,10,0,0,1,0,1,0.131866905520232,0,2,0,0,1,1,10,1,0,0.0678843259811401,2.2019129037559333,16,9,0,703.3824414825696,0.0,0.0,0.0,1427.9306195949807,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-20.775747604377,-0.305975664276539,-108.8661413495926,267.5145232769781,428.48832025286526,565.014661653057
