assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
23,0,0,11202,0,11,1070,4609,1070,8074,7,9,0,0,False,False,False,False,7475,0,1,0,0,1,0,0,1,595,20930,6836,4398,0,0,0,0,4196,324,8266,0,0,72,22,114,35,5,14,4,4,100,21,0,27328,3857,0,386,0,24,142,198,1,0,2201,634,1447,0,3,3,0,70,9,13,35,True,1,0,0,1,0,0,0,1,0.5836089350058166,9,0.1353192311309278,7,0,0,1,0.0,3857.835205078125,0,0,9,0,0,0,0,0,1,770.7668109338974,1,1,1569.4555837500736,0.0,0.0,5,0,0,0.0,0,0,3.4285714285714284,1,0,0,1,0.0,0,0,0,0,3,2,0.0,0,0,1.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,8,22,0,0,25,0,0,0,24,0,0,9,0,1,0.0786052815150518,0,1,0,0,2,3,0,0,0,0.1396099328994751,2.690132878621908,13,10,0,452.1701102627412,0.0,0.0,0.0,1245.1745238135968,0.0,31.34439458133056,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27.563698168911607,0.5734472573282581,135.90699998679716,318.8749048916667,297.9631949077629,539.4991796944252
4,0,0,5858,0,5,102,102,102,5338,3,2,0,0,False,False,False,False,3575,0,0,0,0,1,0,0,1,828,19228,6768,2642,0,0,0,0,3274,750,7262,0,0,57,19,54,26,4,4,5,14,100,18,0,23012,1878,0,459,0,16,147,58,1,0,510,510,372,0,0,5,0,20,3,3,10,False,0,0,0,0,0,300,0,1,0.0,2,0.1543578510369369,3,16,0,0,0.0,1878.5745849609373,0,0,6,0,0,0,0,0,0,0.0,0,0,1139.9371816,0.0,0.0,2,0,0,0.0,0,0,1.6666666666666667,1,0,0,0,0.0,0,1,0,0,6,6,0.0,0,0,11.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,87,27,0,0,8,0,0,0,5,0,0,3,0,0,0.1903291630178924,0,0,0,0,1,0,0,0,0,-0.5008500814437866,1.061493589536046,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.68546058275182,-0.4210758344826323,6.368771996549815,264.1198171792312,422.5495999033216,540.8719093929412
7,0,0,5159,0,7,473,1736,473,6633,7,3,0,0,True,False,False,False,5125,0,0,1,0,0,0,0,0,427,17740,5415,4373,0,0,0,0,4727,533,7751,0,0,53,13,68,20,3,4,5,3,200,18,0,22468,748,0,335,0,17,167,120,1,0,0,0,362,0,0,6,0,38,5,2,18,False,0,0,0,0,0,0,0,1,0.3962228939939135,3,0.1883419683967798,7,13,0,1,0.0,748.4273071289062,0,0,6,0,0,0,0,0,0,0.0,0,0,1191.3155491344626,0.0,0.0,3,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,4,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,71,19,0,0,15,0,4,0,7,0,0,6,0,0,0.1537712044423655,0,0,0,0,2,0,0,0,0,0.3858134746551513,1.914318058858335,2,2,0,577.8551760424564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-36.86680664237917,-0.3021869396916326,-102.0384566358746,259.98149711470126,299.5679862143051,628.901385988236
15,0,0,8665,0,7,472,5647,472,7649,5,3,0,0,False,False,False,False,6875,0,0,0,0,1,0,0,1,620,15605,5440,3224,0,0,1,0,5853,832,8124,0,0,52,17,100,23,5,14,4,4,100,13,0,24753,2014,0,525,0,17,98,114,1,0,3294,444,200,0,0,3,0,56,5,3,29,True,1,0,0,1,0,0,0,1,0.3320067307140484,3,0.1278565841926482,5,1,0,2,0.0,2014.602783203125,0,0,6,0,0,0,0,0,1,864.9152876067844,1,3,1442.6012831605424,0.0,0.0,3,0,0,0.0,0,0,3.2,4,0,0,0,1.0,0,1,0,0,6,3,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,11,17,0,0,26,0,0,0,16,0,0,6,0,1,0.0764656589628141,0,2,0,0,2,0,5,0,0,-0.1184874773025512,2.347820694646915,3,3,0,936.0093269964754,0.0,0.0,0.0,1273.572173503803,0.0,28.48625185133369,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.367111046925982,0.1247746013407423,17.26048651880269,294.9671575695149,279.32874086814184,480.3406236280777
5,0,0,8268,0,17,660,2820,660,9893,7,8,0,0,False,False,False,False,6550,0,0,1,0,2,0,0,1,433,20395,5775,7486,0,0,0,0,4583,1115,10121,0,0,56,20,111,30,6,14,5,4,200,17,0,26057,4177,0,955,0,16,173,136,1,0,1078,724,977,0,2,9,0,74,10,9,38,False,0,0,1,0,0,0,0,0,0.3865898779348842,8,0.1619768633004532,7,7,0,2,0.0,4177.7177734375,0,0,7,0,0,0,0,0,0,0.0,0,0,1738.9414075999998,0.0,0.0,2,0,0,0.0,1,0,1.0,0,0,0,1,0.0,0,0,0,0,3,1,0.0,0,0,9.400000005960464,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,37,17,0,0,30,0,0,0,7,0,0,1,0,0,0.0952481921324511,0,1,0,0,0,2,0,0,0,0.0223881006240844,2.584909289464575,9,5,2,788.6032186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.40043437079404,-0.5520600037496054,-153.9557335456712,240.801672885531,262.7115542843435,641.252198105401
6,0,0,6678,0,10,0,2022,0,4566,3,6,0,0,True,False,False,False,4550,0,0,1,0,0,0,0,0,1032,9873,4022,1912,0,0,0,0,2365,460,4990,0,0,45,12,60,23,3,3,3,4,200,11,0,15626,611,0,0,0,24,93,45,0,0,3388,0,166,0,0,6,0,32,8,9,18,False,0,0,0,0,0,0,0,0,0.818105339560963,6,0.1180688939804259,3,7,0,0,0.0,611.1046142578125,0,0,3,0,0,0,0,0,0,0.0,0,1,1398.1846844,0.0,0.0,1,0,0,0.0,0,0,2.0,1,0,0,0,0.0,0,0,0,0,3,5,0.0,0,0,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,40,11,0,0,12,0,0,0,6,0,1,4,0,0,0.1158271134649482,0,0,0,0,0,0,0,0,0,-0.6175422668457031,1.3758704078727326,9,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.69405635637932,-0.2145639294631083,-36.99082143943989,205.68098278333568,192.37801915662297,303.3504834749426
12,0,0,6703,0,9,2025,6955,2025,4319,2,5,0,0,False,False,False,False,5500,0,1,0,1,3,0,2,1,725,25824,6789,1241,0,0,0,0,3754,369,6545,0,0,75,12,80,25,3,4,3,14,100,13,0,31257,2423,0,0,0,15,181,48,0,0,1679,254,0,0,4,0,0,54,6,6,21,True,0,1,0,0,0,0,0,1,0.2117222215266902,5,0.1086042250892446,2,4,0,3,1.0,2423.280029296875,0,0,3,2,0,0,0,0,1,678.5244786999999,2,0,1238.0212545,0.0,0.0,2,0,0,0.0,0,1,7.5,1,0,0,1,0.0,0,0,0,0,10,7,0.0,0,0,4.0,1,2.0,0,0.0,0,1,0,0,0,2,0,0,10,0,0,0,1,1,0,23,28,0,0,16,0,2,1,15,0,0,7,0,0,0.1162146886691216,0,2,0,0,4,4,15,0,0,1.2003023624420166,2.625091853693773,6,6,0,405.2957487,0.0,0.0,0.0,0.0,0.0,17.214737799999966,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,128.33382255958676,0.3392510415094816,70.03110785445728,335.1800290113678,359.21838852403965,377.3925514620476
0,0,0,4001,0,3,51,51,51,3970,4,1,0,0,False,False,False,False,2475,0,0,0,0,0,0,0,0,239,9464,4073,3073,0,0,0,0,2829,464,3362,0,0,37,14,48,19,2,4,4,14,100,13,0,12820,104,0,268,0,11,83,52,1,0,526,526,120,0,0,3,0,14,1,1,9,False,0,0,0,0,0,0,0,0,0.0,1,0.1355440415783974,4,2,0,0,0.0,104.90882110595705,0,0,5,0,0,0,0,0,0,0.0,0,0,953.7159018982828,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,9,2,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,8,0,2,0,0,0,0,0,0,0,0.2090103889607675,0,1,0,0,0,0,0,0,0,-0.4257106184959411,0.9268515841279308,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.73264916736166,-0.3145590834785053,13.337305139488628,208.17520144607485,318.52252793033455,412.4498702570162
3,0,0,7127,0,8,322,1332,322,5789,6,4,0,0,False,False,False,False,6675,0,0,1,1,3,0,2,1,443,21843,6260,7846,0,0,0,0,4634,589,5609,0,0,79,13,91,25,2,4,3,14,100,14,0,26841,2571,0,1483,0,26,153,97,1,0,363,363,292,0,0,7,0,42,5,5,19,False,0,0,0,0,0,300,0,0,0.0,4,0.1472581843257242,6,16,0,0,0.0,2571.504150390625,0,0,5,0,0,0,0,0,0,0.0,0,0,1459.8266812644574,0.0,0.0,4,0,0,0.0,0,0,1.0,1,0,0,0,0.0,0,3,0,0,4,3,0.0,0,0,18.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,86,19,0,1,15,0,0,0,6,0,0,6,0,0,0.1533066992584273,0,0,0,0,1,0,0,0,0,-0.0762822031974792,1.7479996862369138,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.87812239805113,-0.5343100040645837,-93.66865378947588,276.60817902728064,296.4598507167571,565.0122789135255
11,0,0,8576,0,6,781,5302,781,9991,8,4,0,0,False,True,False,False,6750,0,0,1,0,3,0,0,1,432,19921,7513,7427,0,0,0,0,3467,612,7773,0,0,57,21,57,22,6,14,4,4,200,16,0,27852,2608,0,250,0,24,128,187,1,0,4464,754,1906,0,0,9,0,44,4,5,29,False,0,0,0,0,0,0,0,0,0.8007505565812191,4,0.1690386785278098,8,9,0,0,1.0,2608.841064453125,0,0,6,0,0,0,0,0,1,686.508370350518,0,1,1507.612960481423,0.0,0.0,4,0,0,0.0,0,0,1.75,1,0,0,0,0.0,0,1,1,0,6,6,0.0,0,0,4.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0,46,23,0,0,25,0,0,0,14,0,0,10,0,0,0.1043438587828255,0,0,0,0,3,0,0,0,0,-0.5589908361434937,1.7786845743312114,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.66732064457553,-0.2387880772032113,-64.27379078053104,286.7048846953224,353.3665562478856,680.8644041320899
