assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
11,0,2,8218,0,9,145,1043,145,17992,1,4,0,0,True,False,False,False,6350,0,0,0,1,2,0,2,1,271,8111,4258,2249,0,0,0,0,6815,2534,10278,0,0,42,29,23,7,5,3,13,4,200,48,0,21480,569,0,1331,309,31,209,10,5,0,6553,0,297,0,0,0,0,31,6,6,11,True,0,0,0,0,0,0,0,1,0.494403733135852,4,0.1548479535335622,1,23,0,1,0.0,878.81494140625,0,0,85,0,0,0,0,0,1,802.6062233562513,0,0,1341.7290258053283,0.0,0.0,11,0,0,0.0,0,0,13.0,0,0,0,0,0.0,0,0,0,8,4,13,0.0,0,0,19.0,0,2.0,0,0.0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,116,16,0,0,7,0,0,0,13,0,0,6,0,1,0.1130413493772858,0,2,0,0,2,0,5,0,0,0.2003780603408813,1.4008746028899342,6,5,1,462.1152036348402,0.0,0.0,0.0,1328.0582625177624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1326.6935464250332,0.0,0.0,100.03510203518098,0.4024657658992529,51.96280221943688,322.41979690373483,303.72749799863624,573.4689979880022
5,0,0,6433,0,7,0,3220,0,12840,5,3,0,0,False,False,False,False,4875,0,0,0,0,0,0,0,0,474,6222,3301,3837,4,0,0,0,5464,1347,7506,0,0,19,24,17,5,3,14,5,4,200,42,0,17437,204,0,401,0,25,303,69,1,0,5750,332,442,0,0,3,0,42,5,5,16,False,0,0,0,0,0,0,0,1,0.6832327037104428,3,0.1609094429030228,5,22,0,2,0.0,204.1364898681641,0,0,63,0,0,1,0,0,1,799.3391569791754,0,0,1376.4288279212633,0.0,0.0,5,0,0,0.0,0,0,1.0,0,0,0,0,0.0,0,0,0,4,4,15,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,111,11,0,0,13,0,8,0,5,0,0,4,0,0,0.1243477768490004,0,2,0,0,0,0,0,0,0,-0.2536259293556213,1.836965910472521,5,3,0,486.0488979449087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.603522912038542,-0.1307731982567112,-79.20496707748143,228.11204882578997,217.1271001722262,513.7643048845327
18,0,0,10098,0,3,65,1865,65,30439,6,1,0,0,False,False,False,False,7575,0,0,0,1,2,0,2,1,716,12506,5905,7436,0,0,0,0,9541,2173,10227,0,0,38,44,32,8,7,14,9,4,200,52,0,28507,0,0,463,0,45,224,143,1,0,6459,1215,1328,0,1,2,0,62,1,12,21,True,1,0,0,1,0,0,0,0,0.0,1,0.1488629861877025,6,2,0,0,0.0,0.0,0,0,90,0,0,0,0,0,1,955.0618139711344,0,1,1536.52618209659,0.0,0.0,14,0,0,0.0,0,0,3.333333333333333,1,0,0,1,0.0,0,0,1,7,1,21,1.0,0,0,7.0,2,2.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,16,14,0,0,20,0,2,0,20,0,0,8,0,1,0.1023832718418012,0,0,0,0,0,1,0,1,0,0.2876107692718506,2.4485363065461656,12,7,0,0.0,0.0,0.0,0.0,1262.8782260510968,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39.20531957210291,0.3123929846382702,46.39035821878312,315.7121601000518,362.8835007804306,741.6599946543332
3,0,0,4882,0,8,0,0,0,10092,7,6,0,0,False,False,False,False,4100,0,0,0,0,1,0,0,1,199,2952,1831,4705,0,0,0,0,4255,1099,6503,0,0,19,13,14,3,2,14,10,4,200,28,0,16334,0,0,198,0,29,132,105,1,0,9125,226,342,0,0,4,0,35,6,3,16,False,0,0,0,0,0,0,0,1,0.7969778185146855,6,0.1865602674988232,7,4,0,0,0.0,0.0,0,0,43,0,0,0,0,0,0,0.0,0,0,1162.5742521,0.0,0.0,4,0,0,0.0,0,0,0.5714285714285714,1,0,0,1,0.0,0,0,0,3,3,13,0.0,0,0,2.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,8,0,0,10,0,4,0,4,0,0,4,0,0,0.0763535432251023,0,0,0,0,0,0,0,0,0,0.4113993644714355,1.84841571459724,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.39856934123821,-0.2580480338852328,-68.69238662024898,240.0362811200436,162.87991898835898,596.0909582748878
24,0,0,11241,0,11,70,6299,70,39853,10,7,0,0,False,False,False,False,7875,0,0,1,0,1,0,0,1,397,10277,5326,6845,4,0,0,0,11172,3368,17485,0,0,45,31,37,13,8,4,7,3,200,86,0,33143,1638,0,1991,0,39,408,256,1,0,11692,539,1784,0,0,6,0,94,9,4,40,False,1,0,0,0,0,0,0,0,0.6739926103971423,7,0.1718805340313231,10,6,0,1,0.0,1638.968505859375,0,0,137,0,0,0,0,0,1,859.4571932760396,0,4,2058.519131674075,0.0,1.0,19,0,0,0.0,0,0,2.5,4,0,0,0,0.0,0,0,0,12,1,14,0.0,0,0,15.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,34,22,0,0,32,0,4,0,25,0,0,4,0,0,0.0590170504909625,0,2,0,0,3,0,5,1,0,0.42829430103302,2.762075849934261,4,1,0,1182.3794805083228,0.0,0.0,0.0,0.0,0.0,27.92486541700873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.75278259146335,-0.1457358328052201,-51.7653678124142,259.468076726414,269.1740831912416,761.1491075751038
2,0,2,5190,0,5,0,0,0,7035,1,3,0,0,False,False,False,False,3825,0,0,0,1,2,0,2,1,448,3862,1664,2087,2,0,0,0,3805,810,2987,0,0,22,18,11,3,2,14,9,4,100,19,2,12772,0,0,190,0,21,157,14,1,0,5105,272,0,0,0,1,0,19,3,2,11,False,0,0,1,0,0,0,0,0,0.0929424850508449,3,0.0971053137099118,1,2,0,0,0.0,0.0,0,0,34,0,0,0,0,0,0,0.0,0,0,950.5335306316016,0.0,1.0,4,0,0,0.0,1,0,4.0,1,0,0,0,0.0,0,1,0,2,1,14,0.0,0,0,17.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,7,0,0,8,0,2,0,4,0,0,4,0,0,0.1137032189923062,0,0,0,0,0,0,0,0,0,0.0216536521911621,1.2282616988402415,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.72071223185567,0.2524897778624674,63.56430157687618,259.49636919815094,173.39735494704954,320.3464056630056
14,0,0,14021,0,10,452,604,452,79998,10,6,0,0,False,False,False,False,9550,0,0,3,0,2,0,0,1,554,16874,7072,15468,0,0,0,0,9992,3626,21512,0,0,83,60,50,17,10,14,20,4,200,116,0,34851,1752,0,4262,0,44,597,309,1,0,7983,1841,1301,0,1,10,0,88,7,11,39,False,0,0,1,0,0,0,0,0,0.7468833872440206,6,0.2169438569020665,10,53,0,0,0.0,1752.5665283203125,0,0,167,0,0,0,0,0,0,0.0,0,1,2369.065795310996,0.0,1.0,13,0,0,0.0,0,0,1.6,3,0,0,1,0.0,0,0,1,10,4,18,0.0,0,0,32.400000005960464,0,1.0,0,0.0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,268,28,0,0,33,0,6,0,16,0,0,4,0,0,0.0849824233331461,0,1,0,1,3,1,5,2,0,-0.095683753490448,2.234726847089422,11,8,0,0.0,0.0,0.0,0.0,0.0,0.0,24.728728012569263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.876083636972055,-0.2785908273659235,-75.47278777731384,250.37717448541093,317.5935431971528,969.5467321111169
8,0,0,5258,0,10,0,0,0,10874,6,6,0,0,True,False,False,False,4000,0,0,1,0,0,0,0,0,554,3474,1735,8788,0,0,0,0,3046,805,4747,0,0,22,23,8,4,4,14,6,4,200,24,0,9878,0,0,572,669,18,82,122,4,0,3358,595,495,0,0,8,0,24,8,4,12,False,0,0,0,0,0,0,0,0,0.750940086707534,6,0.1785954532242362,6,2,0,0,0.0,669.7188720703125,0,0,51,0,0,0,0,0,0,0.0,0,0,1238.0212545,0.0,0.0,7,0,0,0.0,0,0,1.3333333333333333,3,0,0,0,0.0,0,0,0,7,3,7,0.0,0,0,5.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,14,11,0,0,6,0,4,0,8,0,0,6,0,0,0.0783720105818418,0,0,0,0,0,0,0,0,0,-0.5455169677734375,1.193059642657052,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.33382255958676,-0.3392510415094816,-70.03110785445728,206.8462064517811,152.03293103074913,680.0529449230066
12,0,2,8991,0,13,0,4402,0,22215,6,9,1,0,False,False,False,False,7375,0,0,0,1,4,0,2,2,361,8284,3085,4572,0,0,0,0,7539,1872,11641,0,0,41,33,28,7,12,4,4,14,200,50,0,26426,0,0,1257,0,30,266,116,1,0,10602,364,227,0,0,2,0,58,11,3,33,True,0,0,0,1,0,0,0,1,0.8314660772780922,9,0.1975177279794547,6,7,0,1,0.0,0.0,0,0,88,0,0,0,0,0,1,720.5095547067214,0,1,1418.470274119039,0.0,1.0,15,0,0,0.0,0,0,2.6666666666666665,2,0,0,0,1.0,0,1,0,10,4,14,0.0,0,0,3.0,2,3.0,0,0.0,0,0,1,0,0,3,0,0,13,0,0,0,1,0,0,39,17,0,0,24,0,4,0,16,0,0,7,0,1,0.0729004861367416,0,2,0,0,2,0,5,0,0,-0.1180592775344848,2.463310532815863,3,2,0,1286.7199772213723,0.0,0.0,0.0,1377.8149434183756,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.76314016146492,0.3383927099199247,147.20082881516723,325.8721796528875,225.1157502742299,695.4393179741852
9,0,0,10491,0,13,214,3016,214,26842,5,10,0,0,False,False,True,False,6645,0,0,0,0,1,4,0,1,589,7613,2564,6108,0,0,0,0,8422,1154,10798,0,0,24,34,17,8,7,4,5,14,200,39,0,23177,1058,0,977,0,24,272,160,1,0,7141,878,732,0,2,5,0,69,11,3,36,True,0,0,0,2,0,0,0,0,0.6937519923686492,10,0.1503067270496282,5,4,0,1,0.0,1058.7447509765625,0,0,52,0,0,0,0,0,1,836.098175672414,1,2,1799.561393379992,0.0,0.0,7,0,0,0.0,0,1,2.0,1,0,0,1,0.0,0,0,0,4,2,10,0.0,0,0,13.0,3,1.0,0,0.0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,27,8,0,0,26,0,3,0,10,0,0,4,0,2,0.0504725071900471,0,2,0,0,3,2,5,0,0,-0.1473615169525146,2.3231969128768792,3,2,0,1633.243024737381,0.0,0.0,0.0,1232.2347644777628,0.0,9.116730536580462,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.034560106328591,-0.2667316612624419,9.435632517158885,268.16534394172754,153.2706808529307,588.0766301683689
